"","amhX","codY","bacG","bcaP","bkdR","clpQ","clpY","codV","dppA","dppB","dppC","dppD","dppE","ilvA","ilvD","ispA","mpr","nupN","nupO","nupP","nupQ","trmFO","ybfJ","ybgE","ycgA","ykfA","ykfB","ykfC","ykfD","ylmA","ypmP","yuiC","ywaA","pval","z","inv_cof_var"
"GSM672620",10.65031264,13.55136803,11.67967361,10.89382342,9.177965799,12.76007472,13.78598662,12.40940483,11.86596059,11.69155372,11.49097026,12.78364684,12.71058885,12.56166506,11.99779554,14.39110335,14.62074498,11.36849442,9.624618587,9.322251301,9.567028625,11.95744758,14.14860818,11.8077974,7.792295911,12.32875093,12.46461859,12.65748922,11.6026777,9.27505948,12.80614647,12.18422007,13.17062045,0.433398281327588,0.167728895808722,7.35872123845446
"GSM672621",10.79800781,13.49777063,12.07172602,10.95294498,9.405123048,12.82942007,13.88738959,12.42432045,11.74823048,11.61378959,11.35399554,12.66638996,12.48055799,12.75841524,12.17169294,14.28505874,14.54011041,11.53860669,9.482872862,9.047397026,9.176684015,11.752071,14.49691561,11.72348773,8.070405204,12.32875093,12.40349591,12.57725279,11.38636171,9.59425316,12.63887881,11.85426952,13.54925019,0.437383404198175,0.157606592557301,7.33863145232646
"GSM672622",10.93189145,13.04626283,12.61667063,10.15073662,9.371142751,12.49129033,13.23309777,12.40042639,12.20841747,12.01111041,11.61633606,12.7521803,12.42150967,12.79747639,11.76959033,11.12047993,14.34210483,11.97375353,10.02511822,9.738382528,9.888286245,11.09506729,14.14860818,11.50542677,7.927261338,11.56802119,11.72211413,11.89799851,11.3281881,9.109746468,13.24606989,11.64111115,12.84668736,0.293116563117672,0.544302791613464,8.10610934175413
"GSM672623",10.36854833,12.48666022,12.89381004,9.928841264,8.962276952,12.60364461,13.17595502,12.59922416,12.22177807,12.10308439,11.31557286,12.26726022,11.96963309,12.76305799,11.9466974,11.66395874,14.27227695,11.78955725,9.425710781,9.079943123,9.124426394,10.78417695,14.08497249,11.40904461,8.252212268,11.11236022,11.28319888,11.41637175,10.59873699,10.12013364,12.95128178,11.56687732,13.29824572,0.366724981385644,0.340539923460627,7.7017001534162
"GSM672624",10.87436729,13.03040297,12.36067658,10.91210632,10.27803457,12.81725688,13.36243383,13.13668476,11.80914981,10.89689591,9.986601859,10.68322677,10.76070037,13.33340483,13.75453086,8.538774721,11.66456952,11.3224881,10.36471933,10.00627323,9.993373048,11.13919257,11.55933717,11.40587082,9.529989033,10.11216691,10.22599703,10.49665279,10.29002602,11.85426952,12.20380818,9.954214126,13.99217212,0.247012844576182,0.683919991911896,8.38320830076738
"GSM672625",10.78529777,12.94290967,12.30123104,10.83472677,10.27553494,12.69559926,13.41130855,13.00110632,11.83474164,10.86401599,9.965484758,10.56048587,10.67743309,13.22262807,13.65388439,8.390028625,11.69867212,11.26426877,10.40149368,9.928841264,9.919852788,11.18252342,11.44888067,11.38512714,9.479197398,10.09429981,10.23892602,10.48689405,10.22478587,11.74823048,12.13786729,9.984120446,13.95716766,0.24668351700463,0.684963372910373,8.38527910427807
"GSM672626",10.67624981,13.00624349,12.3046145,10.98396803,10.47046803,12.81725688,13.38472454,13.12422305,11.51608104,10.3563777,9.425091078,10.00124461,10.10699257,13.37838364,13.78122565,8.826257249,11.77446952,10.86286431,10.18349442,9.850568773,9.748265056,11.23069257,11.33991747,11.50178625,9.322251301,9.621913755,9.800424907,9.991480297,9.827327509,11.7445632,12.11942565,10.17872528,13.95989033,0.363737411196063,0.348486537623719,7.71747183847768
"GSM672627",11.17064349,13.20505651,13.01695428,10.90156766,9.989074349,12.85840781,13.54539665,13.33519294,12.77884796,11.98454572,10.96463569,11.58882602,11.58120632,13.05163569,13.54925019,9.257236803,11.66456952,12.35341599,11.31970967,10.67029442,10.65846506,10.99780372,11.51852045,11.20930781,9.52794684,10.81364758,10.94154387,11.16270446,10.77818476,11.72854535,12.367579,9.89214461,13.83859442,0.0982454460505119,1.29161388791374,9.58930142984371
"GSM672628",11.05514201,13.55136803,12.988971,10.29861822,9.808316357,13.24788216,14.04023532,13.17780409,12.43023309,11.82298996,10.73932156,11.44300781,11.47898253,12.95834721,13.34507323,9.288671004,11.69219926,12.16591599,11.03527658,10.47046803,10.41638848,10.8617461,11.52692491,11.02024349,9.307943123,10.52138327,10.7088684,10.98036283,10.82892454,11.75077844,12.55561822,9.902143123,13.7086368,0.17829227993049,0.92189267588825,8.85551388247567
"GSM672629",11.39931487,12.82796729,13.18883978,11.10315688,9.809530483,12.49575204,13.32523234,12.77243197,13.18166543,12.35933978,11.53991375,12.07172602,12.05809554,13.08133792,13.6561342,9.156086245,11.86338253,12.51953383,11.45388848,11.05279405,10.99196914,10.76773309,11.49468773,11.30724907,9.625894424,11.15301375,11.41994833,11.64984052,11.35399554,11.72085651,12.2829855,9.899647212,13.7935658,0.0536373654757773,1.61056425060731,10.2223238174175
"GSM672630",13.46987881,13.15971115,12.96154498,12.04992751,9.750194238,12.72569926,13.24788216,12.68944535,15.53070669,15.30189331,14.4894368,15.15316729,15.1469052,12.97625149,11.97911264,12.72426729,14.05215985,13.73361487,11.94797546,11.30724907,11.38266952,11.29765019,13.85909405,13.7497,9.861586245,13.52764833,13.66527955,13.78374796,13.53224944,10.62500372,13.14508736,12.16591599,12.85840781,0.160433700527493,0.992676971126865,8.99599982892913
