"","cysK","spx","cymR","mccA","mccB","mtnN","yrhC","yrrT","pval","z","inv_cof_var"
"GSM672745",14.43977026,14.54790446,13.07284758,12.50924944,12.67413941,13.60160558,12.06224721,13.31340074,0.00154135582297335,2.95936757104081,15.2297417794428
"GSM672746",14.92148885,14.47455279,12.04352379,13.54539665,13.31737249,14.23481264,12.43328327,14.177971,0.000717200283606472,3.18763786984404,15.9010900681048
"GSM672747",14.84911041,14.07618625,12.0542368,13.81311004,13.58394275,14.57414535,13.03748513,14.65334089,4.03818047528142e-06,4.46314963653617,19.6524000117398
"GSM672748",14.7149948,14.10146097,12.22743866,13.81090595,13.37430892,14.5439829,12.8156342,14.66569628,6.11711444359498e-05,3.84138452239041,17.8237742662093
"GSM672749",12.49718067,14.41536729,12.75924498,10.08164275,9.432344238,12.44648699,9.738382528,9.799172862,0.364841395009195,0.345547522465389,7.54243587200927
"GSM672750",12.66937435,14.31325613,12.99767955,10.1611948,9.56301487,12.39445725,9.687748885,10.33848885,0.324114279407103,0.456224486707966,7.86793941289093
"GSM672751",12.22743866,14.46409554,12.79829665,9.900917844,9.617849071,12.53796152,9.684353532,9.759736431,0.339067590969971,0.415009181311375,7.7467242355781
"GSM672752",12.69711524,14.27893866,12.78364684,10.07193197,9.338898513,12.06361859,9.530714498,10.22478587,0.350036522098376,0.385221866237968,7.65911904513847
"GSM672753",12.60816022,14.11328476,12.90213346,9.893404089,9.193304461,11.88757881,9.318468401,10.31281784,0.370373056477141,0.330865459832843,7.49925558235238
"GSM672754",12.96154498,14.12176357,13.09337732,9.930797212,9.086720446,11.88511933,9.157205948,10.495429,0.460621061667941,0.0988692007061386,6.81694915721834
"GSM672755",12.35933978,13.74509665,12.97032825,10.11346208,9.324801487,12.59489368,9.59425316,9.392488104,0.436553248469707,0.159713841492667,6.99589466909811
"GSM672756",12.69864721,13.91563829,12.91991375,10.54747175,9.788014126,12.70469665,9.868152788,10.34093643,0.294906720389409,0.53910639856892,8.1116970545141
"GSM672757",12.50189554,13.95716766,12.9331223,9.963064312,9.376255762,12.57725279,9.837497398,9.667862082,0.405677751320203,0.238677709336295,7.2281292516123
"GSM672762",14.13691599,13.79859108,12.52395651,10.53229405,9.959482156,12.55092639,10.07056989,10.98734907,0.449187376779805,0.127714703646653,6.90178445614351
"GSM672765",14.23952788,13.59734461,12.44648699,10.71840037,10.2065,12.52685316,9.971773978,10.3979829,0.473706642627122,0.0659554608984536,6.72014907849936
"GSM672766",14.00869331,13.24969777,12.40194684,10.55939517,9.961820446,12.48356283,9.773924535,10.19081859,0.496793554020623,0.00803745468964708,6.54981086737484
"GSM672772",14.46736729,14.37361413,12.53718401,10.541771,10.02884981,12.59205613,10.39695242,10.84505911,0.477896190287146,0.0554344127404221,6.6892064297498
