"","comZ","spo0A","divIVA","dnaA","dnaG","dnaN","ftsE","ftsX","med","metS","parA","parB","pdeH","pdxS","pdxT","pit","sacT","sepF","tagV","tkt","tsaC","yabD","ykaA","ylmD","ylmE","ylmG","ylmH","yqxD","yqzC","yqzD","yrrL","yvyE","ywcI","yydA"
"parA",-0.251617389819626,0.234825387361149,0.256564989075042,0.249031487331104,0.0242284419815655,0.193955221521515,-0.139210839658501,-0.181992323938425,0.0947718194509379,0.366069539000655,1,0.901727700163744,0.246240545407426,0.357834618946569,0.316558877075825,0.0431091164452252,-0.393437741660484,-0.203336867504169,0.0198847707594131,0.291403073473008,-0.0393748157945947,0.192346961148215,0.0466087468183364,-0.00626415383397942,0.00142834844988218,-0.143271014485404,0.102915519363821,-0.0514341867945621,0.211477730001613,0.327404860543542,-0.147196403820751,0.0769099923990042,-0.247712926208789,0.498400746259096
"parB",-0.167186796585723,0.386629654957814,0.367899266149749,0.188723532499076,0.143576358324748,0.196233613515906,-0.199346540083823,-0.138353955516662,0.173087788252805,0.323081413616003,0.901727700163744,1,0.316967559165213,0.249257196839659,0.242004487954837,-0.0402990154130429,-0.34421997528024,-0.0151077091797115,0.0426371262350626,0.20601467308685,0.0196013694965504,0.172817072048955,-0.0695275258508202,0.0311740446906414,0.0826966894827198,0.0334991125060388,-0.0356673523044258,-0.0291178911852778,0.300590756379961,0.317704092846732,-0.123865735644202,0.0354612715720116,-0.137316113993036,0.479672877270546
"pdeH",0.551029851858311,-0.223352744009272,0.160843426566319,0.383349468793421,0.0882528542029121,0.572828144675603,0.161641183043407,0.371987336840252,0.521415878238108,0.616361344900541,0.246240545407426,0.316967559165213,1,0.0388797615058526,0.106885575276867,0.629689756990261,-0.363380909199219,0.013676899211854,0.619121388079143,0.61308170776451,0.509347607625969,0.695880280119307,0.51728471694546,-0.0987414369379544,0.000862060153175719,0.00952217484004072,0.255647436163545,0.0353593323921011,0.738515807876782,0.653581239244938,0.509322103419415,0.431552611240415,-0.549578280670893,0.52655260416976
"pdxS",-0.185207497124398,0.0439620644578135,0.324453045217174,0.180290321544481,-0.1977188359208,0.0692630760472202,0.434088187160498,0.402879030379378,0.0731920590672495,0.297953118895299,0.357834618946569,0.249257196839659,0.0388797615058526,1,0.966982454000041,0.346705279680547,-0.249334331865629,-0.0943448812491519,0.169996041266083,0.181273169483866,-0.137780016132462,0.108700756775346,0.367132683736072,0.0815577582790692,0.120456766630221,-0.196993286144345,0.562878270075969,-0.255094794654699,-0.168402934172645,-0.0301221612852779,-0.360205326815489,0.254693003067651,-0.189354075396379,0.273866557608841
"pdxT",-0.143975557630299,0.0414036263917243,0.352256358886981,0.154270410153238,-0.169156930428529,0.0993455911396726,0.412303601192339,0.448850118419196,0.148919747040383,0.29981471539277,0.316558877075825,0.242004487954837,0.106885575276867,0.966982454000041,1,0.35677693219139,-0.290593971628883,-0.0328279109004524,0.192374122205892,0.207171849125856,-0.134368015381511,0.170526948016318,0.342980553951113,0.0890723424213248,0.131890197650921,-0.0978855061135576,0.539626447853309,-0.233237377081486,-0.158073288480637,-0.0532317987555698,-0.343519247470287,0.231672088737153,-0.220684996650113,0.229090893911524
"pit",0.586507048878383,-0.594144623769812,-0.071098448731255,0.723921972411801,-0.0464199584227501,0.738021924300533,0.506759395441516,0.544723521587968,0.220699604816647,0.700073724236559,0.0431091164452252,-0.0402990154130429,0.629689756990261,0.346705279680547,0.35677693219139,1,-0.346604437618247,-0.171903346187146,0.65038599321007,0.556295273273171,0.5012522639607,0.662014122226914,0.959306555873416,-0.141496979329858,-0.0949248917956218,-0.30684070455172,0.510804710343846,0.0115310026460013,0.479190549330675,0.533760755369682,0.573234925214095,0.604208131331168,-0.639674300438816,0.260017268513945
"sacT",-0.0950954010581508,0.335358317580525,-0.0694051583571055,-0.266798471601668,0.013439396797292,-0.366674084459381,-0.0336237664056894,-0.140043626762388,-0.0707813286872853,-0.403674027353381,-0.393437741660484,-0.34421997528024,-0.363380909199219,-0.249334331865629,-0.290593971628883,-0.346604437618247,1,0.19802575849343,-0.192094785799548,-0.368685200735002,-0.0688811521928895,-0.416377964927179,-0.302273329257753,0.30400026651987,0.235667541823323,0.235012071794338,-0.0660909370597425,0.0516066309244035,-0.280894178370431,-0.309466565026054,-0.232989759427915,-0.13736119507185,0.811227473989015,-0.372385880867744
"sepF",0.029713336718739,0.50763977885558,0.612387527726249,-0.135374207362252,0.308435037861201,-0.126729795619877,0.236246669804018,0.427981407781526,0.303965192595204,-0.180495678638835,-0.203336867504169,-0.0151077091797115,0.013676899211854,-0.0943448812491519,-0.0328279109004524,-0.171903346187146,0.19802575849343,1,0.168241798950796,-0.234959279390772,-0.056267904020854,-0.0270821728229208,-0.223594835049747,0.565446057047666,0.732682453370601,0.763311205669586,0.0982336969381865,0.158341310343944,0.0259659524797488,-0.173725742515165,-0.206112924032607,0.121196404818437,0.259956133747242,-0.278040511755781
"tagV",0.306807019303461,-0.131679324215456,0.149718816736999,0.596701903422066,0.388084245748888,0.643199811042385,0.693166134609928,0.715735723660629,0.487748415650154,0.348681991453323,0.0198847707594131,0.0426371262350626,0.619121388079143,0.169996041266083,0.192374122205892,0.65038599321007,-0.192094785799548,0.168241798950796,1,0.163824548972309,0.270949859924121,0.41224670032793,0.594328475377767,0.303562222130965,0.38815356306809,0.026478864379001,0.502668287606987,0.361870602772586,0.54034081959695,0.526545947125751,0.247131870034022,0.910841589979257,-0.365440275934238,0.173404095289409
"tkt",0.493334644331412,-0.402627437856662,0.0334629908678702,0.320101497705682,-0.214964181291035,0.41028499021161,-0.0516808751632011,0.0966674095386802,0.0624073821472819,0.811087455313628,0.291403073473008,0.20601467308685,0.61308170776451,0.181273169483866,0.207171849125856,0.556295273273171,-0.368685200735002,-0.234959279390772,0.163824548972309,1,0.533957156109263,0.695996154775209,0.503872424467573,-0.38172836468351,-0.293153803620814,-0.129542341897176,0.280304590524134,-0.240166873242524,0.417268355458663,0.431016323789816,0.52945505704452,0.0522682427276481,-0.608176492367565,0.477160340323754
"tsaC",0.68894300953958,-0.315179369504586,-0.0144051756728407,0.429472406129633,-0.119788815527663,0.4489052995317,0.107897326423484,0.218956821451091,0.0914493469664241,0.631157859220748,-0.0393748157945947,0.0196013694965504,0.509347607625969,-0.137780016132462,-0.134368015381511,0.5012522639607,-0.0688811521928895,-0.056267904020854,0.270949859924121,0.533957156109263,1,0.496770768481412,0.472424136271724,-0.385520245048379,-0.285481026650695,-0.0798937206951857,-0.0189291841302363,-0.178081563873299,0.545246652048161,0.473688439320186,0.714689287425315,0.148099235672844,-0.380843419781316,0.375312504265781
"yabD",0.544098268853001,-0.450994098176918,0.0631458781781223,0.518780739742022,-0.0505469045229491,0.643455983839287,0.0865466007264751,0.279299939740767,0.205293991164662,0.81304548761226,0.192346961148215,0.172817072048955,0.695880280119307,0.108700756775346,0.170526948016318,0.662014122226914,-0.416377964927179,-0.0270821728229208,0.41224670032793,0.695996154775209,0.496770768481412,1,0.616169644667986,-0.240249023316811,-0.126450615297314,-0.0903497946125306,0.206377962741167,-0.0307849859867387,0.544017801010272,0.535545327653941,0.569387127223579,0.306499839847327,-0.639701984029859,0.310068595897777
"ykaA",0.561951442411412,-0.596383094633935,-0.0651800689674115,0.749329178275357,-0.074725258366436,0.706247815812817,0.517318799275879,0.501542916241364,0.115519086567783,0.677539654371788,0.0466087468183364,-0.0695275258508202,0.51728471694546,0.367132683736072,0.342980553951113,0.959306555873416,-0.302273329257753,-0.223594835049747,0.594328475377767,0.503872424467573,0.472424136271724,0.616169644667986,1,-0.154101955101011,-0.128437831780942,-0.384082464204638,0.471926728875123,0.00574147229049039,0.431018119840423,0.549913932041522,0.573551377681323,0.604373243818564,-0.627273220865985,0.242792578935904
"ylmD",-0.354733522876835,0.595134252147488,0.454010577579241,0.0241945953319741,0.563778594381159,-0.0547501908644563,0.307176962553284,0.271796363282457,0.312527619801912,-0.339658801849909,-0.00626415383397942,0.0311740446906414,-0.0987414369379544,0.0815577582790692,0.0890723424213248,-0.141496979329858,0.30400026651987,0.565446057047666,0.303562222130965,-0.38172836468351,-0.385520245048379,-0.240249023316811,-0.154101955101011,1,0.888630487621651,0.495702183828818,0.354048453988435,0.50150650996719,-0.15597054418912,-0.220776213141443,-0.441090752665937,0.361392254103711,0.382518604894286,-0.260493919653595
"ylmE",-0.286960713330992,0.592846123110158,0.564496602665941,0.0180570921872411,0.52737136194412,-0.0425062306486435,0.393528874106191,0.393597635205734,0.357048602341003,-0.223113144088757,0.00142834844988218,0.0826966894827198,0.000862060153175719,0.120456766630221,0.131890197650921,-0.0949248917956218,0.235667541823323,0.732682453370601,0.38815356306809,-0.293153803620814,-0.285481026650695,-0.126450615297314,-0.128437831780942,0.888630487621651,1,0.586627251821616,0.412264688126868,0.380840096583643,-0.0480475332246705,-0.146448650212377,-0.428446977080242,0.435869089544452,0.303074132405731,-0.166810593248358
"ylmG",-0.0822783312956614,0.528939209544867,0.450316140997229,-0.240226927805778,0.335318759241945,-0.159050948881196,0.0587843499462156,0.264648568075873,0.250750835913356,-0.198796650708611,-0.143271014485404,0.0334991125060388,0.00952217484004072,-0.196993286144345,-0.0978855061135576,-0.30684070455172,0.235012071794338,0.763311205669586,0.026478864379001,-0.129542341897176,-0.0798937206951857,-0.0903497946125306,-0.384082464204638,0.495702183828818,0.586627251821616,1,-0.0284503779943533,0.259513723506144,-0.0872546970676363,-0.263480533416196,-0.234323333527843,-0.0707433516044816,0.312208197532842,-0.36054436561578
"ylmH",0.0121259228382963,-0.0722040893425666,0.248185926589882,0.372555323343609,0.0882715499238369,0.299723186342677,0.530802609543354,0.494034624172338,0.259566722012613,0.280508409213193,0.102915519363821,-0.0356673523044258,0.255647436163545,0.562878270075969,0.539626447853309,0.510804710343846,-0.0660909370597425,0.0982336969381865,0.502668287606987,0.280304590524134,-0.0189291841302363,0.206377962741167,0.471926728875123,0.354048453988435,0.412264688126868,-0.0284503779943533,1,0.0641650823870764,-0.0301542834524769,-0.00324511772494475,-0.153698323254926,0.521532603310226,-0.235900795613011,0.129625941388731
"yqxD",-0.129065715542882,0.161087882907476,-0.00695092956951948,0.289436629227047,0.862430292641392,0.35048623543788,0.183709562775859,0.0933429510670201,0.160617244706159,-0.178359404502436,-0.0514341867945621,-0.0291178911852778,0.0353593323921011,-0.255094794654699,-0.233237377081486,0.0115310026460013,0.0516066309244035,0.158341310343944,0.361870602772586,-0.240166873242524,-0.178081563873299,-0.0307849859867387,0.00574147229049039,0.50150650996719,0.380840096583643,0.259513723506144,0.0641650823870764,1,0.0980860427637118,0.108759481279972,-0.00133435726043947,0.325125419298431,0.119904235627797,-0.229718146025312
"yqzC",0.521572898733993,-0.152014740279719,0.134097802520757,0.427963780378596,0.110139468809263,0.524697828280393,0.0845824762782375,0.254230794626782,0.274592097556325,0.542970274548042,0.211477730001613,0.300590756379961,0.738515807876782,-0.168402934172645,-0.158073288480637,0.479190549330675,-0.280894178370431,0.0259659524797488,0.54034081959695,0.417268355458663,0.545246652048161,0.544017801010272,0.431018119840423,-0.15597054418912,-0.0480475332246705,-0.0872546970676363,-0.0301542834524769,0.0980860427637118,1,0.914095135600666,0.601301094335376,0.413048090585817,-0.441696428567975,0.478027610711176
"yqzD",0.439725772038753,-0.24112109624332,0.0348180005226991,0.514154904594816,0.0602304846211773,0.554946097717982,0.160366342858327,0.205117645454984,0.164319074786841,0.582351086626349,0.327404860543542,0.317704092846732,0.653581239244938,-0.0301221612852779,-0.0532317987555698,0.533760755369682,-0.309466565026054,-0.173725742515165,0.526545947125751,0.431016323789816,0.473688439320186,0.535545327653941,0.549913932041522,-0.220776213141443,-0.146448650212377,-0.263480533416196,-0.00324511772494475,0.108759481279972,0.914095135600666,1,0.589170387366714,0.465329012520326,-0.487376691728774,0.50387817710744
"yrrL",0.803000557042495,-0.575692106142994,-0.257774069074228,0.452513363917321,-0.0582951257416665,0.562249772876049,-0.0277073614180712,0.075463174594484,0.0233990797143688,0.566311911300024,-0.147196403820751,-0.123865735644202,0.509322103419415,-0.360205326815489,-0.343519247470287,0.573234925214095,-0.232989759427915,-0.206112924032607,0.247131870034022,0.52945505704452,0.714689287425315,0.569387127223579,0.573551377681323,-0.441090752665937,-0.428446977080242,-0.234323333527843,-0.153698323254926,-0.00133435726043947,0.601301094335376,0.589170387366714,1,0.123825557100427,-0.546414703084316,0.194023194914613
"yvyE",0.138215909833978,-0.0923326874682545,0.114523745088006,0.629114790329179,0.316845389494757,0.536494388682943,0.751299607213631,0.647488708060913,0.358009571215275,0.261299339285299,0.0769099923990042,0.0354612715720116,0.431552611240415,0.254693003067651,0.231672088737153,0.604208131331168,-0.13736119507185,0.121196404818437,0.910841589979257,0.0522682427276481,0.148099235672844,0.306499839847327,0.604373243818564,0.361392254103711,0.435869089544452,-0.0707433516044816,0.521532603310226,0.325125419298431,0.413048090585817,0.465329012520326,0.123825557100427,1,-0.320829321678452,0.10601929419781
"ywcI",-0.424036074944471,0.573661751881102,0.0363662428624551,-0.506753043187465,0.156086964328662,-0.566124183355884,-0.18034799884172,-0.253903864347735,-0.10593196868639,-0.628592213932078,-0.247712926208789,-0.137316113993036,-0.549578280670893,-0.189354075396379,-0.220684996650113,-0.639674300438816,0.811227473989015,0.259956133747242,-0.365440275934238,-0.608176492367565,-0.380843419781316,-0.639701984029859,-0.627273220865985,0.382518604894286,0.303074132405731,0.312208197532842,-0.235900795613011,0.119904235627797,-0.441696428567975,-0.487376691728774,-0.546414703084316,-0.320829321678452,1,-0.371769276858157
"yydA",0.101888443084294,-0.050769250525243,0.171493757589463,0.153400284457857,-0.0969825714544112,0.214828616800125,-0.0920199972649024,-0.0602173402147244,0.0683442128529263,0.500015981853582,0.498400746259096,0.479672877270546,0.52655260416976,0.273866557608841,0.229090893911524,0.260017268513945,-0.372385880867744,-0.278040511755781,0.173404095289409,0.477160340323754,0.375312504265781,0.310068595897777,0.242792578935904,-0.260493919653595,-0.166810593248358,-0.36054436561578,0.129625941388731,-0.229718146025312,0.478027610711176,0.50387817710744,0.194023194914613,0.10601929419781,-0.371769276858157,1
