"","nasB","resD","tnrA","fur","nsrR","nasC","nasD","nasE","nasF","pval","z","inv_cof_var"
"GSM672668",8.04244052,11.51009108,11.53286245,13.21045353,13.56203011,7.952664312,8.506366543,10.33478216,9.561814498,0.187902196184074,0.885653278079959,8.58192013742118
"GSM672669",7.99810855,11.74586245,11.57569219,13.2139171,13.57855,8.025317472,8.788727138,10.37802602,9.586639777,0.177327273403577,0.925598743127499,8.70687941242588
"GSM672670",8.849630483,11.70866914,12.99944721,14.00869331,13.6246145,8.373463569,9.132736059,10.46088141,9.587906691,0.0299445362220663,1.88160937463837,11.6975166541807
"GSM672671",9.224525279,11.97375353,13.10047026,14.05076654,13.45315651,8.694099628,9.324801487,10.35981673,9.608845725,0.00101135260798368,3.08687810588103,15.4678947599978
"GSM672672",9.575063197,11.72477063,14.16922491,14.47455279,13.66069851,9.005653532,9.577703346,10.53120149,9.356207435,0.000177596956678686,3.57131461812507,16.983331751
"GSM672673",9.295815242,12.04992751,13.8485,14.3392342,13.44091413,8.944990335,9.791836059,10.71597138,9.484101859,0.00315633459034747,2.73108237089849,14.3548778745949
"GSM672674",10.94269926,12.48971413,13.52764833,14.57775836,12.89221561,10.39144312,11.07385093,12.28581264,10.82065651,0.000824356894597339,3.14714819037477,15.6564344616598
"GSM672675",11.00720223,12.28434275,12.89897175,14.21067918,12.97545799,11.09506729,11.33414907,11.91770855,10.57109665,3.68628518911334e-08,5.38184630156996,22.6471217774039
"GSM672676",10.52649517,12.47327881,12.80000632,14.04280037,13.26346171,10.73581636,11.31671078,12.11335242,10.67985911,0.000186219878679441,3.55887991648931,16.9444329348401
"GSM672677",10.05097732,12.63305613,12.61394312,13.7086368,13.43859219,10.18716803,10.71119851,11.57750409,10.45966691,8.81778019585601e-05,3.7506800672096,17.5444311511902
"GSM672678",9.425710781,12.52685316,12.18972751,13.41777658,13.59952639,9.603594796,10.25257509,11.27143494,10.15135502,0.00431914549259699,2.62604691687282,14.026301046932
"GSM672679",8.811955762,12.48356283,11.98454572,13.33925093,13.73361487,8.942527509,9.758434201,11.46098476,9.986601859,0.1375642749774,1.09132807145391,9.22532166087733
"GSM672680",8.41797881,12.45691115,11.67439108,13.11002677,13.66754238,8.602923048,9.685733457,11.43453903,9.974054275,0.249883449579902,0.674856564024796,7.92249598175398
"GSM672681",8.077768773,12.44072714,11.37323197,13.29444201,13.82848513,8.182026394,9.669020446,11.05279405,9.734589219,0.289578677558244,0.554615981885768,7.54635376004357
"GSM672682",7.758813755,12.26365204,11.50065985,13.40092937,13.79092788,7.71755316,9.447581784,10.7088684,9.541668401,0.347565456458139,0.391901610580956,7.03734304138258
"GSM672698",7.247768401,11.53286245,11.30368922,12.3749816,13.34507323,7.266283271,7.679235688,10.36110929,9.314887361,0.4769738581133,0.0577500623373533,5.99203451485705
"GSM672699",7.221266543,11.48022454,11.1661171,12.42432045,13.22549963,7.262255019,7.83154052,10.27073271,9.272632342,0.449013485654622,0.128154165772095,6.21227592929775
"GSM672700",7.232099628,11.50287249,10.94614238,12.48055799,13.24969777,7.284734201,8.281063941,10.4428803,9.433003717,0.460322598635342,0.0996210301044503,6.12301723766913
"GSM672701",7.32036171,11.63132268,10.54747175,12.65138587,13.52354052,7.424902416,9.641176952,10.29119926,9.084210409,0.40317087802824,0.245148105769504,6.57826185297197
"GSM672702",7.249794424,11.5350052,10.495429,12.79915149,13.63389182,7.333413755,9.557981784,10.3081487,9.381207807,0.437458653032339,0.157415617310939,6.30381297275256
"GSM672703",7.343718587,11.47787249,10.37802602,12.63741822,13.38685874,7.430656506,9.697269517,10.31406059,9.309149814,0.412198464678227,0.221893321836238,6.50551514850293
"GSM672707",7.310779182,11.3084513,9.648879926,13.7824868,12.39295911,7.43247658,8.530658364,9.827327509,9.572453532,0.316563458582748,0.47733032925055,7.30458516102817
"GSM672708",7.326832714,11.47842751,9.630962082,13.33925093,12.07722007,7.489437175,8.628068773,10.12925874,9.758434201,0.377037823263772,0.3132698602629,6.79136351653785
"GSM672709",7.261334201,11.38266952,9.352210781,13.6722223,12.25706059,7.415719331,8.462952416,9.475285502,9.548863197,0.268080643264527,0.618628250719596,7.74659993806057
"GSM672710",10.6408119,11.59151078,13.46152045,13.80343717,14.37361413,10.39144312,12.44805874,12.97873309,12.47610223,0.0919818471440443,1.32864931428321,9.9677210899958
"GSM672711",10.82305316,11.17175985,13.35045167,14.5439829,14.45389294,10.60049368,13.08300781,13.59271896,12.95128178,0.171400051916776,0.948647146231331,8.7789805067164
"GSM672712",10.5378948,11.1695632,12.79327175,14.47120892,14.41869665,10.42480074,12.89544572,13.30389257,12.88900186,0.191512388544454,0.872336598935689,8.54026227790301
"GSM672713",7.114518587,12.0179461,9.143704089,13.37237472,16.03633346,7.242163569,8.264835316,10.02762937,9.421905204,0.412940186759456,0.219988162924562,6.49955534114836
"GSM672714",7.096736803,11.35399554,8.859812268,13.90030558,15.90234647,7.195971375,8.076719703,9.475285502,9.186043866,0.298984083407262,0.527324639102023,7.46097970308609
"GSM672715",7.186222677,11.63374164,8.952978439,13.51256134,15.92557398,7.311718959,8.343862454,9.788014126,9.417476208,0.34098359247945,0.409780209635193,7.09327171246598
"GSM672719",7.17327026,11.02948476,9.743322305,12.99944721,13.39496283,7.349563197,8.456369331,10.21153717,9.64251487,0.432635630902404,0.169667974105383,6.34214136923788
"GSM672720",7.106628996,11.00480892,9.481560223,12.91142379,13.26739145,7.286697026,8.15352119,10.05704498,9.552804833,0.431135969560172,0.173482809397425,6.35407511570419
