"","azoR2","mhqR","mhqA","mhqD","mhqE","mhqN","mhqO","mhqP","pval","z","inv_cof_var"
"GSM672606",9.058432714,13.24435279,8.533185874,7.431591822,8.341881784,7.551989219,7.771423234,7.900626766,0.00326155188037818,2.7202578044713,13.8041573072599
"GSM672607",8.999601115,13.24435279,7.941649071,7.286219145,8.137154275,7.47143829,7.739739777,7.95532026,0.00152576227923894,2.96249934787184,14.2919693618335
"GSM672608",10.47872528,11.65346208,9.079373606,8.108623048,8.262543494,8.082105948,8.050930112,8.510088476,0.231304750029037,0.734556727402524,9.80546695639647
"GSM672609",10.43461636,11.50759814,9.560557621,8.402105204,8.80037881,8.42776171,8.378162082,8.83260855,0.0450300413881442,1.69508085894094,11.7397150770773
"GSM672610",9.894642379,11.99510037,9.35100632,8.209816357,8.612872119,8.162204833,8.268340892,8.541937546,0.00718561688553729,2.44784782653312,13.2555937984621
"GSM672611",9.814483271,11.84436245,9.379951673,8.227065428,8.736597398,8.159125279,8.282275836,8.459275093,0.00411173076361207,2.642754591017,13.6480858041623
"GSM672615",10.47381227,12.19107955,10.00747918,9.070645725,9.717949814,8.171969145,8.084459108,8.126315242,0.342390559947745,0.405947576086492,9.14373279220267
"GSM672616",10.16249219,11.86338253,10.41887398,9.660145725,9.581556877,8.519262825,9.546888662,9.014144981,0.000620479902097647,3.22929461766042,14.8292262950545
"GSM672617",9.898328625,11.52987026,10.29861822,9.432344238,9.598244981,8.742515613,9.55144052,8.863658364,3.61007709264925e-06,4.48709306260288,17.3621082898344
"GSM672620",10.30703643,11.2995448,9.198830669,8.339630112,9.22933197,8.584775836,8.951537918,9.168436059,0.000998796470976442,3.09058994264386,14.5499108170033
"GSM672621",10.41153829,11.50759814,9.017775465,8.311623048,9.242672119,8.236467658,8.62324461,9.410388104,0.034543719942391,1.81784752921061,11.9869355200151
"GSM672622",9.992781041,12.00437026,9.772573978,8.044633086,8.804210781,7.597465056,7.908544238,8.152455019,0.346644677303606,0.394395108492063,9.12046909897514
"GSM672623",9.329881041,12.13388587,9.595648699,7.736879182,8.554138662,7.643193309,7.881148327,8.000223048,0.129231414350237,1.13003179150177,10.60185184085
"GSM672624",11.67574201,11.14807026,9.699892193,8.478445725,9.507092565,9.031537918,8.837883643,8.586149442,0.454342693238927,0.114696880668447,8.55722893273477
"GSM672625",11.68483494,11.19886617,9.71651487,8.484646468,9.446366171,9.02275948,8.849630483,8.695480297,0.435380616695749,0.162691635191208,8.65387800243539
"GSM672626",12.03148699,11.2284513,9.804423792,8.80799777,9.683063941,9.605606134,9.416856134,8.981802602,0.340283189646767,0.411690376813118,9.15529731322634
"GSM672627",11.85151487,11.22958513,9.595648699,8.618287732,9.453789963,9.226846097,9.005653532,8.745098513,0.432711986584317,0.169473807199965,8.66753554942597
"GSM672634",11.87109368,10.82770632,9.619292193,8.639073606,9.42635632,9.35735539,9.190962082,8.690523792,0.41740025956179,0.208548754072875,8.74622242471934
"GSM672638",12.34708587,10.78529777,9.865482528,8.836514498,9.683063941,9.727094424,9.601017844,8.965011896,0.473402889755478,0.0667185335954138,8.4606129034105
"GSM672640",12.20908513,10.72404349,9.798108922,8.97135948,9.415497026,9.215022305,9.241455019,9.026469888,0.466440620952061,0.084220345980112,8.49585704418954
"GSM672657",9.991480297,12.12529108,9.092923048,7.86312974,8.302290706,7.868198885,7.885181041,8.574934572,0.120134200572293,1.17431618922053,10.6910292079254
"GSM672658",10.43697138,11.51608104,9.216207063,7.991175093,8.831322305,7.845779182,7.919,8.476170632,0.309473843414204,0.497342300554384,9.32777821931653
"GSM672659",10.06210632,11.73237063,9.067066543,7.8573171,8.53189368,7.702029368,7.800219703,8.409305576,0.200508143436169,0.839807572652372,10.0174150407184
"GSM672667",11.63374164,10.89814201,9.508453903,8.636723792,9.448202974,8.849630483,8.903206691,8.546823048,0.414948100444181,0.214834696050934,8.75888069228237
"GSM672668",11.62494535,10.93447918,9.697269517,8.646530112,9.453789963,8.942527509,8.868263941,8.57858513,0.397987825158643,0.258558832328064,8.8469298371664
"GSM672669",11.72477063,10.93927732,9.695457807,8.71195948,9.428277695,8.909420074,8.912573606,8.431318959,0.47036931001196,0.0743415453983612,8.47596368510316
"GSM672670",11.47546394,11.05744312,9.620627138,8.550620446,9.48922119,8.757617844,8.742515613,8.438575465,0.41754819463176,0.208169798569054,8.745459305973
"GSM672671",11.23174721,11.03527658,9.656692193,8.615294424,9.541005576,8.660651673,8.644084015,8.507581413,0.299023403197585,0.527211380663559,9.38792685085076
"GSM672672",11.38992602,11.20275725,9.59425316,8.660651673,9.58410632,8.476170632,8.481631413,8.59803829,0.424000572708031,0.191669440069077,8.71223183529194
"GSM672673",11.34699628,11.23750149,9.502141264,8.550620446,9.409023792,8.490633829,8.496584015,8.507581413,0.420404149421064,0.200859676154288,8.73073860289179
"GSM672674",10.71478104,12.01585186,9.857714498,8.160678253,9.07303197,7.836457993,7.936460595,9.037702974,0.491123075136572,0.0222529873143546,8.37107074980377
"GSM672675",10.82770632,11.6386974,9.366164684,8.269560223,9.136124535,7.904584015,7.932447212,8.825094796,0.432792982261533,0.1692678481095,8.66712080088339
"GSM672676",11.00960112,11.7148948,8.954337175,8.227065428,9.234037918,8.064017472,7.949688476,8.879577695,0.470479755244535,0.0740639370434595,8.47540465340252
"GSM672683",10.39436654,12.40805911,8.836514498,7.951738662,8.439837918,8.17870632,8.048987361,8.755100372,0.158160949106476,1.00204491989593,10.3441192574126
"GSM672684",10.38305279,12.43023309,8.863658364,8.008369145,8.614675465,8.084459108,7.979769517,8.584775836,0.164696423410913,0.975337556555571,10.2903375088305
"GSM672685",10.43461636,12.52544535,8.750019703,7.947747212,8.304640149,8.040285502,7.904584015,8.511257993,0.251464674779366,0.669887749702262,9.67524029735071
"GSM672686",10.31892639,12.37832454,9.071826022,7.989135316,8.445764684,8.027893309,8.135449071,8.669790335,0.140985133936339,1.07590383220992,10.4928520769723
"GSM672687",10.11462639,12.36369665,9.053477323,8.024810037,8.49786803,7.97259145,7.992124907,8.524420446,0.085447369313324,1.36933449938671,11.0837458378899
"GSM672688",10.1897539,12.47473234,9.008102974,7.964645353,8.42054461,7.949214498,7.929290335,8.629306691,0.13901018528172,1.08477714465927,10.5107206420253
"GSM672689",9.993965056,13.41359628,9.964272119,8.726123048,9.207777695,8.270647955,8.368715242,8.968894424,0.0104478265924417,2.30986456893859,12.9777310692248
"GSM672690",9.768651673,12.97545799,9.921756506,8.848271747,9.137415985,7.988043866,8.487209294,8.976527138,0.00696223125882346,2.45920617692201,13.2784665896523
"GSM672691",9.694850186,12.96858699,9.995141264,8.811955762,9.110960595,7.722443123,8.111744238,8.904501115,0.087225837216751,1.35803784941928,11.0609972954514
"GSM672698",10.49302193,11.97375353,8.34082119,8.382762082,9.509933457,7.830516357,7.787331599,8.368715242,0.402019568948439,0.248123132634221,8.82591502675401
"GSM672699",10.4428803,12.01236766,8.272876208,8.277677695,9.175440149,7.803133086,8.215446097,8.362547955,0.245753412262545,0.68791418303075,9.71154088954131
"GSM672701",10.97474461,11.15739684,9.112163197,8.684418216,9.319698513,9.386327138,9.195828996,8.796410037,0.0243613269740422,1.97101068246047,12.2953666479833
"GSM672702",11.11124164,11.33162788,9.012932342,8.548211524,9.187238662,9.10509368,9.047397026,8.891684015,0.0859756962440006,1.36596040184041,11.0769512747721
"GSM672703",10.88007955,11.60519591,8.9752171,8.618287732,9.144256877,9.206534201,9.018973606,8.880969888,0.0214477890668821,2.02472531068725,12.4035340695912
"GSM672704",11.91889442,10.99077807,10.06996784,8.631756506,9.409023792,9.833729368,9.814483271,9.005653532,0.318381068302397,0.472230689318966,9.27720990432628
"GSM672705",11.87491115,10.89157584,10.1033316,8.493020818,9.443779926,9.964272119,9.857714498,9.10509368,0.317718519872791,0.474088162284701,9.28095037629905
