"","bpr","degU","capA","capB","capC","capE","levB","minJ","sacB","sacX","sacY","sipT","swrA","yueB","yueC","yueD","yukB","yukC","yukD","yukE","yveA","pval","z","inv_cof_var"
"GSM672562",9.181440892,13.66292007,8.819794796,8.589150558,8.426008736,9.046287732,7.717062082,12.80614647,8.784646468,9.121938662,8.995851673,12.49420967,13.28071041,11.8217948,11.70220223,11.81351859,11.2363461,11.15677881,11.10436394,15.41281338,7.249312454,0.142922074612845,1.06728280750422,4.86712907356609
"GSM672563",10.60575019,12.77709554,9.226846097,8.765206691,8.687437732,9.542331227,8.80170855,13.04626283,7.610263941,10.287729,10.04106729,12.50487918,14.84428699,11.22137844,11.24473197,11.88260409,10.50714535,9.851207435,10.9214461,15.32970632,7.392457621,0.0921895128198857,1.32739205757216,4.98942199188519
"GSM672564",11.06445836,12.90673086,8.884191636,8.508260223,8.354820446,9.129148699,8.931406691,13.04626283,7.884095539,10.37802602,10.15888587,12.70469665,14.83115242,11.86197993,11.78586766,12.01304089,11.33878662,10.4224948,11.02712677,15.35256022,7.265787918,0.140998702387667,1.07584316291215,4.871153808728
"GSM672565",9.995141264,13.59271896,9.172110409,8.724292565,8.551803346,9.368698513,8.117831227,12.61945911,8.092406506,9.39121487,9.298148699,13.0743855,14.77594758,11.97307472,11.82445613,11.78707844,11.31439294,10.97578959,11.11582156,15.97278996,7.066749814,0.305822692212427,0.507726181957186,4.60404803094627
"GSM672578",12.20380818,12.35069814,7.934310781,8.174248327,7.967410409,8.000223048,7.328675093,9.884420446,7.827565799,8.044633086,7.885725651,10.55470335,12.04739517,10.91871989,10.68777323,10.12797993,10.53548253,11.07857138,11.23750149,15.79347546,11.72477063,0.240609612346531,0.704342950461189,4.69648933553096
"GSM672579",12.45691115,12.10981524,8.335963569,8.570050929,7.965228625,8.536673606,7.371171004,9.952976208,8.032024535,7.845779182,7.958960223,10.80278067,12.00036022,11.36724349,11.19886617,10.67379851,10.85690223,10.97369777,10.82132007,16.0724342,11.97239591,0.208818225925148,0.810528569607311,4.74641354716706
"GSM672580",12.46005688,12.14881636,8.094953903,8.329036803,7.869126394,8.34082119,7.297434572,9.441220446,7.914788104,7.791298513,8.046743123,10.82770632,11.77836766,11.20686022,10.88007955,10.61440372,10.67029442,10.53120149,10.90626022,16.29536729,11.7111632,0.31348569947061,0.485994029690791,4.59383044613789
"GSM672581",11.8179803,11.91889442,8.198600743,8.422989219,8.112798513,8.248820818,7.516815242,9.74697658,8.303515613,7.72153197,7.768869517,10.16502825,11.86062565,10.54287175,10.59704647,9.897079554,10.37802602,10.7016487,11.11823309,16.15247212,12.88597286,0.256688686992993,0.653587850176479,4.67262632669227
"GSM672582",11.73350112,11.95198364,8.737856134,9.09434684,8.275867286,8.799714498,7.618860967,9.266155948,8.983071375,7.554816729,7.759936803,10.31526468,11.81292007,10.68536877,10.60397212,9.970596283,10.35158587,10.4894658,10.96463569,16.06489257,12.41256617,0.0772319121177519,1.42394005940236,5.03481498309411
"GSM672583",11.5304,11.72986729,8.207724907,8.428883643,8.115733457,8.193048327,7.583214498,9.619292193,8.751308178,7.694331227,7.736879182,10.05959888,11.66145502,10.59003234,10.33973569,9.873116357,10.4224948,10.70406654,11.09843086,16.22890372,12.73666097,0.213065070937048,0.795831221787873,4.73950344475463
"GSM672584",11.9097197,11.14807026,8.291892937,8.243223048,7.960021933,8.351857993,7.602832714,9.406495911,8.605266543,7.466259108,7.487576952,9.989074349,11.91377249,9.336265056,9.655317472,9.623286617,9.107285874,8.184210409,8.562611152,15.87744201,12.78678773,0.397895470764865,0.258798206788681,4.48701209882671
"GSM672586",11.68967509,11.1695632,8.39470223,8.329036803,7.919,8.533689033,7.703069517,9.084210409,8.788727138,7.617057249,7.658371375,9.908577323,11.92807175,10.15011822,10.35697584,9.572453532,10.0693658,9.416856134,9.852501115,15.96520669,12.22177807,0.156227800412029,1.01008284428531,4.84023594912719
"GSM672589",11.43214164,11.06334126,8.111744238,8.122149442,7.788498141,8.335963569,7.572286989,9.50463829,8.483455019,7.445059851,7.620645725,9.663977323,11.83344498,9.947013011,10.10699257,9.818199628,9.911007435,9.030392193,9.752057249,16.09371152,12.30598216,0.275492801437033,0.596283872814943,4.64568429898275
"GSM672590",11.69346877,11.21785428,8.194155019,8.237660223,7.620645725,8.392362082,7.406658364,9.259670632,7.734865799,7.424458364,7.542924907,9.839937175,11.61082119,10.20304461,10.20057955,10.16249219,10.01761338,9.806930483,10.56290074,16.02851524,12.47610223,0.343747457488746,0.402256975495292,4.55446064776918
"GSM672591",11.68608067,11.00017212,8.010395911,8.061049071,7.705065799,8.038151301,7.371690706,9.550201487,7.88627026,7.359909665,7.55006171,9.520383643,11.56299777,10.02762937,10.2203197,10.0484855,10.19081859,10.0326223,10.4428803,15.98063123,12.62092416,0.382722240802406,0.298338946898769,4.50560256609882
