"","cccA","abrB","ccpA","yobO","yvnA","pval","z","inv_cof_var"
"GSM672595",13.66987732,10.84913197,11.8646974,10.93189145,12.00980706,0.291794452521279,0.548150008507762,8.84806112050199
"GSM672596",14.18383309,11.11124164,11.72728216,11.12047993,12.17460074,0.400975687178573,0.250822462088809,8.02738182824237
"GSM672597",12.66205019,10.40029442,11.94797546,10.95418476,11.3258513,0.0206411335195427,2.04068379576729,12.9677317899521
"GSM672609",9.699892193,13.99217212,12.87794796,7.852455762,10.16502825,0.468502076568367,0.0790357933327337,7.55321869256128
"GSM672610",12.55718141,13.92820372,13.18693197,10.38428922,10.64676803,0.222855056004015,0.76258637632784,9.43994535288097
"GSM672611",12.42288327,14.04813494,12.94970781,10.25985874,10.60737249,0.210812509072457,0.803605201516706,9.55316493455366
"GSM672612",14.30661041,13.83859442,12.46749591,12.75065836,12.49575204,0.0133639172480085,2.21546980731922,13.4501736692363
"GSM672613",14.8074855,13.88486654,12.73823494,12.65458104,12.16591599,0.227341003330367,0.74763225000851,9.39866918472258
"GSM672614",14.56695242,13.79092788,12.45414126,12.59049108,12.50329219,0.0740294942525675,1.4464215948946,11.3274576602835
"GSM672615",14.22564647,13.69645948,12.58170112,12.72795186,12.51953383,0.0068622306742763,2.46439540615657,14.1372545897215
"GSM672616",13.02854461,15.15316729,12.63305613,11.33291115,10.44512714,0.29290364829026,0.544921808181086,8.83915068757616
"GSM672617",12.719671,14.63629591,12.48520074,11.58120632,10.73115465,0.0567364037823027,1.58277477731805,11.7038177876797
"GSM672622",14.05076654,13.59032751,10.35578234,11.3084513,11.65711152,0.36805135318896,0.337018828637883,8.26529982119943
"GSM672623",13.88212491,13.20315836,10.33973569,10.96242974,12.51075985,0.33328975934071,0.430847142926877,8.52428340846552
"GSM672630",14.79444089,10.45730818,11.55433086,13.77660149,13.54336506,3.06061377034355e-07,4.98735264119386,21.1010854994018
"GSM672631",14.75811599,12.93148625,11.7111632,13.46987881,13.32734535,0.00010363655163512,3.70998307541305,17.5753080737144
"GSM672632",14.67824238,12.7318948,11.63374164,13.59271896,13.33142937,6.01394514529342e-06,4.37708169098782,19.4166242460338
"GSM672639",10.42730372,14.27227695,12.81725688,7.971537918,9.590351301,0.480068420580249,0.0499818634063924,7.4730244457231
"GSM672645",10.41638848,14.5076632,12.82640149,8.054964684,9.685733457,0.438336918692539,0.155187075146784,7.76341038457409
"GSM672648",12.9632026,12.78051896,12.21777212,10.03850483,12.11117286,0.435817958254607,0.161580878067583,7.7810584690489
"GSM672656",11.7631513,13.77175465,12.94628513,9.456306691,11.05172937,0.260565459984037,0.641603099534335,9.10600902182121
"GSM672673",12.62693755,11.69867212,12.31870483,9.651572119,11.48512491,0.476477277460767,0.0589969280389518,7.49790769973515
"GSM672674",14.03726022,12.84362528,12.13786729,12.40805911,11.77836766,0.0963897546743679,1.30240050705008,10.9299326886949
"GSM672675",14.177971,11.51009108,12.11942565,12.16308104,12.66787807,0.0331841632494043,1.83592786100184,12.4025673521018
"GSM672676",14.12469963,12.08006543,12.08955204,12.91305019,13.25773792,1.39371236287297e-07,5.13728068482021,21.5149147668716
"GSM672677",14.02859517,12.06496617,12.10021896,12.73507807,13.70401115,2.06789704087319e-06,4.60443890385516,20.0441724123352
"GSM672678",14.18383309,11.94797546,12.10981524,12.61541041,13.7086368,0.000307237194524941,3.42514366969587,16.789098370957
"GSM672679",14.00300297,11.42414219,11.92684275,12.2829855,13.76194498,0.00561096070818125,2.53571127310682,14.3340996379538
"GSM672680",13.90161933,10.71597138,11.79491301,12.27423903,13.78840558,0.00397696685166653,2.65401904697128,14.6606510836348
"GSM672681",13.91563829,10.00124461,11.68854647,12.16308104,13.7497,0.010334307440379,2.3139837253042,13.7220903936145
"GSM672682",13.76552007,9.141365056,11.52813271,11.80381487,13.92068736,0.0831346906040193,1.38429095916233,11.1559655574679
"GSM672695",11.78084387,13.24606989,12.88276766,9.80243829,9.658863569,0.30007718180739,0.524178542746838,8.7818954194358
"GSM672696",11.04117175,13.74509665,12.79665613,8.568848327,10.6408119,0.461945531525283,0.095533524842467,7.59875549795441
"GSM672701",11.50287249,14.55173829,12.07309777,8.994675465,11.40099572,0.47762384403704,0.0561181462831968,7.48996172701134
"GSM672722",10.19937509,14.18664647,13.25369033,8.204286617,10.19560706,0.36549605689891,0.343806098201603,8.28403394674217
"GSM672723",13.71644461,13.38685874,13.04444907,10.97578959,11.06789331,0.45333467565541,0.11724065463064,7.65867121086465
"GSM672725",10.88912007,12.89897175,12.89724424,8.577357993,10.43873606,0.38614224728195,0.2893879769905,8.13382981752672
"GSM672727",10.43927658,12.91903699,12.96003271,8.581058364,10.49189926,0.268531773031978,0.617259544862273,9.03881628620027
"GSM672728",14.35627175,11.62612305,12.9836684,11.73350112,11.3952684,0.446056709949298,0.135630465636097,7.70943050734599
