"","mta","ydfK","ymfD","ymfF","ymfH","pval","z","inv_cof_var"
"GSM672602",8.982436989,8.6559829,9.416856134,12.51953383,12.21330186,0.32054995898406,0.466161481774702,5.57854777024473
"GSM672603",9.206534201,9.063879926,9.657711524,12.19956989,12.01920743,0.046396132254706,1.68084891606281,6.72634493896646
"GSM672604",9.031537918,9.168436059,9.699892193,12.22177807,11.98993309,0.0508506226846889,1.63666136735942,6.68459070502707
"GSM672605",8.958890149,8.994675465,9.855135316,12.11942565,11.91645465,0.0499094259169732,1.6457324654917,6.69316227698832
"GSM672606",9.42066803,7.506061338,9.147713011,10.46871059,10.71289554,0.00805463850282478,2.40643031558202,7.41197010683806
"GSM672607",9.273874721,7.46099777,9.579660037,10.45007435,10.91574907,0.0166255841634934,2.1290373747026,7.14985260798421
"GSM672612",10.19692082,9.982824907,10.07605725,13.05860929,13.24606989,0.0468764828867982,1.67592458332902,6.72169177881173
"GSM672613",10.20901524,9.374982156,9.793090335,12.87304684,13.44308773,0.200425247952783,0.840103253797219,5.93189736050025
"GSM672614",9.932549814,9.343478439,9.819645353,13.11002677,13.26519851,0.253672614995167,0.662977085363799,5.76452515519415
"GSM672615",10.38775948,9.630962082,9.708602974,13.05331524,13.30389257,0.136610282470534,1.09567605549314,6.17339630904315
"GSM672616",11.05172937,8.730405576,9.942540149,12.48971413,13.75962305,0.307995186261778,0.501541082341729,5.61197909110559
"GSM672617",10.86517584,8.683216729,9.795699628,13.0649197,13.79859108,0.470714147542599,0.0734748018389305,5.20748551447259
"GSM672624",8.707036803,7.761926022,8.910728996,11.92807175,11.72477063,0.485058860905193,0.0374606412837512,5.17345457749879
"GSM672625",8.747633457,7.782479554,8.901939033,11.92684275,11.71601041,0.468255666086092,0.0796554001947647,5.21332576036103
"GSM672626",8.806852788,7.941649071,8.972713011,11.83088699,11.52813271,0.307665030913148,0.502479794693816,5.61286611055566
"GSM672627",8.966280669,7.910605948,8.80037881,12.03001301,11.7195487,0.429582160341652,0.177438051535798,5.30572372809428
"GSM672629",8.83260855,7.752718959,8.825094796,11.9427,11.65711152,0.46648367546002,0.084112041399614,5.21753698376924
"GSM672631",9.784247584,8.115733457,7.788985316,11.62187658,11.44420669,0.378061020616479,0.310577227765689,5.43153121173897
"GSM672632",9.728449442,8.129131413,7.660233829,11.53286245,11.34097472,0.376214787217972,0.315437399497278,5.43612374410207
"GSM672634",8.837883643,7.849694796,9.086720446,11.94006097,11.72854535,0.397712263103134,0.259273108828602,5.38305230202319
"GSM672635",8.783435688,7.820861152,9.000723048,11.90698848,11.78586766,0.44082435392155,0.148879512302326,5.27873784715922
"GSM672636",8.959613011,7.61314684,8.91457658,11.74947844,11.67439108,0.42858000878551,0.179990511122317,5.30813562913481
"GSM672637",8.62324461,7.834514126,9.440052788,11.71235911,11.49468773,0.278549906423791,0.587154700523238,5.69287814857411
"GSM672638",8.62324461,7.748886989,9.234037918,11.85276729,11.58383606,0.399964141315014,0.253439920010817,5.37754033456499
