"","psdA","psdR","psdB","psdS","pval","z","inv_cof_var"
"GSM672725",11.01789926,11.05514201,11.0850342,11.08210335,0.0492080694318339,1.65258114095042,355.035288033158
"GSM672727",10.98036283,10.99658662,11.07385093,11.02712677,0.142693121227956,1.06829770710123,268.079504093746
"GSM672730",10.81843457,10.7701803,10.67258401,10.89925799,0.48712083292334,0.0322888940572096,113.89584375462
"GSM672731",11.26915056,11.04821115,11.11935985,11.17175985,0.471040187663489,0.0726553560390808,119.903368772692
"GSM672732",10.92265688,10.80887472,10.84505911,10.98158476,0.416760938166364,0.210186806659397,140.371440280776
"GSM672737",11.0330539,11.1661171,10.95294498,11.13479888,0.487889834621806,0.0303603464140649,113.60882830551
"GSM672738",11.05744312,11.16899052,10.95058736,11.12166803,0.478337798491312,0.0543257968504233,117.175478341137
"GSM672742",10.53120149,10.65528439,10.59358662,10.5523197,0.28498904825076,0.568083757050763,193.635332576649
"GSM672744",10.91080595,11.02948476,10.9033777,10.89585316,0.334853647179556,0.426549764070552,172.571584058929
"GSM672746",10.56236599,10.44512714,10.60851896,10.54862454,0.384322169599265,0.294148620976434,152.867028828984
"GSM672747",10.56761375,10.59358662,10.46258141,10.55808699,0.306946314118735,0.504524815701069,184.176194680146
"GSM672748",10.77255948,10.58157807,10.7172513,10.66314126,0.440780582480762,0.148990454676647,131.263913945765
"GSM672749",11.19393717,11.18912454,11.15677881,11.22259814,0.0199053863580366,2.05570693861185,415.03034818901
"GSM672750",10.96575651,11.16098439,10.94614238,11.07978216,0.499107507264889,0.00223714939082435,109.423403043787
"GSM672751",11.18085074,11.20118141,11.21893048,11.25937026,0.0636255430427523,1.52503212117313,336.052848410711
"GSM672752",11.15065874,11.27025613,11.284429,11.24836134,0.30223450713741,0.517984599735376,186.179342475468
"GSM672753",11.11351933,11.20930781,11.1419881,11.18032528,0.147443343620664,1.04746170106705,264.978592560225
"GSM672755",11.05576654,11.12813011,10.99658662,11.12637026,0.328036762201594,0.445340748482432,175.368145942882
"GSM672756",10.78186134,10.95294498,10.74212844,10.89925799,0.497592669874952,0.00603431837888692,109.988515430993
"GSM672757",10.91926171,10.92440372,10.91080595,10.91574907,8.47862430533946e-34,12.0610666036521,1904.07460798896
"GSM672759",10.38541896,10.21655725,10.28045836,10.27928476,0.399499820340509,0.25464196922612,146.987464777102
"GSM672761",10.40272268,10.26107435,10.30923346,10.22599703,0.432579103894435,0.169811722265897,134.362632035217
"GSM672762",10.15378364,10.31773494,10.18579145,10.23788662,0.410301330480583,0.226769912015519,142.839415312845
"GSM672763",10.32126059,10.40512788,10.27181115,10.18109182,0.497861984126278,0.0053592366947162,109.888046628235
"GSM672765",10.58636245,10.59128327,10.43461636,10.56871487,0.413112167558056,0.219546533899792,141.764398513882
"GSM672772",10.29002602,10.24510112,10.30341896,10.137871,0.427117034402319,0.183718788366529,136.432346432408
"GSM672773",10.31406059,10.28889442,10.26731784,10.14402862,0.428703104035189,0.179676927185976,135.830817812618
"GSM672776",10.45007435,10.59812825,10.45730818,10.47560372,0.388551264361652,0.283096938034277,151.222265862226
"GSM672777",10.45730818,10.60851896,10.49072788,10.45853197,0.399846582086468,0.25374422647088,146.853858515936
"GSM672778",10.22252528,10.25371375,10.15888587,10.25008439,0.202651424604286,0.832187976939239,232.940553556158
"GSM672779",10.23182268,10.33973569,10.17684572,10.31773494,0.429644528937159,0.177279238370505,135.4739825876
"GSM672780",10.3081487,10.35981673,10.18850149,10.26107435,0.414497877000129,0.215989728594361,141.235058170248
"GSM672781",10.40512788,10.31466264,10.37684833,10.38428922,0.145300271439212,1.05680510742887,266.369121844111
"GSM672783",10.52138327,10.50263755,10.47872528,10.46871059,0.0126878230198405,2.23563567040165,441.808180692207
"GSM672784",10.56115855,10.56632751,10.46688848,10.60630929,0.320248480812297,0.467004076353777,178.592183368314
"GSM672786",10.57679554,10.7218171,10.5558368,10.69497435,0.449836328772022,0.126074872544365,127.853510204531
"GSM672796",10.8462368,10.76665242,10.67507658,10.78880818,0.388172077658124,0.284086417879168,151.369524864656
