"","acpK","codY","abrB","pksC","pksD","pksE","pksF","pksG","pksH","pksI","pksJ","pksL","pksM","pksN","pksR","pval","z","inv_cof_var"
"GSM672617",10.96359368,12.45247361,14.63629591,11.36494387,10.82410781,10.47208327,10.66433346,9.585373606,9.57370223,8.952978439,10.94499814,10.59240297,9.728449442,10.98844647,11.52222045,0.387365062228329,0.286193235500343,13.4664149468951
"GSM672618",12.56771524,13.98971487,13.6106,11.79238513,11.98251654,11.97375353,12.18563792,11.52692491,11.64603123,11.12404238,12.00036022,12.37832454,12.25553011,12.30886543,12.54641822,1.27923529917039e-05,4.20957892428986,28.6483048161318
"GSM672619",12.78829182,14.04023532,13.41777658,11.9466974,12.08955204,12.18706394,12.54480855,11.67439108,11.92414164,11.56554647,12.20653755,12.61394312,12.42432045,12.44648699,12.64667732,2.12758147700781e-07,5.05717340352679,31.9281470387093
"GSM672620",11.9427,13.55136803,13.98711561,10.8015829,11.72728216,11.25813941,11.24960967,9.927572862,9.826052045,9.369944238,10.05959888,10.1897539,9.873116357,10.18579145,10.42834387,0.415843200130521,0.2125391985112,13.1814040999653
"GSM672621",11.59898848,13.49777063,13.4367223,11.05060483,11.78586766,11.0609684,11.16042491,9.717949814,9.689711524,9.124426394,9.868152788,10.08906357,9.839937175,10.1254855,10.33478216,0.471707074228294,0.0709794026307734,12.6336258794582
"GSM672624",10.25501375,13.03040297,13.48916357,12.21495725,11.11823309,10.81497212,9.914948327,9.645053532,9.734589219,9.74697658,9.912310037,10.49409517,10.13052454,10.3261487,10.5523197,0.276859840158803,0.592195503170883,14.6505179375302
"GSM672625",10.37092045,12.94290967,13.58394275,12.3046145,10.98097379,10.79103494,9.964272119,9.61657658,9.819645353,9.704185316,9.859080669,10.44568959,10.06570037,10.29473086,10.5523197,0.293779082201556,0.542377953039712,14.4577444965178
"GSM672626",10.08788327,13.00624349,13.20777286,12.22241729,10.74269703,10.38901375,9.673109665,9.366164684,9.538414498,9.61009368,9.648879926,10.1033316,9.835013011,9.980869703,10.17246059,0.36865741387011,0.335411322889222,13.6568687135098
"GSM672627",12.09768922,13.20505651,13.09676506,13.32130186,12.11942565,12.10086896,11.48629777,11.07917677,11.15801487,11.10905242,11.31787472,11.84240669,11.39341227,11.42249628,11.55433086,0.0435929840431605,1.71043226935529,18.9776345604134
"GSM672628",11.87618959,13.55136803,12.75065836,13.47410706,12.13645688,11.9083223,11.43757602,11.00960112,10.94725613,11.06917918,11.12277175,11.74086617,11.27143494,11.33991747,11.63001524,0.105925340122252,1.24849269959533,17.190118310258
