"","amyE","abrB","ccpA","glpD","rbsA","rbsB","rbsC","rbsD","rbsK","rbsR","pval","z","inv_cof_var"
"GSM672598",11.04938625,13.92068736,13.2749487,12.98810762,11.28562714,11.44300781,11.27618439,11.58755948,12.01517881,12.24164052,0.133932975103522,1.10799042708385,18.2490826461848
"GSM672599",10.71228216,14.77223197,13.6106,12.64499628,10.6097052,10.63444684,10.51055874,11.03646654,11.66639257,11.78200855,0.353056985749445,0.377080245207627,14.7193910242113
"GSM672603",10.61326914,15.24909405,13.43237621,11.64738439,9.985307807,9.846188848,9.647648327,10.2203197,11.04578699,11.61507807,0.453264957772703,0.117416618447985,13.4654304820938
"GSM672604",10.71289554,15.26197249,13.44724164,11.80120297,10.14765651,10.13176691,9.876702974,10.52767361,11.30724907,11.79090335,0.394755434647447,0.266945830041548,14.1875328942496
"GSM672605",10.73115465,15.18381933,13.53887881,11.89681338,10.38305279,10.31645688,10.30341896,10.87773792,11.28675688,11.78835316,0.198439988171846,0.847206598328904,16.9897124549807
"GSM672612",13.31643662,13.83859442,12.46749591,12.38563941,13.8692948,14.13691599,13.62670483,13.82848513,13.98711561,13.14508736,0.0130091612345062,2.2259381810342,23.6478456115511
"GSM672613",13.30005502,13.88486654,12.73823494,12.33457361,14.00869331,14.177971,13.7497,14.02859517,14.07896877,12.94463234,0.0563526193042969,1.58615021289611,20.5581989121721
"GSM672614",13.18883978,13.79092788,12.45414126,12.50487918,13.84114201,14.08497249,13.65274554,13.88212491,13.97367398,13.10503532,0.00698638359906793,2.45796273537891,24.7683322949633
"GSM672615",13.39100595,13.69645948,12.58170112,12.16890595,13.92297026,14.11328476,13.72616989,13.96540669,13.83597807,12.91991375,0.0591500182589668,1.56194886118626,20.4413264010362
"GSM672616",12.82172268,15.15316729,12.63305613,12.91142379,13.03748513,13.89762082,13.1633513,13.05679517,13.6081974,12.11942565,0.00759820230493219,2.42766423734243,24.6220156101919
"GSM672617",12.83902974,14.63629591,12.48520074,12.83418104,13.28452677,13.83859442,13.29628699,13.20863941,13.56651933,12.07040112,0.00924320087400882,2.35572893798265,24.2746276140053
"GSM672624",8.657939777,13.48916357,13.05512156,8.876988848,7.641281413,7.872061338,7.587933086,8.117831227,8.788727138,9.11824461,0.418431811262669,0.205906916636469,13.8927654295152
"GSM672625",8.624420074,13.58394275,12.96858699,8.859812268,7.661118587,7.866197398,7.648112639,8.092948327,8.791343494,9.154290706,0.400713381961669,0.251501032628875,14.1129472975753
"GSM672626",8.80170855,13.20777286,12.93810186,8.700556506,8.206089219,8.320828996,8.093453346,8.409305576,9.119518959,9.45124052,0.131756848023745,1.11812479958669,18.2980232829473
"GSM672627",9.27505948,13.09676506,12.38714758,8.768963569,9.697269517,9.796913383,9.613957249,9.839937175,10.42954089,10.57505242,0.21053691458147,0.804559659262557,16.78376301378
"GSM672628",9.143151301,12.75065836,12.44648699,8.910728996,9.18085223,9.309149814,9.06446803,9.423149442,9.715221933,10.10964312,0.0106852199498248,2.3013750684019,24.0121433815535
"GSM672629",9.194586989,13.02025465,12.47178253,8.887666543,9.27505948,9.590351301,9.2522,9.647648327,10.17872528,10.37931041,0.11430364381191,1.20395418327543,18.7125082142525
"GSM672633",8.134901115,12.48208364,13.06752156,8.41797881,7.358100372,7.514108178,7.533924535,7.589358178,8.403292565,8.864891078,0.374012275495134,0.321245239883718,14.4497541312093
"GSM672634",8.43369145,12.53718401,12.87794796,8.874475465,7.730020074,7.977637546,7.74390632,8.30718513,8.990778439,9.017775465,0.287730461884262,0.560027143085852,15.6028732204084
"GSM672635",8.548211524,12.80924201,13.06929071,8.702976208,7.651796654,7.88012342,7.6393,8.111744238,8.766517844,8.9752171,0.285112744959098,0.567719438975769,15.6400206470411
"GSM672636",8.979176952,13.36438513,12.75389331,8.986883643,8.411830112,8.659134201,8.410509294,8.873246097,9.586639777,9.853855762,0.183648139754601,0.901549402205098,17.2521432492322
