"","cggR","eno","gapA","pgk","pgm","tpi","pval","z","inv_cof_var"
"GSM672595",12.5312223,12.96507435,14.12791078,13.07957993,13.23109554,12.98202045,0.314069234109904,0.484348630926076,24.7410242576953
"GSM672596",12.9331223,12.78510967,14.12791078,12.90826059,12.92503755,12.92314349,0.269229100964024,0.615146157305235,25.8691959923891
"GSM672598",14.99943048,15.74199963,16.09017491,16.06489257,15.84610186,16.15247212,0.0298810133836166,1.88254521547396,36.8009302046903
"GSM672599",14.89277844,15.74199963,16.10096283,15.86194312,15.82038253,15.81157807,0.0234010476047932,1.98808676185391,37.7112607954735
"GSM672600",14.65737807,15.62225242,16.34446022,16.0724342,16.04441561,16.3629342,0.318230341006594,0.472653114113658,24.6401465740291
"GSM672602",14.79444089,15.75899182,16.34839145,16.22155539,16.20750632,16.37624089,0.256429064202414,0.654393799059681,26.2077198261839
"GSM672603",15.1469052,15.53070669,16.20750632,16.02135874,15.75899182,15.87744201,0.00692300678975288,2.46123371897469,41.7923091008722
"GSM672604",15.28884089,15.90234647,16.252029,16.252029,15.91765762,16.07966952,0.00267272649832279,2.78544365074891,44.5887265199171
"GSM672605",14.83115242,15.60525576,16.04441561,15.82038253,15.68968439,15.82913494,0.027837047044583,1.91357803303115,37.0685984747647
"GSM672606",14.10748848,14.60165465,15.76791375,14.92148885,15.12831859,15.11127918,0.236164964519313,0.718693272996348,26.7623239617448
"GSM672607",14.22263903,14.63629591,15.58944684,15.03266691,15.09480297,15.12831859,0.0937082224600712,1.31826054189988,31.9337890845918
"GSM672608",14.94641301,16.26861673,16.39080818,16.33439926,16.40455576,16.37624089,0.196463129926787,0.854322615363644,27.9321717003811
"GSM672609",14.91167472,16.3629342,16.4191316,16.42565242,16.39776617,16.45100446,0.250505980213043,0.672898352454034,26.3673276924834
"GSM672610",14.54011041,14.78475056,15.92557398,15.18381933,15.26197249,15.11127918,0.0930370890068243,1.3222822593725,31.9684777220847
"GSM672611",14.52939071,14.8357223,16.05140074,15.17188364,15.36026208,15.1469052,0.153208027545628,1.02277116392848,29.3850958993461
"GSM672612",13.28452677,13.12422305,13.64514461,13.17966803,13.56203011,13.18522751,1.63166883312305e-06,4.65350873871034,60.70140302954
"GSM672613",13.43237621,13.17966803,13.96283048,13.17256729,13.41777658,13.24083643,0.00231820810159844,2.83126588209493,44.9839583538535
"GSM672614",13.32938104,13.00465167,13.6246145,13.17780409,13.50188959,13.29628699,2.35576063573523e-06,4.57723941806285,60.0435550246063
"GSM672615",12.85165985,13.03394164,14.02859517,13.17780409,13.54539665,13.27671636,0.0959885330118109,1.30475271191916,31.8172796030813
"GSM672617",14.42564907,13.48460855,15.25885446,13.69168178,13.86138401,13.64061375,0.482304589826759,0.0443703700509104,20.9460668793717
"GSM672618",13.0950171,13.5191461,14.33589145,13.87172416,14.05925799,13.91831896,0.0989527482435292,1.28754183882819,31.6688301553881
"GSM672619",13.02196208,13.80583271,14.52209926,13.88486654,13.93621227,13.91315353,0.168349307772035,0.960708779605077,28.8497873983397
"GSM672620",13.41578699,13.36243383,14.64045799,13.91831896,13.97082379,13.92820372,0.138467127292886,1.0872320846773,29.9410925668239
"GSM672621",13.06224758,13.25970781,14.22564647,13.79859108,13.91054387,13.88999294,0.110071023925749,1.22615049211379,31.139309574722
"GSM672622",13.72863755,13.18357249,14.42564907,13.91563829,13.97367398,13.87665688,0.0543266723784229,1.6042754739919,34.4007620543343
"GSM672623",13.66069851,12.94463234,14.00869331,13.68668848,13.64935428,13.54336506,0.0170545267707721,2.11878012058101,38.8385340498674
"GSM672633",14.50400372,14.79653922,16.11630929,15.42020595,15.49114684,15.45858439,0.234941396193292,0.722669769771989,26.7966225558358
"GSM672635",14.4894368,14.88755316,16.19371115,15.09480297,15.30189331,15.190129,0.23611292234594,0.718862174150647,26.7637807898173
"GSM672636",14.01388922,15.0717881,16.06489257,15.4277855,15.48368625,15.47494981,0.424550383460334,0.190265908244256,22.2044639375128
"GSM672639",14.5076632,15.05480706,16.22890372,15.17188364,15.37522491,15.3676855,0.219977408475893,0.772269515030407,27.2244366911455
"GSM672642",13.2291658,13.87933941,14.65737807,14.0441645,14.5149171,14.18383309,0.206074580988384,0.820117438383671,27.6371407856746
"GSM672644",13.29341561,13.63389182,14.69906245,14.21958662,14.5439829,14.45389294,0.288710693194972,0.557155213544146,25.3690050068973
"GSM672645",14.13691599,14.93051896,15.94857249,15.31526691,15.35256022,15.32970632,0.29517588398074,0.538326342690468,25.2065997957181
"GSM672651",14.46736729,15.64881152,16.35571933,15.87744201,15.99737658,15.92557398,0.34009439628335,0.412205518611741,24.1187661583339
"GSM672652",14.62074498,15.49114684,16.31574647,15.84610186,16.16017398,16.30243048,0.33836896784787,0.416918617085429,24.1594181846225
"GSM672653",14.69494015,15.52257435,16.30918699,15.79347546,15.86194312,15.76791375,0.159506230799404,0.996489303697797,29.1584062006321
"GSM672658",14.34591822,15.26837881,16.12363346,15.53070669,15.75092528,15.57326431,0.27940275797933,0.584616640684797,25.6058688586236
"GSM672659",14.961471,15.19678141,16.30918699,15.80265167,15.98922119,15.75092528,0.108635255254992,1.23381859028151,31.2054494464089
"GSM672660",13.87172416,14.72338401,16.10869665,15.05480706,15.15962193,15.07704164,0.491470646795148,0.021381546964814,20.7477807103777
"GSM672661",13.69645948,14.68241227,15.72398736,15.05480706,15.12831859,15.06617509,0.43102202754031,0.173772757387259,22.0622050804227
