"","glvR","ccpA","malA","malP","manR","pval","z","inv_cof_var"
"GSM672642",9.559210037,13.22356468,9.147713011,9.021356134,9.464062082,2.55197313975417e-08,5.44765071255895,36.4770807072416
"GSM672643",9.560557621,13.4302974,8.972713011,8.419263569,9.520383643,0.075558276302445,1.43559874310291,16.960314886543
"GSM672644",9.582884758,13.19163736,9.222212268,8.797086059,10.21397621,0.117215067883155,1.1890242213174,15.7608445816529
"GSM672646",9.600304647,12.19816729,9.458850929,8.840472491,8.70936803,0.0139606071524037,2.19839156457488,20.6709469969234
"GSM672647",9.94515539,12.37289182,9.927572862,9.169653903,8.861024164,0.065099644117451,1.51331648124322,17.3383755166012
"GSM672649",9.287444981,12.16173569,8.985678439,7.975606691,8.241036059,0.204133334267375,0.826947765307209,13.9995111156516
"GSM672650",9.25350855,12.00036022,8.868964684,7.846815613,8.077768773,0.274679840099717,0.598719906603238,12.8892887890228
"GSM672651",9.968082528,11.99971729,9.826052045,8.519863197,9.707454275,0.188114140239126,0.884867162589385,14.2812620306043
"GSM672652",9.862908178,11.98320223,9.779072862,8.721894796,9.480399628,0.0451758033523118,1.69354589500074,18.2151077446696
"GSM672653",10.01376952,11.90440112,9.75460855,8.511865613,9.82355539,0.209453025737403,0.808320591765226,13.9088985845358
"GSM672656",10.36854833,12.94628513,10.40642565,8.766517844,10.10077323,0.281376609863814,0.578756895417626,12.7921780294036
"GSM672657",9.2402171,13.05331524,8.864891078,7.636548699,8.529390335,0.301893772003434,0.518961565073094,12.5013015730691
"GSM672658",9.531951673,12.71058885,9.02275948,7.548252045,8.421766914,0.488082354433865,0.0298775518709043,10.1221354443689
"GSM672668",9.693599628,12.3842197,8.886296654,7.72549145,8.477389963,0.449495251258811,0.126936695777177,10.5942830129442
"GSM672669",9.748265056,12.38852714,8.944990335,7.876136059,8.639731041,0.387637560241362,0.285481702779923,11.3655306930018
"GSM672670",9.71651487,12.26289851,9.034102602,7.975106506,8.67227658,0.324764179512794,0.454417500040889,12.1873247323054
"GSM672671",9.654058736,12.0407881,9.156086245,7.997119703,8.571306691,0.314715080361955,0.482529058771004,12.3240743837973
"GSM672672",9.777935316,12.23151078,9.181440892,7.796198141,8.422989219,0.485650519070693,0.0359765739469635,10.1518043485855
"GSM672673",9.793090335,12.31870483,9.300388104,8.874475465,10.02762937,0.040814510688743,1.74131132941018,18.447464355399
"GSM672677",11.62372862,12.10021896,11.6522461,10.61841543,9.421905204,0.475725825692607,0.0608839253771889,10.2729670226431
"GSM672678",11.35999851,12.10981524,11.15801487,10.26107435,9.485410037,0.322083316336654,0.461881038057263,12.2236313715933
"GSM672679",10.94499814,11.92684275,10.71228216,9.846188848,9.249828996,0.26768561905821,0.619827687353532,12.991968319855
"GSM672680",10.74508104,11.79491301,10.35757398,9.48922119,9.03881487,0.289719503767914,0.554204341373105,12.6727412795223
"GSM672681",10.78305911,11.68854647,10.17872528,9.267866914,8.861024164,0.398310030480239,0.257723820391903,11.2305015123307
"GSM672682",10.28889442,11.52813271,9.75460855,8.61233197,8.589718216,0.419117702901372,0.204151122101689,10.9698952652349
"GSM672683",9.324801487,13.0917539,8.402105204,7.474165056,8.665937918,0.413708703425682,0.21801502228442,11.03733668805
"GSM672684",9.140726766,12.97873309,8.416739033,7.507008178,8.599350558,0.310228458408621,0.495202881508512,12.3857266336445
"GSM672685",9.195828996,13.03570706,8.217745725,7.424458364,8.692872119,0.406577333883155,0.236358278790224,11.1265680949057
"GSM672686",9.194586989,13.09337732,8.271161338,7.465363941,8.53189368,0.361712098926817,0.353886162155967,11.6982865558115
"GSM672687",9.219752416,13.18166543,8.428883643,7.522989591,8.714569888,0.346312200739057,0.395296067225696,11.8997264738524
"GSM672688",9.180263569,13.12063532,8.404481041,7.369321561,8.700556506,0.418107014634298,0.20673857549104,10.9824820219012
"GSM672692",9.410388104,12.40656468,8.555434201,7.491115242,8.276495167,0.445142725605123,0.137943018896601,10.6478236531213
"GSM672693",9.465282156,12.49265874,8.676886989,7.610263941,8.275239405,0.419340819582561,0.203580107940875,10.9671175470644
"GSM672694",9.592352045,12.42567472,8.637964684,7.715651301,8.480357063,0.403458277126974,0.244405794786299,11.1657155153103
"GSM672695",10.07542639,12.88276766,9.924944238,8.980534201,9.088011896,0.0769880357568306,1.42562688510932,16.9118064378141
"GSM672696",10.20527881,12.79665613,9.869347584,8.589718216,9.364909294,0.232331204969779,0.731191142005947,13.533699703691
"GSM672697",9.926298885,12.67413941,9.541005576,8.040285502,8.837883643,0.421244644974436,0.198710397810173,10.9434286734009
"GSM672699",9.000723048,10.56404164,7.842127695,7.209154275,8.114809665,0.431424598010326,0.172748402462036,10.8171356474618
