"","arfM","fnr","narG","narH","narI","narJ","pval","z","inv_cof_var"
"GSM672684",7.251828625,9.437442007,7.237405204,7.481363197,7.182083086,7.556651301,0.444377138257917,0.139880667099362,44.2446592379801
"GSM672685",7.330529368,9.769912639,7.247768401,7.347134758,7.135171747,7.510571747,0.318689396842921,0.471366837283941,52.9317516383083
"GSM672686",7.284734201,9.309149814,7.312733086,7.475075093,7.290454647,7.627140892,0.369798116563052,0.332388086686843,49.2896049766636
"GSM672687",7.286697026,9.457593309,7.302495911,7.447595539,7.243707063,7.651796654,0.444492464086415,0.139588752046624,44.2370091660789
"GSM672688",7.141876952,9.561814498,7.322290706,7.455511152,7.212406691,7.485827881,0.372997346162339,0.323925163773384,49.0678213852542
"GSM672692",7.101850929,9.367478067,7.127989963,7.22019777,7.156690706,7.222447955,0.000239405769848912,3.49233822305924,132.100839001333
"GSM672693",7.20119777,10.81364758,7.169377323,7.245731599,7.151679554,7.325943494,0.00818529997082069,2.40054673993342,103.488805230741
"GSM672694",7.137790335,10.77706283,7.089604089,7.21709368,7.117533829,7.250825651,0.00722491572207496,2.44588192443229,104.676881754442
"GSM672701",7.17327026,8.913276952,7.096736803,7.213489591,7.131196654,7.21709368,0.000114955759008785,3.68365705383484,137.114635987026
"GSM672702",7.147453903,8.866158364,7.022507807,7.126487361,7.089604089,7.179195167,0.00152977434203555,2.96169079388725,118.194427018454
"GSM672703",7.196527138,9.047397026,7.03734461,7.156690706,7.047502974,7.234244238,0.0630905531645632,1.52933625460904,80.6574274331896
"GSM672704",7.270249071,9.281081041,7.284734201,7.405287361,7.11902119,7.441605204,0.261306640149337,0.639322306162064,57.333276674699
"GSM672705",7.260295911,9.323555762,7.169377323,7.332467658,7.081839777,7.436165428,0.323424384125656,0.458144307765102,52.5852354152265
"GSM672706",7.264314126,9.153733829,7.162046097,7.397369331,7.249794424,7.547315613,0.378626044389905,0.309091284483217,48.6790773239945
"GSM672712",7.225685502,8.697910409,7.103652416,7.270249071,7.107437175,7.201818401,0.0152001183415587,2.16483613227284,97.311655133213
"GSM672716",7.05796171,9.556754275,7.10982342,7.242649442,7.103652416,7.337226766,0.208862581909962,0.81037416107671,61.8159471525161
"GSM672717",7.151679554,9.374982156,7.068984758,7.258772305,7.166906691,7.337226766,0.134457905416897,1.10556277168096,69.5518075487907
"GSM672718",7.139126022,9.309149814,7.079829368,7.235277695,7.097653903,7.293344238,0.0766423821292076,1.42802464779292,78.002404784289
"GSM672722",7.733788104,10.39292119,7.792295911,7.775827509,7.584669703,7.839541636,0.068700191071214,1.48554171315117,79.5097257717217
"GSM672724",7.861327881,10.46318996,7.751708178,7.8573171,7.667759108,7.994171375,0.192541130363674,0.868570198488125,63.3410616212266
"GSM672738",7.448477695,10.24267955,7.535639777,7.701094424,7.406658364,7.771924164,0.391987427004807,0.274142838520638,47.7632008662957
"GSM672758",7.103652416,9.414117472,7.396921933,7.365978625,7.274337546,7.491115242,0.360093906375126,0.358207796953876,49.9662492201158
"GSM672759",7.271315613,9.499448699,7.650009665,7.535639777,7.395085502,7.610263941,0.393838051086646,0.269329539917989,47.6370611552836
"GSM672760",7.122063197,9.883156134,7.372210409,7.374476952,7.215920818,7.510571747,0.384786923522201,0.292932368501873,48.2556086883621
"GSM672762",7.235277695,10.29061264,7.198866171,7.374932714,7.182719331,7.533066543,0.370298871102961,0.33106188352639,49.2548498332136
"GSM672763",7.165705948,9.996260595,7.333413755,7.418300743,7.210253903,7.589801115,0.460567339575827,0.0990045227030743,43.173438549823
"GSM672764",7.183873606,10.03135093,7.34665948,7.445059851,7.375808178,7.54200855,0.281306969259565,0.578963297439945,55.7514782978036
"GSM672765",7.122063197,9.923634944,7.435354647,7.442474721,7.35901487,7.612225279,0.485660953158887,0.0359504026473277,41.5210107371011
"GSM672768",7.272425279,9.508453903,7.05993829,7.321295167,7.129661338,7.413969517,0.353881801938336,0.374861324286756,50.4026798882537
"GSM672769",7.246704089,9.457593309,7.182719331,7.362248141,7.001856877,7.395965799,0.418941426451358,0.204602306879943,45.9407869067803
"GSM672770",7.166906691,9.984714126,7.265292565,7.37402119,7.326832714,7.560428996,0.356631038684856,0.367478565546428,50.2092036195127
"GSM672771",7.384700743,11.04701784,7.239541264,7.433513383,7.287647584,7.556651301,0.239685699025205,0.70731395046771,59.1150997178882
"GSM672772",7.232099628,11.12529665,7.321295167,7.438816357,7.189788476,7.435354647,0.183680980568892,0.901425814561721,64.202092331926
"GSM672776",7.459615613,10.1254855,7.263282528,7.389852788,7.146725093,7.601456134,0.478306253921715,0.054404984297118,42.0046407356373
"GSM672778",7.265292565,9.197054275,7.241677695,7.398698141,7.11902119,7.45382974,0.292534810372793,0.54599464130095,54.8874852026026
"GSM672779",7.378700743,9.250950186,7.182719331,7.362248141,7.215920818,7.548252045,0.356787552106467,0.367058872558462,50.1982049351205
"GSM672780",7.193237918,9.348395911,7.237896283,7.437914498,7.333413755,7.564085874,0.377271921350532,0.31265361115779,48.7724334388663
"GSM672781",7.312226022,9.835013011,7.412204089,7.510571747,7.250825651,7.605464312,0.337944982837567,0.418078169239128,51.5352421461086
"GSM672784",7.306538662,10.16753123,7.232099628,7.390745353,7.17857881,7.528486617,0.316155193931222,0.478477495753121,53.1180971112267
"GSM672788",7.047502974,9.857714498,7.116044981,7.261334201,7.026938848,7.363712268,0.367826190050408,0.337616269504288,49.4266173509526
"GSM672789",7.120526022,10.55808699,7.357623048,7.489437175,7.313760595,7.572286989,0.471919405256084,0.0704458353413916,42.4250153024674
"GSM672790",7.243707063,11.02948476,7.327780297,7.386197398,7.279125651,7.55290223,0.222497676538224,0.763785040370206,60.5950093492826
