"","yodF","tnrA","yoyD","yttA","yvgT","ywdI","ywdJ","ywdK","ywlF","ywlG","yycB","yycC","pval","z","inv_cof_var"
"GSM672609",11.45977212,11.13919257,12.13786729,12.49420967,9.908577323,11.41400037,10.5722368,10.85192937,14.65737807,13.98711561,11.96296022,12.50635242,0.475225491960672,0.0621404510804733,8.50415638366141
"GSM672610",10.59240297,10.49409517,10.21518253,11.08324498,9.173247955,11.65592045,11.11935985,11.93608848,13.8692948,13.36832156,12.11672937,12.22305651,0.466219731240375,0.0847760145682452,8.54376978580786
"GSM672624",12.78051896,10.24510112,13.20863941,11.78142621,9.120642751,11.81170372,10.27928476,10.25257509,13.32938104,12.34349182,12.37136022,12.79665613,0.446902341399106,0.133491504208769,8.62902440219652
"GSM672625",12.77412974,10.31773494,13.47196803,11.82046914,9.173247955,11.63251747,10.31586078,10.25436375,13.2749487,12.31169033,12.11264312,12.73823494,0.444612189728222,0.139285712681572,8.63916456550535
"GSM672626",12.7521803,10.33356431,13.60378104,12.04472491,9.295815242,11.37569814,10.18109182,10.19937509,13.18883978,12.43023309,12.24467361,12.89544572,0.484495063495291,0.0388749016873757,8.4634404737277
"GSM672627",12.25706059,10.14274461,13.08717584,12.31454387,8.979176952,11.62612305,10.28171859,10.56871487,12.95128178,12.17600892,12.26726022,12.71656803,0.330283317331203,0.439130977016487,9.1639092242466
"GSM672628",12.0407881,10.40029442,12.21777212,12.50487918,8.823742007,11.82046914,10.19081859,11.34699628,13.14597528,12.1574803,12.13522082,12.66046617,0.256621826984751,0.653795363572547,9.53958295888808
"GSM672634",12.75841524,10.31406059,13.19072825,11.63374164,9.042049814,11.2284513,10.21035353,10.629771,13.12244907,12.28023792,12.12819442,12.67568848,0.39518555421642,0.265828739435113,8.86062138103038
"GSM672635",12.96003271,9.970596283,13.41130855,11.20118141,9.321043123,11.30663699,10.39695242,11.20329851,12.86008625,12.28742007,12.43023309,12.56009368,0.257495715739249,0.651085290213115,9.53484019090302
"GSM672636",12.90673086,10.5828145,13.54925019,11.59519071,9.11824461,11.48629777,10.41887398,10.39021747,13.12992751,12.32301375,12.10715093,12.60816022,0.428263247427431,0.180797539020845,8.71181240002908
"GSM672637",13.07616431,10.17985465,13.44308773,11.10790929,9.311478439,11.50178625,10.6261316,10.3979829,13.10414349,12.48356283,12.21031896,12.42567472,0.36480364890699,0.345647960367846,9.00030912945036
"GSM672638",12.97873309,10.41393086,13.30973011,11.39101301,9.267866914,11.44888067,10.35867472,10.23660632,13.28071041,12.49802138,12.23849145,12.65290223,0.437983643329852,0.156083395195293,8.66856137521605
"GSM672639",13.2786855,10.36110929,13.55558736,10.35158587,10.23297993,11.91238699,11.16154387,11.66844684,13.45520892,12.77089368,11.99639963,12.12079071,0.126146231874516,1.1447989177972,10.3988644722175
"GSM672640",13.01324461,10.26853903,13.37237472,11.4039948,9.202943866,11.43157268,10.71228216,10.41760929,13.1633513,12.50189554,12.32584796,12.4688316,0.35925438205785,0.360452510595565,9.02621785498683
"GSM672641",12.99767955,10.35518699,13.2749487,11.66844684,9.199481413,11.36724349,10.63444684,10.54498996,13.09848885,12.22879703,12.16032193,12.53873903,0.301348017023982,0.520527402240747,9.30635716142447
"GSM672642",13.05679517,10.09075093,12.53342639,11.65346208,8.548211524,11.42249628,10.73348922,11.25813941,12.78984721,12.26584201,12.52544535,13.02025465,0.382006537472766,0.300215116956697,8.92079931306454
"GSM672643",12.4776539,10.21518253,12.65748922,11.28091301,9.406495911,11.81170372,10.94041004,11.30602491,12.95488401,12.48971413,12.16032193,12.24872342,0.0330345050426901,1.8379551795228,11.6119236373183
"GSM672644",12.60212045,9.839937175,12.9397052,11.37569814,8.942527509,11.60519591,11.09961338,11.75320818,12.97456059,12.54641822,12.42003234,12.56927323,0.153184766670331,1.02286953945378,10.1854817790765
"GSM672645",13.13574721,10.61326914,13.47612974,10.39144312,9.866851301,12.03546171,10.96359368,11.58383606,13.31340074,12.76756729,11.83279703,12.50329219,0.183649957942288,0.901542559580717,9.97315331429045
"GSM672647",12.11672937,9.661409665,12.52395651,11.28217807,8.60055539,11.13919257,9.941936245,10.00747918,12.57725279,11.95744758,11.58623978,12.10981524,0.372702020352626,0.324705408751558,8.96365858529241
"GSM672653",12.91991375,10.04106729,11.82570149,10.81730223,9.166081041,11.11823309,10.1611948,11.42984089,12.99076729,12.55874387,12.88276766,12.988971,0.365036895330361,0.345027375042745,8.99922307316276
"GSM672655",12.61176375,10.72760855,13.00295056,11.27618439,8.620707063,11.7975223,10.56404164,10.43461636,12.9397052,12.42432045,12.17742788,12.65290223,0.444655191135237,0.139176874299712,8.63897409273042
"GSM672656",12.88516989,10.57109665,12.99076729,11.42471599,9.82355539,12.24872342,11.14584424,10.63955428,13.44091413,13.30005502,12.70161301,12.60530818,0.145122726739019,1.05758331301484,10.2462326710451
"GSM672657",11.8697881,10.10964312,12.15306543,11.38389442,10.07193197,11.24960967,10.68432825,10.71009108,13.08627212,12.29913829,12.10981524,12.53577732,0.00618242490338341,2.50155710978546,12.7732611999045
"GSM672658",11.95681487,9.61657658,12.36369665,12.07855874,9.42890316,11.10905242,10.46929405,10.5722368,13.12800297,12.28023792,12.39445725,12.90673086,0.156595134235016,1.00855047613916,10.1604226806472
"GSM672659",11.59762937,9.801787361,12.19956989,11.59652825,9.464062082,11.284429,10.63955428,11.10436394,13.26519851,12.31454387,12.39445725,12.92588699,0.0839975517806511,1.37867460227141,10.8081589678618
"GSM672683",12.49265874,9.499448699,12.98284442,11.45513903,10.36854833,11.50759814,10.54045279,10.91817807,12.99432751,12.42567472,12.03948625,12.6482026,0.0102422142443209,2.31735450465495,12.4508971519584
"GSM672684",12.52685316,9.791836059,13.00986097,11.44420669,10.37205093,11.70353494,10.38428922,10.85690223,12.78510967,12.32160558,11.87367249,12.30598216,0.00660171557265426,2.47823456551367,12.732445545997
"GSM672685",12.30338885,9.853855762,12.70161301,11.31787472,10.63199814,11.47432714,10.37802602,11.05172937,12.58170112,12.25424572,11.62494535,12.34942305,0.000180054568693597,3.56771407965867,14.6390908189303
"GSM672686",12.32441041,9.490528996,12.44507026,11.24836134,10.71119851,11.90698848,10.88007955,10.9565684,13.21045353,12.76934647,11.95198364,12.37427993,0.000397186076195918,3.35474834049782,14.2663898047342
"GSM672687",12.51953383,9.526674721,12.93810186,11.27385204,10.53120149,11.56050372,10.66670855,10.90279405,13.19629331,12.80753569,12.12529108,12.40349591,0.0105401767975245,2.30654222462726,12.4319751049288
"GSM672688",12.5494855,9.647648327,12.84668736,11.23406803,10.81124015,11.38151115,10.63199814,10.83943569,12.9836684,12.59922416,12.02602751,12.39590892,0.00220798260838075,2.84681041801542,13.3774722746008
"GSM672694",12.03685651,9.880541264,12.3683684,11.91770855,8.450677695,11.07026989,10.2065,10.16996877,12.46816375,12.02602751,12.14881636,12.51800186,0.404060946646394,0.242849621843887,8.82040674150513
"GSM672695",12.34049442,9.323555762,10.85317881,11.69411097,8.736597398,11.31089517,11.21184758,10.90858253,12.60599777,12.55260149,11.96296022,12.22177807,0.132384583499978,1.11518963450579,10.3470467011722
"GSM672696",11.36849442,9.933119331,11.71601041,11.7929974,9.150761152,12.00036022,10.89814201,10.9612197,13.18883978,12.46680651,11.37447026,11.77196952,0.050276730876816,1.64217635331304,11.269300606149
"GSM672697",12.13388587,10.53548253,12.62544387,12.03001301,9.136124535,11.42728327,10.29357361,10.48458067,13.38884164,12.6418026,11.15429703,11.70866914,0.279781336814889,0.583491208509424,9.41654706589667
"GSM672704",13.26346171,10.0326223,13.91831896,11.6386974,10.01624201,11.50890743,10.56816431,10.18850149,13.49333755,12.719671,11.99510037,12.47178253,0.373684802510608,0.322109680245502,8.95911592669109
"GSM672705",13.39298996,10.11346208,14.08497249,11.61378959,10.21457937,11.55682342,10.58034275,10.13052454,13.34303457,12.70161301,11.97911264,12.48208364,0.368132626050707,0.336803211309296,8.98483036297168
"GSM672706",13.13379517,9.753242379,13.95716766,11.61762454,9.897079554,12.20380818,11.30132639,10.75177528,12.93638178,12.68201636,11.73722937,12.38852714,0.119866507604524,1.17565438077591,10.4528631219109
"GSM672707",11.04281654,9.648879926,11.74700781,11.88511933,9.645053532,12.89221561,11.55055688,11.05971004,13.49333755,13.28452677,10.90858253,11.49708959,0.136531425635481,1.09603638645749,10.3135275304319
"GSM672708",11.31439294,9.630962082,12.26996654,11.69219926,9.656692193,12.92992751,11.57041264,11.09029926,13.69645948,13.55457398,10.85317881,11.48142862,0.210668093943989,0.804105258541279,9.80263301811029
"GSM672709",11.07978216,9.352210781,11.75077844,11.8077974,9.402522677,12.79327175,11.41400037,10.89157584,13.19793569,13.30005502,10.67624981,11.47251487,0.176305942059293,0.929535021887336,10.0221415653238
"GSM672716",12.6836,10.28889442,13.17423792,11.81170372,9.474102974,11.43391264,10.44165911,10.00507361,12.9007197,12.1883777,12.36678959,12.58472156,0.280064022233796,0.582651328286415,9.41507723224102
"GSM672717",12.54641822,10.47153086,12.94794461,11.90059108,9.310882528,11.2785487,10.43080074,10.15378364,13.10414349,12.18015093,12.39590892,12.72426729,0.304678458435839,0.5109916311528,9.2896690707972
"GSM672718",12.87794796,10.54986357,13.23499331,11.76822193,9.368698513,11.25331078,10.46988104,10.10699257,13.16499442,12.14881636,12.42288327,12.97208327,0.399700364843016,0.254122748068145,8.84013529311863
"GSM672719",10.63703123,9.743322305,10.99896283,10.47503271,8.155705948,12.57254721,11.35399554,10.71350892,12.59049108,11.86596059,12.29166617,12.60364461,0.48001646046779,0.0501122713082231,8.48310644944328
"GSM672721",10.67870929,9.500806691,10.9612197,10.19443086,8.196510409,12.5479145,11.40038773,10.71943829,12.6418026,11.96554164,12.23710446,12.59350818,0.499075392591421,0.00231764914814985,8.39946339858275
"GSM672726",9.358621933,9.890813011,9.604932714,11.47787249,10.30216766,12.05679591,11.47656617,11.77196952,13.1136368,12.70631673,12.14178848,12.31318253,0.295175341730414,0.538327913842381,9.3375089736985
"GSM672758",13.22356468,10.63703123,13.49133829,11.39341227,9.790525651,11.61378959,10.55808699,10.31773494,13.18883978,12.44072714,12.34942305,12.53408699,0.277733141270515,0.589588918906064,9.42721837320674
