"","ahpC","perR","ahpF","btr","fur","efeB","efeO","efeU","fbpB","fecC","fecD","fecE","fecF","fhuB","fhuC","fhuD","fhuG","fpbN","fpbO","fpbP","fpbQ","hemA","hemB","hemC","hemD","hemL","hemX","hmoA","katA","mrgA","spx","ycgT","yfhA","yfhC","yfiY","yfiZ","yfkM","yfmB","yhfQ","yjbC","yoaJ","yusU","yusV","ywiE","ywjA","ywjB","yxeB"
"fecD",0.350893533403905,0.147023353154872,0.345430627986516,0.55758261668192,0.538917250885569,0.584442775747165,0.63585078003211,0.72981817734454,0.297028285056302,0.843844014537853,1,0.719944394204511,0.712147542056518,0.618534483123531,0.601142263664313,0.557517768881358,0.612474143299203,0.731864948208933,0.732526899540647,0.765957980951091,0.743240598813007,0.122973486435028,0.263456990466243,0.242705412007914,0.310512888407038,0.187583928951281,0.249557802809306,0.446139876799579,0.0921983610343174,-0.220449059871376,-0.252049109859912,0.450605933353621,0.813746813604555,0.409314907647025,0.598341581589474,0.837371460320661,-0.282191030035282,-0.433871995483703,0.689817132669556,-0.178704783478721,0.639163587423557,0.500392348470885,0.480317039141676,-0.273264796824209,0.499731250196829,0.490261112372674,0.590873403889465
"fecE",0.525802054447202,0.372958971400805,0.549537923490194,0.535811255713259,0.495796007428574,0.524043776708996,0.576636991782304,0.667608182867874,0.293552108186278,0.69033968159377,0.719944394204511,1,0.943485127698714,0.585537968528987,0.565679699810693,0.511768094093735,0.584286844174643,0.720776479072338,0.704183906926613,0.713931069763136,0.674378787511042,0.202125630808407,0.319653171521491,0.339689650617712,0.385720322848357,0.255026152581212,0.277905484252343,0.546773692576359,0.38178420292455,-0.0131874582926286,0.0346263475528654,0.498037918579752,0.651507508111171,0.272865873689233,0.3640095870738,0.660114400182832,-0.0686219012072143,-0.420932010698855,0.552043580300113,-0.0109544107243066,0.586103609570534,0.429005752023333,0.335808224349942,-0.00283834811142314,0.535484647665477,0.49859147948438,0.574144232789399
"fecF",0.543415363675464,0.400709860401714,0.564362021821939,0.494037721640967,0.50774700138847,0.577291532820532,0.607569689316591,0.682420021141411,0.271653471537054,0.710763541144697,0.712147542056518,0.943485127698714,1,0.534271796431743,0.550346350269913,0.495627632171464,0.538454280634928,0.687741697151138,0.67572880885107,0.714779102471245,0.686343236798325,0.258172050453739,0.389201086553839,0.380278379235422,0.429641442006613,0.329416851709405,0.29775244281971,0.529780616677726,0.357877523263832,-0.0208913087137755,0.024252674331222,0.465647477143637,0.692244704368174,0.305232289147451,0.401406272793024,0.690547879030591,-0.103246474239191,-0.422042470473568,0.535611025220178,-0.064966929320281,0.579130088227631,0.417360662446524,0.344534365826899,-0.0265361438394518,0.497555065377396,0.485318605206712,0.577959570970792
"fhuB",0.327281666386083,0.386026295356309,0.327944244260351,0.858502108501941,0.338259122710983,0.737290798758699,0.753748031041883,0.699136529573835,0.748491570038068,0.60969795982949,0.618534483123531,0.585537968528987,0.534271796431743,1,0.955852360860538,0.8965096800593,0.987497880350824,0.788598224165104,0.751707746495025,0.729473480898766,0.671313533314929,0.308345409066463,0.199897271424085,0.332807194616288,0.275082859360779,0.184091208327193,0.368542696364534,0.750589070001749,0.285658118318319,0.132730366846464,0.332981953414552,0.888921155365457,0.705309692293252,0.615311232275556,0.648176911066175,0.700272589800843,-0.115807345178822,-0.369103833329111,0.861493847322174,0.13034453110194,0.840298639796148,0.795593568966843,0.68500176447739,-0.14263463265378,0.80223919696459,0.781000741454047,0.85256099017785
"fhuC",0.297640668779392,0.358652662995265,0.314771960154009,0.895992306089287,0.261643254806716,0.761052946338567,0.776169458156561,0.699203233313919,0.791940996996873,0.666963652096225,0.601142263664313,0.565679699810693,0.550346350269913,0.955852360860538,1,0.927872727481937,0.974172495463359,0.739057361578085,0.710226020506166,0.7140602136428,0.698444713239969,0.309790077595943,0.167875892877729,0.255771648026255,0.21997067343931,0.151856917226225,0.287509264374052,0.748075274987954,0.232841777682274,0.076451945083132,0.353590567318631,0.902613922349694,0.729239064645317,0.679643041512328,0.701825885585472,0.707992608332666,-0.0884128700141267,-0.308235106690011,0.888460245430677,0.132888441860694,0.861516702376205,0.788162442162971,0.713429712863672,-0.134535396976367,0.791912644492869,0.812512472332618,0.89276284348773
"fhuD",0.283199103772092,0.203119559637426,0.287093737424493,0.915694923777689,0.207054004973848,0.800378714651998,0.839960368515326,0.765302308656062,0.793428386958256,0.681581074721476,0.557517768881358,0.511768094093735,0.495627632171464,0.8965096800593,0.927872727481937,1,0.907204257187609,0.717370996418426,0.691521905626855,0.700242578242837,0.699732902219428,0.269404335693671,0.10179426538267,0.168276401154548,0.157599063486908,0.110435314415396,0.212861822073039,0.789508982868149,0.239917890289378,0.0801018106108481,0.338408838846127,0.908456922140336,0.710235121156483,0.718850746813128,0.762949449925812,0.706738039346189,-0.130566588459946,-0.169015828788552,0.920010035181283,0.138158742669721,0.75771745761035,0.789202036074651,0.820299221121987,-0.120441787616766,0.79605141382625,0.778694646917877,0.949583910780305
"fhuG",0.325064007078493,0.398340556794062,0.322553177089767,0.874057870496573,0.315523815537533,0.75753491177672,0.77168678000582,0.703901162486987,0.760475665326003,0.61985877805448,0.612474143299203,0.584286844174643,0.538454280634928,0.987497880350824,0.974172495463359,0.907204257187609,1,0.792307794407592,0.759881742431019,0.737548561277408,0.69307917496939,0.329705617459514,0.21191888523331,0.335910221625207,0.281284431309512,0.194102277060202,0.371555262597352,0.737043506054216,0.282715230654102,0.117517386205166,0.349438103730153,0.888095651225819,0.709736684697433,0.608865015329659,0.646868483210069,0.697785246368313,-0.104522310825195,-0.377905273869097,0.863544212656562,0.150374446982722,0.848594552815788,0.800005911014186,0.671928556552633,-0.128593187825556,0.806578648043924,0.791802271675518,0.864317582407781
"fpbN",0.445977068593518,0.419909090507363,0.403910995942599,0.677432879521007,0.53321101484943,0.762254340404858,0.784611822903925,0.804656974908032,0.426848114572776,0.682211652044654,0.731864948208933,0.720776479072338,0.687741697151138,0.788598224165104,0.739057361578085,0.717370996418426,0.792307794407592,1,0.988889716677523,0.966498484288017,0.924069528183289,0.367112932494607,0.363215610644691,0.469733663020514,0.437327807119323,0.315101138949752,0.482471195340861,0.628487455776512,0.270739187252997,0.0473249836305722,0.0386403751595259,0.617543686854502,0.802104340820075,0.354765622713191,0.555979881981875,0.800963915661804,-0.395854086833659,-0.608224098267946,0.710191570402091,-0.0412410943002898,0.633031875988753,0.695118845279253,0.511375626084298,-0.278492469712021,0.610706566437407,0.55732410773185,0.733364032811421
"fpbO",0.424291380892279,0.373392103643127,0.37492576407816,0.654050628216108,0.544133062130816,0.75090767417078,0.782162927614869,0.799948233498147,0.379864243858593,0.694511074799452,0.732526899540647,0.704183906926613,0.67572880885107,0.751707746495025,0.710226020506166,0.691521905626855,0.759881742431019,0.988889716677523,1,0.977242538399175,0.9423100569487,0.337715897969394,0.35573734785815,0.461665361940857,0.434235499958979,0.299066402590952,0.47296557010092,0.619661127535364,0.240242279664106,0.0169909525025962,-0.00847973821674919,0.577920567006949,0.790093746140391,0.346428375366591,0.562798528446979,0.789890647338079,-0.44101071599006,-0.621445869607178,0.692132734499962,-0.0696115011557921,0.595320870824657,0.678806487605466,0.498996373828214,-0.324753183019246,0.576237988980629,0.531336481306638,0.713113710730289
"fpbP",0.424178660886318,0.328506153019312,0.384664168363792,0.646147169967818,0.533289667471882,0.784165106942698,0.812295442432547,0.821861519580862,0.377298423505255,0.75019778751248,0.765957980951091,0.713931069763136,0.714779102471245,0.729473480898766,0.7140602136428,0.700242578242837,0.737548561277408,0.966498484288017,0.977242538399175,1,0.968574047956783,0.331674868483823,0.370557673891574,0.445455846773352,0.437119811265812,0.307558610150619,0.440077249501349,0.608377322355181,0.218951412740781,-0.00422472063777794,-0.0438836717916265,0.564544091940842,0.81295017055975,0.374115840813263,0.612611980641629,0.809646125531192,-0.459675972672608,-0.615043449166776,0.707376095364702,-0.0999194713863688,0.585484823489076,0.681212372274155,0.500158315457341,-0.350187231951181,0.559909877702098,0.532710418501552,0.714878037871772
