"","divIB","gerM","ispG","mraY","murB","murD","murE","murG","pdaB","sbp","spoIID","spoIIIAA","spoIIIAB","spoIIIAC","spoIIIAD","spoIIIAE","spoIIIAF","spoIIIAG","spoIIIAH","spoIVA","spoIVFA","spoIVFB","spoVB","spoVD","spoVE","spoVV","yaaH","yhaX","ylmC","ylxW","ylxX","ypjB","yqfC","yqfD","yqfZ","yqhV","yrzE","yugU","yuzH","spoIIID"
"spoIID",-0.347793412279589,0.927463467411134,-0.376063325316867,-0.0758154039138319,0.266562118992001,-0.0423572155965468,-0.318178017890952,0.572136836785835,0.916372001299957,-0.573142489687414,1,0.950649312924149,0.954254691912995,0.953391062539636,0.956457661312971,0.95110018124474,0.934655428609506,0.934988281399843,0.903435994045268,0.844526016740158,0.948203178342332,0.933788719903194,0.905866179167411,0.950566196348447,0.438229821156802,0.896011907156939,0.843154454545013,0.860960718180706,0.549749996907806,-0.478919710863111,-0.666613477610788,0.840970868787833,0.869905939212044,0.902940301739951,0.683050438961651,0.941560675031319,0.93643238652512,-0.375592074542918,-0.365124001328377,0.770483327112736
"spoIIIAA",-0.314992200273125,0.972311566913987,-0.408601639246032,-0.0423472669927107,0.326198314279593,-0.00474651917887306,-0.26042792991747,0.618790475569265,0.961507157960746,-0.557727330540361,0.950649312924149,1,0.996538223183251,0.991281703963757,0.991844874435036,0.987921709552117,0.983018001638445,0.986106355843828,0.961724130534571,0.906008871016338,0.990891787063971,0.967112408949992,0.93084697812833,0.980119023963132,0.481351499507732,0.925439145821904,0.869995306515816,0.867089419240061,0.662620639319292,-0.451019320479236,-0.646304445385721,0.907672384842068,0.897996862380636,0.929674563445944,0.74679523958763,0.982976907466485,0.969627127159474,-0.371533162772045,-0.363894579150148,0.819261683292846
"spoIIIAB",-0.332710221531246,0.973940059913717,-0.421533359593063,-0.0270555046381484,0.309968853572038,0.0130688691960703,-0.258866123681327,0.633089867494026,0.961142556812312,-0.546385632504145,0.954254691912995,0.996538223183251,1,0.994231967261203,0.99439775102795,0.989696515606076,0.982607347818777,0.984880341842819,0.961018346870318,0.908885867510512,0.990796693745805,0.972238590070785,0.932736686091276,0.981162462258584,0.500052634607036,0.928198323904409,0.878309151062581,0.879291633723811,0.672180991222256,-0.457372860572466,-0.653870099374318,0.908981588336797,0.9095978208417,0.94068973313443,0.737510341511057,0.98049094431956,0.972057506253936,-0.398935971487109,-0.387339090421297,0.827827861360909
"spoIIIAC",-0.344800889757226,0.964057812988299,-0.416987090183832,-0.000717918334325766,0.291443136733422,0.0334090478306208,-0.248470006713156,0.646139932911454,0.948230052513804,-0.533201922408202,0.953391062539636,0.991281703963757,0.994231967261203,1,0.997548523632187,0.990333119064885,0.970998664964432,0.97442104658537,0.94666056454217,0.895888475900716,0.986707411058765,0.976166242961118,0.933791882625439,0.977257017759122,0.526547020139614,0.93018126919923,0.870350254176514,0.869111772993261,0.677206619064629,-0.470651262332112,-0.652598229165338,0.916467398598676,0.906584301687392,0.938189653783148,0.737772774844192,0.978452723300936,0.967923800565664,-0.39758315593034,-0.377723295037491,0.816614283622851
"spoIIIAD",-0.331809505999997,0.966982567908178,-0.400318777826994,0.00561996329422596,0.289843292696292,0.0376275834815043,-0.230625497700323,0.635672067133936,0.94949335514074,-0.51920667198131,0.956457661312971,0.991844874435036,0.99439775102795,0.997548523632187,1,0.991777750956103,0.97145702776651,0.974823301190996,0.948776460401998,0.894463614219145,0.987949645780213,0.979915302851888,0.940879070475822,0.978344035450398,0.52645799753463,0.936778676384542,0.863938033821193,0.866500586250804,0.66615084784129,-0.452215240309943,-0.636772892087173,0.921879251341312,0.903703784260611,0.935655792977267,0.749626091101864,0.979196553352111,0.969839657461873,-0.395983815491203,-0.384196464152021,0.811413569546471
"spoIIIAE",-0.307663131438871,0.956950615770617,-0.377694669025191,-0.014639441302906,0.289532777531882,0.0167014974008021,-0.24907149069029,0.620699475997909,0.950495133798902,-0.522782271821652,0.95110018124474,0.987921709552117,0.989696515606076,0.990333119064885,0.991777750956103,1,0.973951937628522,0.974531301798797,0.94869589903245,0.888827778875946,0.987543302155374,0.976891115234534,0.949562699305204,0.977857292455933,0.517072606278825,0.954171463255699,0.861701794313233,0.866581800076738,0.657049248030859,-0.420210950259086,-0.619538665442149,0.912947775852689,0.895055815079791,0.927882086030272,0.760058030624667,0.980611864991019,0.9645610975434,-0.376444447275058,-0.378154632168644,0.800762029707037
"spoIIIAF",-0.293617131405911,0.980040797759722,-0.421513227021676,-0.0759365269019057,0.345637974176862,-0.0359465593322995,-0.282808602609265,0.58623981963267,0.977455991624912,-0.571598950923707,0.934655428609506,0.983018001638445,0.982607347818777,0.970998664964432,0.97145702776651,0.973951937628522,1,0.995558249129056,0.983119452704073,0.941696771819178,0.980214233980968,0.94552217192604,0.929871153043658,0.965965047639955,0.450335552345827,0.918212831826778,0.899523547719464,0.902129558053527,0.663842862220339,-0.422141494579958,-0.642988996886491,0.86917867058454,0.912881149365459,0.935949772055273,0.727034981049902,0.961185342447281,0.97814668887988,-0.37382345083711,-0.372504211535061,0.868748189085439
"spoIIIAG",-0.294511274828719,0.978578415243542,-0.421314262814188,-0.0780158418036833,0.333356769276779,-0.0350284080259717,-0.28247251433014,0.582997032581883,0.97423779910532,-0.574899007391974,0.934988281399843,0.986106355843828,0.984880341842819,0.97442104658537,0.974823301190996,0.974531301798797,0.995558249129056,1,0.983691332142316,0.939320437794777,0.978736152403104,0.943623343752966,0.926261429790734,0.965328083867639,0.436892964568665,0.912974921006464,0.896650218468106,0.898830420642649,0.671077638352975,-0.424410506201664,-0.643330081786238,0.873916486650379,0.911713550505437,0.935373393331935,0.734097628455371,0.962806779381354,0.975542402325337,-0.372143508698803,-0.36802289580882,0.862603361261031
"spoIIIAH",-0.335967600927927,0.982519413045234,-0.424569226647297,-0.047066975212346,0.309128199540697,0.00639172474571399,-0.267022742780906,0.589388685365299,0.982077776992217,-0.596569664238496,0.903435994045268,0.961724130534571,0.961018346870318,0.94666056454217,0.948776460401998,0.94869589903245,0.983119452704073,0.983691332142316,1,0.961650986231057,0.964195965877551,0.926509318959923,0.926858462568209,0.94871195426869,0.466661174203621,0.891595679727544,0.926311173844832,0.920694942670861,0.689134085641632,-0.425964261518242,-0.653754462134739,0.85551074475835,0.908661539548095,0.923294761744641,0.71794533458957,0.926524223964742,0.978211499511063,-0.360380570334168,-0.354143395071152,0.888916784433418
"spoIVA",-0.413431090334821,0.950561682843661,-0.517725460012677,0.0336417308350423,0.328316276261191,0.0910321035557154,-0.278510372589819,0.682119906920864,0.943049408354374,-0.623373077714518,0.844526016740158,0.906008871016338,0.908885867510512,0.895888475900716,0.894463614219145,0.888827778875946,0.941696771819178,0.939320437794777,0.961650986231057,1,0.913780029849941,0.877882765821852,0.878107395820983,0.911149556989715,0.538326206202885,0.825809632927627,0.960803503471692,0.939185511134666,0.755666106818976,-0.495593280578507,-0.690234701709991,0.802477115315301,0.934781935267869,0.932594763979188,0.592638245363941,0.855670733573984,0.949605622188171,-0.464588811090236,-0.419137871808088,0.972166300318406
"spoIVFA",-0.330679309493037,0.976251982916035,-0.393895415699049,0.00279363607681736,0.320973323560852,0.0438862366337666,-0.23992896071824,0.644457621241428,0.967844236580989,-0.5608328616613,0.948203178342332,0.990891787063971,0.990796693745805,0.986707411058765,0.987949645780213,0.987543302155374,0.980214233980968,0.978736152403104,0.964195965877551,0.913780029849941,1,0.981337583620961,0.948968916378926,0.985252156974673,0.535097783683317,0.932836677813594,0.887747720311909,0.885971716782456,0.673508625622604,-0.442749942515602,-0.645552662990793,0.920130892460343,0.90955490914075,0.940035187300794,0.751765783647019,0.970168141191397,0.975995072428092,-0.377350151567033,-0.375433781183661,0.837780543650297
"spoIVFB",-0.34424050285359,0.951922927002577,-0.325799787570418,0.129293293942071,0.268193150001051,0.157508628101375,-0.138585836895812,0.667083308814234,0.92887369658128,-0.468392392667481,0.933788719903194,0.967112408949992,0.972238590070785,0.976166242961118,0.979915302851888,0.976891115234534,0.94552217192604,0.943623343752966,0.926509318959923,0.877882765821852,0.981337583620961,1,0.952290517194416,0.97142694218168,0.623260765265124,0.942904246375705,0.856575088256243,0.853922217189835,0.658215540207409,-0.409336146697591,-0.580589665717464,0.942343106842982,0.895104244990285,0.926337950765075,0.765771180174102,0.947348838046448,0.953718043715894,-0.419276737595504,-0.42526127005122,0.80306563668273
"spoVB",-0.343057739540347,0.934547607853347,-0.30171511323911,0.107064522813753,0.194526953558435,0.146134047821565,-0.121482782884919,0.60099655557185,0.940923402168312,-0.454628360696124,0.905866179167411,0.93084697812833,0.932736686091276,0.933791882625439,0.940879070475822,0.949562699305204,0.929871153043658,0.926261429790734,0.926858462568209,0.878107395820983,0.948968916378926,0.952290517194416,1,0.945121846978617,0.574391570159113,0.960403514662607,0.864507418150441,0.857228354826416,0.6427169139379,-0.36098889090726,-0.553443716709143,0.890682560695954,0.903614001510005,0.914186561705446,0.779107946923414,0.913765310332341,0.944535274627973,-0.399070602370081,-0.417979097883864,0.805040415862456
"spoVD",-0.367585484706478,0.962540178594123,-0.42349717134061,0.0349575788174548,0.310016530467143,0.0854255108333227,-0.238207484327424,0.681670644484425,0.957368967163381,-0.573704712761652,0.950566196348447,0.980119023963132,0.981162462258584,0.977257017759122,0.978344035450398,0.977857292455933,0.965965047639955,0.965328083867639,0.94871195426869,0.911149556989715,0.985252156974673,0.97142694218168,0.945121846978617,1,0.544075337050897,0.923915482261243,0.894631986440957,0.894094522347533,0.639942894644609,-0.472849108675171,-0.656797950965904,0.908969829413779,0.922884487554944,0.948285111270342,0.700138829692229,0.959245075481643,0.966542179121134,-0.420497273859673,-0.404984622833749,0.840339801343599
"spoVE",-0.395358459957846,0.513550507182674,-0.159318349989068,0.68515821788613,0.0179336117889973,0.692149508093616,0.238045361039123,0.803851516004277,0.471500826750891,-0.0535347236308504,0.438229821156802,0.481351499507732,0.500052634607036,0.526547020139614,0.52645799753463,0.517072606278825,0.450335552345827,0.436892964568665,0.466661174203621,0.538326206202885,0.535097783683317,0.623260765265124,0.574391570159113,0.544075337050897,1,0.563505245391027,0.528825146934873,0.491750670474634,0.638796770731757,-0.27305232655343,-0.247019721140445,0.688158347760691,0.573607422212278,0.563618527557683,0.451476900687469,0.464690382899688,0.526327073181611,-0.492507750201489,-0.44042938349434,0.559027505574451
"spoVV",-0.217055665211797,0.907142319930726,-0.230145561907399,0.081952842001215,0.228090772001936,0.0871704277227812,-0.108951870265261,0.550489589431222,0.898423586456413,-0.353436837198844,0.896011907156939,0.925439145821904,0.928198323904409,0.93018126919923,0.936778676384542,0.954171463255699,0.918212831826778,0.912974921006464,0.891595679727544,0.825809632927627,0.932836677813594,0.942904246375705,0.960403514662607,0.923915482261243,0.563505245391027,1,0.778017004242255,0.797746140063874,0.638351747022775,-0.250616017089049,-0.462347034086189,0.904936977694973,0.859347903533161,0.879323356976461,0.838687810888258,0.935595219814709,0.922548110223672,-0.391597006277782,-0.437383129629496,0.73593503209661
"yaaH",-0.53293583827159,0.916416158640476,-0.57464241335814,0.00155373412140163,0.289666291546561,0.081405102406353,-0.379691579342356,0.701765034323464,0.92725005112127,-0.713032221674992,0.843154454545013,0.869995306515816,0.878309151062581,0.870350254176514,0.863938033821193,0.861701794313233,0.899523547719464,0.896650218468106,0.926311173844832,0.960803503471692,0.887747720311909,0.856575088256243,0.864507418150441,0.894631986440957,0.528825146934873,0.778017004242255,1,0.962462902541865,0.715041647048204,-0.617631201061381,-0.782110904908972,0.746774347573014,0.929615972425719,0.931985136250985,0.50887680724176,0.813612751726846,0.922959311721996,-0.438863372605169,-0.364054171907217,0.945751387048161
