"","amhX","codY","bacG","bcaP","bkdR","clpQ","clpY","codV","dppA","dppB","dppC","dppD","dppE","ilvA","ilvD","ispA","mpr","nupN","nupO","nupP","nupQ","trmFO","ybfJ","ybgE","ycgA","ykfA","ykfB","ykfC","ykfD","ylmA","ypmP","yuiC","ywaA"
"dppC",0.781485850971632,-0.0482848689130306,0.0576471819397421,0.427591854886332,-0.701941690635808,-0.290773861914975,-0.202630217586256,-0.286902003395553,0.957948229195626,0.991930644948744,1,0.993468586409675,0.99256277158625,0.0175734305191658,-0.252131035181493,0.714429258236481,0.668538789129185,0.862538300467034,0.718703347890824,0.672784081147333,0.683280696414593,-0.175706998390707,0.62444154566789,0.552568060556873,0.102603620263397,0.959264481243533,0.959458890469519,0.967995399974268,0.972488677431332,-0.168597372139394,0.366592880258061,0.529399158002532,-0.340100477661568
"dppD",0.771512335354487,-0.0122852869778011,-0.00914048957219897,0.432940391699233,-0.709767111210772,-0.290226938222834,-0.191102466545368,-0.303873567661033,0.938304448383465,0.983280133531942,0.993468586409675,1,0.996825039031895,-0.0383759131513109,-0.323882881226277,0.760467956233607,0.720260728292135,0.871963654473341,0.698506553722174,0.647486192774854,0.658738503607243,-0.124050600250125,0.676976997432749,0.582703981759252,0.0434540936512916,0.974330167092243,0.97575597629559,0.981036210059589,0.975114910209104,-0.240023971827758,0.34000206904391,0.572623528304683,-0.392871755318384
"dppE",0.786337500257283,-0.0177753424551496,0.000884630992888897,0.443243466455307,-0.691694717965593,-0.294686216698861,-0.189775030998712,-0.312255119619815,0.940680947807041,0.981989449079166,0.99256277158625,0.996825039031895,1,-0.0277022181486851,-0.307566988641823,0.758322972490557,0.707314411501093,0.865247842211464,0.693620696944991,0.641131109843862,0.653517369563927,-0.149546240309599,0.662602335647058,0.592416602068325,0.0640775025434741,0.969293040554522,0.972353733818806,0.979240859939691,0.975477055587784,-0.229444848361063,0.344442084670646,0.55905192403749,-0.386260085637971
"ilvA",0.158747576564571,-0.0835797514930426,0.492037169270024,0.0516919499207534,0.102511334101044,0.261866033078939,0.134979158308151,0.30289632424617,0.209752781619324,0.0735517589418084,0.0175734305191658,-0.0383759131513109,-0.0277022181486851,1,0.818634119646766,-0.330770451172176,-0.344190692528686,-0.110642966728242,0.186713572904361,0.201661137648695,0.142162471380448,-0.172774008024733,-0.3545650637759,-0.127560047142273,0.701329595294263,0.00368096778602384,-0.00888633092440437,0.0113168878598132,0.0737989977780526,0.799878867600369,0.559823113800797,-0.0410753660277114,0.766321334174672
"ilvD",0.0219632687839878,-0.238486419972535,0.605564732757536,-0.0468036738902589,0.354660032122183,0.236909724841295,0.120888661510389,0.266990569836865,-0.0722629531665692,-0.212351580669682,-0.252131035181493,-0.323882881226277,-0.307566988641823,0.818634119646766,1,-0.579111075633519,-0.647191473297782,-0.296158854114322,0.108932431188349,0.170547724714568,0.129399113079138,-0.372091652979281,-0.656596377044704,-0.37012495076373,0.761686230607077,-0.31118317507192,-0.314191472029343,-0.293212338617561,-0.201517776943632,0.868561299815419,0.269550252654206,-0.435118285851213,0.871845996460242
"ispA",0.570778498770713,0.163635448745667,-0.295082043917905,0.322588028250104,-0.555602816795573,-0.17378504619278,-0.0555271413448402,-0.306679294500375,0.60806437554505,0.680768230609513,0.714429258236481,0.760467956233607,0.758322972490557,-0.330770451172176,-0.579111075633519,1,0.808782257062507,0.650592607672163,0.386412045832126,0.325183309206219,0.356910601279592,0.0834646351675284,0.782629606020866,0.640471956829643,-0.273776635671557,0.769212988018382,0.780623202245273,0.767125457895041,0.719548064299174,-0.577337323732665,0.191463935041745,0.608774712387132,-0.633641217298617
"mpr",0.442483305187876,0.285155547915822,-0.415415298035072,0.353746079778007,-0.638733669969526,-0.0808483421240773,-0.00622445356776495,-0.131779237153471,0.554957728798204,0.641133551333384,0.668538789129185,0.720260728292135,0.707314411501093,-0.344190692528686,-0.647191473297782,0.808782257062507,1,0.665072091474665,0.389592714278233,0.319136262970054,0.357951611495189,0.386608456464461,0.986523071630799,0.607143197456418,-0.418917061194197,0.776252942690656,0.772637143346967,0.755661098493608,0.679980177828189,-0.562335943285674,0.114359782330117,0.803807776460882,-0.674998426092986
"nupN",0.75511954771841,-0.12227573732162,0.00085640447783981,0.440090949737261,-0.585975251070879,-0.261642187237355,-0.242935374415443,-0.234480962938118,0.836147151789141,0.861856299798716,0.862538300467034,0.871963654473341,0.865247842211464,-0.110642966728242,-0.296158854114322,0.650592607672163,0.665072091474665,1,0.884684142438687,0.833982888348106,0.838120660791016,-0.0288330012937746,0.61898404013362,0.555473415130775,0.0158156479138406,0.865719431289037,0.869367538969273,0.871232666470356,0.858653014280745,-0.251275697269484,0.157911759411461,0.4663741399107,-0.418547097741307
"nupO",0.728611890921789,-0.159222441876982,0.238520647243595,0.381191981454899,-0.411942376754538,-0.0802171532670507,-0.112806476395995,-0.0226457924567404,0.766835720275488,0.732549992407168,0.718703347890824,0.698506553722174,0.693620696944991,0.186713572904361,0.108932431188349,0.386412045832126,0.389592714278233,0.884684142438687,1,0.979537091515975,0.960200764851834,-0.0885724065662113,0.340764419892876,0.337903453861221,0.307382669529136,0.714620771595441,0.717036617807903,0.723051124071305,0.751999527461386,0.0951626401692602,0.205111218889067,0.25927643974527,-0.0749182198100148
"nupP",0.713159327921542,-0.158975275869074,0.252277733459941,0.397522336089789,-0.36249147459431,-0.0849743091265816,-0.119228218651198,-0.00846518716446439,0.724066967427543,0.686701661035516,0.672784081147333,0.647486192774854,0.641131109843862,0.201661137648695,0.170547724714568,0.325183309206219,0.319136262970054,0.833982888348106,0.979537091515975,1,0.982470151125508,-0.122990076750917,0.273918957492935,0.289641800416003,0.380407814011859,0.65840753717751,0.662446583712006,0.67241238810272,0.718520846089045,0.130761831791855,0.220895932299356,0.19668438579712,-0.0205991516940986
