"","cadA","czrA","czcD","czcO","pval","z","inv_cof_var"
"GSM672683",9.082944981,11.284429,8.9676171,9.030392193,0.0612892692460473,1.5440404300651,156.340128042223
"GSM672685",8.637964684,11.3876119,8.837199071,9.009402602,0.492292229237931,0.0193217182848966,47.4933027965434
"GSM672686",9.290828625,11.14807026,8.91457658,9.132736059,0.488148887065046,0.0297107052585961,48.2349532012174
"GSM672687",9.071826022,11.1518223,8.91187026,9.059653903,0.220018916032929,0.7721293304458,101.234834248482
"GSM672688",9.07303197,11.08451636,8.966280669,9.145479182,0.222984327854351,0.76215306352078,100.522647158364
"GSM672709",9.002004089,11.15301375,8.809375836,8.641617844,0.484458385986489,0.0389669082290787,48.895736268535
"GSM672710",8.421766914,11.50287249,8.624420074,8.428883643,0.348870036114642,0.3883729321986,73.8391806802547
"GSM672711",7.548252045,11.83996506,7.797280669,7.640334201,0.418228003995836,0.206428759184158,60.8505254931938
"GSM672712",7.468778439,12.19544498,7.730965428,7.726765799,0.473340495200806,0.0668752828547517,50.8880630841644
"GSM672714",8.599350558,12.56009368,8.489474349,8.344507435,0.388549514202513,0.283101504400896,66.3240497801548
"GSM672715",8.823742007,12.28882454,8.523889219,8.485988104,0.497627745639225,0.00594639489885145,46.5384634048857
"GSM672716",9.959482156,11.15801487,9.996925651,9.744597026,0.354751457984255,0.372523772131468,72.70773870162
"GSM672717",9.856439033,11.04224089,9.788014126,9.735805576,0.0524403302726833,1.62163902990482,161.879747364007
"GSM672718",10.03614498,11.04701784,9.956937546,9.890813011,0.101738993911368,1.27170490321914,136.898602684289
"GSM672726",13.26165428,10.85690223,13.35631375,12.92503755,0.433049437425145,0.168615770839932,58.151126776223
"GSM672740",15.20407138,12.33911152,14.76762156,14.69906245,0.454031265663612,0.115482701012789,54.3580560140172
"GSM672741",15.02706357,12.59782974,15.06329424,15.05480706,5.4255375157786e-26,10.478447154373,794.150761492859
"GSM672742",14.98346506,12.57565725,14.8357223,14.71080558,0.190129792569936,0.877418100732639,108.751203196538
"GSM672758",9.011796654,11.34337435,8.737856134,8.753835688,0.436868683756334,0.158913064502011,57.4584686662292
"GSM672760",8.717047212,11.24703346,8.822447584,8.674690335,0.167836919165601,0.96274832615977,114.842768849587
"GSM672761",9.250950186,11.21785428,8.992026022,8.876988848,0.493949633658791,0.0151666007742159,47.1966767067171
"GSM672763",8.926239777,11.33991747,8.753835688,8.695480297,0.351800555653799,0.380463869868778,73.2745674708672
"GSM672764",9.054672491,11.17430409,8.951537918,8.77573197,0.404895909734276,0.240694606525655,63.2967004293696
"GSM672765",9.040090706,11.02712677,8.825094796,8.782315242,0.399463181952185,0.254736835516588,64.2991489683866
"GSM672767",9.062107435,11.25459517,8.83260855,8.700556506,0.486913775796545,0.0328081843086517,48.456076453827
"GSM672768",9.063291822,11.23992454,8.921110409,8.908124535,0.208180060728604,0.812752243151084,104.134828225102
"GSM672769",8.765206691,11.22137844,9.114499628,8.878179926,0.478064682632864,0.0550114205787049,50.0411240822865
"GSM672770",8.908124535,11.31089517,8.764030483,8.654175465,0.37477498457072,0.319232822671613,68.9033972068792
"GSM672771",9.211330855,11.29829572,8.927639405,8.96094052,0.432493291773868,0.170029949164809,58.2520823294046
"GSM672772",9.364909294,11.39931487,9.197054275,9.154290706,0.302750364698685,0.516506458357366,82.9863941447185
"GSM672773",9.091635688,11.2352461,9.346052788,8.958167286,0.498732040235386,0.00317830914809617,46.3408549255972
