"","kipR","tnrA","pucR","pxpA","pxpB","pxpC","ycsG","ycsI","yfiR","yfiS","pval","z","inv_cof_var"
"GSM672589",8.031022305,9.970596283,8.289634201,8.899360595,8.962276952,8.281063941,8.490633829,8.934030483,9.403110409,7.730020074,0.155551293282517,1.01291118250297,16.1294683493769
"GSM672590",8.650404461,9.94911487,7.954822677,9.144256877,9.1897829,8.424176208,8.584775836,9.3946329,9.116951673,7.651796654,0.26213756097885,0.636769306107647,14.5781612745228
"GSM672591",8.272876208,9.775313755,7.982855019,9.313763941,9.175440149,8.512473234,8.861024164,9.412865428,9.366164684,7.88012342,0.277093444571103,0.59149785917895,14.391450035183
"GSM672592",8.272876208,9.80762342,8.193048327,9.131537546,9.481560223,8.84517658,8.952978439,9.815632714,9.277469145,7.912741264,0.314465349441414,0.483232447348014,13.9449352760584
"GSM672593",8.274050558,10.28171859,7.636548699,8.875758736,9.071826022,7.997119703,8.214330483,9.200495539,8.716406506,7.661118587,0.28369389357346,0.571902858831307,14.3106351496871
"GSM672594",7.89425539,10.43080074,7.529364684,8.890312639,8.628068773,7.692402602,8.126315242,8.581058364,8.339630112,7.758813755,0.103759134120475,1.26041895247177,17.150254863002
"GSM672595",7.949688476,9.766249071,7.417417844,8.283497026,8.519863197,7.679235688,7.975606691,8.896774721,8.799050186,7.586030483,0.212922540019552,0.796321692879584,15.2361968774213
"GSM672596",7.89425539,10.35981673,7.587933086,8.694099628,8.472410781,7.599091078,7.698256877,8.582377695,8.268950558,7.983840149,0.0486352342986322,1.65823289009922,18.7909431634678
"GSM672597",7.872061338,10.87672565,7.27630855,8.220548327,8.500448327,7.303552045,7.47327658,8.481003346,8.208771747,7.927261338,0.130195924137811,1.12546545393361,16.5936714826433
"GSM672598",10.05462639,10.20237528,8.526891822,10.30341896,10.39144312,9.970596283,9.937569888,10.18716803,10.05039331,8.466633086,0.372413101561289,0.325468917846373,13.2942773865001
"GSM672599",10.03493197,10.4224948,8.71819145,10.50936506,10.43819554,10.02011078,10.1033316,9.975315242,10.0766881,8.605266543,0.287841095096707,0.559702773598411,14.2603188203356
"GSM672600",9.900917844,9.723099628,8.823742007,9.74697658,10.0087881,9.789263569,9.632133457,9.818199628,10.39915502,9.222212268,0.0111701453312713,2.28453188915536,21.3739633725464
"GSM672601",10.23660632,10.10015874,9.070645725,10.31040186,10.49072788,10.11216691,10.29585874,10.35518699,10.25257509,9.172110409,0.042959181005506,1.71733291112092,19.0346870444034
"GSM672602",10.25133606,9.809530483,8.697324721,10.0343381,10.27670223,10.10210855,9.745832714,10.16625242,10.12073346,9.018973606,0.105630518938977,1.25010542618717,17.1077191941599
"GSM672603",10.07917026,10.41699888,8.688081413,10.1033316,10.18850149,9.890813011,9.636028996,10.09491599,10.36235093,8.623832342,0.225645557218979,0.753264287701152,15.0586169229682
"GSM672604",10.14402862,10.45131152,9.034102602,10.23788662,10.18235576,9.986601859,9.816794796,10.1576368,10.29861822,8.94377881,0.0427436572360162,1.71969820402177,19.0444421284327
"GSM672605",9.771886989,10.38173197,8.835132714,9.818199628,10.23788662,9.730959851,9.638676208,9.84866803,10.13052454,8.9057171,0.026911057934654,1.92826545864903,19.9046278136504
"GSM672606",8.374791822,10.27239833,7.422534201,8.074126022,9.143704089,8.135997026,8.313920074,8.941266543,8.562611152,8.087730855,0.142100011962405,1.07093196049512,16.3687611509398
"GSM672607",8.932741636,9.92234461,7.388077695,8.887666543,9.847455762,9.177965799,8.590889591,9.758434201,9.184917472,8.640388476,0.468011780782325,0.080268687529404,12.283007767462
"GSM672609",9.032881413,11.13919257,8.823742007,9.921168401,9.852501115,9.168436059,9.890813011,10.01376952,10.91329926,8.513688848,0.412808428118618,0.220326534604881,12.8606428107579
"GSM672610",9.670372119,10.49409517,8.14140223,9.930198141,9.992781041,9.638676208,9.815632714,10.20419591,10.53548253,8.612872119,0.437171870941241,0.158143477084125,12.6041836842377
"GSM672611",9.464062082,10.17371152,8.068419703,9.938826022,10.08164275,9.71651487,9.82355539,10.18579145,10.5558368,8.561458364,0.49425838631463,0.0143925880862451,12.0113175740985
"GSM672620",8.20314052,8.346910409,7.917928996,8.900716729,9.373756506,8.549405204,9.114499628,9.259670632,9.629740892,7.690520446,0.419066276352435,0.204282745574434,12.7944740457459
"GSM672621",8.059950186,8.538096654,7.957765056,9.06446803,8.952978439,8.458105948,9.058432714,9.153733829,9.49563197,7.755745725,0.309637073630976,0.496879331738796,14.0012185819961
"GSM672627",9.766249071,10.14274461,8.479710781,9.909817472,10.09014535,9.728449442,9.842369888,10.00255502,10.58518067,8.519863197,0.333847079544165,0.42931478435618,13.722564789527
"GSM672628",9.782928996,10.40029442,8.471215242,9.84866803,10.02511822,9.646335316,9.615347955,10.11089517,10.29722862,8.459275093,0.285410891794428,0.566841630652894,14.2897613263419
"GSM672629",9.788014126,10.41638848,8.467777323,10.07193197,10.08403457,9.773924535,9.987783271,10.11712491,10.27928476,8.397209294,0.353109165243383,0.376939816997679,13.5065567816255
"GSM672646",9.018973606,9.004359108,7.644156134,9.057098141,9.264464312,8.679409665,8.833879926,9.243945353,9.461452788,7.444192193,0.478296020180143,0.0544306744931419,12.1764450714722
"GSM672648",8.229425651,10.70593401,7.54200855,8.496584015,8.487209294,7.932447212,8.245984201,8.565359108,9.768651673,7.600063197,0.440731281608221,0.149115414053833,12.566949600691
"GSM672649",8.558926394,9.80762342,7.618860967,8.690523792,9.159348327,8.430050186,8.796410037,9.085415985,9.312601859,7.431591822,0.395802241218109,0.264227680997239,13.041702573753
"GSM672650",8.275239405,10.11953383,7.541188476,8.686226952,9.215022305,8.373463569,8.424176208,9.082944981,9.346052788,7.657518959,0.37661913133914,0.314372338432308,13.2485122025842
"GSM672668",10.21094535,11.53286245,8.62690223,10.34093643,10.37802602,10.02264535,10.40392714,10.46503309,10.1611948,8.35060855,0.469680304699843,0.0760735170554832,12.2657057916789
"GSM672670",9.927572862,12.99944721,8.65536171,10.21035353,10.32859814,9.833729368,10.40642565,10.35518699,10.246271,8.444594424,0.388275247976572,0.283817169567287,13.1224947272424
"GSM672671",9.810822305,13.10047026,8.628068773,9.917216729,10.1452829,9.748265056,10.04980929,10.15135502,10.09135651,8.320828996,0.304561869178715,0.511324662625261,14.0607948892595
"GSM672672",9.723099628,14.16922491,8.823094796,10.3081487,10.31526468,9.757262825,10.25985874,10.27670223,10.19817918,8.297544238,0.373887454511535,0.321574705270959,13.2782166394833
"GSM672673",9.821001487,13.8485,8.599350558,9.859080669,10.20304461,9.765004461,10.04980929,10.16502825,10.12423866,8.290675465,0.339171640908871,0.414724927699829,13.6623924203428
"GSM672674",9.017775465,13.52764833,8.784646468,9.547546468,9.993373048,9.430920818,9.643798885,10.06210632,10.76314907,8.235281784,0.435035662873824,0.163567888121519,12.6265553682945
