"","birA","bshA","bshB1","bshB2","bshC","cca","coaX","dapB","mgsA","msrA","msrB","tpx","trxB","yacC","yacD","yjbH","yjbI","ylaA","ylaB","ylaD","ylbQ","yojF","yoyC","ypjD","ytpP","ytpQ","ytpR","ytvA","ytxK","yugJ","yugT","spx"
"msrB",-0.0398979982918051,-0.00647829373955573,0.030817665751108,0.145702278824861,0.0817374087972874,-0.0451231665588449,0.0389952871604837,0.00807695830523544,-0.00113828794424443,0.724171748643391,1,0.138547026629074,0.134866652647779,0.0188037901863617,-0.0535184273279813,0.227450629357471,0.143720992337016,0.0314535724266366,0.135369842555368,0.379167289022969,-0.0350383042037263,0.102433794218442,0.114397392221303,0.0445526347686244,0.0159215939341123,0.0495990293320937,0.0300590889387378,0.571637085728272,0.13791542499134,0.18252143218572,0.217771399750427,0.412580487164251
"tpx",0.60352748766778,0.670373587372467,0.725371747268873,0.52530864622482,0.574900161777734,0.603558760916284,0.499508618545956,0.738389430999554,0.706178290113733,0.17345826891439,0.138547026629074,1,0.258272716484816,0.492253719160635,0.639667723224544,0.495616256062757,0.492325260345736,0.47069049131766,0.375220489446656,0.371126523398117,0.20543005560616,0.575413046295964,0.58818089150912,0.741997179718171,0.610490245739533,0.643237204677931,0.639181237669391,0.270500775922901,0.633544515399825,0.525017250963776,-0.315470112256513,0.0326874050322017
"trxB",0.74360757194668,0.640626371101832,0.610099291961343,0.784743500213885,0.758217540507999,0.690112574847969,0.826053308999336,0.567221913243268,0.600608738302871,0.0105228403018168,0.134866652647779,0.258272716484816,1,0.813544722320927,0.380235743493561,0.391135372706142,0.276499143612448,0.724015335683512,0.673767371088609,0.750451089672499,0.228914320572516,0.743287575701358,0.737892488534551,0.539271721673506,0.591603676814377,0.596294562817653,0.649828442691678,0.468603410456388,0.714801648268037,0.783185253078978,-0.0287509065950543,-0.0707998246450224
"yacC",0.910500452872278,0.819747308611638,0.829816961994018,0.923255359943119,0.776562125459857,0.848914251772348,0.976309111635562,0.839968215905196,0.841234287232962,-0.165050003410269,0.0188037901863617,0.492253719160635,0.813544722320927,1,0.748602135207827,0.547406486600455,0.493321525827299,0.869873670933451,0.790622223546959,0.736490232441847,0.128814019062569,0.89599992397828,0.868098755614455,0.819623757400989,0.843589399466702,0.870142833833251,0.896672834388255,0.360239180205294,0.908914848701855,0.740713904419966,-0.33816501460734,-0.297039375452425
"yacD",0.68496289132059,0.632613221310445,0.717702427989301,0.724682645559328,0.462805993502801,0.613396122365248,0.724422366495345,0.832528310941134,0.791499894472421,-0.12184731753128,-0.0535184273279813,0.639667723224544,0.380235743493561,0.748602135207827,1,0.723493506076696,0.754036700756181,0.757634854856922,0.71313620019032,0.431672946039585,-0.00396963439821306,0.767310851284331,0.730381423412042,0.884576196559515,0.924564279389391,0.922164673463084,0.876620707916909,0.1800206585702,0.780852414409473,0.357409366397409,-0.689420261006671,-0.294808350964263
"yjbH",0.412146643877393,0.336879648186453,0.447367095487273,0.682191745896838,0.370755002468587,0.334448711593189,0.535217985236984,0.526654677993598,0.512980419730215,0.258542784164592,0.227450629357471,0.495616256062757,0.391135372706142,0.547406486600455,0.723493506076696,1,0.920672687149422,0.603176714385635,0.661083421002438,0.510853096376959,0.0125433430930612,0.692856354858921,0.635221105986279,0.58557484740995,0.747236676742891,0.74122927120532,0.703682574190517,0.384282723529851,0.640160107103401,0.368958083380228,-0.515310047490559,0.0745713406523842
"yjbI",0.357915298317474,0.289051819469119,0.393779679306367,0.618082159976246,0.272186305902463,0.272209487651223,0.491554751146225,0.518452109575683,0.476126238864528,0.19777552366407,0.143720992337016,0.492325260345736,0.276499143612448,0.493321525827299,0.754036700756181,0.920672687149422,1,0.580696561195785,0.612960867191081,0.390573551481957,0.0968196242241673,0.657367186697086,0.613065219106782,0.597619507823838,0.752422604958194,0.728801119172548,0.661574999949087,0.252457959877931,0.566977207309129,0.291823275635795,-0.664093364114787,0.0163189846278512
"ylaA",0.753029293122988,0.671562978368989,0.682405324104515,0.86379244316384,0.648820716692507,0.675371499590148,0.88994736153198,0.736312982584993,0.732035626297462,-0.0289740385694055,0.0314535724266366,0.47069049131766,0.724015335683512,0.869873670933451,0.757634854856922,0.603176714385635,0.580696561195785,1,0.933634810065565,0.728437698259843,0.0965349353340775,0.876018608524348,0.864760045682797,0.773463390780919,0.833554017159254,0.823876720092161,0.84810023418044,0.25155243346025,0.877354861493661,0.57186139841373,-0.405736785739589,-0.141522723678038
"ylaB",0.605206477480062,0.506916677599051,0.526977981845418,0.803052291505259,0.49989240917,0.5070512662612,0.796242242256052,0.593882244408123,0.594460114655467,0.052768268140191,0.135369842555368,0.375220489446656,0.673767371088609,0.790622223546959,0.71313620019032,0.661083421002438,0.612960867191081,0.933634810065565,1,0.763082800001441,-0.0870457440156964,0.802252807153973,0.784779844156493,0.661863720679659,0.786025746711809,0.768450073004382,0.805716994610234,0.318701542974892,0.8385166523534,0.452985504850499,-0.387912223544744,-0.0219462160799636
"ylaD",0.657322162071222,0.588068960125801,0.576664471189786,0.778136038114949,0.655061501161585,0.591198316007589,0.746919621216319,0.556927447727791,0.573098703323159,0.172547923135033,0.379167289022969,0.371126523398117,0.750451089672499,0.736490232441847,0.431672946039585,0.510853096376959,0.390573551481957,0.728437698259843,0.763082800001441,1,-0.0239421590607984,0.713966461512796,0.688525848010386,0.569077010555953,0.600182751182852,0.626029595913343,0.680227863651948,0.578138293808525,0.773257681945284,0.59521555948729,0.0465521148992137,0.0243350679211203
