"","cheA","swrA","codY","degU","spo0A","cheB","cheC","cheD","cheW","cheY","flgB","flgC","flgD","flgE","flhA","flhB","flhF","flhG","fliE","fliF","fliG","fliH","fliI","fliJ","fliK","fliL","fliM","fliP","fliQ","fliR","fliY","fliZ","swrB","swrD","ylxF","pval","z","inv_cof_var"
"GSM672566",13.08473941,13.07797286,13.9254487,13.07116617,12.41861375,13.00986097,12.65605019,13.20410743,13.10225725,14.10461152,13.24606989,13.21307212,13.80104535,13.69645948,12.48520074,12.6836,13.05860929,13.00465167,13.61981078,13.2749487,13.38058216,13.41992007,13.32734535,14.11600446,13.6940316,14.24770112,13.77999164,13.52142082,12.68047472,12.85326877,13.75689926,13.84591078,13.21968216,14.19849442,13.28255242,0.10873976313125,1.23325798933785,28.2766661215494
"GSM672567",12.92314349,13.24969777,13.94646394,13.15065688,11.9588368,12.74220056,12.53408699,12.77166283,12.90368476,13.89762082,12.81402342,12.89897175,13.7109197,13.68668848,12.5479145,12.61667063,12.89221561,12.69559926,13.43859219,13.34708364,13.4511197,13.4450803,13.00896617,13.98711561,13.64276654,14.27086859,13.84114201,13.37430892,12.74445799,12.85165985,13.6722223,13.66754238,13.01521004,14.00590855,13.15779442,0.157329743029338,1.00549306728372,26.7053293623346
"GSM672568",13.14322714,13.54736245,13.95989033,12.96003271,12.09511747,13.10802045,12.52544535,13.00544758,13.17062045,14.09313569,12.91651264,12.96858699,13.78598662,13.74509665,12.81725688,12.71191784,13.03040297,12.72717732,13.55558736,13.6722223,13.56203011,13.7935658,13.32318773,14.16922491,13.85909405,14.33275836,13.99478104,13.56426171,12.55874387,12.4133539,13.74743383,13.68882788,13.44091413,13.8485,13.32734535,0.193824580077292,0.863888472076361,25.7284076146118
"GSM672598",10.60049368,11.55183606,14.46059071,13.37237472,12.08541747,10.5828145,10.18469814,10.55808699,10.64447546,11.17905353,11.31089517,11.13356654,11.31335911,11.11124164,10.40210818,10.53672193,10.54389442,10.4357777,11.46694833,11.31439294,11.20686022,11.44062416,11.08918216,12.01652491,11.42249628,11.57750409,11.15429703,10.84170743,10.26169405,10.47381227,11.05172937,11.0609684,11.14998532,11.45388848,11.17430409,0.235179501599557,0.721895052660692,24.7488033916164
"GSM672599",10.40910855,11.64474981,14.58155874,13.47196803,12.35341599,10.44810948,9.927572862,10.47153086,10.37390112,11.19638364,11.24960967,10.98396803,11.10436394,11.03410706,10.23892602,10.3521723,10.40392714,10.17127509,11.14584424,11.13121933,11.05971004,11.1649145,10.74155985,11.91377249,11.06917918,11.47126859,10.95534349,10.74634201,10.13052454,10.3563777,10.83237323,10.85192937,11.05279405,11.32135353,11.19995948,0.287281461847395,0.561344187941822,23.6411724483558
"GSM672600",11.3258513,11.41145911,13.8509658,13.32734535,12.1703171,11.28929814,10.87436729,11.14480149,11.27143494,12.08955204,11.81292007,11.6386974,12.37136022,12.12371933,11.14255428,11.284429,11.21415576,11.1493119,12.09093494,12.04352379,11.95198364,12.2758855,11.87109368,12.78051896,12.39590892,12.50329219,12.10844647,11.6089539,11.14584424,11.24703346,11.96838401,11.88011524,11.67069814,12.35485911,12.00570595,0.292271275129202,0.546761567194105,23.5405678081859
"GSM672601",11.21533234,11.46694833,14.16922491,13.2786855,11.87618959,11.19267138,10.80522639,11.07857138,11.13866989,11.76959033,11.5471777,11.37266171,11.88511933,11.59898848,10.92735539,11.11013494,11.12047993,11.09734126,11.70737026,11.61633606,11.59397472,11.79238513,11.4235684,12.32742639,11.914479,12.10581004,11.67839033,11.32364052,10.87672565,10.9483658,11.66706952,11.47546394,11.64111115,11.90440112,11.58508885,0.0650170288382099,1.51396759818798,30.2132651512551
"GSM672602",11.45513903,11.52222045,14.16637026,13.41578699,12.14044424,11.43328625,10.9483658,11.25685576,11.32364052,12.00980706,11.99907435,11.68223941,12.44963011,12.08812974,11.15301375,11.28929814,11.38636171,11.21727026,12.39295911,12.28023792,12.09641227,12.36369665,11.87618959,12.9836684,12.51217212,12.57097026,12.233029,11.8141171,11.10190223,11.17905353,12.06562639,11.98584164,11.71712751,12.37832454,12.19956989,0.349222738446664,0.387419760739768,22.4412780865584
"GSM672603",10.69610112,11.74823048,14.24448885,13.55558736,12.23579331,10.69497435,10.30092751,10.64919294,10.60271673,11.36371152,11.38636171,11.2785487,11.53860669,11.31275242,10.35981673,10.66314126,10.64203271,10.43927658,11.59151078,11.49220149,11.28929814,11.6064513,11.1649145,12.20653755,11.64227658,11.78586766,11.30249071,10.86981041,10.30923346,10.47381227,11.2284513,11.09961338,11.19995948,11.67314796,11.41145911,0.358861545585451,0.361503497128662,22.2624833129543
"GSM672604",10.73115465,11.70109888,14.26317249,13.65388439,12.28366413,10.71478104,10.31645688,10.70047807,10.65717695,11.20453309,11.44888067,11.19147212,11.55183606,11.2352461,10.42133532,10.63316877,10.63088401,10.57802751,11.56554647,11.40767807,11.08095762,11.52469963,11.07735651,12.13388587,11.61507807,11.67314796,11.29045911,10.85080967,10.37459182,10.33111822,11.14367621,10.95418476,11.09389405,11.62372862,11.27734684,0.276520924845827,0.593208163923719,23.8610001386935
"GSM672605",10.46563457,11.83742714,14.42737379,13.49333755,12.41861375,10.47153086,9.866851301,10.33848885,10.36471933,11.21293494,11.52469963,11.12637026,11.35399554,11.08918216,10.228229,10.55690632,10.38428922,10.09255093,11.55567323,11.25331078,11.06212491,11.26785613,10.66206617,12.09641227,11.45859368,11.68854647,11.07735651,10.75428662,10.11830706,10.31526468,11.01554164,10.81962416,11.14367621,11.4235684,11.03990446,0.48134394569436,0.0467808505254408,20.0912303425452
"GSM672606",13.9254487,13.58176394,14.52939071,12.92409052,12.38563941,13.99478104,13.34303457,13.73590855,13.78598662,14.66993086,14.02572788,13.7405171,15.06617509,14.6281855,13.64935428,13.86665948,14.00014721,13.55765056,14.4894368,14.33275836,14.22263903,14.83115242,14.20152714,15.4060026,15.26197249,15.11720743,14.73557435,14.32280074,13.44939033,13.50622305,14.35301933,14.28199294,14.31325613,14.78045019,14.66175056,0.194076170208474,0.862972948480397,25.7220914713388
"GSM672607",13.91831896,13.44091413,14.6741539,12.87794796,12.37427993,13.91563829,13.57092379,13.74743383,13.74509665,14.43977026,13.93621227,13.64726729,14.94091933,14.56695242,13.72863755,13.86665948,13.94912751,13.76919963,14.37000297,14.24448885,14.34591822,14.77594758,14.16922491,15.22313234,15.27586766,14.97281599,14.5931777,14.19849442,13.53679182,13.58822193,14.31325613,14.12791078,14.3392342,14.85846468,14.54790446,0.0977677970362723,1.29437594894954,28.698315318976
"GSM672624",12.45414126,12.64667732,13.03040297,13.22730074,12.75551227,12.55561822,11.99392119,12.35069814,12.42726766,13.34864684,13.15417807,13.03748513,13.46152045,13.26346171,12.01371413,12.14450074,12.36217918,12.22177807,13.49133829,13.25773792,13.24257695,13.28071041,12.89984572,14.11871338,13.53224944,13.7405171,13.21222714,13.00986097,12.06496617,12.03426766,13.14415725,13.28255242,13.06050818,13.32318773,13.06929071,0.341266262374789,0.409009724438051,22.5902259723139
"GSM672625",12.47473234,12.66205019,12.94290967,13.27671636,12.73350074,12.51518699,11.89925465,12.31454387,12.34786914,13.5084171,13.19436877,13.02854461,13.58176394,13.40275985,12.00036022,12.14178848,12.29098903,12.09219442,13.33719963,13.29444201,13.23109554,13.39100595,12.80614647,14.12176357,13.56877881,13.8509658,13.29628699,13.17256729,11.98584164,12.04352379,12.96507435,13.21581859,13.00380112,13.32734535,13.13379517,0.424408037760114,0.190629245792036,21.0836319344934
"GSM672626",12.63305613,12.97545799,13.00624349,13.21777212,12.74293383,12.56166506,12.11816134,12.50329219,12.56328699,13.54336506,13.21222714,13.0743855,13.6744539,13.4367223,12.22466394,12.30338885,12.51075985,12.41414164,13.59952639,13.30389257,13.34118773,13.46775725,12.95128178,14.18383309,13.77660149,13.91054387,13.41992007,13.21581859,12.2163461,12.23151078,13.23499331,13.47196803,13.00465167,13.62222788,13.22356468,0.330054001526583,0.439764056334768,22.8023982935765
"GSM672634",13.05860929,13.81582714,13.32523234,13.14873532,12.70985446,13.03040297,12.67265651,13.00465167,13.10047026,14.13691599,13.47410706,13.49233792,14.29703011,13.98971487,12.71656803,13.01695428,12.99944721,12.75389331,13.9054052,13.86665948,13.7522145,13.83597807,13.53679182,14.63629591,14.10889312,14.54790446,13.77175465,13.52997026,12.87947621,12.8679223,13.75689926,13.79624275,13.28852007,14.35627175,13.7935658,0.26531113788149,0.62705638445006,24.0945170150736
"GSM672635",13.08894033,14.10461152,13.23603439,13.30973011,12.82326543,12.94290967,12.48438178,12.78208439,12.97545799,13.97367398,13.21581859,13.06578587,13.90805539,13.6561342,12.63002937,12.8108052,12.86639294,12.74603086,13.67938253,13.60378104,13.58394275,13.69168178,13.22169145,14.34591822,13.88486654,14.30353717,13.82289926,13.63843383,12.71058885,12.76007472,13.62670483,13.66754238,13.29628699,14.11328476,13.32523234,0.194567054352978,0.861188725322795,25.7097822210429
"GSM672636",13.31737249,13.7522145,12.9331223,13.23891599,12.72717732,13.28452677,12.84514201,13.15971115,13.32938104,14.28826431,13.72863755,13.79092788,14.3837368,14.16068439,12.97032825,13.1395539,13.15065688,12.99076729,14.15794052,13.99478104,13.93848699,13.96540669,13.7405171,14.76273346,14.30353717,14.61295725,14.07067323,14.01120595,13.02507807,13.00110632,13.9054052,14.06484089,13.49133829,14.46736729,13.85341561,0.213356111295862,0.794830300636809,25.251979364254
"GSM672637",13.4450803,13.59499257,13.04114164,13.17780409,12.84514201,13.34507323,12.91991375,13.33925093,13.37626729,14.3392342,13.64276654,13.67681933,14.31640743,14.05076654,13.17062045,13.32130186,13.24788216,13.24083643,14.01388922,14.16922491,14.03156208,14.18664647,13.82056989,14.84428699,14.45026283,14.6741539,14.21958662,14.0958948,13.19072825,13.0917539,13.90293309,14.16357621,13.65160669,14.45389294,13.82848513,0.143656936885776,1.0640327277647,27.109191026177
"GSM672638",13.08473941,13.36438513,13.08627212,13.19880093,12.97704498,13.06224758,12.60530818,12.97545799,13.0393197,14.02859517,13.70641859,13.63389182,14.14860818,13.80827249,12.65138587,12.96154498,13.11192862,12.95655428,14.01388922,13.82567398,13.49133829,13.86400483,13.57202844,14.51807323,14.07618625,14.35976208,13.8692948,13.80104535,12.77487491,12.90213346,13.73114758,13.88999294,13.40928959,14.37716803,13.60618996,0.213021160776118,0.795982303083016,25.2599269611627
"GSM672639",12.61394312,13.14508736,13.50622305,13.09337732,12.79327175,12.58011896,12.31733383,12.41256617,12.66355688,13.65857993,13.23707546,13.12992751,13.40275985,13.24435279,12.37427993,12.55092639,12.52544535,12.46749591,13.42404535,13.25168253,13.33142937,13.30210743,13.00465167,13.96283048,13.68668848,13.91563829,13.20690632,13.25369033,12.66638996,12.62092416,13.30389257,13.33340483,12.90673086,13.81311004,13.1468632,0.135323347057836,1.10157451215087,27.3681895817073
"GSM672640",13.09676506,13.29628699,13.2139171,13.17595502,12.91142379,13.02672268,12.77884796,12.97545799,12.98548327,14.19849442,13.61520669,13.6744539,14.15794052,14.10146097,12.86961896,13.16865353,13.12422305,13.00295056,13.86138401,14.0958948,13.92068736,14.18951673,13.68413234,14.57414535,14.28826431,14.61673569,14.01120595,13.88486654,13.05331524,13.11002677,13.77660149,13.9254487,13.11192862,14.63204387,13.74743383,0.265916904588019,0.625209131958769,24.0817729291233
"GSM672641",13.21222714,13.54539665,12.90213346,13.1395539,12.7521803,13.20863941,12.63002937,12.87464238,13.20410743,14.26317249,13.71644461,13.69168178,14.34210483,14.13102342,12.77968346,13.04114164,13.11192862,12.87947621,14.18951673,13.92820372,13.78840558,14.01388922,13.57855,14.81200037,14.41869665,14.5931777,14.01974312,13.94646394,13.06752156,13.02110836,13.85627844,14.04280037,13.48916357,14.5706171,13.77427435,0.3240832874556,0.456310694117576,22.9165525713952
"GSM672642",13.12992751,13.19436877,13.66069851,13.41578699,12.52395651,12.94970781,12.5479145,12.74905093,13.15971115,14.14860818,13.04813494,12.98202045,14.06186803,13.90293309,12.50924944,12.64033755,12.84668736,12.62842751,13.62222788,13.66754238,13.7086368,13.84343978,13.31143866,14.52209926,13.96283048,14.41200297,13.85627844,13.55989331,12.75841524,12.65458104,13.54736245,13.60160558,13.3702461,14.25402268,13.49133829,0.328038487151718,0.445335973932101,22.8408386243396
"GSM672643",12.94212491,13.57750632,13.54925019,13.29444201,12.88597286,12.77012007,12.42432045,12.75551227,12.67092974,13.89516245,13.41578699,13.39298996,13.98436729,13.80104535,12.51217212,12.79829665,12.83102602,12.61945911,13.8509658,13.82289926,13.49133829,13.9254487,13.29824572,14.34591822,14.12176357,14.27893866,13.96283048,13.51044907,12.45247361,12.61245019,13.63389182,13.56877881,13.21045353,14.29703011,13.63154052,0.36860504091287,0.335550201823857,22.0834330598802
"GSM672644",13.27969796,14.02274981,13.26519851,13.4345881,12.61319665,13.07957993,12.68944535,12.85502825,13.08980112,14.21067918,13.44308773,13.3702461,14.28199294,13.98155204,12.68729888,12.92503755,12.92910465,12.81725688,13.84114201,13.83099145,13.88999294,13.90416914,13.4593829,14.52588253,14.11328476,14.44320929,13.93337732,13.60378104,12.75389331,12.85165985,13.74509665,13.78598662,13.29341561,14.28826431,13.55558736,0.263694801618703,0.631995828221843,24.12859394623
"GSM672645",12.68502305,13.23891599,13.13379517,13.1395539,12.78364684,12.65911338,12.17600892,12.55092639,12.60288253,13.62914721,13.27106394,13.1376223,13.68413234,13.44939033,12.35933978,12.59350818,12.52544535,12.48356283,13.53887881,13.41130855,13.38265911,13.35250967,13.18693197,14.13102342,13.61745502,14.01388922,13.48023494,13.30210743,12.56771524,12.57407212,13.24346487,13.33142937,12.90826059,13.74743383,13.16417286,0.20220100310273,0.833785254175139,25.5207272903887
"GSM672651",13.63642639,13.84114201,13.36649851,12.76461152,12.75841524,13.04265836,13.22356468,13.66069851,13.85627844,14.20152714,13.34507323,13.2692461,14.13691599,14.0958948,12.6938881,12.83902974,13.00986097,12.88436691,13.7497,13.7086368,14.01120595,14.12791078,13.84591078,14.42909851,14.15506134,14.47804424,14.21067918,13.83859442,12.93148625,12.76756729,14.04280037,13.93621227,14.02572788,14.30661041,13.57313309,0.19698606455493,0.85243603116529,25.6493979004556
