"","acpA","comA","fapR","fabD","fabG","plsX","pval","z","inv_cof_var"
"GSM672614",14.39460335,12.36528178,14.92148885,12.99247212,14.00300297,13.95421375,0.483443734840362,0.0415123221333357,19.8348140730177
"GSM672626",15.63036543,12.39590892,14.47288086,14.04280037,14.05925799,14.39110335,0.333617919698771,0.429944739859858,22.3258261197735
"GSM672627",16.11630929,12.30054126,14.8169052,14.50030743,14.51807323,14.5076632,0.390408833241487,0.278253633123512,21.3530330236731
"GSM672628",16.20058401,12.28154684,14.66993086,14.3392342,14.54011041,14.5973803,0.490879614018518,0.0228634091397365,19.7152188363538
"GSM672629",15.79347546,12.21777212,14.8030119,14.40846283,14.43247509,14.58946431,0.166491337928811,0.968123537811963,25.7771597567901
"GSM672633",15.88525911,11.93752491,14.55987026,14.51807323,14.60915242,14.69077807,0.174620760550289,0.936061505772542,25.5715463620041
"GSM672634",15.79347546,12.22038662,14.73161599,14.35125911,14.35125911,14.58946431,0.21298645802346,0.796101717386155,24.6739860580201
"GSM672635",15.86194312,12.14178848,14.6741539,14.49293792,14.37716803,14.64447732,0.212672371459407,0.797183025403609,24.6809204722832
"GSM672636",15.78401747,12.33911152,14.5931777,14.25402268,14.27576691,14.36337323,0.313117635339323,0.487032540808345,22.6919294453347
"GSM672637",15.70693346,12.31733383,14.43977026,14.34591822,14.40469851,14.46059071,0.186652265694077,0.890300539762583,25.2780818816984
"GSM672638",15.68112788,12.34942305,14.60551747,14.19849442,14.30353717,14.39460335,0.231203808566765,0.734888147859763,24.2814242321878
"GSM672640",15.75899182,12.40349591,14.58543234,14.31640743,14.43977026,14.53674944,0.192329711211705,0.869343233307131,25.1436829477638
"GSM672641",15.55620743,12.40940483,14.66569628,14.14860818,14.2572026,14.51143346,0.149416542617398,1.03893904652784,26.2312986938563
"GSM672642",15.79347546,12.14741227,14.46409554,14.23157435,14.61673569,14.37716803,0.276655532185012,0.592805891654211,23.3702525696634
"GSM672643",15.68968439,12.68502305,14.06186803,14.16922491,14.29121375,14.18104015,0.397560635400341,0.259666195050506,21.233832024876
"GSM672644",15.51421413,12.45543494,14.8169052,14.18664647,14.16637026,14.56330743,0.143062841088847,1.06665936627582,26.4090687441428
"GSM672646",16.08663829,12.19392119,14.39110335,14.39951896,14.52588253,14.32280074,0.499927976366286,0.000180536477690548,19.569753868762
"GSM672647",15.97278996,12.29753643,14.4894368,14.3805052,14.41869665,14.57775836,0.364585496378824,0.346228506730613,21.788955004704
"GSM672648",15.32970632,12.53718401,14.54790446,14.06186803,14.02274981,14.25402268,0.12711298847093,1.1401448077464,26.880329925266
"GSM672649",15.13492268,12.30338885,14.30992379,13.80104535,13.8509658,14.05645093,0.151764851807576,1.02889354153206,26.1668770008712
"GSM672650",15.35256022,12.29913829,14.32645576,13.93337732,13.86665948,14.18383309,0.249895608331088,0.674818293099264,23.8961970342853
"GSM672654",15.76791375,12.58894312,14.46409554,14.07336952,14.21655688,14.36337323,0.389061131249073,0.281766887547724,21.3755634786368
"GSM672656",15.05480706,12.86164312,14.82197844,14.35301933,14.39110335,14.3837368,2.23636088877291e-05,4.08159744420012,45.7438274552956
"GSM672657",15.75899182,12.06917695,14.42909851,14.18664647,14.15506134,14.50400372,0.347584179845423,0.391850932401184,22.0815310276137
"GSM672658",15.71599665,11.98850669,14.46059071,14.2572026,14.26004424,14.30992379,0.284761454821228,0.568754274326559,23.2160098603195
"GSM672659",15.62225242,12.06978903,14.66993086,14.43977026,14.37716803,14.61295725,0.0669204596347836,1.49912610974258,29.1824723495941
"GSM672660",15.25573643,12.37973866,14.77223197,14.11600446,14.07336952,14.46736729,0.0600626780683502,1.55424764691099,29.5359660510876
"GSM672661",15.5469539,12.72426729,14.8169052,14.08497249,14.00590855,14.50030743,0.281455668811026,0.578522609027226,23.2786540638041
"GSM672662",15.58944684,12.60967212,15.09480297,14.32280074,14.09866691,14.76273346,0.210498172733578,0.804693891446157,24.7290875586017
"GSM672664",15.88525911,12.52685316,15.13492268,14.24770112,14.17950558,14.79444089,0.401588614157541,0.249237300055754,21.1669516568101
"GSM672665",15.78401747,12.59563271,15.22980632,14.35627175,14.16637026,14.77223197,0.319438854487568,0.469268526646643,22.5780090533795
"GSM672666",15.37522491,12.29315279,15.44358327,14.36337323,14.26946022,14.98346506,0.122194030133123,1.16408871792534,27.0338819100651
"GSM672667",15.83757435,12.31592825,15.59743048,14.70303309,14.58946431,15.06041338,0.101421490379881,1.27349349120006,27.7354932992354
"GSM672668",16.11630929,12.13241078,14.93051896,14.2410829,14.3805052,14.61295725,0.487058944880825,0.0324441056523882,19.7766597185773
"GSM672669",16.06489257,12.33601004,15.03266691,14.32986134,14.37000297,14.49691561,0.45209342460468,0.120374047222497,20.340553291116
"GSM672670",15.53897138,12.27279517,14.90736059,14.3392342,14.29121375,14.58155874,0.0770060106521275,1.42550241919474,28.7103245789351
"GSM672671",15.97278996,12.26289851,14.88252156,14.23157435,14.29121375,14.57414535,0.42142078010874,0.198260109418338,20.8400355957593
"GSM672673",15.5469539,12.02449777,14.75811599,14.07067323,14.06186803,14.33275836,0.277065804022,0.591580390813304,23.3623934486974
"GSM672678",13.96283048,12.3842197,14.08209294,12.84824535,12.86008625,13.3752881,0.301894520550845,0.518959418274314,22.8966760955976
"GSM672679",14.01974312,12.43471264,14.22263903,12.84824535,12.87947621,13.46775725,0.393018179728737,0.271461171529463,21.3094730557463
"GSM672680",13.80583271,12.45247361,14.3837368,12.92409052,12.89724424,13.49977695,0.378360538551841,0.309789447099989,21.5552717888602
"GSM672681",13.93093309,12.50924944,14.21381301,12.84992788,12.89724424,13.44724164,0.34362873271342,0.402579673460278,22.1503343045934
"GSM672682",13.85341561,12.62237993,14.09313569,12.85165985,12.96507435,13.33719963,0.210383778837137,0.80509032637501,24.7316298906483
"GSM672684",15.78401747,12.34201004,14.56330743,14.07618625,14.05076654,14.32280074,0.451635492774637,0.121530339248476,20.3479685768513
"GSM672687",15.53070669,12.23710446,14.23797286,14.17215799,14.11871338,14.27227695,0.235370127156189,0.721275131610911,24.1941241359007
"GSM672688",15.66552974,12.10151896,14.46409554,14.24770112,14.30992379,14.14860818,0.279137694365204,0.585405057771428,23.3227911181554
"GSM672692",15.63036543,12.55874387,14.78045019,14.44658587,14.54011041,14.47455279,0.0557753352621644,1.59126179721903,29.7733373159718
"GSM672693",15.85358848,12.30338885,14.50030743,14.34210483,14.51807323,14.47455279,0.270824721007941,0.61032061731259,23.4825742776866
"GSM672694",15.80265167,12.45414126,14.43607286,14.49293792,14.52209926,14.35301933,0.234273965940978,0.724843685756513,24.217009227259
"GSM672698",14.48155167,11.68223941,13.82289926,13.02672268,12.91142379,13.2749487,0.424928620495389,0.189300579716728,20.7825782482223
"GSM672700",14.31970743,11.64539052,13.68668848,12.84824535,12.71507175,13.33340483,0.442273219151293,0.145208267876062,20.4998148254182
"GSM672704",15.48368625,12.13522082,14.13102342,13.92068736,13.8509658,14.1232316,0.394653588255626,0.267210390449336,21.2822128519232
"GSM672710",15.36026208,12.15447286,15.49940186,14.56330743,14.60915242,14.95582342,0.00727550924208963,2.44336485022373,35.2378631208352
"GSM672711",15.53070669,12.01371413,15.31526691,14.42909851,14.88252156,14.78927807,0.0108767524140912,2.29464451749431,34.2841215598326
"GSM672712",15.6989948,12.15595799,15.49940186,14.58543234,15.11720743,14.96705799,0.00996805409259472,2.32754817295406,34.4951322746752
"GSM672716",15.78401747,12.46166171,14.63629591,14.16637026,14.29400892,14.38725613,0.33089155496304,0.437452647685349,22.3739742350845
"GSM672718",15.6989948,12.48666022,14.5149171,14.12469963,14.27576691,14.31325613,0.303461189774691,0.514471502352204,22.8678951491147
