"","nadA","nadR","nadB","nadC","niaP","nifS","pval","z","inv_cof_var"
"GSM672639",14.01388922,12.59637175,14.19545279,14.23481264,12.01371413,12.37568327,0.284648051092506,0.569088470635717,13.0232495227943
"GSM672640",13.66987732,12.49420967,13.80827249,13.88999294,11.23349517,12.44072714,0.339537769395324,0.413724968928662,12.2685256539839
"GSM672641",13.6744539,12.61394312,13.95989033,13.90805539,11.10190223,12.60364461,0.380017087140572,0.305435911472403,11.7424797326752
"GSM672642",14.24448885,12.49129033,14.03726022,14.41536729,11.31671078,12.3683684,0.488588003995262,0.028609534219596,10.3977142495763
"GSM672643",14.15158996,13.01521004,14.17215799,14.11029777,11.40649405,12.68047472,0.365995233685096,0.342478970435889,11.9224272780531
"GSM672644",14.51143346,12.90213346,14.30661041,14.68655279,11.33878662,12.99076729,0.487751556264389,0.0307071204688644,10.4079038912349
"GSM672645",14.15794052,12.58011896,14.25115204,14.43977026,11.53634684,12.44507026,0.441562451427078,0.147009017330338,10.9728745348214
"GSM672656",14.26004424,13.57750632,14.36337323,14.43977026,11.4622,13.12422305,0.369614566120514,0.332874349782527,11.875770010559
"GSM672657",13.86665948,13.21581859,14.07618625,14.15158996,12.35006059,13.10592714,0.0318234718250298,1.85464495762439,19.2682179663088
"GSM672658",14.08209294,13.41992007,14.10748848,14.25115204,11.94133643,13.60618996,0.127394794363169,1.13879279242059,15.7907556943934
"GSM672659",14.18664647,13.16680669,14.18951673,14.27893866,12.37568327,13.35250967,0.0591468864659959,1.56197544778,17.8464898105602
"GSM672661",14.44658587,13.24435279,14.31640743,14.48155167,11.33162788,13.18166543,0.431146874838852,0.17345505952554,11.1013439569249
"GSM672664",14.4894368,13.08473941,14.5149171,14.61673569,11.51478885,13.24606989,0.426204420901601,0.186045804147411,11.1625071991781
"GSM672665",14.52939071,13.12992751,14.24770112,14.54011041,11.38870186,13.1395539,0.433282853708497,0.168022335843288,11.0749529050331
"GSM672667",14.18383309,13.19966617,14.46059071,14.45026283,11.3258513,13.26165428,0.418268382501101,0.206325366741068,11.2610211343708
"GSM672668",13.94646394,13.00295056,14.14415112,14.25402268,11.05514201,13.22730074,0.432566848600983,0.169842887935388,11.0837967718565
"GSM672669",13.89516245,13.02196208,14.05076654,14.11600446,10.81497212,13.18357249,0.473872238043848,0.0655394766189058,10.5771122980002
"GSM672670",13.85909405,12.88276766,14.04813494,14.13691599,10.77595948,13.22169145,0.488249718144653,0.0294578485932283,10.4018351859546
"GSM672671",13.94393941,12.79327175,14.01120595,14.06484089,10.93322082,13.26255799,0.445268782762776,0.137624026864987,10.9272841855119
"GSM672672",13.56203011,12.65138587,13.68882788,13.7935658,10.61555799,13.18693197,0.459839328786733,0.100838508108209,10.7485877173758
"GSM672673",13.5255539,12.60364461,13.6722223,13.84114201,10.68536877,13.05955874,0.440463254856125,0.149794802984998,10.9864073073442
"GSM672674",11.47064201,10.79103494,11.12754535,11.48512491,11.20221599,11.08451636,8.91356976913199e-12,6.72279493699991,42.9166871757088
"GSM672675",11.31439294,11.14367621,10.5722368,11.02712677,10.65467323,10.71782584,3.55405178500839e-08,5.38841684824411,36.4345534535905
"GSM672676",11.17064349,10.95356487,10.48577063,11.0330539,10.25133606,10.71840037,1.30760534395282e-05,4.20462007907593,30.6839127452178
"GSM672677",10.90965465,11.17657509,9.769912639,10.51293717,9.428277695,10.09368364,0.14884888081763,1.04138314566798,15.3175597078919
"GSM672678",10.70654424,11.15552937,9.470373234,9.94515539,9.302730483,9.571112639,0.256632508498271,0.653762209471428,13.4345770936753
"GSM672683",14.07896877,12.92992751,14.19849442,14.32280074,12.38563941,12.83102602,0.11552960512002,1.19763483046605,16.0765981870922
"GSM672684",14.10748848,12.97208327,14.07896877,14.31970743,12.43925799,12.80310595,0.093108209477652,1.32185506184046,16.6800344676686
"GSM672685",14.05355316,12.76934647,13.95989033,14.14860818,12.30746208,12.78364684,0.0977741782052326,1.29433898398862,16.5463670328936
"GSM672686",14.21807175,12.87794796,14.1294671,14.22852825,12.72872639,12.63002937,0.0857587717844312,1.36734388092607,16.9010097749363
"GSM672687",14.21067918,12.96154498,14.29121375,14.5706171,13.00027677,12.60530818,0.112622063562292,1.21270107910295,16.1497869176162
"GSM672688",14.31970743,12.88900186,14.23481264,14.56695242,13.13574721,12.6482026,0.104991998190469,1.25360944539413,16.3485113293008
"GSM672692",13.64061375,12.93148625,13.77427435,13.71375353,10.77360446,12.97456059,0.407502845556377,0.233973320347925,11.3953291943822
"GSM672693",13.55765056,12.77709554,13.73114758,13.57540669,10.77422658,12.80470855,0.388422341491601,0.283433328445756,11.6355957193565
"GSM672694",13.75962305,12.62237993,13.70641859,13.99478104,10.77595948,12.78829182,0.455611966724621,0.111494869918842,10.8003541266341
"GSM672695",14.51807323,12.95655428,13.57540669,14.53294684,11.53395353,12.87549108,0.383237553505884,0.296988738280363,11.7014451063829
"GSM672696",14.33275836,13.16149219,14.19545279,14.46059071,11.07026989,13.42184944,0.475445080050681,0.0615889710435267,10.5579215561668
"GSM672697",14.05645093,13.34864684,14.08764126,14.19849442,10.82198364,13.44091413,0.485781420634346,0.0356482419047273,10.4319068407395
"GSM672704",14.22564647,12.76461152,14.33756283,14.33275836,12.233029,12.81155353,0.212388335355114,0.798161681692877,14.1360399670769
"GSM672705",14.2572026,12.67339796,14.43247509,14.3805052,12.2903119,12.86480892,0.232414838782758,0.730917284870771,13.809380547279
"GSM672706",13.96540669,13.04114164,13.8485,13.93621227,12.06073494,12.94134015,0.0673954967535502,1.49547318324981,17.5234355164731
"GSM672707",13.58822193,12.78051896,13.57959368,13.64061375,11.18580558,12.94134015,0.23467514792451,0.723536568549698,13.7735265486549
"GSM672708",13.82289926,12.80153755,13.66180929,13.67938253,11.12754535,12.90213346,0.29820707547756,0.529564157186043,12.8312485545421
"GSM672709",13.78374796,12.90673086,13.30210743,13.6081974,10.79582193,13.09676506,0.369242368802326,0.333860619286632,11.8805611045267
"GSM672710",12.51518699,10.72286952,12.42150967,12.56927323,11.80914981,10.75493755,0.243283952371351,0.695777942712361,13.6386808657588
"GSM672711",12.42726766,10.77255948,12.11117286,12.26584201,11.67839033,10.74380595,0.134509578855546,1.10532414864657,15.6281719212715
"GSM672712",12.06917695,10.87436729,11.70866914,12.33387305,11.52469963,10.65846506,0.0667762269623332,1.50023919424732,17.5465878155607
"GSM672713",12.7318948,13.32130186,13.02025465,13.04265836,12.00980706,12.94628513,8.81886997333928e-05,3.7506490827971,28.4786152147506
"GSM672714",12.66638996,13.49777063,12.60816022,12.57407212,11.53162528,12.89897175,0.024900375988302,1.96167141425768,19.7881304330583
"GSM672715",12.87633978,13.38685874,12.90213346,12.88900186,11.96693457,12.85502825,0.000156614204881638,3.60410666498985,27.7667423533828
"GSM672716",13.958529,12.99432751,14.17513717,14.24770112,11.6064513,13.08980112,0.270696185109141,0.610708813511624,13.2254325699797
"GSM672717",13.76919963,12.91991375,14.01120595,13.99347658,11.45977212,12.8811052,0.257451537547399,0.651222179215659,13.4222381502268
"GSM672718",13.9054052,12.88760223,14.07618625,14.00869331,11.69090818,12.96413848,0.206122968405071,0.819947675098799,14.2418718326601
"GSM672719",12.22177807,12.35485911,12.33317249,12.34786914,11.03188587,12.56328699,0.00839286568749759,2.39136772277434,21.8755065337126
"GSM672720",12.25706059,12.34201004,12.21777212,12.21173457,11.1493119,12.63887881,0.00259214774700064,2.79535373550812,23.8379873166873
"GSM672721",12.233029,12.2344052,12.35779405,12.59205613,11.21668625,12.45414126,0.0014179731119621,2.98498241959041,24.7591643789672
"GSM672758",14.27893866,13.08133792,14.54011041,14.65334089,11.69607844,13.13574721,0.371957544482237,0.326673178113216,11.8456459967334
"GSM672759",14.36693011,13.10802045,14.65737807,14.77594758,11.54228885,13.05163569,0.453108793857815,0.117810780144672,10.8310355167181
"GSM672760",14.03459963,12.87633978,14.39777584,14.50030743,11.45005353,12.87947621,0.41250366741031,0.221109292668608,11.3328383993632
"GSM672761",14.50030743,13.12244907,14.83115242,14.96705799,12.08812974,13.33519294,0.353070398710475,0.377044146828542,12.0903377806264
"GSM672762",14.32280074,13.16499442,14.78927807,14.46059071,12.05938885,13.24257695,0.269965371607902,0.612917724035342,13.2361630020181
"GSM672763",14.27576691,13.07284758,14.56330743,14.68241227,11.95681487,13.24257695,0.299172434409289,0.526782166033562,12.8177342149286
"GSM672764",14.25115204,12.91305019,14.51143346,14.69494015,11.91770855,13.02196208,0.337648981593498,0.418888033185404,12.2936067559669
"GSM672765",13.6744539,12.25553011,13.91831896,14.01692193,11.37209145,12.15521543,0.391716217710878,0.274848759532044,11.5938936529674
"GSM672766",12.03426766,11.9387881,12.55874387,12.56166506,11.01436617,11.32936877,0.0389925657796626,1.76249836988184,18.8205888356918
"GSM672767",14.13102342,13.05512156,14.30992379,14.41536729,11.59397472,12.95315316,0.33950817052983,0.413805793050726,12.2689182809099
"GSM672768",14.66993086,13.21222714,14.68655279,14.64447732,12.13455335,13.15597175,0.300836791094424,0.521995329899484,12.7944807516198
"GSM672769",14.44658587,13.01695428,14.6281855,15.03851413,11.49220149,13.33340483,0.490908091561677,0.0227920079235303,10.3694539058995
"GSM672770",14.47455279,13.12800297,14.74027026,14.74487584,11.94402528,13.30973011,0.345204670112355,0.398299620434667,12.1935924903693
"GSM672771",14.73161599,13.30585762,14.88252156,14.95131636,12.14178848,13.46987881,0.336606897976982,0.421741381709806,12.3074677349854
"GSM672772",14.51807323,13.28255242,14.8357223,14.78475056,11.98850669,13.42184944,0.333596061109687,0.430004837563398,12.3476099003141
"GSM672773",14.29121375,12.96858699,14.65334089,14.65737807,12.06224721,13.18357249,0.297187083703162,0.532508050692901,12.8455493824228
"GSM672774",14.30661041,13.31143866,14.55173829,14.66569628,11.87618959,13.35045167,0.293464537792353,0.543291558317345,12.8979334398381
"GSM672775",14.3805052,13.10047026,14.55987026,14.75366506,11.78955725,13.15227509,0.370095024884864,0.331601681418573,11.8695876499608
"GSM672776",13.19533104,12.27211654,12.93473197,13.19793569,10.93087398,11.69090818,0.255391802775138,0.657618030656104,13.4533078782545
"GSM672777",13.99217212,12.80470855,14.21655688,14.37000297,11.23406803,12.81874535,0.435890609713018,0.161396377731078,11.042765366222
"GSM672778",14.47120892,13.09848885,14.72338401,14.61295725,11.56802119,13.35631375,0.427050973434832,0.183887199526474,11.1520211428467
"GSM672779",14.40126208,13.21045353,14.70664796,14.64878104,11.6064513,13.22549963,0.411903817567159,0.222650364301488,11.3403246077204
"GSM672780",14.32986134,13.0950171,14.58155874,14.58946431,11.4682684,13.33719963,0.423203134850392,0.193705774996455,11.199717758741
"GSM672781",14.39777584,13.202279,14.64447732,14.74027026,11.73846877,13.27671636,0.377017205496069,0.313324140991212,11.7807991258086
"GSM672782",14.47120892,13.18693197,14.74947249,14.90736059,11.51009108,13.39496283,0.469364489288452,0.0768674669301674,10.632141340083
"GSM672783",14.45389294,13.24606989,14.76273346,14.8536461,11.72728216,13.2139171,0.415279993954196,0.213983418392559,11.2982223708675
