"","fadA","sdpR","ccpA","fadR","fadE","fadN","pval","z","inv_cof_var"
"GSM672723",10.16249219,12.4661171,13.04444907,12.32160558,9.961820446,10.09368364,0.454122026852344,0.115253677379067,98.7772060871525
"GSM672725",8.826257249,11.64474981,12.89724424,10.93138271,8.862331599,8.782315242,0.0788227353125548,1.41303487315091,220.191260687093
"GSM672740",9.453789963,11.20686022,12.59922416,11.61762454,9.299215242,9.389882528,0.363020946097854,0.350395514511041,120.775925089466
"GSM672741",9.242672119,10.80032714,12.6322829,11.43100372,9.192094796,9.088011896,0.380953963651295,0.302976294486882,116.339615033613
"GSM672742",9.130303346,10.7252513,12.88436691,11.13711487,8.992026022,8.955711524,0.45751700721496,0.106691136611062,97.9761366960195
"GSM672760",9.116951673,14.08209294,13.30973011,11.15301375,9.07303197,8.958167286,0.405486866732913,0.239170039640876,110.370214232515
"GSM672762",8.507581413,13.24083643,13.52764833,10.36854833,8.439837918,8.400856506,0.232147138495734,0.731794057000657,156.457705356464
"GSM672763",8.565359108,12.73977435,13.28852007,10.73466766,8.42054461,8.421766914,0.44167020346044,0.146735994095019,101.722537498284
"GSM672764",8.557764684,12.40656468,13.21872714,10.56574944,8.444594424,8.424176208,0.375104159502583,0.318364690302306,117.779278002861
"GSM672765",8.675730855,11.89479201,13.15227509,10.79346208,8.512473234,8.534192193,0.462873202393022,0.0931978218315272,96.7137682299683
"GSM672768",9.076839777,12.07309777,12.79829665,10.8252368,8.959613011,8.958167286,0.318556618212962,0.471738803440816,132.128209091928
"GSM672769",9.192094796,12.18289145,12.80470855,11.22497212,9.058432714,8.994675465,0.490851873625781,0.0229329622244205,90.1401319894458
"GSM672770",8.992026022,11.94797546,13.25872286,11.01195019,8.947592565,8.950156134,0.00186621917457657,2.89993182161114,359.298059177472
"GSM672771",8.765206691,11.76055242,13.23109554,10.7218171,8.795147584,8.725552788,0.0407369856746816,1.74219704237898,250.986061626648
"GSM672772",8.488292565,11.67314796,13.41359628,10.34576506,8.477389963,8.445764684,0.000793629432088636,3.15823805063482,383.463925269816
"GSM672773",8.39470223,11.69346877,13.40495093,10.49409517,8.411169703,8.290675465,0.33430595719245,0.428053851204401,128.041258846919
"GSM672774",8.421766914,12.16102881,13.40928959,10.61090149,8.439837918,8.428883643,1.65171599151096e-19,8.95809254022586,926.069914603875
"GSM672775",8.625594052,12.17742788,13.2904829,10.61440372,8.485988104,8.543130112,0.358746854564953,0.361810414372639,121.843847231939
"GSM672776",8.56752974,12.57097026,13.38472454,10.59128327,8.579858364,8.434796283,0.42359334224947,0.192709242714906,106.023569549186
"GSM672778",8.899360595,12.64338773,12.54404182,10.8556171,8.859812268,8.778329368,0.277084663965982,0.591524076661774,143.334732772885
"GSM672779",8.9752171,12.57725279,12.62842751,10.80403717,8.900716729,8.876988848,0.179003366346437,0.919169861155755,173.987668181102
"GSM672781",8.813281784,12.67568848,13.42815502,10.68212305,8.771788476,8.766517844,0.00321454319924676,2.72505455025317,342.93739788717
"GSM672783",8.528750929,12.59922416,13.45721859,10.38775948,8.464214126,8.522198513,0.0527441328726099,1.61880946158325,239.442523686281
"GSM672784",8.565359108,12.24164052,13.7522145,10.5733777,8.57858513,8.688081413,0.335133988222898,0.425780254235078,127.828552246245
"GSM672786",8.526891822,12.1574803,13.1395539,10.86752045,8.444594424,8.491805204,0.104502636735099,1.25630537618188,205.528416315164
"GSM672787",8.414850558,14.89745725,13.28163141,10.81124015,8.474837918,8.523357993,0.234143619331477,0.725268643138782,155.847219584676
"GSM672790",8.461734572,11.6064513,12.70008885,10.59358662,8.39470223,8.285950558,0.472406980593234,0.0692206814341269,94.4705843690486
"GSM672794",8.204286617,11.86338253,12.33601004,10.61611691,8.213257249,8.140407807,0.103455372135364,1.26210572841486,206.071068870932
"GSM672796",8.768963569,14.7149948,12.38563941,10.91926171,8.690523792,8.607624907,0.416596658176601,0.210607811478693,107.698072009406
"GSM672802",8.289634201,11.8077974,12.74445799,10.6382342,8.166616729,8.230542007,0.312393355952102,0.48907766699203,133.750348272837
"GSM672806",8.689369888,12.41414164,12.14111636,10.89814201,8.549405204,8.62690223,0.35427911665552,0.373793127013606,122.964891157976
"GSM672808",8.909420074,11.75320818,13.77875762,10.98734907,8.899360595,8.741252416,0.475142380256309,0.0623491851990929,93.8277208248843
"GSM672811",8.285950558,11.82952268,12.94134015,10.56574944,8.242130112,8.109748699,0.493474010774044,0.0163589587363345,89.5251004101294
"GSM672813",8.453284015,11.49827212,12.92588699,10.72878178,8.434796283,8.282275836,0.494014773448836,0.015003300955655,89.3982717056155
"GSM672815",8.466633086,11.85025242,12.58472156,10.83579108,8.42662342,8.385220818,0.10170002045269,1.27192423280295,206.989640069027
"GSM672816",8.683216729,12.02449777,12.18289145,11.03873829,8.545669888,8.607624907,0.346138571911204,0.395766701321983,125.020631185282
"GSM672817",8.540665428,12.96858699,12.29753643,10.629771,8.556642751,8.528111524,2.6003731805959e-08,5.444306979412,597.337341406582
