"","qdoI","lmrA","qdoR","yxaH","pval","z","inv_cof_var"
"GSM672625",9.94515539,11.30368922,9.589195539,9.353508178,0.275319777521838,0.596802041125443,32.3288701870052
"GSM672626",9.728449442,11.34337435,9.57370223,9.319698513,0.0823902536519461,1.38917182425872,46.2296926932253
"GSM672627",9.83625948,10.90396134,9.075482156,9.374982156,0.437856719589835,0.156405453027082,24.6028375519741
"GSM672628",9.773924535,10.67624981,9.032881413,9.328658364,0.425784031480747,0.187118066949716,25.1416397677178
"GSM672629",9.711259851,10.88007955,8.91457658,9.401242751,0.468099187079054,0.0800488874120619,23.2632873969925
"GSM672630",7.594366171,8.727996283,7.765909294,7.574069517,0.00193348269844351,2.88881497088007,72.538461209637
"GSM672631",7.790382156,8.170942379,7.840681041,7.362719331,0.33816091998449,0.417487534859006,29.18309257476
"GSM672632",7.70747974,8.363724164,7.716571004,7.375808178,0.162285508311242,0.985108015393332,39.1410588157264
"GSM672633",9.03881487,10.01376952,8.316217472,8.755100372,0.45355226783349,0.116691488146941,23.9061214623801
"GSM672634",9.723099628,11.11013494,9.134895911,9.389882528,0.283115778733197,0.573610274483264,31.9220088470589
"GSM672635",9.661409665,10.61440372,9.03881487,9.27505948,0.328082213884908,0.445214944554099,29.6695243001151
"GSM672636",9.692330112,11.00720223,9.045071375,9.38253829,0.342942610384148,0.404445399908373,28.9542898024811
"GSM672637",9.853855762,11.13599963,9.06572974,9.367478067,0.457943971154047,0.105614849682098,23.711800088013
"GSM672638",9.912310037,11.39588067,9.366164684,9.292084387,0.360692314347339,0.356608880063539,28.1150768670145
"GSM672639",9.427001859,10.88470892,9.812004461,9.432344238,0.110898347346917,1.22176450579462,43.2928070752381
"GSM672641",9.895909665,10.9565684,9.180263569,9.201721561,0.470611514634258,0.0737327621963497,23.1524813851788
"GSM672642",9.239005576,9.745832714,8.570050929,8.596839033,0.468603381680095,0.0787810672767719,23.2410455813079
"GSM672643",8.788727138,10.50502379,9.42066803,8.771788476,0.444262688185955,0.140170377204403,24.3180198921011
"GSM672644",8.770366914,10.04221636,8.746243494,8.534192193,0.00518972785588347,2.56292469909921,66.8212532582991
"GSM672645",9.407636059,10.98965576,9.675759108,9.403698141,0.0130475009745667,2.2247950188721,60.8893250488011
"GSM672647",8.695480297,9.884420446,8.041408922,8.369905204,0.415785995122171,0.212685868051622,25.5901847180143
"GSM672651",9.470976394,9.790525651,8.736597398,9.226846097,0.441261842708503,0.147770760862728,24.4513561026211
"GSM672654",8.109185874,10.38045316,8.555434201,8.077768773,0.303763224326258,0.513607480314216,30.8693586711234
"GSM672660",8.590303903,10.25863271,8.471215242,8.388984758,0.000206654075927327,3.53143709712261,83.812207767896
"GSM672661",9.425710781,9.740756506,8.765206691,8.959613011,0.392120218225292,0.273797250817692,26.6622832546112
"GSM672662",9.040090706,9.961820446,8.438575465,8.607624907,0.362515123452756,0.351744016602955,28.0297308519063
"GSM672663",8.622026766,9.943906691,8.533185874,7.962027881,0.46555496513838,0.0864484540861989,23.3755572517339
"GSM672664",9.481560223,9.709953532,8.890312639,9.057098141,0.321450094740924,0.463647677664292,29.9928962367078
"GSM672665",8.857243123,10.26368476,8.558926394,8.491805204,0.0994678535117801,1.28458967952625,44.3949712510506
"GSM672674",8.71195948,8.311623048,8.083214498,8.558926394,0.411668492843694,0.223255080266326,25.7756041347495
"GSM672695",8.554786431,9.257236803,8.976527138,8.333075836,0.398402539682665,0.257484111182248,26.3760960937445
"GSM672702",9.559210037,9.586639777,8.817770632,9.159348327,0.434914677160906,0.163875246178199,24.7338827671781
"GSM672703",9.615347955,9.557981784,8.867563197,8.988291822,0.478379786292423,0.0542203939193815,22.8101690281608
"GSM672710",8.414241264,11.13299387,8.660651673,8.251019703,0.138413509760272,1.08747482285758,40.9369158150457
"GSM672713",8.284689219,9.195828996,7.935463197,7.943737175,0.145043457822871,1.05793096769559,40.4186175463605
"GSM672714",7.809278067,8.639073606,7.957765056,7.661118587,0.0396121900771887,1.75520423280079,52.6511283044464
"GSM672715",8.140407807,9.378848327,7.914788104,7.862260595,0.0336849810060187,1.8291979328686,53.9492258759536
"GSM672720",9.655317472,10.82198364,8.863658364,9.409023792,0.474562511388273,0.0638055954986523,22.9783255993427
"GSM672734",7.755745725,8.238844238,8.271674721,7.724405948,0.411960459843052,0.222504822323011,25.7624420950984
"GSM672761",10.04345948,11.2202,9.42890316,9.63347026,0.30112900199158,0.521156141720638,31.0017874999403
"GSM672762",9.77656171,11.31913494,9.415497026,9.300388104,0.175405535962035,0.93301723071741,38.2272118122145
"GSM672763",9.984714126,11.34575651,9.507092565,9.575063197,0.186326783127458,0.891513847117512,37.4991033190456
"GSM672764",9.869347584,11.28562714,9.401242751,9.520383643,0.158007228068512,1.00268171258897,39.4493603823619
"GSM672765",10.11089517,11.38512714,9.455685688,9.470373234,0.409542583422323,0.228721778243696,25.871508345001
"GSM672766",10.246271,11.51240149,9.697269517,9.466457621,0.440778400662957,0.148995984724163,24.4728506368534
"GSM672767",9.538414498,10.84973011,9.260278996,9.110960595,0.115365809467828,1.19847636475105,42.8842550051851
"GSM672768",10.08286914,11.49942454,9.323555762,9.675759108,0.417535390643967,0.20820259651692,25.5115331046165
"GSM672769",10.1576368,11.38512714,9.717949814,9.458850929,0.370023483786596,0.331791149746594,27.6796906729841
"GSM672770",10.137871,11.49097026,9.447581784,9.750860223,0.357537023401122,0.365050048809188,28.2631632667941
"GSM672771",10.03135093,11.13711487,9.521692565,9.38873197,0.353777823033195,0.375140946514387,28.4401914434286
"GSM672772",9.71651487,11.04224089,9.717949814,9.461452788,0.00672066238823672,2.47185706072833,65.2236215666304
"GSM672773",9.340096654,10.96004981,9.521692565,8.871863197,0.372339656173071,0.325663037987239,27.5721830475315
"GSM672774",9.702426022,11.50890743,9.508453903,9.273874721,0.100965059749108,1.27607185559614,44.2455400623403
"GSM672775",9.645053532,11.30602491,9.669020446,9.136124535,0.291163521610061,0.54998881796578,31.5076093061153
"GSM672776",9.619292193,11.29645688,9.636028996,9.2174171,0.149943749347613,1.03667467437198,40.045710897317
"GSM672777",9.565701487,9.943906691,8.966280669,9.158375465,0.318133885918576,0.47292348114565,30.1556249279598
"GSM672782",9.992781041,11.07273717,9.248775836,9.598244981,0.410547778532032,0.226136114036053,25.8261471260648
"GSM672783",9.767536431,10.87208662,9.445009665,9.368698513,0.0935592152828296,1.31915161444429,45.0013034623415
"GSM672784",9.899647212,11.37927323,9.295815242,9.549532342,0.289316302351311,0.55538316566494,31.6022442499245
"GSM672785",9.774619145,11.11236022,9.446366171,9.430920818,0.059577554416605,1.55832971320667,49.1972891864863
"GSM672786",9.94515539,11.02948476,9.364909294,9.317866171,0.377937505731887,0.310902148021606,27.3132275499673
"GSM672787",9.804423792,10.96411468,9.38057974,9.331000743,0.201491520752144,0.836305532544016,36.5305643892557
"GSM672790",8.839163941,10.76552491,9.608206877,9.043852416,0.473898647222742,0.0654731364415728,23.0075798581027
"GSM672791",8.752569145,10.9960132,9.405123048,9.10509368,0.366956097441827,0.33992608132492,27.8224046461538
"GSM672792",8.796410037,10.89157584,9.446366171,9.082944981,0.363939732218221,0.347947695954524,27.963130660135
"GSM672793",9.153733829,11.25331078,9.546230855,9.216207063,0.102211993582936,1.26904788145792,44.1223160072818
"GSM672794",9.250950186,11.0330539,9.721840149,9.062107435,0.373808603795515,0.321782849978462,27.5041115410848
"GSM672795",9.234037918,10.8312829,9.075482156,8.979176952,0.00269272665768697,2.7830257413729,70.6825634536249
"GSM672796",9.353508178,10.59532491,9.138475093,8.890312639,0.159002601177811,0.998565535987373,39.3771488448184
"GSM672799",8.981802602,11.05639108,9.656692193,9.480399628,0.389607699522196,0.280341650269388,26.7770939618395
"GSM672802",9.331000743,11.18580558,9.636028996,9.535849814,0.0126348699845706,2.23725405910672,61.1078983848696
"GSM672803",9.637282528,11.40160372,9.934946097,9.676408736,0.0142684323501607,2.18982591255797,60.2758496861344
"GSM672804",9.305324535,11.14697993,9.765004461,9.328658364,0.201014510745591,0.83800299487535,36.5603435694834
"GSM672805",9.411591822,11.18580558,9.772573978,9.367478067,0.116045484161565,1.19498992030096,42.823091080828
"GSM672806",9.07303197,10.71943829,8.809375836,8.94377881,0.00439326390590163,2.62025019140793,67.8269345836445
"GSM672812",9.226846097,11.21893048,9.828678067,9.580934387,0.290186363426598,0.552840363276589,31.5576349709978
"GSM672813",9.392488104,11.31671078,9.800424907,9.813261338,0.145261785824504,1.05697374142927,40.401824588439
"GSM672814",9.316182528,11.20453309,9.781756506,9.565701487,0.137509725847478,1.09157613231908,41.0088665331079
"GSM672815",9.287444981,11.07857138,9.575063197,9.312601859,0.0172246900563254,2.11477205028878,58.9591533153001
"GSM672816",9.159348327,10.65846506,9.012932342,9.169653903,1.43120198529521e-06,4.68045395429388,103.969815652732
"GSM672817",9.107285874,10.59594424,9.323555762,9.025208922,0.0162230495130924,2.13887122546792,59.3819336431754
