"","gapB","ccpN","pckA","speD","sr1","pval","z","inv_cof_var"
"GSM672681",15.6989948,11.38870186,16.09371152,15.94857249,16.39080818,0.231151043391284,0.735061423551413,55.4956312809023
"GSM672682",15.59743048,11.38870186,15.71599665,15.48368625,15.80265167,0.0249735369518901,1.96041697053645,112.474210513234
"GSM672723",16.03633346,12.57097026,16.07966952,16.34839145,16.26199628,0.0292601314712411,1.89178027139453,109.282629416689
"GSM672728",16.16017398,12.58170112,16.27903383,16.32825874,16.4320948,0.00406666786764344,2.6464839805871,144.376072456115
"GSM672729",16.18018922,12.87633978,16.22890372,16.32106729,16.40455576,0.00110677200724044,3.05997644288404,163.603318852418
"GSM672730",16.16017398,12.94290967,16.37624089,16.3629342,16.38425465,0.00250592328402507,2.80627136273619,151.806126562868
"GSM672732",15.79347546,12.64033755,15.95731301,16.22890372,16.33439926,0.174203848462315,0.93768231108693,64.9174275285091
"GSM672734",16.340529,12.46166171,16.33439926,16.3698197,16.26861673,4.14368976437768e-15,7.76310675810722,382.29713712033
"GSM672735",16.21444944,12.71352639,16.37624089,16.28248513,16.29536729,7.13624020153469e-07,4.82116141965382,245.497768172517
"GSM672736",16.22155539,12.78364684,16.33439926,16.26199628,16.3629342,3.94314772697845e-07,4.93816042875607,250.938178775497
"GSM672789",14.94091933,12.45918048,15.64881152,15.46632379,15.68968439,0.306523951078153,0.505727582739386,44.8316925967266
"GSM672797",14.73557435,12.54327509,15.61343941,15.56470372,15.71599665,0.391986769842822,0.274144548858921,34.0631672676591
"GSM672798",14.9356,12.56166506,15.66552974,15.58130781,15.58944684,0.302460879907345,0.517335810666121,45.3714708972353
"GSM672807",14.84428699,12.29465353,15.60525576,15.4060026,15.61343941,0.324354413079358,0.455556644194282,42.4987625307663
"GSM672808",14.72338401,12.21495725,15.47494981,15.58944684,16.08663829,0.447436139240204,0.132141617538755,27.4600835395465
