"","yclH","yclJ","yclI","yfjR","yngA","yngB","yngC","pval","z","inv_cof_var"
"GSM672565",8.813281784,12.25148216,7.787331599,10.47046803,9.376255762,10.05522621,12.27727844,0.0985094549702783,1.29009144475988,6.36212150471571
"GSM672566",7.749934201,10.8927461,7.390745353,9.680681413,7.977637546,8.622026766,11.44532602,0.282905621755153,0.574231370611127,5.79243664120074
"GSM672567",7.798363941,11.10549071,7.534707435,9.603594796,8.185330483,8.828901487,11.08451636,0.0494994063540984,1.64972686602084,6.64832108934799
"GSM672568",7.902549071,11.79090335,7.548252045,9.780388104,8.374791822,9.133273234,10.88856264,0.0123553007231475,2.24589707257088,7.12275618499712
"GSM672572",7.454248141,11.38636171,7.454248141,11.1518223,9.454427323,9.874389219,11.5375197,0.463862832565048,0.0907066768706953,5.40764538225646
"GSM672573",7.470170446,11.15552937,7.395965799,11.05639108,9.221593494,9.513952416,11.41760669,0.431556548976697,0.172412688012269,5.47266741587231
"GSM672574",7.818343866,12.16591599,7.383236059,11.71712751,9.590351301,10.39695242,11.43575836,0.49007449864541,0.024882109596253,5.35526187746572
"GSM672577",7.929290335,9.305324535,7.415719331,9.704783271,7.213489591,7.904584015,10.70047807,0.182879260924783,0.904446818772548,6.05522367083089
"GSM672578",7.475075093,8.990778439,7.288603717,9.150171375,7.162046097,8.518662454,10.93927732,0.291560127767834,0.548832716972133,5.77222427141744
"GSM672579",7.563181041,9.176684015,7.266283271,9.487980669,7.175556134,8.046743123,10.74634201,0.262907982740428,0.634405891837623,5.84032381238116
"GSM672580",7.502536431,9.329881041,7.287647584,9.364909294,7.174337918,8.41797881,11.12166803,0.414265056369368,0.216587134757456,5.5078216514187
"GSM672581",7.579540892,8.959613011,7.335327509,9.081620818,7.116044981,7.905511896,10.41029554,0.0728633291330635,1.45479270538546,6.49319155397332
"GSM672582",7.683959851,8.91187026,7.421697026,9.466457621,7.133884387,7.858394796,10.08403457,0.0265982842483926,1.93332179533068,6.87400728757538
"GSM672583",7.574069517,9.120642751,7.358100372,8.956904089,7.265292565,8.094953903,10.2696368,0.0149141150204741,2.1723638423348,7.0642380894312
"GSM672584",7.910605948,8.833879926,7.513250186,9.145479182,7.135171747,8.04244052,10.56517138,0.051778904923291,1.62784474620433,6.6309071939636
"GSM672585",9.402522677,8.508939033,8.608751673,9.002004089,7.152958364,8.461138848,10.77255948,0.00366706680877447,2.68127901828027,7.46923521529263
"GSM672586",7.896279926,8.893053903,7.604586617,9.282447212,7.226248699,7.865181413,9.835013011,0.000338070789671603,3.3990750588896,8.04046073015651
"GSM672587",7.88627026,8.915866543,7.533066543,9.436229368,7.353526766,8.105662082,10.26853903,0.00800828894191278,2.40853756530254,7.25218626532953
"GSM672588",9.331000743,8.610542193,8.290675465,9.074839219,7.248830483,9.213757621,10.80762305,0.00219172163449519,2.84916288272646,7.60283799585994
"GSM672589",7.774867658,8.702976208,7.516815242,9.317263941,7.269249814,8.083214498,10.4357777,0.0291715710661702,1.89311075559563,6.84200715024338
"GSM672590",8.166616729,8.870406691,7.792295911,9.655317472,7.299471375,8.017719703,10.22197119,0.00423252831770712,2.6329349179628,7.43076274953337
"GSM672591",7.937997212,9.021356134,7.675019517,9.415497026,7.298382528,8.094953903,10.59003234,0.0326438930816126,1.84328242259067,6.80235352502778
"GSM672592",8.187467286,9.054074907,7.694830855,9.500806691,7.445059851,7.992124907,10.39436654,0.00520691307650609,2.56177666247209,7.3741346702046
"GSM672593",8.142416357,8.249947584,7.633254461,9.699892193,7.194324907,7.684879182,10.86810019,0.21937024765815,0.774321833509061,5.95166958652487
"GSM672594",8.265997026,8.387723048,7.575073978,9.768094052,7.284734201,7.893216357,10.66670855,0.0939235052329246,1.31697498260346,6.38351555243576
"GSM672595",7.739739777,8.461734572,7.430656506,9.032881413,7.351365799,7.783582528,11.0006961,0.228659937412242,0.743267283746532,5.92695622761318
"GSM672596",8.29409368,8.021720446,7.656668401,9.38253829,7.327780297,7.994171375,10.5411119,0.0155502060830598,2.15578557758789,7.05104502722434
"GSM672597",8.341881784,7.919985874,7.811251301,9.902143123,7.186222677,8.363136059,10.30154758,0.0112841514935096,2.28066457412477,7.15042432866477
"GSM672598",7.779686989,11.18467807,7.777772862,10.28280446,7.997119703,8.871863197,11.36849442,0.199695479650042,0.842709452574886,6.00609278016359
"GSM672600",7.88627026,11.03410706,7.626642937,9.984120446,7.604586617,9.239005576,11.08671896,0.145870664026697,1.05430930920281,6.17448495594768
"GSM672601",8.157425651,11.03246989,7.927762082,10.27073271,8.025824907,9.163631227,11.30368922,0.0582423043947314,1.56970134236897,6.58463639569672
"GSM672602",8.123189219,11.16042491,8.077768773,10.1452829,7.527991078,8.904501115,10.79286914,0.0222959062735402,2.00848467875235,6.93382226892405
"GSM672603",8.385220818,11.10436394,8.001172491,10.41518587,7.620645725,9.186043866,11.44763792,0.152201012812165,1.0270391583837,6.15278323977655
"GSM672604",8.371118216,11.15429703,8.032024535,10.40029442,8.007326394,9.295172491,11.48265204,0.0690046449920501,1.48324514783407,6.51583414346579
"GSM672605",7.905511896,10.90626022,7.701094424,10.24510112,7.628094052,9.146624535,11.60144089,0.377330174209514,0.312500282473515,5.58414979212537
"GSM672610",7.78546171,11.65836766,7.511424907,10.77762379,9.032881413,9.312601859,12.00166803,0.451532892499335,0.121789430342886,5.4323811858149
"GSM672611",7.805177323,11.56687732,7.410212639,10.76898067,9.053477323,9.513952416,12.03948625,0.486686326476003,0.0333786274959179,5.36202344696068
"GSM672618",7.716571004,8.276495167,7.522989591,9.524164684,8.073602602,8.639073606,11.02488141,0.0575961025549657,1.57527836702057,6.58907461853133
"GSM672619",7.605464312,8.331278067,7.532095911,9.302164126,8.019628996,8.682599814,10.75600112,0.0173586553215652,2.11164032961253,7.01591402819833
"GSM672620",7.630018959,8.485988104,7.369321561,8.985678439,7.724405948,8.117831227,11.23992454,0.252393610770196,0.666976379013897,5.86624356152166
"GSM672621",7.645181784,8.91457658,7.419142751,9.204114126,7.845779182,8.383890706,11.42134944,0.290767647610111,0.55114351825951,5.77406321811044
"GSM672626",7.813247212,10.45131152,7.557595911,10.49189926,8.061564684,8.887666543,11.45127844,0.325284659065969,0.452971424649542,5.69593739748037
"GSM672627",7.604586617,10.33722862,7.408899257,10.63562082,8.323040892,8.67227658,11.33044126,0.395220618169013,0.265737687277501,5.54693589568964
"GSM672628",7.763843123,10.49963327,7.468778439,11.06557435,8.700556506,9.198179926,11.37447026,0.352052769786838,0.379784297201548,5.63769473216503
"GSM672629",7.631891822,10.08658401,7.409369888,10.4894658,7.759375279,8.713237546,11.2654855,0.444465564678523,0.139656839303425,5.44660015513954
"GSM672634",7.530228253,10.26853903,7.358100372,10.32988178,7.975606691,8.869685688,11.39696357,0.445186074124038,0.137833322376547,5.44514899166623
"GSM672642",7.566876952,10.3979829,7.34665948,10.47872528,7.864212268,8.604154275,11.15677881,0.418712487946,0.205188343937682,5.49875043928255
"GSM672644",7.600991078,10.75712379,7.408428625,10.07193197,8.15352119,8.425394052,11.28562714,0.295771117600462,0.536602473482478,5.76249138527842
"GSM672645",7.617939777,10.59812825,7.499842751,9.933688848,8.191898141,9.075482156,11.7445632,0.398196466840674,0.258018105965365,5.54079261603903
"GSM672647",7.205772862,8.641617844,7.159424535,9.376255762,7.168089591,7.786410409,10.73702082,0.405865716305068,0.238192965808545,5.52501567488495
"GSM672660",7.422534201,10.75363569,7.242649442,9.561814498,8.782315242,9.11824461,11.36968216,0.24997071063218,0.674581922750136,5.87229608952511
"GSM672661",7.61314684,12.04223755,7.342844981,9.971773978,9.630962082,9.907921561,11.6089539,0.274266390337588,0.599960169720939,5.81291174232536
"GSM672662",7.557595911,11.20221599,7.319405948,9.582884758,9.348395911,9.604932714,11.69607844,0.304945289521889,0.510229654445748,5.74150377002231
"GSM672663",7.609332714,12.16591599,7.445059851,9.239005576,9.000162082,9.109746468,11.56687732,0.180702790094346,0.912690046697093,6.0617836709548
"GSM672664",7.74390632,11.93608848,7.441605204,9.632133457,9.475285502,9.763730112,11.92279405,0.295560676933387,0.537211752862781,5.76297625271711
"GSM672665",7.581318587,10.53447063,7.301544238,9.425710781,8.755100372,9.112163197,11.72986729,0.342100999752617,0.406735860183493,5.65914291461485
"GSM672695",7.72343197,10.17489219,7.517730112,10.3305,7.623303717,8.669790335,11.29645688,0.39529361469025,0.265548140962835,5.5467850538278
"GSM672696",7.648112639,10.4644316,7.406206877,10.03007658,8.015626766,9.060899257,11.79090335,0.498938159544888,0.00266164245059129,5.337578723662
"GSM672697",7.658812268,10.52708439,7.413969517,10.03493197,8.257919703,9.024053532,11.84897658,0.470745354705211,0.0733963658734663,5.39386975414983
"GSM672704",7.735995539,10.46088141,7.576928996,10.19194089,7.849694796,8.671066914,11.00122007,0.152721575981399,1.02483054333136,6.15102561337709
"GSM672705",7.718559851,10.49963327,7.568715242,10.17751747,7.872061338,8.700556506,11.14367621,0.202946600134626,0.831142381051152,5.9968876494401
"GSM672706",7.617939777,10.15378364,7.395965799,10.45256691,7.701094424,8.545669888,11.10315688,0.404177502540243,0.242548726979836,5.52848201041333
"GSM672713",9.42635632,10.29722862,9.102701487,12.13241078,8.163278439,9.080512639,11.99392119,0.204314510758209,0.82630866125077,5.99304095215359
"GSM672714",9.161006877,9.975315242,8.894226394,12.1154171,7.740816729,9.045071375,11.70737026,0.351743036449154,0.380618875785432,5.63835889378518
"GSM672715",9.2522,10.1260842,8.979176952,12.18972751,7.975606691,8.93649368,11.81923755,0.311217823591388,0.492401347090612,5.72731591794187
"GSM672723",8.098784015,10.97694387,7.612225279,11.62253309,8.425394052,9.02775539,11.27618439,0.416941311340064,0.209724602298603,5.50236041533588
"GSM672724",8.205537918,10.50016952,7.746923792,10.25257509,7.609332714,8.955024349,11.85939182,0.42933527080658,0.178066766199364,5.4771669582782
"GSM672725",8.295108922,12.2190777,7.999137918,12.05938885,9.730959851,10.23660632,11.53634684,0.187692361345224,0.886432109880983,6.04088747951815
"GSM672727",8.309844052,12.00844572,7.879058736,10.88007955,9.678159108,10.11712491,11.90566059,0.0857844914976287,1.36717971154761,6.42346871533616
"GSM672728",8.050930112,11.91377249,7.739739777,10.7252513,9.429528625,9.982824907,11.97375353,0.200770532615481,0.838872136345793,6.00303902559454
"GSM672729",7.963007807,12.10581004,7.583214498,10.07311375,9.550201487,9.958141264,12.3046145,0.351894057952588,0.380211914235522,5.6380350318415
"GSM672730",7.986987732,11.90698848,7.605464312,10.84732714,9.677608736,9.782928996,12.18635093,0.359268868227139,0.360413762217123,5.62227956797678
"GSM672731",8.167665428,11.81046245,7.869126394,11.49097026,9.580311896,9.928841264,11.59268067,0.146093572030653,1.05333574026793,6.17371018514286
"GSM672733",8.160166543,12.00305651,7.821365799,10.90736766,9.564360967,10.05582602,11.84758067,0.125414849232806,1.14833644724693,6.24931220115627
"GSM672734",8.077768773,11.56050372,7.600063197,10.74155985,9.250950186,9.61009368,11.7049197,0.167464173147475,0.964234549761933,6.10280303249464
"GSM672735",8.040285502,12.11117286,7.703069517,10.246271,9.22933197,9.652842007,11.88260409,0.141772602308792,1.07238931623008,6.18887311182846
"GSM672736",8.126315242,11.2654855,7.715651301,10.32005799,8.924918587,9.284888476,11.64111115,0.0846731470521192,1.37430732216697,6.42914090188422
"GSM672737",8.195918216,10.64325093,7.786871004,10.1033316,7.884095539,8.952258178,11.79238513,0.273285630305854,0.60290594536798,5.81525600464426
"GSM672738",7.975606691,10.34576506,7.620645725,9.974054275,7.454666543,8.962276952,11.73466357,0.46861800427375,0.0787443000027515,5.39812566565342
"GSM672739",8.073602602,10.53672193,7.679235688,10.09368364,7.861327881,8.962276952,11.580029,0.239065291883675,0.709312482817335,5.89993483498135
"GSM672751",8.138221933,11.05398736,8.123189219,11.05060483,7.376822677,8.558926394,11.45066599,0.488273493475533,0.0293982268656967,5.35885582514232
"GSM672761",7.651796654,10.43317955,7.426362454,10.17751747,8.168757621,8.750019703,11.70990037,0.462386996373642,0.0944219341030426,5.41060200169337
"GSM672762",7.72549145,10.35518699,7.454666543,10.12925874,8.062080297,8.950847026,11.53395353,0.342977417960869,0.404350716146804,5.65724480560713
"GSM672765",7.652643494,10.23297993,7.437034201,10.22716952,7.777772862,8.753202416,11.545929,0.483522482116863,0.0413147626404922,5.36833906118466
