"","aprX","lexA","bstG","corA","cwlD","dnaE","hbs","ligA","parC","parE","pcrA","pcrB","polY2","ruvA","ruvB","sbcE","sipV","tagC","uvrA","uvrB","uvrC","uvrX","xkdA","ybaK","ydgG","ydgH","ydiO","ydiP","yerH","yhaM","yhaO","yhaZ","yhjD","yhjE","ykvR","yneA","yneB","ynzC","yorB","yorC","yozL","ypuD","yqhB","yqjX","yqjY","yqjZ","yqkA","yqkB","yqkC","yqzH","ytsJ","pval","z","inv_cof_var"
"GSM672634",8.909420074,12.65290223,10.19560706,7.644156134,7.923060595,10.19937509,16.07966952,12.33601004,11.74947844,11.40038773,11.69090818,11.4645171,7.375808178,11.84897658,11.61633606,10.16372974,10.06570037,8.242130112,11.21293494,11.12754535,10.05582602,8.008369145,9.076839777,8.368715242,8.84304052,9.287444981,12.13241078,11.92944684,12.24872342,12.3463026,9.742029368,9.554050186,7.518177509,10.29861822,8.299976952,9.564360967,9.524164684,12.4661171,10.06085762,9.719139405,8.657939777,10.13176691,7.572286989,7.434428625,12.48055799,11.9151855,12.19544498,12.98986914,12.76756729,9.441220446,13.83859442,0.452468206169844,0.119427832000103,5.43363165795536
"GSM672635",9.392488104,12.81725688,10.39915502,8.219970632,7.825569888,10.15378364,15.96520669,12.18706394,11.63750186,11.2520632,11.58120632,11.13599963,7.335327509,11.65469554,11.35117491,10.137871,10.2305684,8.341881784,11.31335911,10.97369777,9.861586245,7.924209665,9.06446803,8.434796283,8.683216729,9.106116729,12.1503,12.02192007,12.233029,12.58323271,9.561814498,9.446973978,7.525672491,10.47985502,8.159125279,9.324801487,9.299215242,12.46085929,9.860341264,9.589195539,8.387723048,10.06570037,8.000223048,7.297434572,12.31733383,11.96554164,11.97753792,12.91305019,12.80470855,9.484101859,13.81090595,0.308583927964601,0.499868241183692,5.49968932663354
"GSM672636",7.500678067,12.75551227,10.45966691,7.841605948,7.550943123,10.20527881,16.02851524,12.1154171,11.84121078,11.40160372,11.54819108,11.45977212,7.47696803,11.78955725,11.57750409,10.1353223,9.961820446,8.811955762,11.14697993,11.10075985,9.985307807,8.128590706,9.07303197,8.084459108,8.958167286,9.137415985,11.91889442,11.74274888,12.09705074,12.37136022,9.693599628,9.438747212,7.840681041,10.1489197,8.392362082,9.995141264,9.652842007,12.77243197,10.77595948,9.761062825,8.571306691,10.00627323,7.845779182,7.45293829,12.5655013,12.20908513,12.27423903,13.39879777,12.76159257,9.758434201,13.44091413,0.441422917351656,0.14736258652512,5.43848210158457
"GSM672637",7.635680297,12.86164312,10.29722862,9.523559851,7.938524535,10.38428922,15.90234647,12.39912119,11.78200855,11.39465613,11.81292007,11.50759814,7.468778439,11.9466974,11.71601041,10.25985874,10.07056989,8.312686245,11.43214164,11.64227658,10.13658327,8.398508922,9.26206171,8.316217472,8.741252416,9.264464312,12.02735651,11.845679,12.33317249,12.45543494,9.602318959,9.288671004,7.519544981,10.37205093,8.291892937,9.742029368,9.526674721,12.24615948,10.20057955,9.662597398,9.556072305,10.08345186,9.304019331,7.545562825,12.48666022,12.12010818,12.30598216,13.04813494,12.78984721,9.34135316,13.56877881,0.0425844642598203,1.72145148531022,5.71179860644559
"GSM672640",8.77573197,12.71507175,10.17751747,7.343718587,7.885181041,10.38775948,16.31574647,11.92414164,11.66706952,11.31671078,11.36371152,11.20118141,7.359909665,11.70737026,11.56434796,10.04980929,10.39560743,8.289634201,11.22378216,10.83943569,9.824746468,7.942710037,9.188394796,8.503986617,9.675759108,10.16625242,11.95485762,11.802529,12.00371338,12.41414164,9.769912639,9.279881413,7.423010223,10.58518067,8.209816357,9.342381784,9.245291078,12.3138632,10.45966691,9.738382528,8.797762082,9.654688104,7.254489033,7.302495911,12.60530818,12.42150967,12.42726766,12.79829665,12.56771524,9.446366171,13.2291658,0.421638379194492,0.197703874180951,5.44722309760005
"GSM672641",8.942527509,12.69635725,10.52022342,7.526581784,7.901559108,10.2696368,16.16694238,12.07040112,11.75320818,11.36371152,11.54228885,11.47656617,7.383236059,11.91770855,11.50890743,10.287729,10.19692082,8.308172862,11.15677881,10.88912007,10.02137472,7.978735688,9.231700743,8.265997026,9.862908178,10.2065,11.78200855,11.78084387,12.28023792,12.25079164,9.765004461,9.447581784,7.6654671,10.31645688,8.262543494,9.517847955,9.464062082,12.48208364,10.56992156,9.84866803,8.550620446,9.775313755,7.499429554,7.325943494,12.53718401,12.36369665,12.35195651,13.21968216,13.04989703,9.781756506,13.53887881,0.335595785355342,0.424513213731262,5.48660507659983
"GSM672642",8.878179926,12.54013457,10.72345651,9.539726022,7.956737175,10.54287175,16.08663829,12.32301375,12.2758855,11.54819108,11.73846877,10.26853903,7.311718959,10.58636245,10.98619703,10.41948625,10.28659294,8.813281784,11.74586245,11.63374164,9.833729368,7.846815613,8.818431227,8.148954275,8.331278067,9.333706691,12.00707993,12.04992751,12.67092974,12.60364461,9.445009665,9.276272862,7.363712268,10.24398885,7.817295911,9.469037546,9.446366171,11.84635353,10.8617461,9.637282528,8.551803346,10.54747175,8.857243123,7.423010223,11.86596059,11.91770855,12.1154171,13.01695428,12.92314349,9.151350929,13.89516245,0.267513952210936,0.620349208094686,5.52060900709365
"GSM672644",11.00720223,13.00465167,10.49409517,9.898328625,7.675475093,10.71661134,16.0724342,12.28742007,12.0542368,11.54819108,11.78330967,10.93927732,7.344720818,11.48142862,11.27025613,10.47381227,10.25257509,8.173079926,11.45253383,11.57750409,9.828678067,7.705065799,8.714569888,8.166096283,8.507581413,9.271420074,12.13786729,11.94543792,12.48819219,12.66046617,9.569909294,9.487980669,7.388077695,10.32731338,7.926234201,9.266752045,9.284888476,12.05938885,9.954214126,9.667862082,8.137154275,10.74038885,9.554050186,7.389852788,12.18706394,11.98045539,12.13241078,12.9632026,12.86008625,9.161527881,13.82289926,0.256670206367775,0.653645205674903,5.52639034872659
"GSM672660",7.704079926,12.39001859,10.04221636,7.357145725,11.63930279,10.17489219,16.02135874,11.73846877,11.82570149,11.28562714,10.96004981,10.77360446,7.774867658,11.38870186,11.10315688,10.10699257,10.09954424,8.032024535,10.97143346,10.75493755,9.871837546,8.046743123,8.035083271,12.43612565,8.442899442,8.880969888,11.2284513,11.284429,11.59268067,12.12665576,9.180263569,9.281081041,7.403137175,10.33785874,7.745915242,9.192094796,9.10509368,12.49575204,10.37802602,9.30159777,8.331278067,10.57802751,7.185085502,7.658371375,10.87672565,10.52138327,10.50079145,12.43099963,12.30192082,8.30718513,13.49568401,0.261087256343191,0.639997057027116,5.5240205560871
"GSM672661",7.515012639,12.72266468,10.69610112,7.358100372,9.451895167,10.32555632,16.00569294,11.65469554,11.9329,11.56299777,11.03757584,10.81902937,7.430656506,11.47189517,11.33991747,10.14026543,10.24398885,8.382762082,11.14034721,10.99956747,9.917216729,7.891243123,8.436023792,9.983472677,8.580458364,9.018973606,11.44184461,11.5136026,11.59268067,12.28742007,9.734589219,9.698559851,7.327780297,10.54389442,7.950685502,10.03493197,9.803089219,12.41567323,10.73115465,9.921168401,8.412957249,10.21271413,7.27630855,7.426362454,11.31787472,10.96359368,11.00605204,12.57407212,12.59049108,9.102701487,13.48236691,0.0645352306100664,1.51777765000014,5.67643375453567
