"","addA","addB","bdbC","bdbD","comC","comEA","comEB","comEC","comGA","comGB","comGC","comGD","comGE","comGF","comGG","hlpB","maf","minC","minD","mreB","mreC","mreD","nin","nucA","radC","rpsF","rpsR","sbcC","sbcD","spoIIIL","ssbA","ssbB","ybdK","yyaF","comK"
"comGC",-0.0916152267253857,-0.105159089420536,-0.0444763859131622,0.0613675453779786,0.787406504140398,0.924729213270116,0.843538492582736,0.795350766933693,0.986790015391957,0.995676111600456,1,0.993672183200797,0.982986640445013,0.87105168951727,0.761473348654615,-0.176544436003634,0.604910660297165,-5.94411691679954e-05,-0.0497564010175206,0.153062071584352,0.160078872874727,0.019483197422202,0.947407483477062,0.813901669131846,0.515433325987411,0.129183271759589,0.0932546485889964,-0.166340806074119,-0.220554508878736,0.785909842875685,0.134262433551233,0.904790422885255,0.781450452461986,0.647034369278739,0.661279150296366
"comGD",-0.118731668140855,-0.130499347943419,-0.0268135855507116,0.0597114226827754,0.823238394931831,0.90836835812518,0.820373514553009,0.823221182878464,0.979293442251689,0.99105556510296,0.993672183200797,1,0.988178391612502,0.899078144025805,0.800414995486082,-0.197465607596145,0.575918522143666,0.0264808502384007,-0.018148035718657,0.186161266128166,0.191502423903524,0.0570068037302172,0.948360344531726,0.837622608770597,0.529018081415787,0.155595730993942,0.124290264431444,-0.184059073322322,-0.223163020356729,0.821730822749955,0.161286609176291,0.91125637412327,0.800958694462109,0.679116405716431,0.700861353060373
"comGE",-0.139019479357319,-0.151942867645553,0.0148904494749451,0.0870902392919061,0.847721946672032,0.877660083246513,0.778670383836227,0.849857537362706,0.963579634921678,0.97612787503864,0.982986640445013,0.988178391612502,1,0.938471764469964,0.854474013868383,-0.199565848429207,0.52761585291936,0.0411223788376924,0.00984413407258994,0.221028773443341,0.221286375658406,0.0729917085434652,0.946391086462469,0.885130273908248,0.530201207106112,0.189651104028047,0.16775753626467,-0.177918489149823,-0.197371781280118,0.874670057800541,0.196788936699222,0.905739587718569,0.824513870387828,0.713713737780418,0.745275779718811
"comGF",-0.209092845677447,-0.210121744552319,0.139958839367628,0.133261561991936,0.91660745764472,0.707378397891284,0.589230007425866,0.901884696894144,0.836736230241103,0.859687800868125,0.87105168951727,0.899078144025805,0.938471764469964,1,0.974734493939966,-0.265171487632663,0.344163537978283,0.157236423158592,0.152885627589899,0.352564340158506,0.335983545716457,0.210169469055964,0.862539983079168,0.93311164936275,0.541004181878533,0.309493135989089,0.322204136922005,-0.179473995933142,-0.121951162443224,0.974764341701851,0.317676570178872,0.833766601193926,0.849217757637878,0.798930084307676,0.854924760221341
"comGG",-0.248387100614909,-0.244564837430262,0.168293048913919,0.13548912314689,0.89929419877988,0.583992137644999,0.456760176218446,0.868564144624374,0.726883658841838,0.749284628477114,0.761473348654615,0.800414995486082,0.854474013868383,0.974734493939966,1,-0.301729181286706,0.243891346133279,0.215720651653903,0.212220476321335,0.434550528920771,0.40290740492855,0.279561844237174,0.758292842004952,0.902774517039922,0.534222707494986,0.378697981363381,0.398079274521146,-0.18386032403684,-0.0866023666948113,0.981718794005072,0.388445582318383,0.746685790011393,0.824893170453706,0.800685459114364,0.878913434932249
"hlpB",0.489142023864269,0.427200332450101,0.0569275930688655,-0.0671133487424238,-0.281143439763754,-0.174260511823077,-0.0826981496164177,-0.189989304007343,-0.194948293000661,-0.197624681282505,-0.176544436003634,-0.197465607596145,-0.199565848429207,-0.265171487632663,-0.301729181286706,1,-0.0123347209591227,-0.0193380707410781,0.0758457466621968,-0.146677809735819,-0.0546416042020269,-0.00956969404599644,-0.137039444225134,-0.161969951161239,-0.0747301439133359,-0.0283094006150266,0.000205091160187522,0.527846829947102,0.432981040560869,-0.275211995437782,-0.0546640605039125,-0.269990342367347,-0.210467710343195,-0.208509287940754,-0.289641065597086
"maf",0.361261882316247,0.374214699989258,-0.321549307727458,-0.168220197495864,0.364748949299355,0.64175979620267,0.694704202174827,0.374509065064256,0.621155241217371,0.617295770307251,0.604910660297165,0.575918522143666,0.52761585291936,0.344163537978283,0.243891346133279,-0.0123347209591227,1,0.423604157135941,0.255805652652487,0.452411503250675,0.486775602985872,0.384123802910472,0.512808876733601,0.259322031091961,0.803031555237752,0.368535887840632,0.245664384583811,0.210242722338977,0.13330634456646,0.226084575997415,0.351971108415919,0.451502218747989,0.507785796099871,0.450725540315492,0.130977692484426
"minC",0.529823389804893,0.550359438253781,0.183070942932188,0.107359017526288,0.266057951793943,-0.081506295718688,0.00700446239751016,0.274140435883585,-0.0421715973191944,-0.00708432883166418,-5.94411691679954e-05,0.0264808502384007,0.0411223788376924,0.157236423158592,0.215720651653903,-0.0193380707410781,0.423604157135941,1,0.921718031562147,0.816615835580772,0.877038602136296,0.919424839316358,-0.0272240576024028,0.0458684547661437,0.722022588063735,0.680178399337908,0.663691928716219,0.56778916272037,0.678417663492971,0.106983866005942,0.679066600727126,-0.0873858313885199,0.403166964924056,0.453923542846926,0.101637905903921
"minD",0.573070053822949,0.590686392910266,0.329855810394149,0.187275345941237,0.280675062223456,-0.137603116496164,-0.0285113963930548,0.296783168458416,-0.109967511506511,-0.0659276982156476,-0.0497564010175206,-0.018148035718657,0.00984413407258994,0.152885627589899,0.212220476321335,0.0758457466621968,0.255805652652487,0.921718031562147,1,0.718859131843749,0.798744219542929,0.838098451208875,-0.0257012493684595,0.0920873841444323,0.605143855193355,0.573453641570914,0.60890637872515,0.623948304127929,0.745089505998494,0.109620402032915,0.582426264363954,-0.102342366722011,0.384563647117662,0.420535366757734,0.151602046043682
"mreB",0.249327706878886,0.273876306854643,-0.0613510719402003,-0.0980458194232777,0.39613448128046,0.0223466879327553,0.0474385856530266,0.371192968161935,0.110963561903269,0.140486975947069,0.153062071584352,0.186161266128166,0.221028773443341,0.352564340158506,0.434550528920771,-0.146677809735819,0.452411503250675,0.816615835580772,0.718859131843749,1,0.966197170103757,0.882174215139999,0.113624310312926,0.235569531323348,0.806588336289277,0.866871357847811,0.829703647900828,0.282892449421504,0.438433546951754,0.362273589346832,0.850977904876338,0.0509740420021141,0.530710550033968,0.656649394530913,0.349853826887472
"mreC",0.365564504188999,0.377210252472615,0.00192322929756527,-0.0400244904017284,0.367812057230326,0.0203280917004524,0.0521838108066745,0.359888692369865,0.111544755540291,0.145306608469173,0.160078872874727,0.191502423903524,0.221286375658406,0.335983545716457,0.40290740492855,-0.0546416042020269,0.486775602985872,0.877038602136296,0.798744219542929,0.966197170103757,1,0.917258368254923,0.107893309430853,0.215054571421351,0.820642571344614,0.861501975748006,0.82716276434731,0.40057363560142,0.528907141485218,0.326109845598277,0.855012146073811,0.0533228905121222,0.510982503718725,0.622416242850258,0.289697547459228
"mreD",0.440956397686193,0.469181655326905,0.0915313698631625,-0.0157141433014171,0.288460351337501,-0.118891384523919,-0.056831871770564,0.28077321095273,-0.0328035718300978,0.0102847043779481,0.019483197422202,0.0570068037302172,0.0729917085434652,0.210169469055964,0.279561844237174,-0.00956969404599644,0.384123802910472,0.919424839316358,0.838098451208875,0.882174215139999,0.917258368254923,1,-0.0014031766938931,0.0807117617412752,0.734882801690008,0.780476105970562,0.785102316766002,0.469626547961782,0.600070972529016,0.182044440575653,0.767089110158494,-0.0777897191792819,0.404786019749814,0.503415707151575,0.156883772673377
"nin",-0.087303579036217,-0.0812864269865199,-0.00547708619077135,0.0349661252784803,0.841255163868158,0.894163719935388,0.839171408195059,0.840558727008909,0.933240043548054,0.946024384733442,0.947407483477062,0.948360344531726,0.946391086462469,0.862539983079168,0.758292842004952,-0.137039444225134,0.512808876733601,-0.0272240576024028,-0.0257012493684595,0.113624310312926,0.107893309430853,-0.0014031766938931,1,0.890382308571586,0.465494290555038,0.0518816807778068,0.0690180476491927,-0.163359087165407,-0.19551615163404,0.780341164011969,0.0673790518964156,0.912591670637625,0.770423492100307,0.678084310610595,0.705468349585578
"nucA",-0.201313456686337,-0.201283691318273,0.16926197259551,0.143724975945338,0.903218505949401,0.698860107983332,0.60795949583738,0.868095740832509,0.788094989763881,0.801484844775882,0.813901669131846,0.837622608770597,0.885130273908248,0.93311164936275,0.902774517039922,-0.161969951161239,0.259322031091961,0.0458684547661437,0.0920873841444323,0.235569531323348,0.215054571421351,0.0807117617412752,0.890382308571586,1,0.423966174253663,0.181775406538693,0.221898567914519,-0.165500485299342,-0.128872255994175,0.916933077343406,0.199389660883513,0.83556410096273,0.788031188270462,0.753487080865083,0.846105773722054
"radC",0.296293317860037,0.321710023793539,-0.1009419382147,-0.0980720818595595,0.571602327889962,0.422797961474182,0.441363860336957,0.56213209487898,0.488382496732699,0.514600105403909,0.515433325987411,0.529018081415787,0.530201207106112,0.541004181878533,0.534222707494986,-0.0747301439133359,0.803031555237752,0.722022588063735,0.605143855193355,0.806588336289277,0.820642571344614,0.734882801690008,0.465494290555038,0.423966174253663,1,0.696483453398651,0.626854595010034,0.242528458521858,0.306982721615688,0.479636934457006,0.682934418649329,0.39229875565845,0.64513234607175,0.701456955961807,0.362852032876677
"rpsF",0.167300572444305,0.162340360590303,-0.124018497472245,-0.176818428751564,0.278266247687596,-0.0401640688945647,-0.0396981870413234,0.271684957899569,0.0821257023345184,0.114244083938754,0.129183271759589,0.155595730993942,0.189651104028047,0.309493135989089,0.378697981363381,-0.0283094006150266,0.368535887840632,0.680178399337908,0.573453641570914,0.866871357847811,0.861501975748006,0.780476105970562,0.0518816807778068,0.181775406538693,0.696483453398651,1,0.935715422383142,0.228529770859214,0.342788883446781,0.335816284490842,0.966430036033751,0.00228690001452932,0.417123388894899,0.584838007314362,0.254865610858281
"rpsR",0.199109822552868,0.194383718013509,-0.000530015003443603,-0.108404600943551,0.29617984027292,-0.0938901386064229,-0.0890626559111255,0.295547474078116,0.0323427052889839,0.0741739401041486,0.0932546485889964,0.124290264431444,0.16775753626467,0.322204136922005,0.398079274521146,0.000205091160187522,0.245664384583811,0.663691928716219,0.60890637872515,0.829703647900828,0.82716276434731,0.785102316766002,0.0690180476491927,0.221898567914519,0.626854595010034,0.935715422383142,1,0.271723334196366,0.409844762607304,0.347177751288424,0.946916740391734,-0.00947318174836236,0.407464747178778,0.598297811299836,0.275677378200897
"sbcC",0.948837771898483,0.913823382668187,0.262552901649015,0.258352269061281,-0.159966229937184,-0.186257755555292,-0.0490839849312441,-0.0700654277209034,-0.198105128924665,-0.189744869931443,-0.166340806074119,-0.184059073322322,-0.177918489149823,-0.179473995933142,-0.18386032403684,0.527846829947102,0.210242722338977,0.56778916272037,0.623948304127929,0.282892449421504,0.40057363560142,0.469626547961782,-0.163359087165407,-0.165500485299342,0.242528458521858,0.228529770859214,0.271723334196366,1,0.951685231215452,-0.247889303026468,0.227788478755259,-0.300113195012005,0.0992418888689666,-0.0126597405981051,-0.196576970355843
"sbcD",0.880937655556258,0.860798877815811,0.301813582980516,0.235063211689494,-0.0768282570962769,-0.283072084400878,-0.143422419648541,0.00440973821155252,-0.265809698089775,-0.244916972504946,-0.220554508878736,-0.223163020356729,-0.197371781280118,-0.121951162443224,-0.0866023666948113,0.432981040560869,0.13330634456646,0.678417663492971,0.745089505998494,0.438433546951754,0.528907141485218,0.600070972529016,-0.19551615163404,-0.128872255994175,0.306982721615688,0.342788883446781,0.409844762607304,0.951685231215452,1,-0.162145031526514,0.33841965895548,-0.334178308556815,0.143803040983703,0.105235797142163,-0.105471440569003
"spoIIIL",-0.310623428689907,-0.318040862258796,0.130325736589695,0.106682625835566,0.877723175632639,0.601845607347512,0.464850302104624,0.854785931623985,0.751404367923341,0.771595199301782,0.785909842875685,0.821730822749955,0.874670057800541,0.974764341701851,0.981718794005072,-0.275211995437782,0.226084575997415,0.106983866005942,0.109620402032915,0.362273589346832,0.326109845598277,0.182044440575653,0.780341164011969,0.916933077343406,0.479636934457006,0.335816284490842,0.347177751288424,-0.247889303026468,-0.162145031526514,1,0.340074342963145,0.765043640594716,0.793825125133661,0.775369810477581,0.867900393941385
"ssbA",0.168199788116469,0.158042254630464,-0.0838054853725604,-0.120663760784793,0.284774940007278,-0.0278675857332146,-0.0484952796589964,0.263692823741673,0.0905390790507654,0.119996600803836,0.134262433551233,0.161286609176291,0.196788936699222,0.317676570178872,0.388445582318383,-0.0546640605039125,0.351971108415919,0.679066600727126,0.582426264363954,0.850977904876338,0.855012146073811,0.767089110158494,0.0673790518964156,0.199389660883513,0.682934418649329,0.966430036033751,0.946916740391734,0.227788478755259,0.33841965895548,0.340074342963145,1,0.0367999391247081,0.406203749560708,0.584604458321717,0.253985941494555
"ssbB",-0.234884144967948,-0.225603328440151,-0.0336377121137225,0.0530405511038844,0.80482315037027,0.863218312436498,0.76226494853975,0.722588102982839,0.924033397190943,0.918191144658861,0.904790422885255,0.91125637412327,0.905739587718569,0.833766601193926,0.746685790011393,-0.269990342367347,0.451502218747989,-0.0873858313885199,-0.102342366722011,0.0509740420021141,0.0533228905121222,-0.0777897191792819,0.912591670637625,0.83556410096273,0.39229875565845,0.00228690001452932,-0.00947318174836236,-0.300113195012005,-0.334178308556815,0.765043640594716,0.0367999391247081,1,0.649220958347572,0.559743950636807,0.701519838073499
"ybdK",0.0948266695117879,0.0922966636570165,0.073404303937317,0.0998197703655115,0.854630991451163,0.701305532509142,0.686242893812352,0.8910520765918,0.742760978943196,0.764131094017259,0.781450452461986,0.800958694462109,0.824513870387828,0.849217757637878,0.824893170453706,-0.210467710343195,0.507785796099871,0.403166964924056,0.384563647117662,0.530710550033968,0.510982503718725,0.404786019749814,0.770423492100307,0.788031188270462,0.64513234607175,0.417123388894899,0.407464747178778,0.0992418888689666,0.143803040983703,0.793825125133661,0.406203749560708,0.649220958347572,1,0.853335089122768,0.766960567657117
"yyaF",-0.0250166270610782,-0.0036452274458364,0.0458150466781266,-0.0100386055000613,0.838251005628584,0.551290916903428,0.536006839977403,0.846428900395786,0.609002032309524,0.638802225213198,0.647034369278739,0.679116405716431,0.713713737780418,0.798930084307676,0.800685459114364,-0.208509287940754,0.450725540315492,0.453923542846926,0.420535366757734,0.656649394530913,0.622416242850258,0.503415707151575,0.678084310610595,0.753487080865083,0.701456955961807,0.584838007314362,0.598297811299836,-0.0126597405981051,0.105235797142163,0.775369810477581,0.584604458321717,0.559743950636807,0.853335089122768,1,0.710991354504402
"comK",-0.250347243973582,-0.23387427552924,0.134747621701856,0.109639207878182,0.842128644280103,0.520167644585282,0.439252836108213,0.764653573343764,0.641774864253793,0.652399053262586,0.661279150296366,0.700861353060373,0.745275779718811,0.854924760221341,0.878913434932249,-0.289641065597086,0.130977692484426,0.101637905903921,0.151602046043682,0.349853826887472,0.289697547459228,0.156883772673377,0.705468349585578,0.846105773722054,0.362852032876677,0.254865610858281,0.275677378200897,-0.196576970355843,-0.105471440569003,0.867900393941385,0.253985941494555,0.701519838073499,0.766960567657117,0.710991354504402,1
