"","spoIIID","cotF","cotJA","cotJB","cotJC","cwlJ","gerE","gerR","spoIVCA","spoVK","spoVM","yesJ","yesK","yheC","yheD","yknT","pval","z","inv_cof_var"
"GSM672603",7.498145353,8.417358922,8.035083271,7.981368587,7.984951301,8.369905204,9.752057249,10.3697052,10.22252528,9.972934944,11.20221599,10.95765093,8.174248327,7.66315539,8.005370632,8.175404461,0.471032846532866,0.0726738061700765,7.28909515242299
"GSM672612",12.01111041,11.22137844,11.67574201,11.18467807,11.1649145,10.50936506,9.844852788,10.92735539,10.19194089,9.477910781,11.87618959,11.89014201,7.736879182,10.94269926,10.54862454,10.34576506,0.0188901719934954,2.07722991602034,9.95784036266736
"GSM672613",11.6522461,8.680669517,11.13479888,10.92964758,10.9382052,10.03493197,9.166081041,11.05172937,9.884420446,8.70822974,11.73118327,11.98183086,7.714211896,10.3503487,9.971773978,9.895909665,0.174301435908124,0.937302705231647,8.44020996615688
"GSM672614",11.86726952,11.19995948,11.05172937,10.83237323,10.9565684,10.1254855,9.57370223,11.1778052,9.900917844,9.027112639,11.73589108,11.50065985,7.362719331,10.68654312,10.25863271,10.22716952,0.0562389143864764,1.58715374119706,9.30538247546348
"GSM672615",11.7111632,8.849630483,11.14807026,10.91444461,10.91926171,9.824746468,9.110960595,10.92904517,10.1464539,8.896774721,11.6834855,11.90309033,7.691028439,10.23660632,9.916043494,10.19028625,0.117346557741145,1.18835617304095,8.77444742473387
"GSM672616",7.455511152,7.185085502,7.931394796,7.898386617,7.842649442,8.231637918,8.573867658,8.156835688,8.447001487,8.235281784,9.832570632,11.80381487,7.487576952,7.719550558,8.033117472,7.852455762,0.432705790119062,0.169489564118855,7.41798981844522
"GSM672617",7.568715242,7.279125651,7.842649442,7.814337918,7.812289591,8.068419703,8.483455019,8.260122677,8.6819829,8.261359108,9.648879926,11.44062416,7.370159108,7.753662454,7.994171375,7.949688476,0.26632485394518,0.623966314125803,8.02305277666746
"GSM672618",14.24448885,15.16886301,14.45737881,14.5149171,14.63629591,14.64045799,15.66117193,13.29824572,12.70008885,12.95128178,14.30661041,13.96540669,8.891684015,13.85909405,13.48706506,13.05512156,0.12913859927819,1.13047245542372,8.69738453116704
"GSM672619",14.50030743,15.1469052,14.5931777,14.19545279,14.42564907,14.79444089,15.13492268,13.1395539,12.76159257,12.9836684,14.24448885,13.78486729,8.225892565,13.91831896,13.49333755,12.97208327,0.246058259381643,0.6869463794525,8.10690064046912
"GSM672620",15.15962193,13.82289926,15.48368625,15.10605167,15.04395688,14.37361413,14.6242052,12.85840781,13.05860929,13.7405171,14.40469851,14.13691599,8.371118216,14.76273346,14.30353717,12.89381004,0.244375149217818,0.692297852506924,8.11402526921439
"GSM672621",15.57326431,14.12176357,15.24909405,15.11127918,15.10096468,14.62074498,15.0717881,13.10414349,13.07116617,13.98971487,14.75366506,14.40846283,8.601725651,14.961471,14.5149171,13.11192862,0.18781039450965,0.885993946901605,8.37190057717843
"GSM672622",14.6741539,12.65138587,14.42909851,14.18951673,14.21655688,13.02354647,12.63599665,12.65605019,11.99907435,12.89724424,14.18664647,13.28950149,8.096063197,13.64276654,13.32130186,12.72717732,0.16257120936457,0.983945279668625,8.50230707908402
"GSM672623",15.08894944,12.70469665,14.42909851,14.18104015,13.97367398,13.11699257,12.94628513,12.86331896,11.7111632,12.95834721,14.26946022,13.22356468,7.935463197,13.95421375,13.39100595,12.78984721,0.213553744020861,0.794151072778935,8.24962650901665
"GSM672633",7.997119703,8.508939033,7.190951301,7.236266543,7.690520446,8.255571375,9.250950186,8.425394052,9.438747212,7.546432714,10.62200112,9.853855762,7.244748699,7.413545725,7.226811896,8.193048327,0.368633283265739,0.335475309929575,7.63897323812824
"GSM672646",13.91831896,13.9789632,14.05925799,13.93093309,14.16068439,13.25970781,13.73114758,13.35817584,11.57041264,11.53860669,13.95421375,13.62565967,8.265997026,12.52685316,12.21777212,12.10308439,0.220553769555435,0.770324310515851,8.2179049935386
"GSM672647",14.66569628,14.63629591,14.28505874,14.16068439,14.40846283,13.76194498,14.37361413,13.4302974,11.8697881,11.82952268,14.12791078,13.57313309,8.188528253,12.98724424,12.70845056,12.65911338,0.269778469866961,0.613483121493729,8.00909608571357
