"","fabF","fapR","fabHA","fabHB","fabI","plsC","yhdN","pval","z","inv_cof_var"
"GSM672637",14.1456342,14.43977026,14.08764126,9.899647212,14.30992379,12.40042639,12.2163461,0.22358074402995,0.760155755975009,7.50318368838628
"GSM672639",13.52354052,13.84114201,13.38058216,8.830134572,13.88486654,12.38124796,11.61762454,0.455214771311176,0.112496754904606,6.52435210018042
"GSM672642",14.51807323,14.46409554,14.22564647,11.49827212,14.48566134,12.99432751,11.47432714,0.0312046588755115,1.86337647282824,9.17052295895048
"GSM672644",13.95989033,14.8169052,14.03459963,10.28045836,14.11029777,13.04626283,12.18422007,0.067024337223607,1.49832560594713,8.61880775200577
"GSM672645",13.43859219,14.06780892,13.34507323,9.021356134,13.88212491,12.31027584,11.75807658,0.362539055487224,0.351680200398093,6.8858391040482
"GSM672648",13.7109197,14.54790446,13.49568401,9.169653903,14.09866691,12.40042639,10.97260186,0.475690288941994,0.060973168295153,6.4464825515018
"GSM672651",13.85341561,13.95421375,12.92503755,10.06022825,13.69896357,12.33457361,13.94393941,0.0647741290144002,1.51588569516892,8.64534698020084
"GSM672652",13.9254487,13.61280632,12.94134015,10.08529814,13.77999164,12.25010112,13.71375353,0.0590043409007645,1.56318672419961,8.71683481761739
"GSM672653",13.66754238,13.68176245,12.87947621,9.933119331,13.97082379,12.26726022,13.88486654,0.097873204938298,1.29376556652218,8.30964841361496
"GSM672656",14.08209294,14.82197844,14.10748848,9.818199628,14.8357223,12.28882454,11.70990037,0.388978946664592,0.281981242388642,6.78050042790546
"GSM672659",14.52588253,14.66993086,14.5149171,11.22497212,14.90736059,13.45025502,10.18235576,0.419837644490281,0.202308840720516,6.66008850846622
"GSM672686",14.08209294,14.12176357,13.98436729,9.813261338,13.79092788,12.73823494,12.56328699,0.144803675161873,1.05898337685692,7.95481319444455
"GSM672701",13.47612974,14.22263903,13.39791729,9.269001115,13.87172416,12.04472491,10.96685353,0.382465342760765,0.299012267364069,6.80624006125869
"GSM672702",13.38058216,14.12176357,13.33142937,9.057098141,14.06186803,12.22241729,10.99780372,0.457590556361136,0.106505725795906,6.51529763088753
"GSM672703",13.54539665,14.21067918,13.38884164,9.386327138,13.98155204,11.98320223,10.7088684,0.414355559448581,0.216354899183722,6.68131684882874
"GSM672704",13.69168178,14.13102342,13.86023903,9.900917844,13.52354052,12.21330186,10.23892602,0.365920913111869,0.342676523276981,6.87223150566451
"GSM672705",13.53679182,14.04023532,13.68882788,9.753242379,13.59734461,12.17742788,10.629771,0.286518961263555,0.563583053596682,7.20609591511533
"GSM672706",13.55661896,13.98436729,13.73822305,9.107285874,13.51256134,11.92807175,11.90566059,0.344889426800371,0.399155196576128,6.95758986460617
"GSM672713",12.75389331,13.05512156,12.97788903,11.12754535,13.17595502,14.07896877,15.92557398,0.0885604365633553,1.34967307353414,8.39414354730522
"GSM672714",11.73589108,12.59922416,12.30746208,9.387413383,12.72872639,13.96540669,15.01592007,0.474128014530824,0.0648969750721423,6.45241274935744
"GSM672719",14.32986134,14.07336952,14.40126208,9.793090335,14.03308086,12.35195651,14.9356,0.362923908102453,0.350654164298352,6.88428841681401
"GSM672720",14.05645093,13.78122565,14.12176357,9.480399628,13.89762082,12.16890595,15.02109257,0.455969068800703,0.110594211853434,6.52147671477956
"GSM672723",12.92503755,13.89249665,12.87947621,9.394066171,14.24770112,12.66502602,10.0693658,0.486508377327392,0.0338249317523783,6.40545239296431
"GSM672732",12.97545799,13.66527955,12.56473271,9.526674721,14.0958948,12.5327658,10.19817918,0.372022172646924,0.32650230545121,6.84778679742109
"GSM672734",12.60530818,13.31737249,12.15447286,9.564360967,12.94794461,11.72412918,8.745098513,0.449260212193514,0.127530639449062,6.5470733795284
"GSM672740",15.15316729,14.9261052,15.26837881,14.63629591,14.98346506,14.15158996,11.21839238,0.0260276250422298,1.94267656002614,9.29037218542383
"GSM672744",14.06780892,12.92314349,13.83597807,12.66046617,12.184929,10.64919294,9.985307807,0.245807569684386,0.687742201452187,7.39374233967645
"GSM672745",13.44939033,12.57565725,13.12422305,13.39879777,12.39001859,11.02948476,9.624618587,0.154305874610241,1.01813932485589,7.89308403106869
"GSM672746",15.49940186,14.89277844,15.3676855,14.3082671,14.45389294,12.6482026,10.46088141,0.295265024683396,0.538068078590653,7.16753416662282
"GSM672747",15.21679294,15.02109257,15.48368625,14.25115204,14.08209294,12.66046617,11.02488141,0.110653793521928,1.22305853868372,8.20278620334374
"GSM672748",15.39813309,15.01087881,15.58944684,14.29121375,14.16068439,12.63002937,10.8252368,0.197191382663386,0.851696136841587,7.6415321344675
"GSM672751",14.31325613,14.23481264,14.6281855,10.8438829,13.8485,12.05551227,9.951659108,0.470304193140216,0.0745052218521635,6.46693405677388
"GSM672756",14.66569628,14.37000297,14.68655279,11.54940074,14.17215799,12.47473234,9.782928996,0.461152806568154,0.0975298716741548,6.50173208245698
"GSM672757",14.6281855,14.27576691,14.58946431,11.07273717,14.11600446,12.4688316,10.54287175,0.305187278877887,0.50953887314919,7.12441689746364
"GSM672758",13.60618996,14.48566134,13.68176245,9.742675836,13.92297026,12.32301375,10.75600112,0.314389562941272,0.483445953811141,7.08498167980377
"GSM672759",13.83597807,14.34210483,13.65160669,9.780388104,13.88999294,12.32441041,10.92505576,0.291121708268783,0.550110746047025,7.18573470624796
"GSM672760",14.14860818,14.90230818,14.31640743,10.0742026,14.37361413,12.89544572,11.26785613,0.310897425820106,0.493308176841241,7.09988683115014
"GSM672761",13.74743383,14.6970013,13.90030558,10.3481119,14.12469963,12.60065019,10.41153829,0.289627543957215,0.554473132848449,7.19232774671238
"GSM672762",13.76919963,14.21655688,13.68176245,9.963064312,13.9254487,12.44805874,10.44045019,0.33478125613728,0.426748511703596,6.99929268727279
"GSM672763",13.80343717,14.34591822,13.75689926,9.937569888,14.09866691,12.4688316,10.37459182,0.395458701962284,0.265119502502297,6.7550166415216
"GSM672764",13.77660149,14.12176357,13.6722223,9.813261338,13.84114201,12.31870483,10.03493197,0.461393912378721,0.0969226457582041,6.50081435892233
"GSM672768",13.7405171,13.98711561,13.56426171,9.409023792,13.86400483,12.24615948,11.43881301,0.310401966509827,0.49471128705772,7.10200740478434
"GSM672769",13.68176245,14.24770112,13.62222788,9.343478439,13.61981078,11.91889442,11.35883048,0.325202380890587,0.45319995927804,7.03926976224102
"GSM672770",14.11600446,14.70104777,14.13440409,9.87559145,14.48155167,12.70008885,11.99250855,0.262660594590895,0.635164414898632,7.31427953867854
"GSM672771",14.19545279,14.31640743,13.96283048,10.28526989,14.2572026,12.59489368,11.4102803,0.183445574122081,0.902312008560787,7.71802981923903
