"","folD","purR","glyA","ispE","nusB","pbuG","pbuO","pbuX","purA","purB","purC","purD","purE","purF","purH","purK","purL","purM","purN","purQ","purS","xpt","yabJ"
"purC",0.632793987947937,0.589082047560889,0.656339125347808,0.414148272371551,0.695476254310161,0.58053383813994,0.425553017157409,0.863842247692496,0.727678612935285,0.955051624923877,1,0.926962523889959,0.918108398866837,0.971224191766364,0.946650718921807,0.930936957546118,0.980493236015022,0.962786169222492,0.954763199354267,0.989122064550847,0.991947739216291,0.878085773829349,0.458126633963406
"purD",0.69209676462422,0.579761377126614,0.690169435800235,0.428303584636441,0.734103237599164,0.570470016828509,0.453982450094066,0.817796671668645,0.735596340457044,0.88885146759167,0.926962523889959,1,0.852761841093865,0.965111278618294,0.990862651699423,0.847883640038914,0.946602040775644,0.982834808475708,0.983287147332659,0.934200443900916,0.934368731004238,0.825299905687424,0.502979232746642
"purE",0.756985428401962,0.696932628948588,0.7540588537985,0.542111206071866,0.802464040500652,0.76520089686467,0.608301374949317,0.844865312369705,0.799583426487218,0.965647672455741,0.918108398866837,0.852761841093865,1,0.860461487169365,0.859674247977164,0.986549942183214,0.879801261048555,0.882709110256544,0.867709075666309,0.900009200197434,0.905503335112225,0.882093700942743,0.561605257789606
"purF",0.605645182949811,0.534276730928173,0.663529911116876,0.368582535964781,0.665064893198786,0.499286831846447,0.350600987117653,0.856995936571984,0.676642501444304,0.905647343387092,0.971224191766364,0.965111278618294,0.860461487169365,1,0.978573408045291,0.86868078015537,0.991604771206984,0.982478037357274,0.978871620810157,0.978844367590663,0.97774397097728,0.868957539151527,0.429846219355749
"purH",0.667090425804615,0.573879465082631,0.685375694096851,0.422957161716104,0.72496958606087,0.54643593419592,0.420972932360577,0.827742137426774,0.726713256865589,0.895994798573184,0.946650718921807,0.990862651699423,0.859674247977164,0.978573408045291,1,0.857197957451526,0.966170654529533,0.986546200731032,0.99119575594096,0.95095348588136,0.954537832674492,0.845699056301664,0.482683382067956
"purK",0.751124064066236,0.683899752317247,0.761168496346607,0.505131487686018,0.794996565316792,0.761178643175065,0.595795965545888,0.864540650185777,0.798147913518383,0.979218143925029,0.930936957546118,0.847883640038914,0.986549942183214,0.86868078015537,0.857197957451526,1,0.894176438452069,0.883401133725807,0.869435395500706,0.917147181350509,0.919400821172718,0.889549059470415,0.550021466707495
"purL",0.603554094995649,0.546114888445002,0.676661853116065,0.378201656857713,0.66973780943018,0.519348031012285,0.361873973023283,0.858873014275967,0.675864387906286,0.922134990616076,0.980493236015022,0.946602040775644,0.879801261048555,0.991604771206984,0.966170654529533,0.894176438452069,1,0.971180189867851,0.966955430091942,0.989282847338198,0.987761324655387,0.878396609298493,0.430268919926917
"purM",0.673280144964514,0.577256213211191,0.679936094654916,0.406954179666704,0.714579131470596,0.569892355199305,0.42607041200059,0.855626495847735,0.739003351832676,0.92038951798219,0.962786169222492,0.982834808475708,0.882709110256544,0.982478037357274,0.986546200731032,0.883401133725807,0.971180189867851,1,0.990160614711846,0.9699508233224,0.96559463272853,0.8616405510036,0.476382172010419
"purN",0.668115982119298,0.582291569073647,0.671704437435478,0.414882778862414,0.730068126299779,0.565142043099885,0.438221950601897,0.836750149271042,0.744658497838991,0.908117747304549,0.954763199354267,0.983287147332659,0.867709075666309,0.978871620810157,0.99119575594096,0.869435395500706,0.966955430091942,0.990160614711846,1,0.959814182553104,0.960307015998461,0.845245287824348,0.473434474677286
"purQ",0.620517979503477,0.563524413155045,0.654855244460258,0.380558222808316,0.673992652283743,0.561930201562723,0.393614053720471,0.869444580761642,0.704720408541014,0.942557878800016,0.989122064550847,0.934200443900916,0.900009200197434,0.978844367590663,0.95095348588136,0.917147181350509,0.989282847338198,0.9699508233224,0.959814182553104,1,0.991809610362396,0.876899635967946,0.428810133844993
"purS",0.624551629064022,0.572534962616668,0.666495787483467,0.40117240424281,0.694977713614716,0.558100359111294,0.410489389394868,0.858009520456252,0.714754350809394,0.944906423791444,0.991947739216291,0.934368731004238,0.905503335112225,0.97774397097728,0.954537832674492,0.919400821172718,0.987761324655387,0.96559463272853,0.960307015998461,0.991809610362396,1,0.875622210421055,0.450461077334522
"xpt",0.604765810534219,0.593467215975676,0.758904096451742,0.411207157948962,0.665998709983477,0.564153690811072,0.340817820209043,0.971847620225556,0.619505220728768,0.895887322842579,0.878085773829349,0.825299905687424,0.882093700942743,0.868957539151527,0.845699056301664,0.889549059470415,0.878396609298493,0.8616405510036,0.845245287824348,0.876899635967946,0.875622210421055,1,0.520527700940172
"yabJ",0.604167375797516,0.831929423473588,0.718986550865408,0.765794852771781,0.636696492439605,0.640875795325072,0.570011778896619,0.500978962388979,0.474103553932978,0.540747354910303,0.458126633963406,0.502979232746642,0.561605257789606,0.429846219355749,0.482683382067956,0.550021466707495,0.430268919926917,0.476382172010419,0.473434474677286,0.428810133844993,0.450461077334522,0.520527700940172,1
