"","phrI","comA","rapI","ycxA","ywhH","pval","z","inv_cof_var"
"GSM672612",12.92992751,12.54327509,10.7016487,10.36854833,9.604263755,0.377771678588422,0.311338427218584,7.63147321777531
"GSM672613",13.30585762,11.87367249,10.80522639,10.95118941,10.11953383,0.268587761292643,0.617089759876409,8.13531577199763
"GSM672616",12.85326877,10.37568922,9.647648327,11.72854535,9.890813011,0.477814712762898,0.0556389618114588,7.2101103061435
"GSM672617",12.67875353,10.65360335,9.884420446,11.50287249,9.684353532,0.358854022455533,0.36152362824763,7.71417257888957
"GSM672621",12.95128178,9.683063941,9.25350855,10.61326914,11.36968216,0.4891856176041,0.0271109574305284,7.16309948048591
"GSM672622",12.62237993,10.40210818,9.462750186,10.38541896,10.92615725,0.261271554270437,0.639430198975772,8.17213021136712
"GSM672623",12.50924944,11.18360929,10.43819554,10.25257509,11.22137844,0.0122241933777786,2.25000879908929,10.826175996231
"GSM672624",12.94628513,12.24317175,9.974054275,10.22716952,10.71782584,0.277802035197454,0.589383458457978,8.0896590170348
"GSM672625",13.02507807,12.32742639,9.982824907,10.09014535,10.40910855,0.400320117109591,0.252518606338835,7.53454500970068
"GSM672626",12.91991375,12.39590892,9.995141264,10.5378948,10.80278067,0.179647592127329,0.91670893216293,8.62905324076531
"GSM672627",13.11539071,12.30054126,10.42480074,10.83366729,10.80032714,0.10413800046838,1.25832013837064,9.19198868634611
"GSM672628",12.8811052,12.28154684,10.34576506,10.89814201,10.77930967,0.0430409634002942,1.71643788920534,9.94691333608904
"GSM672629",13.11539071,12.21777212,10.70406654,10.9483658,10.66789145,0.0625371950633982,1.53381817612376,9.64597733724797
"GSM672631",13.1376223,12.04739517,10.90626022,10.37802602,9.835013011,0.377752544034359,0.311388772655754,7.63155618118691
"GSM672632",12.86008625,12.10844647,10.53548253,10.8370197,9.794347955,0.219072706806423,0.775328769378836,8.39607521344392
