"","hom","codY","thrR","tnrA","thrB","thrC","pval","z","inv_cof_var"
"GSM672683",14.27576691,13.61633086,12.45247361,9.499448699,14.38725613,14.19217844,0.471076711746802,0.0725635620827635,145.958389450548
"GSM672684",14.21958662,13.60378104,12.65458104,9.791836059,14.34210483,14.19849442,0.395714194896687,0.264456227550875,183.807591172031
"GSM672686",14.30661041,13.80104535,12.24615948,9.490528996,14.42564907,14.22263903,0.482372903996758,0.0441989638279097,140.363712871962
"GSM672688",14.33275836,13.91054387,12.74445799,9.647648327,14.40126208,14.32280074,0.150098147043901,1.03601253618023,335.990533097178
"GSM672695",13.56877881,13.86665948,11.91377249,9.323555762,13.74509665,13.68882788,0.459389448382507,0.101972004036996,151.758955350891
"GSM672696",13.36649851,13.40928959,11.68854647,9.933119331,13.25970781,13.26739145,0.321148604768766,0.46448931996076,223.26242310698
"GSM672702",13.63642639,13.0393197,11.99250855,10.495429,13.52248067,13.49025093,0.410195214890211,0.227042840763074,176.428117755676
"GSM672704",14.35301933,13.0917539,11.92018364,10.0326223,14.15506134,14.27576691,0.477167590253281,0.0572636442357828,142.940610342108
"GSM672710",13.26165428,12.72426729,13.5115052,13.46152045,13.13193197,13.28071041,0.436146696751029,0.160746081564633,163.351643955799
"GSM672718",14.54790446,12.98202045,11.68967509,10.54986357,14.42209108,14.5076632,0.31700020479004,0.476103828551884,225.553286478381
"GSM672720",11.81733699,13.43237621,11.39931487,9.481560223,11.69730632,11.74947844,0.373440309807465,0.322755231982674,195.306575635653
"GSM672725",13.32734535,13.82567398,11.76380725,9.986601859,13.21777212,13.16499442,0.44317731485168,0.142918396134305,159.835284117691
"GSM672726",11.4235684,13.94646394,12.02602751,9.890813011,11.34575651,11.35399554,0.247725948669658,0.681663270681673,266.098144052516
"GSM672728",11.70990037,14.08209294,11.92156208,10.71478104,11.64111115,11.71356952,0.216400458559153,0.784407707800821,286.363613380364
"GSM672729",11.07385093,14.06484089,11.47432714,11.12277175,11.11013494,11.02599331,0.253852304484605,0.662416067796409,262.301796428695
"GSM672731",13.40928959,13.79224684,11.93087695,9.34135316,13.2692461,13.39100595,0.412123534323309,0.222085829757363,175.450389351972
"GSM672732",10.86401599,11.9151855,12.00166803,10.89585316,10.97474461,10.93698327,0.3757769927984,0.316590973816295,194.09072796251
"GSM672736",11.30724907,13.20690632,11.88390743,10.52824498,11.25578067,11.40274498,0.459260642234183,0.102296561561418,151.822971571532
"GSM672741",11.04117175,12.02798086,12.14178848,9.890813011,11.01195019,11.08324498,0.185377912034014,0.895058486407878,308.188541550084
"GSM672742",11.12871487,11.97375353,11.75931078,9.750860223,11.29526506,11.23750149,0.497906925688595,0.00524658331990532,132.680685989289
"GSM672748",10.97806617,13.43237621,11.97375353,9.378848327,11.0405381,10.9612197,0.252612970550331,0.666289710566892,263.065839630968
"GSM672756",10.52397398,14.10146097,12.56927323,9.83625948,10.4475026,10.40392714,0.418748592474735,0.205095918846833,172.099273436655
"GSM672758",14.13993457,13.07116617,11.67967361,10.63703123,14.13102342,14.12791078,1.47157642116366e-27,10.8143676702655,2264.68819890657
"GSM672759",14.16637026,13.01324461,11.71356952,10.69497435,14.31325613,14.29703011,0.408945315193139,0.230258855238977,177.062449351106
"GSM672761",13.7086368,13.14322714,11.65836766,10.39915502,13.62914721,13.60618996,0.267742174985897,0.619655908399195,253.867717436046
"GSM672762",13.40495093,13.08980112,11.71712751,10.47263569,13.32130186,13.36020558,0.170803078166379,0.950996492637181,319.22183913082
"GSM672763",13.54925019,13.2139171,11.44300781,10.50714535,13.56203011,13.46775725,0.250301098929314,0.67354253499408,264.496397772028
"GSM672764",13.69645948,13.01151115,11.49352602,10.25613717,13.71233662,13.59952639,0.320087128885632,0.467455171443794,223.847412172526
"GSM672765",14.09866691,13.20863941,11.9083223,10.45007435,14.02859517,13.99217212,0.258603503870972,0.647656712486074,259.390638698632
"GSM672766",14.13691599,12.98548327,12.00980706,10.53120149,14.23797286,14.13993457,0.280198626470184,0.582251553134589,246.490025411088
"GSM672770",13.94646394,12.97704498,11.4682684,10.54862454,14.07336952,13.95159331,0.374488130885686,0.319989537511904,194.761065844182
"GSM672771",13.75571506,13.2291658,11.59268067,10.68896989,13.63642639,13.60618996,0.417242501017284,0.208952906725295,172.860031602649
"GSM672772",13.83859442,13.33340483,11.5471777,10.73581636,13.78598662,13.75689926,0.153519036862667,1.02145678453617,333.119534464478
"GSM672773",13.56651933,12.98724424,11.56165688,10.47503271,13.46569219,13.46152045,0.314332373880461,0.483607081978093,227.033239616783
"GSM672776",13.85909405,13.22169145,12.01920743,9.963064312,13.82056989,13.72369888,0.368599696089258,0.335564375216134,197.833070564158
"GSM672777",13.14143123,13.82056989,11.25749758,10.31709591,13.1734026,13.11699257,0.0456832288760869,1.68823327664563,464.635545727492
"GSM672779",13.80463494,12.89065985,11.52934052,10.83579108,13.91315353,13.80463494,0.325429462746008,0.45256927755511,220.911295780464
"GSM672780",13.68176245,12.81230186,11.29526506,10.42730372,13.7405171,13.64061375,0.237404016217229,0.714678004014293,272.610020359196
"GSM672781",13.59032751,13.00544758,11.4682684,10.42834387,13.59734461,13.49777063,0.284412842953361,0.56978182246494,244.030476733828
"GSM672789",13.95716766,13.35817584,11.58508885,10.47872528,13.98711561,13.90030558,0.174560435915234,0.93629587420273,316.322266751653
"GSM672790",14.12469963,13.27106394,11.36724349,10.72286952,14.04280037,13.96823197,0.404222936316216,0.24243144336651,179.463389180607
"GSM672798",13.9789632,13.24257695,11.66706952,10.36110929,13.97636729,13.87665688,0.293043530487661,0.544515099053314,239.046829709515
"GSM672799",14.21067918,13.19436877,11.61025167,10.49302193,14.14860818,14.15794052,0.0695188661879194,1.4793839308694,423.441782545345
"GSM672800",14.14860818,13.18522751,11.73846877,10.228229,14.23481264,14.14266803,0.233872638666462,0.72615251663009,274.873270711113
"GSM672802",13.90293309,13.42601599,11.67839033,10.43080074,13.73822305,13.82289926,0.427273292143871,0.183320456657142,167.80424809535
"GSM672803",14.32280074,13.34303457,11.74947844,10.21153717,14.35627175,14.23481264,0.312568745534563,0.488582237232403,228.014546819728
"GSM672805",14.03726022,13.25369033,11.49468773,9.906015985,13.99478104,13.98155204,0.0381966463967476,1.77200761722077,481.15932430849
"GSM672806",14.86360112,12.5479145,11.67702007,9.933688848,14.88755316,14.74487584,0.375713132955631,0.316759277641103,194.123924465357
"GSM672807",14.03726022,13.39100595,11.4682684,10.6408119,13.93337732,13.86138401,0.447446707021932,0.132114895800948,157.704385250775
"GSM672811",13.7405171,13.4511197,11.50065985,10.65360335,13.74295651,13.71904721,1.87209093934515e-06,4.62509973830986,1043.90756149434
"GSM672813",14.29703011,13.36832156,11.7445632,10.08286914,14.13440409,14.19217844,0.418271569001784,0.20631720754111,172.340162279577
