"","asnH","abrB","codY","yxaM","yxbA","yxbB","yxnB","pval","z","inv_cof_var"
"GSM672708",9.550201487,12.88900186,13.54124015,9.692330112,10.27428959,10.67147621,10.39915502,0.381004709791448,0.302843121193434,21.1725167955526
"GSM672709",9.650143866,13.21045353,13.66292007,9.696667472,10.59003234,10.83237323,10.55470335,0.480484280221993,0.0489381820276582,18.6437155754291
"GSM672718",11.92156208,13.20139963,12.98202045,12.14044424,13.22169145,13.40275985,13.19254647,0.484551331542178,0.0387337523803609,18.5420831525722
"GSM672722",8.424176208,14.18664647,13.80104535,8.596839033,8.014537175,7.979769517,8.560181041,0.16281886025895,0.982938474327998,27.9460201565256
"GSM672724",8.374791822,14.20445688,13.57313309,8.640388476,7.846815613,7.856371375,8.45869052,0.32527609527617,0.452995210200695,22.667977211302
"GSM672725",8.200952045,12.89897175,13.82567398,8.34812974,8.581058364,8.735318587,8.649103346,0.0212990607876282,2.02762905242784,38.3507598879792
"GSM672726",8.212000372,13.61981078,13.94646394,8.667276208,8.526891822,8.740119703,8.604154275,0.0088745705911355,2.37081023811252,41.7687201841995
"GSM672727",8.213257249,12.91903699,13.93848699,8.505152788,8.323040892,8.441049442,8.570050929,2.26661801230101e-05,4.07847354126023,58.7764281033457
"GSM672731",8.232792937,12.60212045,13.79224684,8.406797398,8.633024164,8.889076208,8.717047212,0.066017081326984,1.50612860522588,33.1568043410244
"GSM672733",8.164482156,12.59205613,13.7935658,8.448307063,8.230542007,8.412957249,8.351857993,1.71414620744899e-07,5.09823820642221,68.9329147710461
"GSM672737",8.367407435,14.04813494,13.80104535,8.622026766,7.935463197,7.930322305,8.478445725,0.215226612791896,0.788416323850775,26.0086500010491
"GSM672738",8.385220818,13.78374796,13.43859219,8.654175465,8.249947584,8.259020818,8.607624907,0.00444488568437839,2.61626430971687,44.213353824635
"GSM672739",8.454589219,13.40092937,13.56651933,8.53545948,8.29409368,8.333586989,8.589718216,5.87527885786953e-07,4.85979801342593,66.558136820855
"GSM672740",8.108623048,15.03851413,12.24164052,8.282275836,7.738784015,7.775827509,8.637964684,0.360530455475118,0.357041268958595,21.7123107146756
"GSM672745",8.344507435,13.32734535,13.90805539,8.474837918,8.040847212,8.027893309,8.415459851,0.0181362780476323,2.09385884769488,39.0103846579033
"GSM672755",8.245420446,14.29121375,14.22564647,8.489474349,7.538505576,7.696285502,8.369905204,0.464963994140713,0.08793544046369,19.0321141431707
"GSM672756",8.18960632,14.25115204,14.10146097,8.446383086,7.567879926,7.592651673,8.34082119,0.458835290551947,0.103368412363854,19.1858209528905
"GSM672771",8.922488848,14.31970743,13.2291658,9.102052416,9.768651673,10.08403457,9.744597026,0.449469615667081,0.12700147473305,19.4211976932991
"GSM672772",8.624420074,14.5439829,13.33340483,8.784646468,9.395779368,9.55144052,9.434879926,0.360782134057756,0.356368964952959,21.7056148103134
"GSM672773",8.56752974,14.06186803,12.98724424,8.699295911,9.218575465,9.477910781,9.234037918,0.301790749845421,0.519257050601986,23.3279211391553
"GSM672774",9.060899257,13.56651933,13.14049257,9.151350929,9.89214461,10.1452829,9.902143123,0.440597330647229,0.14945494168798,19.6448260906756
"GSM672791",8.60055539,13.69168178,13.24435279,8.835132714,9.314887361,9.637282528,9.304019331,0.348912042095256,0.388259393327095,22.0232319250011
"GSM672792",8.411830112,14.00014721,13.24435279,8.734165056,9.219752416,9.465282156,9.205351301,0.380644250848111,0.303789191583665,21.1819393139369
"GSM672797",8.231089963,14.4894368,13.2291658,8.359057249,8.694099628,9.051007063,8.795147584,0.216174471524101,0.785178459495407,25.9764020449465
"GSM672798",8.198600743,14.39951896,13.24257695,8.388984758,8.851008178,9.079373606,8.883541264,0.296433788962349,0.534685170121667,23.4815796209231
"GSM672799",8.381562454,14.35627175,13.19436877,8.572614126,9.082944981,9.378848327,9.183775093,0.385139964510949,0.292008756339093,21.0646104462199
"GSM672800",8.203713569,14.19849442,13.18522751,8.422989219,8.729233829,8.955711524,8.821174721,0.15905526731247,0.998348216352207,28.0994956050957
"GSM672801",8.331278067,13.83859442,13.22169145,8.281063941,8.896774721,9.124426394,8.876988848,0.305448651344593,0.508793033969586,23.223703323959
"GSM672802",8.540665428,14.5973803,13.42601599,8.581058364,9.174298141,9.398832714,9.295815242,0.346271230100828,0.395407113349305,22.0944206272479
"GSM672803",8.720728996,14.50400372,13.34303457,8.684418216,9.457593309,9.799172862,9.442413011,0.480112564067892,0.049871074098468,18.6530068425256
"GSM672807",8.128590706,14.72779442,13.39100595,8.305863941,8.596839033,8.705665428,8.61233197,0.0462171399098026,1.68269433059384,34.9153350069087
"GSM672808",8.135997026,14.84911041,13.44724164,8.327762825,8.689369888,8.724292565,8.80170855,0.125559926585316,1.14763359942467,29.586323943688
"GSM672809",8.238844238,14.71898885,13.71644461,8.324371375,8.790155019,8.830134572,8.80170855,0.124137581434054,1.15454899727941,29.6551988013027
"GSM672810",8.068419703,14.22852825,13.25369033,7.984951301,8.070405204,8.661317658,8.356741636,0.129851485911795,1.12709345136006,29.3817515093826
"GSM672811",8.176603717,14.5149171,13.4511197,8.404481041,8.470127138,8.550620446,8.570050929,0.000216894971967586,3.51862466974922,53.2005361415218
"GSM672812",8.444594424,14.70664796,13.49333755,8.552971004,9.032881413,9.202943866,9.119518959,0.22810021104698,0.745117944375627,25.5774138257866
"GSM672813",8.547517286,14.3002197,13.36832156,8.618287732,9.131537546,9.321043123,9.175440149,0.229966423125383,0.738957431955693,25.5160573536545
"GSM672814",8.496584015,13.88999294,13.29628699,8.570050929,8.959613011,9.332309294,9.098998885,0.242327400110931,0.698835563927552,25.1164580817516
