"","gamA","gamR","gamP","ybgB","pval","z","inv_cof_var"
"GSM672664",9.459517658,9.542331227,9.364909294,8.545669888,0.432617231866624,0.169714762461616,20.0307849364124
"GSM672665",9.2402171,9.220974721,9.114499628,8.554138662,0.210665440089548,0.804114449754578,27.9092287853123
"GSM672668",10.46197286,10.11712491,10.40149368,9.396359108,0.413255929956152,0.219177399686921,20.6450484958112
"GSM672669",10.4428803,10.18469814,10.29585874,9.340096654,0.423360407553356,0.193304100568299,20.3237347587858
"GSM672670",10.20783569,10.08164275,9.959482156,9.639908922,0.0319694183166469,1.85260610604674,40.930172530392
"GSM672671",9.912310037,9.960652788,9.853855762,9.976483271,3.82397089655334e-39,13.0358800758021,179.812328026938
"GSM672672",9.982824907,10.0633171,9.75594052,10.58636245,0.191598956681951,0.872019181578888,28.7525198957402
"GSM672673",10.11462639,9.964272119,9.960652788,10.46688848,0.0236286651645689,1.98398663086113,42.5617529178381
"GSM672676",10.09603011,9.782928996,9.791836059,10.54625725,0.208122487063587,0.812953055022552,28.018993113229
"GSM672677",9.692330112,9.826052045,9.319698513,9.84866803,0.0408539796821339,1.74086092568212,39.5424383518893
"GSM672678",9.121938662,9.615347955,8.730405576,9.457593309,0.32567888394346,0.451876759436512,23.5348810039024
"GSM672679",8.450677695,9.11824461,8.320828996,8.915866543,0.339808730271063,0.412985195320435,23.0518968375769
"GSM672680",8.212000372,8.903206691,8.101442751,8.700556506,0.369255605131296,0.333825539349407,22.068833766838
"GSM672681",8.053334201,8.826257249,7.867135316,8.67227658,0.499952870452611,0.000118136256329456,17.9246087776209
"GSM672685",10.65589554,10.46563457,10.43317955,9.410388104,0.490961911797678,0.0226570657602426,18.2045138501922
"GSM672693",10.1033316,10.01006208,9.94322342,8.955711524,0.49081939260089,0.0230144015684258,18.2089515101664
"GSM672694",10.16625242,10.07056989,10.0087881,9.132736059,0.416121453534028,0.211825841875057,20.5537514214545
"GSM672695",11.12047993,10.20901524,10.90037918,10.28171859,0.32590782968911,0.451241282131389,23.5269891773995
"GSM672696",10.88349665,10.40642565,10.71350892,10.26606654,0.0572858832196438,1.577973201587,37.5195782943214
"GSM672697",10.2203197,10.53120149,9.970596283,10.13052454,0.0204861091644422,2.04381103772378,43.3046965852165
"GSM672698",7.509637546,8.197505948,7.493678439,7.542924907,0.356363022454674,0.368197405317102,22.495688983561
"GSM672699",7.530228253,8.103662082,7.457784015,7.398698141,0.328427585878888,0.444259232965128,23.4402809343022
"GSM672700",7.533066543,8.131836431,7.46360223,7.401328996,0.352273592699746,0.379189449879709,22.6321963110482
"GSM672701",8.998344981,9.51122342,8.641617844,8.784041078,0.324303055236997,0.455699459845059,23.5823541208083
"GSM672702",8.764618587,9.34135316,8.521008922,8.779644238,0.271275720829443,0.608959262112154,25.4856475344717
"GSM672703",9.005653532,9.660145725,8.833879926,8.940002974,0.301406441934845,0.520359713146196,24.3853529007453
"GSM672704",10.87084572,10.69610112,10.71597138,9.629740892,0.486256440158156,0.0344568127473955,18.3510518229112
"GSM672719",9.895909665,10.39915502,9.70606803,9.498252045,0.267680774704809,0.619842402098557,25.6208024045008
"GSM672720",9.936259851,10.3503487,9.490528996,9.487980669,0.320146987834477,0.467287811385089,23.7262668287401
"GSM672721",10.01376952,10.55114572,9.687145353,9.623286617,0.326695018717743,0.449057694771945,23.4998717768945
"GSM672725",10.16249219,10.55808699,10.42133532,9.598244981,0.312018960094949,0.490135639455749,24.0100080318484
"GSM672727",10.25501375,10.79915911,10.29861822,9.580311896,0.419431861857928,0.203347125935555,20.4484564650127
"GSM672728",8.713237546,9.356207435,8.523357993,8.41797881,0.4079066441888,0.232933186061205,20.8158780102609
"GSM672730",8.402105204,9.215022305,8.424176208,8.720728996,0.342789034558731,0.404863201021112,22.9510319139175
"GSM672732",9.969993123,9.717949814,10.05217361,9.054672491,0.388399467975343,0.283493014235486,21.4437672971879
"GSM672733",10.12191822,10.76665242,10.25371375,9.669020446,0.353544040794388,0.375769745724236,22.5897278992435
"GSM672734",8.614675465,9.082944981,8.494200372,8.415459851,0.187312210688731,0.887844464255055,28.9490499436808
"GSM672735",8.476170632,9.167288104,8.479710781,8.445764684,0.293574420422448,0.542972348860222,24.666173311469
"GSM672736",8.484646468,9.158375465,8.530658364,8.647807807,0.206081273210802,0.820093957861582,28.1076741185552
"GSM672741",12.84668736,13.14322714,12.65605019,11.64111115,0.456453792247671,0.109371819402916,19.2814017035897
"GSM672748",12.60668736,12.8811052,12.47178253,11.34699628,0.489072301744418,0.0273951036713736,18.2633543042222
"GSM672751",12.03426766,11.61259814,11.96003271,11.06334126,0.248664100950017,0.678699628038215,26.3517349048718
"GSM672757",10.96463569,11.26177993,11.10436394,10.287729,0.272753168716103,0.604507420183861,25.4303612735249
"GSM672761",10.25257509,10.34093643,10.21964219,9.602318959,0.168031204766661,0.961974507520261,29.8696515692483
"GSM672762",10.37205093,10.59003234,10.20304461,9.310286617,0.497201476879886,0.00701491471251691,18.0102580660644
"GSM672765",10.72760855,10.54389442,10.77308197,9.601017844,0.466885502931642,0.083101282782574,18.9551547778905
"GSM672771",10.5722368,10.287729,10.52022342,9.377654647,0.486158446190246,0.0347025941020526,18.3541041172937
"GSM672772",10.18850149,10.47153086,10.03721264,9.487980669,0.303856692270631,0.513340176803171,24.298179114201
"GSM672773",10.26853903,10.77255948,10.12320297,9.467850558,0.468938402252487,0.0779387130363612,18.8910421739971
"GSM672777",10.21708643,10.16996877,10.10459219,9.07303197,0.495273405866703,0.0118480916918649,18.0702800273079
"GSM672782",10.12320297,10.39144312,9.991480297,9.38253829,0.330725388668486,0.437911033077712,23.3614442996752
"GSM672783",10.34696877,10.56574944,9.984120446,9.516484387,0.370861519728677,0.329572453706979,22.0160158082394
"GSM672784",11.07564796,11.11935985,10.99430186,10.3563777,0.155939704473239,1.01128632561348,30.4820421452783
"GSM672785",11.12404238,10.84973011,10.94669926,9.958141264,0.414486723654831,0.216018345764293,20.6058170310997
"GSM672794",9.654058736,10.28401264,9.704783271,9.046842379,0.461226298933636,0.0973447770677127,19.1320410093709
"GSM672803",10.27803457,10.30923346,10.19937509,9.494378067,0.256630028885713,0.653769905819066,26.0421392026571
"GSM672804",10.16502825,10.4978948,10.13296468,9.363718587,0.404811526982442,0.240912345005865,20.9149690989958
"GSM672813",10.17489219,10.38173197,10.03007658,9.278698513,0.410378307299183,0.226571938609561,20.7368793413451
"GSM672814",10.27428959,10.60630929,10.19320037,9.525447955,0.359049816961134,0.360999750047087,22.4063031846326
