"","cgeC","cgeD","cgeE","cotQ","cotS","cotSA","cwlH","ftsY","spoVIF","spsA","spsB","spsC","spsD","spsE","spsF","spsG","spsI","spsJ","spsK","spsL","sscA","sspG","yeeK","yfnD","yfnE","yfnF","yfnG","yfnH","yjzB","ykzQ","ylbD","ylbE","ymaG","yodU","yppG","ytxO","yurS","yxeE","gerE","gerR","spoIIID"
"spsG",0.967545780587562,0.902139474743261,0.694638783635128,0.977352298650205,0.987297632868452,0.986368790043887,0.917985587263604,-0.57382025886764,0.947140255926038,0.994710034139991,0.996102088177,0.997134696442464,0.997455913796704,0.998919227513601,0.998519353001306,1,0.995048611290977,0.99279901511046,0.991080094985192,0.990534236492668,0.96511185605308,0.927992995425616,0.969741981915897,0.985965030834264,0.992707275993991,0.970453434278642,0.9737712024311,0.969410661551879,0.958714240513876,0.933496296430633,0.957665131674754,0.948789442099147,0.968714568719017,0.951042860330718,0.959652797625521,0.980057773684239,0.93778571233438,0.957586793299316,0.958105345425635,0.848215117416551,0.848841243693328
"spsI",0.954233230611606,0.90270570989978,0.69711720739544,0.978477484671743,0.986364277464345,0.984719345424629,0.908945696009098,-0.541748585658261,0.930541896402696,0.986875558299257,0.989611491353663,0.992978526368599,0.993557054884733,0.995501144729624,0.995574903786098,0.995048611290977,1,0.991235770516508,0.987545918497801,0.984178973585738,0.95034298849649,0.912487460929108,0.958806947373186,0.985568917426579,0.987697445634238,0.966320649042435,0.970001510638556,0.964885286597664,0.962724373040656,0.937651389016206,0.959422905177636,0.950765087198637,0.957211569574055,0.938566811601409,0.960708229500531,0.979749342615955,0.923743470099088,0.942125125129197,0.957849074363469,0.826750541158855,0.820974808992142
"spsJ",0.951961587359511,0.893535187781006,0.676286361772444,0.978122058552234,0.983798616780237,0.982290202068841,0.906251231109374,-0.592428554900885,0.928601141457151,0.985027864396081,0.988239448068639,0.990417916460618,0.991111065243897,0.993244987603216,0.993608138388328,0.99279901511046,0.991235770516508,1,0.997763389567231,0.995034422286822,0.950690670459736,0.906832899895209,0.960988886534062,0.982135708061993,0.984394917521548,0.961326359580897,0.964472955674141,0.959465213388306,0.961588558021258,0.928952656982789,0.958352129622638,0.950881162483255,0.956880319120667,0.939678636158246,0.96471371440894,0.978236884464809,0.918636108402803,0.943328142231989,0.952274045479175,0.881467439106365,0.869167809866154
"spsK",0.950364620675354,0.887515088517823,0.667686445302003,0.978226534054444,0.982886919742625,0.981579301039928,0.901410671131264,-0.60130519652428,0.92885006879799,0.983748051676748,0.986201604856754,0.988007217100734,0.98846463007967,0.99094156611779,0.991151426963576,0.991080094985192,0.987545918497801,0.997763389567231,1,0.997443897406612,0.952148633809011,0.904133350261414,0.962333505822187,0.97861394459553,0.981894979812365,0.955692954045873,0.959127250796639,0.954294378891979,0.962470898978136,0.928675855142631,0.962512284615327,0.954826786287762,0.958810646772117,0.937634982655054,0.96616348008838,0.980364627682513,0.915464942126857,0.945249612396223,0.94937740743529,0.887262348416696,0.874372642002332
"spsL",0.955455208598243,0.885958449775002,0.671541823407437,0.977039716418605,0.981442266328455,0.980310165896365,0.907143645975893,-0.606355220517179,0.937284009618791,0.98571881876391,0.987773515790574,0.98837483849528,0.988714497357265,0.990497007331648,0.990353363801144,0.990534236492668,0.984178973585738,0.995034422286822,0.997443897406612,1,0.959189172705303,0.911584199033315,0.964350818758168,0.978828422128226,0.98245311353518,0.956388374431181,0.959955936049194,0.95551584918063,0.962197816034028,0.925140654454331,0.959878948848863,0.953616431467978,0.964564577745598,0.941289805452024,0.968124072462557,0.978202864086056,0.922723969062123,0.95191125987208,0.949476250231265,0.893948824564766,0.88767975953589
"sscA",0.978887050961809,0.848420996531776,0.654849819913346,0.920555619996151,0.951853143767363,0.957466958466174,0.885981999608682,-0.557862867664136,0.99195024891344,0.977550036940851,0.971483996178402,0.961241637444769,0.962385194902575,0.964320332875796,0.963032135568599,0.96511185605308,0.95034298849649,0.950690670459736,0.952148633809011,0.959189172705303,1,0.959683484316269,0.967698194484733,0.959469419761105,0.970511819544836,0.944361613610467,0.948991059228414,0.947987136201137,0.913695428928189,0.878636135806701,0.913588985318848,0.901504168040334,0.987411215099721,0.932139208907132,0.91841179895904,0.942794904967319,0.963154830375554,0.982936082373987,0.931840184373022,0.844095327333289,0.864791544365006
"sspG",0.97668223403954,0.850429548020712,0.680371820475836,0.879492140676341,0.909389922259932,0.914303660415545,0.893378422936287,-0.538180841857327,0.971787943306189,0.93917269410807,0.93150881441245,0.923349097058629,0.922196021426167,0.927244588595848,0.923813220238596,0.927992995425616,0.912487460929108,0.906832899895209,0.904133350261414,0.911584199033315,0.959683484316269,1,0.902619692725038,0.934370782620366,0.948493725939762,0.952486519976504,0.956622432619686,0.957482971413828,0.875500553926379,0.856303145804609,0.84129293130327,0.824232080610873,0.924651942305359,0.937037569142413,0.847531361952471,0.898916311229283,0.99799823841629,0.919921431976658,0.891857658643448,0.776635722650343,0.793782947985882
"yeeK",0.948037847230285,0.858006402929792,0.648474732686768,0.941252560790462,0.96679766883631,0.970495394760131,0.866753303600711,-0.575469999480216,0.951159155283497,0.981079689821621,0.97656749568098,0.970315421989375,0.971561768391224,0.969253864121275,0.968714647523536,0.969741981915897,0.958806947373186,0.960988886534062,0.962333505822187,0.964350818758168,0.967698194484733,0.902619692725038,1,0.951430526776089,0.962348749582748,0.922721304926404,0.92936429579718,0.92494462733143,0.932571824775663,0.876911795045657,0.946084552115925,0.938400566244334,0.982391171830463,0.91800520337784,0.943518158790911,0.960559944513693,0.910707476378988,0.978344139532596,0.94199247790741,0.862989729135748,0.86686082930501
"yfnD",0.971001542656634,0.899940983323507,0.703865481053224,0.970422250972974,0.977593272496415,0.977006564818464,0.932536878237014,-0.537561044889221,0.938939854828317,0.982195484304222,0.983471645820462,0.984727413580343,0.98428452823513,0.986823616605688,0.985480549909663,0.985965030834264,0.985568917426579,0.982135708061993,0.97861394459553,0.978828422128226,0.959469419761105,0.934370782620366,0.951430526776089,1,0.992795076764162,0.982171633702269,0.983783498760294,0.980942738995712,0.959806022287121,0.939235518187419,0.932319314127399,0.924439910843173,0.955070036842867,0.951233376609045,0.935427561508572,0.970784024842893,0.945744621111148,0.937596752497088,0.94829993147344,0.836729589987846,0.829072745520099
"yfnE",0.982861628697185,0.911951112402548,0.707512313518337,0.969311721934769,0.9822511993102,0.981677572759428,0.939024762739105,-0.568737690036801,0.954313554669337,0.990504096136558,0.990706540021777,0.991124344665036,0.99090665469115,0.992771019583265,0.991388580169117,0.992707275993991,0.987697445634238,0.984394917521548,0.981894979812365,0.98245311353518,0.970511819544836,0.948493725939762,0.962348749582748,0.992795076764162,1,0.987413292312633,0.989454562249879,0.987490795378933,0.954040849137979,0.936271410670001,0.935039504657943,0.926639122378509,0.964741782202318,0.968713516027066,0.93767720539995,0.974193521906098,0.957524873996491,0.950602727593533,0.957887077548675,0.840526894756373,0.835292561867181
