"","tagA","walR","phoP","tagB","tagD","tagE","tagF","tagG","tagH","pval","z","inv_cof_var"
"GSM672637",13.12063532,12.00166803,11.44644647,12.36217918,13.77660149,12.9397052,12.8156342,12.29240948,11.96003271,0.174949283958136,0.934786054342154,20.9867719854909
"GSM672638",12.67875353,11.89614238,11.57750409,11.97502342,13.90030558,12.79665613,12.70778104,12.31169033,11.77697584,0.342447444565968,0.405792745922125,18.1191856815841
"GSM672639",12.91305019,11.89925465,11.67069814,11.66956506,14.06056301,12.6866171,12.90971413,12.44216766,11.95198364,0.471649038698956,0.0711252438000977,16.3050078268317
"GSM672640",12.79503234,11.74823048,11.40160372,11.8646974,13.81818216,12.76305799,12.73666097,11.86338253,11.55867212,0.492407657233188,0.0190323299997204,16.0226206514803
"GSM672641",12.8108052,11.64474981,11.44184461,11.95349405,13.89762082,12.76934647,12.67092974,11.83214907,11.64603123,0.486933141657411,0.0327596152005991,16.0970340219432
"GSM672642",12.53718401,11.90059108,12.32020335,11.79090335,13.28255242,12.42567472,13.29824572,11.89151413,11.75498866,0.303290225593957,0.514960745181544,18.7109675709169
"GSM672643",13.01324461,11.84500446,11.74947844,12.37832454,14.09866691,12.98028141,13.06578587,12.12819442,11.79619814,0.434945987776031,0.163795701667646,16.8073592394639
"GSM672644",12.97456059,12.05132193,12.18289145,11.97618699,13.69896357,12.69237249,12.93638178,11.61762454,11.9329,0.417401330538864,0.208546010514036,17.0499433529128
"GSM672656",13.04813494,12.0179461,11.7060368,11.79619814,12.88760223,12.29166617,12.50036468,11.56232732,11.7111632,0.182357124126041,0.906418757472394,20.8329975034931
"GSM672657",12.74756208,11.81549405,10.8252368,12.3046145,14.00869331,13.28452677,13.49777063,13.27671636,12.79829665,0.0839554431918463,1.3789476783248,23.3944995869188
"GSM672658",12.52685316,11.70737026,10.6261316,11.92156208,13.81090595,12.90438755,13.68413234,12.60212045,12.55874387,0.281947913979733,0.577064583800068,19.0476223342341
"GSM672659",12.44507026,11.83088699,10.8880052,11.56434796,13.71644461,12.30123104,13.55558736,12.3967052,12.33911152,0.44771758935415,0.131429973729264,16.6319099158623
"GSM672664",13.01521004,11.4622,12.10151896,12.23010929,13.98155204,13.08717584,13.1468632,12.14881636,11.73846877,0.443919182646293,0.141039971442842,16.6840041434931
"GSM672667",13.07116617,11.61880967,11.01674572,12.11264312,13.71904721,12.46749591,12.66205019,11.93608848,11.51118996,0.429053688959336,0.178783912248125,16.8886078804136
"GSM672668",12.91305019,11.61507807,11.24176691,11.75931078,13.72863755,12.37568327,12.57254721,11.85151487,11.48741822,0.495172846815848,0.0121001739237846,15.9850425658911
"GSM672670",12.72122491,11.6089539,11.35768476,11.54293587,13.62222788,12.13786729,12.40042639,11.89925465,11.40904461,0.486413772882493,0.0340622065800386,16.1040951570082
"GSM672671",12.63451004,11.63930279,11.41760669,11.55933717,13.64514461,12.16308104,12.14741227,12.07722007,11.47313457,0.442326802767574,0.145072531477815,16.7058639926479
"GSM672672",12.85683234,11.74947844,11.10075985,11.76177175,13.57959368,12.06917695,12.31318253,11.80505465,11.34212082,0.480102668702154,0.0498959089819014,16.1899270709947
"GSM672683",12.54092193,11.8496145,10.92735539,12.59637175,14.40469851,13.39100595,13.85341561,12.83902974,12.66937435,0.332067360031845,0.434211696680337,18.2732401708726
"GSM672684",12.66502602,11.802529,10.87543271,12.58323271,14.24770112,13.25572045,13.87540502,12.56927323,12.76007472,0.267920777014612,0.619113555285197,19.2755629391621
"GSM672685",12.82172268,11.51739071,11.08095762,13.02507807,14.5931777,13.40705576,13.9254487,12.55874387,12.74603086,0.343273053506523,0.403546672736507,18.1070100857833
"GSM672686",12.49718067,11.68854647,10.85811264,12.34492491,13.92682621,13.29824572,14.07896877,12.91488662,13.02354647,0.233917397261275,0.726006485803012,19.855012052522
"GSM672687",12.69559926,11.99124944,10.98036283,12.30598216,13.52997026,13.22356468,13.94112825,12.988971,12.92673643,0.0614418708010529,1.54278173897986,24.2826172643448
"GSM672688",12.78051896,11.84372045,10.92844275,12.31027584,13.85909405,13.30585762,13.87665688,13.00986097,12.80153755,0.110745536031584,1.22257285211974,22.5468172008397
"GSM672692",12.59782974,11.41400037,11.39223755,11.52873662,13.50188959,12.27279517,12.74756208,12.08684164,11.6362881,0.347309068079174,0.392595672688603,18.0476465035761
"GSM672693",12.35195651,11.82445613,11.51118996,11.37077807,13.66527955,12.382029,12.61541041,11.99392119,11.66706952,0.457385518662328,0.10702261662876,16.4996016204227
"GSM672694",12.52980595,11.57879851,11.32364052,11.55682342,13.69645948,12.62693755,12.80000632,12.15243309,11.83996506,0.37123583083654,0.328581991440786,17.7006387953744
"GSM672704",12.43612565,11.89547138,11.68223941,11.78463792,13.55558736,13.02354647,13.16499442,12.6418026,12.25553011,0.167211878996684,0.965241714064191,21.1518671413374
"GSM672705",12.45830409,11.95349405,11.61880967,11.79090335,13.78122565,12.9331223,13.01695428,12.7318948,12.29315279,0.214034452329556,0.792500492592321,20.2154652002762
"GSM672706",12.61541041,11.99709758,11.49708959,11.94797546,14.0958948,13.01695428,13.40928959,13.03570706,12.63599665,0.275284315022207,0.596908263243977,19.1551916786601
"GSM672707",12.77089368,12.2758855,11.52583048,11.97239591,14.06780892,13.30389257,13.41992007,13.2692461,12.76007472,0.233439641697782,0.727566026981305,19.8634660704691
"GSM672708",12.74445799,12.31318253,11.61139071,11.73118327,13.89762082,13.13379517,13.39298996,13.13193197,12.83257361,0.262546194898231,0.635515302271395,19.3644741300394
"GSM672709",13.00295056,12.28023792,11.55055688,12.08955204,14.25862342,13.56651933,13.66527955,13.21581859,12.75389331,0.291828390673582,0.548051150409176,18.8903452517138
"GSM672710",14.45026283,12.59489368,10.24754089,14.09866691,14.94091933,13.98436729,13.78122565,12.90509033,12.50635242,0.474126529924274,0.0649007042740705,16.2712656149571
"GSM672716",12.719671,11.83742714,11.36724349,11.7148948,13.86400483,12.68944535,12.91816022,12.26440558,11.77446952,0.423330946825068,0.19337934088216,16.9677273146001
"GSM672717",12.52395651,11.7148948,11.34829926,11.57506468,13.75689926,12.61107732,12.70310595,12.10308439,11.65592045,0.441854645424061,0.146268678480701,16.7123481101374
"GSM672718",12.8156342,11.8064539,11.41517398,11.74086617,13.90030558,12.61245019,12.68798067,12.25278848,11.752071,0.426986379629824,0.184051875449253,16.9171646483058
"GSM672719",13.24606989,12.22038662,10.80032714,12.05938885,13.91831896,12.19544498,12.32584796,12.73350074,12.12215242,0.338621371535349,0.41622858708688,18.1757566716467
"GSM672720",13.21581859,12.28434275,10.88235985,12.07855874,13.94912751,12.17169294,11.96415093,12.74146729,12.08006543,0.430813976880927,0.174302221122038,16.8643133649879
"GSM672721",13.36340948,12.25859294,10.8015829,12.18706394,13.94912751,12.42150967,12.13914164,12.94290967,12.28434275,0.319934975564099,0.467880636950821,18.4557539956222
"GSM672722",13.15971115,12.56166506,11.59151078,12.84362528,14.03459963,13.59499257,13.77175465,13.29444201,13.24435279,0.000703263823267162,3.19330814940501,33.2298512906275
"GSM672724",13.0917539,12.75065836,11.70866914,12.77709554,14.18951673,13.79624275,13.78598662,13.64061375,13.44091413,0.0100373360212595,2.32494928747116,28.5226197628888
"GSM672725",12.81230186,12.14741227,12.58472156,12.06073494,13.85909405,12.69864721,13.00544758,11.8064539,11.97911264,0.385015755367158,0.292333679048146,17.5041426157396
"GSM672726",12.74603086,12.21031896,11.24703346,12.0407881,13.34708364,12.90971413,13.98711561,12.86560093,13.07284758,0.134554619153003,1.10511620815464,21.9101039226639
"GSM672727",12.91305019,12.40349591,12.49575204,12.07172602,13.96823197,12.92503755,13.12605204,12.12079071,12.28581264,0.293416431244628,0.543431325444084,18.8653019353137
"GSM672731",12.5077974,12.43328327,12.46243941,11.56165688,13.19629331,12.53577732,13.19966617,12.01920743,12.07040112,0.208136371210766,0.812904625340979,20.3260726705066
"GSM672733",13.16680669,12.40805911,12.44216766,12.15817565,14.18104015,12.87633978,12.80924201,12.42726766,12.22879703,0.322878595884776,0.459664308739003,18.4112146226781
"GSM672737",12.78208439,12.47327881,11.53860669,12.21330186,13.88486654,13.04265836,13.68413234,12.93473197,12.91142379,0.0894906567643482,1.3438981834608,23.2045020012574
"GSM672738",13.08473941,12.42567472,11.545929,12.42726766,14.07336952,13.4593829,13.95716766,13.42601599,13.04989703,0.0783145263720157,1.41650038082052,23.5980666522057
"GSM672739",12.80924201,12.2829855,11.42134944,12.43925799,14.03459963,13.44939033,13.75453086,12.93638178,12.82326543,0.102419804717913,1.26788335399469,22.7924380291783
"GSM672741",12.51518699,12.41698625,12.29611413,11.77574349,13.32130186,11.8678974,11.71712751,12.74146729,12.06978903,0.1946382738959,0.860930090414734,20.5864108708056
"GSM672742",12.34492491,12.35195651,12.28154684,11.51118996,13.15227509,11.9387881,11.9466974,12.82796729,12.23929238,0.134732606747751,1.10429494828322,21.9056520070692
"GSM672743",12.19816729,12.76007472,11.75559182,12.04866431,12.95488401,12.64338773,12.65138587,14.05925799,13.58615465,0.368020143669267,0.33710163182062,17.7468223740294
"GSM672744",12.95315316,12.46749591,11.40524758,12.88436691,14.09040223,13.12800297,13.00986097,14.32280074,13.86665948,0.123467130460198,1.15782793521345,22.1958455835944
"GSM672745",13.26346171,12.07309777,11.71235911,12.63741822,14.52939071,12.56009368,12.15180074,13.31737249,12.54327509,0.463384761150125,0.0919100301350328,16.4176787579664
"GSM672746",11.97097658,12.63305613,11.2363461,11.16389888,12.62544387,11.11236022,11.52100074,12.66046617,12.48438178,0.376067957517371,0.315824244213546,17.6314811318742
"GSM672747",11.93357212,12.42890074,11.19941283,11.21293494,12.64499628,11.45127844,11.86852528,12.97208327,12.55718141,0.315109373231264,0.481418984716636,18.5291431671161
"GSM672748",11.89681338,12.4776539,11.15801487,11.33226952,12.37973866,11.5304,11.98993309,13.22730074,13.10225725,0.448798040597775,0.128698678402647,16.6171040101053
"GSM672749",13.19436877,12.97873309,10.87889517,12.98724424,14.05355316,13.49777063,13.6722223,13.74509665,13.83859442,7.79001334298489e-05,3.78163727609422,36.419087371746
"GSM672750",12.73586952,12.86164312,11.01554164,12.57254721,13.8692948,13.47812268,13.55136803,13.90030558,13.63389182,0.041586395125569,1.73256626160121,25.3114081565925
"GSM672751",13.36832156,12.98028141,11.10790929,13.1136368,13.98436729,13.78374796,13.95159331,13.6722223,13.81818216,3.72516939328998e-07,4.9492411569779,42.7484772598916
"GSM672752",12.95655428,13.15227509,11.1518223,12.80000632,13.36243383,13.20410743,13.51702342,14.18951673,13.99217212,0.0289651160992516,1.89622550337274,26.1985781694108
"GSM672753",12.51075985,13.12992751,11.13599963,12.4776539,13.23499331,13.18883978,13.41992007,14.34591822,13.96283048,0.268763263099433,0.616557664035989,19.2617078702532
"GSM672754",12.36369665,13.25970781,11.29894126,12.34049442,13.21045353,13.12992751,13.36438513,14.41536729,14.24609498,0.469808013830212,0.0757524740177816,16.3300912858964
"GSM672755",13.30210743,13.06050818,11.14255428,13.1468632,14.02572788,13.97082379,14.46409554,13.56539052,13.59734461,0.00458226362630046,2.60585491263953,30.0453632656924
"GSM672756",12.9397052,12.68502305,11.04821115,12.70310595,13.93848699,13.56877881,13.6561342,13.50622305,13.42404535,0.00217661858027317,2.85136204579801,31.376217326322
"GSM672757",12.95128178,12.94290967,10.96575651,12.83733197,14.08497249,13.84343978,14.15506134,13.99217212,13.52354052,0.044085810187504,1.70512228398846,25.1626388374453
"GSM672761",12.73350074,11.59151078,11.59011673,11.52583048,13.95989033,12.50189554,12.60816022,12.16032193,11.87245242,0.494461902361264,0.0138823980209133,15.9947037115617
"GSM672762",12.76007472,11.6834855,11.75077844,11.73237063,13.74626524,12.60364461,13.00624349,12.0407881,11.83344498,0.394924681854905,0.266506227791869,17.3641362218809
"GSM672764",12.40349591,11.61993123,11.47251487,11.56434796,13.93093309,12.62842751,12.84668736,12.10581004,11.87752714,0.48737041635805,0.0316629612388481,16.0910892399756
"GSM672765",12.56166506,11.68854647,11.38389442,11.51240149,13.8509658,12.62768253,12.77562007,12.27727844,11.89992286,0.432563309666572,0.169851887608617,16.8401888340576
"GSM672768",12.92314349,11.95198364,11.63251747,11.68967509,13.73361487,12.49265874,12.76600149,12.0179461,11.80505465,0.402555398691928,0.246738256403697,17.2569772784567
"GSM672770",12.91305019,11.91889442,11.45859368,11.74947844,14.02572788,12.50635242,12.71191784,12.17600892,11.77767175,0.497652535396417,0.00588425510538359,15.9513470854642
"GSM672773",12.86164312,11.68967509,11.70737026,11.89681338,14.24770112,12.78208439,12.74603086,12.41256617,12.04472491,0.461464753450551,0.096744239047518,16.4438842147217
"GSM672774",12.67714424,11.73722937,11.51608104,11.67839033,13.72863755,12.61394312,12.9007197,11.79984164,11.9466974,0.411426981946156,0.223875777797198,17.1330435169481
"GSM672776",12.77412974,11.70220223,11.44184461,11.79360967,13.75962305,12.70008885,12.82796729,12.05132193,11.90186766,0.337755814768588,0.418595704320285,18.1885884274557
"GSM672781",12.73507807,11.8281881,11.26177993,11.62372862,13.76194498,12.28434275,12.61394312,11.87245242,11.71296431,0.457424298511517,0.106924852181653,16.4990716553266
"GSM672784",12.64979145,11.8387684,11.50287249,11.82952268,13.44939033,12.31454387,12.61945911,11.31026896,11.81292007,0.390674601709683,0.277561221694062,17.4240635377828
"GSM672787",12.79327175,11.73589108,11.11013494,11.8496145,13.83479257,12.89221561,13.21222714,12.14044424,11.91645465,0.403642119971372,0.243931025518311,17.2417597384411
"GSM672788",12.59637175,11.5727223,11.37684758,11.79926413,13.98711561,12.83418104,12.99247212,12.08684164,11.92544981,0.455952779460044,0.11063529373932,16.5191853528401
"GSM672791",12.90213346,11.84635353,11.77321896,11.75931078,13.96823197,12.67794888,13.15065688,12.43612565,12.06628662,0.39385805251763,0.269277552353088,17.3791591195791
"GSM672792",12.93148625,11.67574201,11.73589108,11.92414164,14.2077948,12.80924201,13.2005329,12.58011896,12.14450074,0.41788534818336,0.207306246172334,17.0432227929554
"GSM672793",12.7521803,11.78024257,11.50542677,11.94797546,14.19849442,12.86961896,13.38472454,12.44648699,12.17600892,0.443106771035797,0.143097040698506,16.695155179867
"GSM672796",12.41861375,11.52222045,11.71601041,11.58256431,13.81090595,12.66355688,12.89544572,12.04472491,11.67839033,0.490893546972877,0.0228284752869421,16.0431989349103
"GSM672798",12.79503234,11.92414164,11.89212844,11.71836989,13.99478104,12.54013457,12.78364684,12.21495725,12.03001301,0.417659952789567,0.207883534897435,17.0463521808231
"GSM672800",12.6866171,11.82700706,11.8141171,11.7631513,13.96823197,12.6418026,12.82326543,12.30192082,12.06073494,0.364590072559471,0.346216327425068,17.7962316498436
"GSM672801",13.12063532,11.90698848,11.92018364,12.19392119,14.38725613,12.88983086,13.30585762,12.52395651,12.24615948,0.419330430215842,0.203606695582894,17.0231681336014
"GSM672805",12.59637175,11.77082305,11.45388848,11.57396654,13.92297026,12.54170929,12.68201636,12.14811431,11.96554164,0.43895252785098,0.153625466801407,16.7522280577538
"GSM672807",12.96154498,11.80575428,12.0542368,12.04601524,14.37000297,12.9397052,13.20505651,12.33601004,12.12079071,0.498095351735347,0.00477426333044414,15.9453300013903
"GSM672809",13.08807955,11.7060368,12.01920743,12.21330186,14.35976208,12.91816022,13.44939033,12.25706059,12.20908513,0.480038242927018,0.0500576022543232,16.1908035838089
"GSM672810",12.98202045,11.77196952,12.10021896,12.03148699,13.9254487,12.99767955,13.51044907,11.79090335,12.29166617,0.474603861654092,0.0637017348952123,16.2647661978286
"GSM672811",13.00295056,11.82046914,11.91238699,12.12371933,14.29121375,13.03040297,13.36438513,12.40504387,12.21330186,0.426374051588335,0.185613197670545,16.925628320996
"GSM672812",12.92828178,11.91770855,11.64474981,12.14741227,14.29121375,13.34864684,13.53679182,12.6866171,12.26860632,0.405337787700135,0.239554585204912,17.2180357704763
"GSM672813",12.70469665,12.05809554,11.5471777,11.90698848,14.00014721,12.92588699,13.02025465,12.5327658,12.17742788,0.296217296082167,0.535311331274054,18.8212847734722
"GSM672814",12.5077974,12.06361859,11.72602565,11.67967361,13.77875762,12.36989182,12.87134275,12.01517881,12.26440558,0.320380052044945,0.466636310127322,18.4490087031962
"GSM672815",12.56166506,11.82952268,11.60009591,11.75320818,14.04552862,12.83418104,12.98724424,12.39153123,11.99779554,0.434734789863474,0.164332269349532,16.8102678852089
