"","ftsW","yofA","tnrA","pycA","pval","z","inv_cof_var"
"GSM672650",12.13241078,9.430920818,10.11953383,13.9254487,0.469025173756383,0.0777205493725466,10.2762406394139
"GSM672657",11.89925465,10.137871,10.10964312,13.71644461,0.497285359046757,0.00680464828137985,9.96760660706117
"GSM672660",11.35176059,9.220974721,9.477910781,12.52395651,0.15248096850821,1.02585075675065,14.4026106720296
"GSM672661",11.58120632,9.683063941,10.0633171,12.6418026,0.0767506199710838,1.42727293067003,16.1496454316003
"GSM672662",11.70737026,9.520383643,9.656692193,12.64338773,0.0259881808533364,1.94332948066308,18.3955819775046
"GSM672663",11.36849442,9.204114126,9.636028996,12.26860632,0.0236770557985325,1.9831192433353,18.5687515306081
"GSM672664",11.63497546,9.529263569,9.89214461,12.59489368,0.0345606853008724,1.81762563622936,17.8485046113164
"GSM672665",11.8064539,9.271420074,9.681794424,12.61945911,0.00468992948257578,2.5978898054856,21.2443026361955
"GSM672666",12.33753643,10.06210632,10.45909944,14.1456342,0.461652297850578,0.096271940611426,10.3569783949202
"GSM672667",12.36217918,10.16996877,10.62915149,14.0958948,0.422297431676119,0.196019551009574,10.7910912911965
"GSM672669",12.39001859,9.933688848,11.57569219,13.99478104,0.349065211763081,0.387845430109539,11.6259392401793
"GSM672670",11.96554164,9.781756506,12.99944721,13.74295651,0.473474073954218,0.0665397047602429,10.227580337497
"GSM672671",12.05132193,9.793090335,13.10047026,13.66870985,0.382007088673559,0.300213671613566,11.2445559034295
"GSM672672",11.85025242,9.683063941,14.16922491,13.6081974,0.472312959503114,0.0694569245886513,10.240276408548
"GSM672673",11.88637695,9.689711524,13.8485,13.66069851,0.477728566724824,0.0558552337039893,10.1810803095074
"GSM672674",10.77595948,8.77573197,13.52764833,12.15595799,0.338556267531667,0.416406551702418,11.7502404757287
"GSM672675",11.18912454,9.533196654,12.89897175,12.83102602,0.462782037281357,0.0934273359234737,10.3445983531837
"GSM672676",11.15801487,9.539726022,12.80000632,12.64979145,0.378470268317615,0.309500888186962,11.2849749216789
"GSM672682",12.50635242,9.71651487,11.50065985,14.41536729,0.49689060060337,0.00779418735930571,9.97191319318772
"GSM672697",12.49886208,9.799172862,10.53548253,13.94646394,0.246780823873848,0.684655006125831,12.9176881269212
"GSM672701",12.28882454,9.767536431,10.54747175,13.87933941,0.348399528568162,0.38964501976151,11.6337712581375
"GSM672702",12.47473234,9.71651487,10.495429,13.91831896,0.246032787075701,0.687027222192503,12.9280122798827
"GSM672703",12.4688316,9.832570632,10.37802602,13.92820372,0.256124501408674,0.655339797671255,12.7901050199539
"GSM672707",12.32160558,9.619292193,9.648879926,14.16922491,0.481638695018443,0.0460412273793487,10.1383686426047
"GSM672710",11.45977212,9.763730112,13.46152045,13.12063532,0.451806751768588,0.121097886056861,10.4650237208894
"GSM672711",11.38992602,9.75460855,13.35045167,12.92314349,0.384777015823551,0.292958292240879,11.212979670771
"GSM672712",11.22378216,9.61657658,12.79327175,12.89381004,0.474932785308655,0.062875592657061,10.2116337066851
"GSM672713",11.14034721,8.919800372,9.143704089,12.34492491,0.188287449728858,0.884224751601919,13.7862382593197
"GSM672714",10.92844275,8.979176952,8.859812268,12.19611394,0.248147133341101,0.680332000419668,12.8988739165333
"GSM672715",11.09902212,8.959613011,8.952978439,12.37136022,0.237730526166111,0.713621834444209,13.0437550440838
"GSM672719",11.73350112,10.29977138,9.743322305,13.29628699,0.374967723641857,0.318724483164954,11.3251170515404
"GSM672720",11.70928476,10.32256357,9.481560223,13.20505651,0.336231688547733,0.422769589714851,11.777933137735
"GSM672721",11.87752714,10.33233123,9.500806691,13.41992007,0.351481082051248,0.381324920647438,11.5975612445914
"GSM672733",11.79984164,10.21153717,10.25863271,13.27583253,0.316753204394096,0.476797383922216,12.0130682164518
"GSM672740",11.65592045,9.284888476,9.475285502,13.34708364,0.452789909733138,0.118615708711541,10.4542210039907
"GSM672741",11.9151855,9.831281413,9.890813011,13.29628699,0.247486768681501,0.682419802983961,12.9079602697243
"GSM672742",11.85939182,10.11216691,9.750860223,13.24083643,0.251875499176196,0.668599489447468,12.8478127001452
"GSM672743",11.9588368,10.5828145,8.9676171,12.90826059,0.0243044793160816,1.97200567544507,18.5203840246043
"GSM672744",11.97618699,10.80762305,9.617849071,13.15597175,0.119479057984741,1.17759497035635,15.0630186737713
"GSM672745",12.55092639,10.18349442,9.623286617,13.10414349,7.55754523271148e-08,5.25115197174052,32.791600049895
"GSM672746",12.01517881,10.60167435,9.293330483,13.39100595,0.236753741471424,0.71678384242141,13.0575164608792
"GSM672747",12.33457361,10.53918104,8.998344981,13.28255242,0.0175570635245073,2.10703983169848,19.1080679644342
"GSM672748",12.01236766,10.84973011,9.378848327,13.32318773,0.195771949306863,0.856820854153041,13.6669733942938
"GSM672749",11.81046245,10.57562602,10.04591561,13.43237621,0.403150221542928,0.245201463731085,11.0051365449196
"GSM672750",11.90309033,10.3081487,9.898328625,13.24083643,0.220549410635775,0.77033901082037,13.2905946185557
"GSM672751",11.92018364,10.50141338,9.841120818,13.16149219,0.15878996501651,0.999443430160039,14.2876829962347
"GSM672752",11.88260409,10.5722368,9.61009368,13.06929071,0.128652413153158,1.132784347188,14.8679977672061
"GSM672753",12.10151896,10.60737249,9.866851301,12.99944721,0.0119612337360606,2.25837215085043,19.7666833548684
"GSM672754",12.10021896,10.72635353,9.636028996,13.10414349,0.0362816595360186,1.79556755962824,17.7525053640024
"GSM672755",11.7644632,9.991480297,10.17684572,13.4345881,0.433312640551601,0.16794661036186,10.6689146744041
"GSM672756",11.73973234,9.960652788,9.83625948,13.44939033,0.456078744505988,0.110317613444113,10.418106753677
"GSM672757",11.93482268,9.976483271,10.0326223,13.4367223,0.322331937962324,0.461187797042507,11.9451335266584
"GSM672761",12.10844647,9.821001487,10.39915502,13.7109197,0.369064365069082,0.334332418408979,11.3930445532282
"GSM672762",12.01517881,9.819645353,10.47263569,13.37430892,0.226131862875837,0.751646410084106,13.2092423033256
"GSM672763",11.87491115,9.900917844,10.50714535,13.56651933,0.436403719700964,0.160093477127328,10.6347369492468
"GSM672767",11.95349405,9.779072862,10.09491599,13.58176394,0.395693843666766,0.264509056293776,11.0891653742224
"GSM672771",12.19956989,9.894642379,10.68896989,13.7935658,0.357194900255889,0.365966865476526,11.5307212492792
"GSM672772",11.99971729,9.868152788,10.73581636,13.56877881,0.357891980403884,0.364099164359727,11.5225928025128
"GSM672773",12.09156468,9.801787361,10.47503271,13.32130186,0.141390748246276,1.07409189569833,14.612561571752
"GSM672777",11.39465613,9.950405576,10.31709591,12.70310595,0.239221569779947,0.708808794407768,13.0228081487971
"GSM672778",12.46461859,9.723099628,10.68536877,14.04552862,0.329594842745468,0.441032200624386,11.8574140885453
"GSM672781",12.01920743,9.954214126,10.42834387,13.76680818,0.454683101175812,0.113838015624624,10.4334279426312
"GSM672782",11.97097658,9.809530483,10.60271673,13.62222788,0.407201867251537,0.23474876707979,10.9596452253874
"GSM672783",12.04223755,9.952976208,10.80762305,13.53887881,0.310800717393269,0.493581972785315,12.0861166479388
"GSM672786",11.92944684,9.942540149,10.55114572,13.56651933,0.402489403726129,0.246908797776743,11.0125670560317
"GSM672787",11.96838401,9.926298885,9.916043494,13.61745502,0.406191656591621,0.237352529900583,10.9709770960442
"GSM672788",11.99971729,9.927572862,10.52022342,13.59032751,0.370536683832887,0.330432262007065,11.3760706308976
"GSM672801",12.20653755,9.568403717,10.41518587,13.81700465,0.366199167152623,0.341936959872554,11.4261403788468
"GSM672809",12.21495725,9.59425316,10.33973569,14.07618625,0.49538204114714,0.0115757647486562,9.98837104622732
"GSM672814",12.33911152,9.615347955,10.3697052,14.03726022,0.405112964372198,0.240134578267671,10.9830848855882
