"","yfmI","spo0A","abrB","yfmJ","yqcF","yqcG","pval","z","inv_cof_var"
"GSM672670",11.77697584,12.9331223,11.89411264,11.38266952,12.29538383,13.12800297,0.455507593899166,0.111758128862048,16.1086714654128
"GSM672671",11.62372862,12.81874535,11.99392119,11.39810297,12.40805911,13.13574721,0.483116027840821,0.0423344839741063,15.3361124533083
"GSM672672",11.61378959,12.99247212,11.93222788,11.16154387,12.06771041,12.88276766,0.450457721683923,0.124504997966484,16.2505209551456
"GSM672673",11.81170372,12.97704498,11.69867212,11.66571561,12.10844647,12.75841524,0.182635661612849,0.905366375030529,24.9400891134992
"GSM672676",11.42303234,13.45520892,12.08006543,11.60389777,11.9427,13.05679517,0.445462962134186,0.137132676584517,16.3910440713557
"GSM672677",11.90440112,13.6561342,12.06496617,12.16173569,12.01517881,13.08133792,0.236123929312073,0.718826449695844,22.8642387217888
"GSM672678",11.9097197,13.6940316,11.94797546,12.42432045,11.94402528,13.29824572,0.349828479000449,0.385783578639974,19.1580767669295
"GSM672679",11.93482268,13.82056989,11.42414219,12.6418026,12.02192007,13.35631375,0.356259502758937,0.368475103881805,18.9654648955449
"GSM672680",11.9083223,13.88212491,10.71597138,12.73507807,12.02192007,13.21872714,0.316850954803058,0.476522881973679,20.1678403230736
"GSM672681",11.95618216,14.16357621,10.00124461,12.85502825,12.15671914,13.24788216,0.295262278733003,0.53807603379655,20.8528150494935
"GSM672682",11.61762454,14.16357621,9.141365056,12.96701115,12.01652491,13.21045353,0.444570064617663,0.139392334719873,16.4161899601889
"GSM672683",10.02391561,12.04866431,14.82197844,10.34221784,11.35768476,11.40767807,0.484576955595412,0.0386694742836813,15.2953275554488
"GSM672692",11.09843086,13.33519294,13.1496961,11.64474981,11.83474164,12.20653755,0.17349384069309,0.940448252373303,25.3304866581174
"GSM672693",11.39588067,13.24083643,13.10592714,11.68098401,11.90566059,12.41256617,0.126909099926429,1.14112430125361,27.5636464169609
"GSM672694",11.47313457,13.24788216,13.13379517,11.7080197,11.96963309,12.25706059,0.0345516024588648,1.81774442122549,35.0931988093656
"GSM672698",11.89151413,13.95989033,11.05744312,11.52469963,11.02948476,11.69219926,0.069880640442341,1.47668057753938,31.2977780047106
"GSM672699",11.5763197,13.85341561,11.20930781,11.22259814,10.92615725,11.64288457,0.0422527825705474,1.72512157508327,34.0624748445056
"GSM672700",11.65105948,13.66069851,11.29765019,11.30964275,10.69834424,11.5304,0.144424230702813,1.0606511641882,26.6681266358755
"GSM672704",10.17751747,12.50036468,12.91305019,10.56048587,10.93189145,11.52934052,0.363149826559725,0.35005202650133,18.7604495224115
"GSM672705",10.26368476,12.46005688,13.18522751,10.57447881,10.89814201,11.54228885,0.329345467055036,0.441721245093986,19.7805613455611
"GSM672706",10.04221636,12.51217212,13.77875762,10.9565684,11.26294796,11.66844684,0.463478301442063,0.0916745695053447,15.8851779452843
"GSM672716",10.8438829,12.95401859,13.1633513,10.94725613,11.58383606,11.8281881,0.218106324772313,0.778604632212279,23.5294612652729
"GSM672717",10.93189145,12.89221561,13.10047026,11.11013494,11.62122007,11.76380725,0.110540029207331,1.2236612100856,28.4821322275564
"GSM672718",10.8556171,13.06752156,13.20139963,11.04454907,11.54474833,11.79619814,0.1588655143377,0.99913142743569,25.9835237584674
"GSM672724",9.805604833,12.72346599,14.20445688,11.29765019,11.18912454,11.26665725,0.49384307073479,0.0154337456801909,15.0367561196734
"GSM672738",9.975315242,12.51800186,13.78374796,11.37927323,10.8252368,11.06445836,0.390090369468494,0.279083508359838,17.9706988783132
"GSM672739",9.707454275,12.48971413,13.40092937,11.20221599,10.73115465,11.19026506,0.486093126754752,0.0348664247305782,15.2530065247615
"GSM672749",9.596961338,12.58011896,14.35301933,11.15552937,10.35757398,10.97927509,0.498218011573077,0.00446679742974493,14.9147139146028
"GSM672750",9.658863569,12.28434275,14.51807323,11.1592223,10.58700242,10.93322082,0.458473197699408,0.10428094972413,16.0254640490139
"GSM672751",9.621913755,12.51217212,14.61673569,10.77255948,10.84732714,11.03990446,0.443109179105675,0.143090942447411,16.4573487431476
"GSM672752",9.775313755,11.92807175,13.90293309,11.42984089,10.95179145,10.92735539,0.483630392041016,0.0410440431345706,15.321752191732
"GSM672753",9.898328625,11.7148948,13.7824868,11.55183606,10.95058736,11.08671896,0.474705549881669,0.0634463246889863,15.5710488763774
"GSM672757",9.784247584,12.38351487,14.54790446,11.14142193,10.70275725,10.86517584,0.38678700898897,0.287703098534285,18.0666192535782
"GSM672767",11.27969628,12.70008885,12.34786914,11.13814721,11.89411264,12.60364461,0.405424922055097,0.239329820059988,17.5283125672802
"GSM672778",10.41638848,13.08980112,13.89249665,10.92505576,11.49708959,11.78200855,0.377055272081937,0.313223923200072,18.3506196560882
"GSM672779",10.17684572,13.19254647,13.6744539,10.99780372,11.58508885,11.83742714,0.490997269147408,0.0225684153654906,15.1161520282671
"GSM672788",11.5375197,12.61808885,11.8697881,11.15301375,11.71356952,12.41567323,0.256395337909442,0.654498527023108,22.1483858380775
"GSM672816",10.49476208,12.95834721,12.89897175,10.91080595,11.62122007,12.21031896,0.499224184664435,0.00194468188174725,14.8866473517002
