"","resA","phoP","resD","ccpA","resB","resC","resE","pval","z","inv_cof_var"
"GSM672716",11.89274275,11.36724349,11.96554164,12.56473271,11.72085651,11.03990446,12.31169033,0.380343114615548,0.304579770449196,25.1155718173823
"GSM672717",11.86726952,11.34829926,11.82570149,12.53577732,11.70737026,11.09029926,12.37289182,0.350999316684289,0.382623918062551,25.6608186189967
"GSM672718",11.79984164,11.41517398,11.69475316,12.67265651,11.8179803,11.0487987,12.40426989,0.421202856026929,0.198817236908855,24.3766735795644
"GSM672724",12.90213346,11.70866914,12.82796729,13.61520669,12.98028141,12.2903119,13.4450803,0.118094609492867,1.18456566548842,31.2634959014917
"GSM672725",13.92297026,12.58472156,14.16357621,12.89724424,14.26634535,13.49133829,14.88755316,0.249852990784302,0.674952440570664,27.703139494969
"GSM672726",13.08627212,11.24703346,12.2758855,12.84514201,12.93148625,11.87109368,13.03222825,0.473448864333863,0.0666030360862799,23.4529736951905
"GSM672727",14.07336952,12.49575204,14.47455279,12.96003271,14.42909851,13.71375353,15.0717881,0.220702344672621,0.769823345606317,28.3659445754117
"GSM672728",14.24448885,14.89745725,14.73557435,12.9836684,14.64878104,13.88738959,15.39813309,0.350304367230574,0.38449886838577,25.6739177519642
"GSM672729",14.24770112,14.45026283,14.90230818,12.81725688,14.66569628,14.25402268,15.28884089,0.0749078367400828,1.44018285173065,33.0493370887994
"GSM672730",14.02859517,14.97281599,14.56330743,12.77412974,14.43977026,14.09866691,15.08894944,0.0575385185978067,1.57577772680082,33.9966556797281
"GSM672731",13.77175465,12.46243941,14.33589145,12.99944721,14.32815855,13.69645948,15.01592007,0.295862009512014,0.536339379825695,26.7347346837895
"GSM672733",14.16922491,12.44216766,14.40469851,12.91142379,14.31970743,13.8509658,14.91167472,0.0222684661664408,2.00900189910911,37.0233284227426
"GSM672735",13.7935658,14.8357223,14.58155874,12.88029071,14.3805052,13.91315353,15.0717881,0.251604238629784,0.669449981768615,27.6646971754027
"GSM672736",13.50399368,14.94091933,14.17513717,12.74293383,13.96540669,13.62914721,14.64045799,0.131573647499538,1.11898322635869,30.8053114472939
"GSM672737",13.26165428,11.53860669,12.6866171,13.32734535,13.19966617,12.09898662,13.1385881,0.319894818263048,0.467992942718665,26.2572398635632
"GSM672738",12.65138587,11.545929,12.69237249,13.34708364,12.60212045,11.79491301,13.00715743,0.243379038190289,0.69547435631313,27.8465135885271
"GSM672749",12.66205019,10.87889517,12.65458104,13.86665948,12.90368476,11.91377249,13.34507323,0.417523454678883,0.20823317119018,24.4424569625355
"GSM672750",12.63451004,11.01554164,12.44358959,13.80104535,12.63305613,11.95198364,13.01324461,0.0875588462288586,1.35594178115955,32.4607961706383
"GSM672751",12.68047472,11.10790929,12.50635242,13.83597807,12.82326543,11.81046245,13.03748513,0.28937639521689,0.555207425583743,26.8665541977043
"GSM672752",12.988971,11.1518223,12.79503234,13.93621227,13.2786855,12.30746208,13.25773792,0.0898553901902068,1.34164607172685,32.3609207785256
"GSM672753",12.93638178,11.13599963,12.61945911,13.82848513,13.02507807,12.35779405,13.17256729,0.0112094386354725,2.28319512307343,38.938949042133
"GSM672754",12.78286561,11.29894126,12.63887881,13.78374796,12.91816022,11.9387881,13.30389257,0.3638187432435,0.348269913791921,25.4208081694752
"GSM672755",13.16865353,11.14255428,12.95488401,13.7497,13.33925093,12.22386022,13.61280632,0.395368308591882,0.265354197023093,24.8415266890015
"GSM672756",13.02672268,11.04821115,12.72266468,13.94112825,13.26165428,12.12968401,13.57959368,0.47639145841279,0.0592124205597431,23.4013399775956
"GSM672757",12.97873309,10.96575651,12.69237249,13.83099145,13.03748513,12.32441041,13.35817584,0.0747475359897859,1.44131726469129,33.0572625394247
"GSM672770",12.2163461,11.45859368,12.11049405,13.25872286,11.97753792,11.19267138,12.61107732,0.49300159079191,0.0175433102343669,23.1102233490485
"GSM672777",14.47804424,12.19544498,14.05355316,12.46005688,14.25402268,13.55558736,14.61295725,0.0536221463765039,1.61070381983023,34.2406629640605
"GSM672788",12.25424572,11.37684758,11.87752714,13.15597175,12.10021896,11.10549071,12.43176617,0.4901558444267,0.0246781433468951,23.1600700711107
"GSM672789",12.72569926,11.92018364,12.80000632,13.57092379,12.70310595,11.98045539,13.48348773,0.447161712124761,0.132835568206973,23.9156999521361
"GSM672791",12.35485911,11.77321896,12.08217398,12.81725688,12.18154349,11.24703346,12.60668736,0.468592584437557,0.0788082160975548,23.5382438348203
"GSM672797",12.87134275,11.9588368,12.96701115,13.74402658,12.87304684,12.09294498,13.34864684,0.232618350274383,0.730251119693754,28.0894775977918
"GSM672798",12.72569926,11.89212844,12.85502825,13.77875762,12.84668736,12.23010929,13.59734461,0.31997877563372,0.467758150375698,26.2555995128392
"GSM672800",12.53718401,11.8141171,12.20908513,12.8108052,12.27143792,11.48512491,12.76007472,0.36420583718354,0.347239132242891,25.4136067282402
"GSM672801",12.40940483,11.92018364,12.23579331,12.90971413,12.27727844,11.36494387,12.70310595,0.421145845514218,0.198962995658834,24.3776919069428
"GSM672803",12.44358959,11.41400037,12.10581004,12.88900186,12.00570595,11.33414907,12.65748922,0.446081184399507,0.135568550673567,23.9347936317309
"GSM672804",12.58011896,11.33772937,12.15447286,12.92910465,12.36067658,11.54474833,12.79327175,0.350347274993815,0.384383065587084,25.6731087085249
"GSM672807",13.12992751,12.0542368,13.22549963,13.65160669,13.24606989,12.50924944,13.8485,0.248482339596133,0.679273349747027,27.7333270488154
"GSM672808",13.13379517,12.05679591,12.99944721,13.77875762,13.20139963,12.21173457,13.78598662,0.491351823120596,0.0216794627915647,23.1391201212187
"GSM672811",12.65605019,11.91238699,12.52257955,12.94134015,12.55092639,11.72348773,12.97704498,0.284100923621066,0.570701728015332,26.9748034271779
"GSM672813",12.70778104,11.5471777,12.50924944,12.92588699,12.64338773,11.74086617,13.24788216,0.488352443738447,0.0292002429431276,23.1916632195635
"GSM672815",12.24317175,11.60009591,12.07931208,12.58472156,12.03818364,11.33291115,12.62092416,0.346142900125845,0.395754968303186,25.7525572485352
