"","dnaJ","hrcA","dnaK","groEL","groES","grpE","yqeT","yqeU","yqeV","pval","z","inv_cof_var"
"GSM672662",12.48055799,12.58170112,14.10748848,13.79624275,14.06780892,14.01120595,12.43471264,12.2758855,12.12079071,0.411596489443662,0.223440124324839,15.1240016011091
"GSM672664",12.59350818,12.25859294,14.09728086,13.27106394,13.32318773,14.08764126,12.51075985,12.63150967,12.29913829,0.197614716285038,0.850172060920367,18.0702668499004
"GSM672665",12.38281004,12.22607175,13.83099145,13.30585762,13.15417807,13.8485,12.62544387,12.43780892,12.10452751,0.142198651859125,1.07049334325811,19.1059966409287
"GSM672666",13.20598141,12.6866171,14.48566134,14.39777584,15.10350818,14.49293792,13.20315836,13.01324461,12.39912119,0.48640334649207,0.0340883568425298,14.2338594210875
"GSM672667",13.19629331,12.75551227,14.49691561,14.60551747,15.02706357,14.42564907,13.29628699,13.0393197,12.79327175,0.382148830499136,0.299842021013495,15.4831667242051
"GSM672683",13.54539665,13.11699257,14.74027026,14.83115242,15.55620743,14.57775836,13.68882788,13.43859219,13.53224944,0.264628955191381,0.62913922849059,17.0311920636892
"GSM672684",13.57959368,12.65290223,14.51807323,14.26004424,15.03851413,14.20152714,13.68413234,13.34118773,13.63389182,0.116884494610671,1.19070608259213,19.6711164244932
"GSM672685",13.30005502,12.62842751,14.27893866,14.40469851,14.91167472,14.37361413,13.65160669,13.30973011,13.54830632,0.133082637394629,1.11193691621061,19.3008227725584
"GSM672686",13.59499257,13.02672268,14.7149948,14.93051896,15.190129,14.61673569,13.73590855,13.47410706,13.40495093,0.206225295794952,0.819588745641207,17.9264947621251
"GSM672687",13.68668848,12.82942007,14.84014647,14.91167472,15.01087881,14.66781357,13.8485,13.6106,13.55989331,0.182546884473751,0.90570168777078,18.3313114852774
"GSM672688",13.57540669,12.92992751,14.78045019,14.48155167,14.69906245,14.40658067,13.89382955,13.51480558,13.54925019,0.0484340297841294,1.66023065674105,21.8783502600352
"GSM672704",13.6561342,13.89762082,14.90736059,14.96705799,15.59743048,15.00514164,13.55765056,13.20863941,13.07797286,0.381580379435724,0.301332764467723,15.490174705413
"GSM672705",13.59952639,13.79490428,14.90230818,14.84428699,15.61343941,14.95582342,13.57540669,13.10047026,12.9736632,0.418673336624546,0.205288570587673,15.0386711929
"GSM672706",13.35045167,13.72151636,14.95131636,14.91633309,15.32970632,14.87743532,13.50188959,12.96858699,13.03222825,0.41680020340639,0.210086186074605,15.0612247711699
"GSM672710",12.70469665,12.23010929,13.02025465,11.12754535,11.05971004,13.00295056,12.82326543,12.96003271,12.67265651,0.347130195996124,0.393080004511222,15.9214782488084
"GSM672711",12.13114796,12.54480855,13.45520892,11.59151078,11.12047993,12.81230186,12.56473271,12.61245019,12.70631673,0.20760013609657,0.814776469699332,17.9038722650936
"GSM672712",11.78084387,12.55260149,13.24435279,11.63563178,11.22958513,12.83257361,12.64979145,12.56927323,12.77012007,0.159711650844234,0.99564368407037,18.7541285823985
"GSM672716",13.09676506,13.28644796,14.56330743,14.60551747,15.42020595,14.4894368,13.22730074,12.86639294,12.77243197,0.470789262719663,0.0732860083991168,14.4181274819154
"GSM672719",13.09676506,14.16637026,14.67824238,14.47804424,15.00514164,14.78045019,13.11278271,12.8811052,12.60212045,0.435228116996651,0.163079000026405,14.8402441084489
"GSM672720",12.97704498,14.17513717,14.61673569,14.48155167,14.87743532,14.71898885,13.00295056,12.88760223,12.53873903,0.442936390733029,0.143528529186703,14.7483373944789
"GSM672721",13.02672268,14.32645576,14.75366506,14.50400372,15.12831859,14.74947249,12.94628513,12.91816022,12.69635725,0.483823073130739,0.0405606610548539,14.2642857068197
"GSM672724",13.92068736,14.02859517,15.3676855,15.60525576,15.89411301,15.39060186,13.82289926,13.55989331,13.39100595,0.444962801152478,0.138398348320633,14.7242204272029
"GSM672739",13.77660149,13.33340483,15.10605167,15.34516989,15.58944684,14.88755316,13.6246145,13.30585762,13.42815502,0.414599382388749,0.215729294954525,15.0877530117417
"GSM672744",14.45737881,15.67325911,16.28856134,16.17336691,15.87744201,15.43592342,14.7149948,14.29121375,13.99478104,0.222679356771592,0.763175541071012,17.6612964301221
"GSM672748",13.96823197,15.60525576,15.90234647,16.06489257,15.85358848,15.74199963,14.2410829,14.09040223,13.89762082,0.357803401919378,0.364336423942003,15.7863547492514
"GSM672749",14.32280074,14.31970743,15.10096468,14.70664796,15.08293978,15.24369703,14.17513717,14.20152714,14.04552862,0.000100282727341353,3.71830320016281,31.5533440813382
"GSM672750",14.23157435,14.05925799,15.03266691,14.41536729,15.21679294,15.28884089,14.15794052,13.87172416,13.59734461,0.0207180657761482,2.03913925333791,23.6595986142931
"GSM672751",14.16357621,14.53842993,15.27586766,14.58946431,14.78927807,15.24909405,13.81582714,13.73361487,13.91315353,0.0121907656454469,2.25106325523834,24.6558528112241
"GSM672752",14.37361413,15.70693346,15.73282862,15.75092528,15.71599665,15.82913494,14.23481264,13.84591078,14.24770112,0.207926577910381,0.813636614609625,17.8985138091999
"GSM672753",14.55987026,15.3676855,15.78401747,15.68968439,15.75899182,15.5469539,14.44320929,14.13993457,14.13102342,0.0683167604663808,1.48844521127415,21.0707873153789
"GSM672754",14.6741539,15.57326431,15.71599665,15.76791375,15.86194312,15.65681413,14.78045019,14.38725613,14.23481264,0.0256982704288336,1.94815398495465,23.2318770977453
"GSM672755",14.16068439,14.16922491,15.28884089,14.77223197,15.07999071,15.27586766,14.29703011,14.01388922,14.06484089,0.0024955770939128,2.80760412121105,27.2721500145462
"GSM672756",14.20152714,14.05076654,15.20407138,14.66993086,15.09480297,15.17796914,14.26004424,13.93621227,13.88738959,0.00389565869626587,2.66098177636318,26.5828787422569
"GSM672757",14.13102342,13.95989033,15.15316729,14.55173829,15.04395688,15.10605167,14.19217844,13.88486654,13.83360706,0.00439948191021932,2.61976786979292,26.3891322717093
"GSM672758",13.36020558,12.97208327,14.28826431,14.5931777,15.4277855,14.35976208,13.38884164,13.05331524,12.78510967,0.392707383763503,0.272269550185271,15.3535486085786
"GSM672759",13.34118773,13.05679517,14.26946022,14.6281855,15.41281338,14.45389294,13.39100595,13.16499442,13.04989703,0.318788126844465,0.471090297253996,16.2882044376868
"GSM672760",12.93230428,13.11539071,14.46409554,14.48155167,15.190129,14.5931777,13.34507323,12.9632026,12.80924201,0.405829370148109,0.238286694665821,15.1937952907318
"GSM672761",13.48236691,12.988971,14.26634535,14.28826431,15.17796914,14.37000297,13.35442714,13.202279,12.86331896,0.222516703721254,0.763721194839192,17.6638615471062
"GSM672762",13.3702461,13.30389257,14.58543234,14.45026283,15.02109257,14.42909851,13.55558736,13.35250967,13.04989703,0.126315219181741,1.14398360013379,19.451474152628
"GSM672763",13.45520892,13.26739145,14.53674944,14.60165465,15.36026208,14.6281855,13.48916357,13.26519851,12.97208327,0.286182054489782,0.564573184222371,16.7276672528861
"GSM672764",13.41777658,13.33719963,14.73161599,14.77594758,15.39060186,14.63629591,13.46987881,13.10802045,12.93810186,0.375741427162956,0.316684706615194,15.5623441466198
"GSM672765",13.59952639,13.30781115,14.68655279,14.84014647,15.59743048,14.79863755,13.33719963,13.17780409,12.88760223,0.452902013510611,0.118332727180688,14.6298919929745
"GSM672766",13.64276654,13.21968216,14.72338401,14.43607286,14.99403494,14.89277844,13.54336506,13.25572045,13.16680669,0.186227110902255,0.891885659661742,18.2663623720806
"GSM672768",13.13574721,13.31550074,14.66175056,14.90230818,15.20407138,14.09040223,13.21968216,13.03748513,12.9397052,0.377277964067925,0.312637705641312,15.5433192052774
"GSM672769",12.98548327,13.18693197,14.32645576,14.62074498,15.30189331,14.21958662,13.11278271,13.17062045,12.89544572,0.359482356519043,0.359842775057274,15.7652301172097
"GSM672770",13.27297993,13.17687955,14.58543234,14.88755316,15.39060186,14.44658587,13.24606989,13.04626283,12.81230186,0.454671507652222,0.113867265238598,14.6088998676788
"GSM672771",13.33142937,13.16499442,14.45737881,14.65334089,15.17188364,14.42909851,13.2139171,13.02672268,12.88760223,0.327098467331889,0.447939396759324,16.1793721130151
"GSM672772",13.1136368,12.95128178,14.01692193,14.27227695,14.961471,13.96540669,13.06224758,13.02025465,12.83257361,0.193301990465352,0.86579246703087,18.1436983395184
"GSM672773",13.07616431,13.16499442,14.29703011,13.91315353,15.11720743,14.33589145,13.22356468,13.02672268,12.92992751,0.218158952697936,0.778426017958499,17.7329888833983
"GSM672774",12.90749572,13.54830632,14.57414535,14.87297918,15.17796914,14.66175056,13.17595502,13.12992751,13.0743855,0.389142384397686,0.281554974815892,15.3971993662822
