"","etfA","fadR","etfB","exuR","exuT","fadB","kdgA","kdgR","kdgK","kdgT","kduD","kduI","lcfA","lcfB","nagA","nagR","nagB","pchR","rhaA","rhaR","rhaB","rhaEW","rhaM","uxaA","uxaB","uxaC","uxuA","yjmB","yjmC","yjmD","yjmF","yvmA","ccpA"
"nagA",0.280707166155288,0.242173644526587,0.29262186173595,0.263879493360621,0.188027014903213,0.273918901534198,0.474834948258493,0.279687266640343,0.384844289768907,0.516222425127992,0.0336306246326924,0.0944607893515365,0.0274048246822886,0.462407218287213,1,0.926224290221801,0.957051934983367,0.615608941074179,0.364725767599472,0.696314669902502,0.608234529659973,0.7146143870115,0.324780078402777,0.562496538560612,0.531653260216076,0.576348505831953,0.136805929482878,0.436998018133908,0.0131873038961297,0.0923509333087705,0.132094503410859,0.645741880180148,0.307155075691061
"nagR",0.243828065740393,0.211534760053858,0.235972908637284,0.239678935026713,0.170611392921994,0.212061458515076,0.401119864282928,0.173748605575873,0.273115922975101,0.445396516019555,-0.0716225609252504,0.0270349752442813,-0.0100219870560122,0.407191087816237,0.926224290221801,1,0.948118009993535,0.669573196001025,0.339033556167212,0.719253620216583,0.599412830335795,0.669873049792213,0.297443555836327,0.571912569894293,0.515321638489611,0.50977781325033,0.112085141596216,0.345804493406439,-0.0213150930503354,0.0537549928118655,0.108721645780093,0.696336024823236,0.293954672134815
"nagB",0.329429187685101,0.308778760846297,0.336508684263005,0.200126302289575,0.267336050333722,0.311153260959164,0.485139280619495,0.228904340273703,0.33616070716119,0.522954365860567,0.0183304415868681,0.0898205579480784,0.129182255347149,0.483544083583174,0.957051934983367,0.948118009993535,1,0.6592730730376,0.447517398122388,0.720163319573404,0.657686188577964,0.703489783177753,0.396146245751739,0.557740646404249,0.513276911868754,0.562540169287441,0.209672141630855,0.458455536310621,0.0694187839503112,0.141952501555598,0.200238940875765,0.694847586061331,0.185512838628626
"pchR",0.159862103433592,0.187681574243223,0.163149735927145,-0.109817360943876,0.272795708811059,0.142387055691507,0.119644022456531,-0.150178189404474,-0.0721013088026733,0.148067206953476,-0.217827616913886,-0.206186095855832,-0.0313658154474875,0.243983913731054,0.615608941074179,0.669573196001025,0.6592730730376,1,0.29088461089571,0.590105677045546,0.48758910988302,0.54086137765335,0.282702785282267,0.583382042145579,0.476841301714676,0.343347220189517,0.2252127031505,0.185050930192092,0.0939951074183466,0.147012312093506,0.231247629487383,0.962902016087361,0.27501211843637
"rhaA",0.829887664695278,0.820902055889037,0.85489272545199,-0.129808254006716,0.631909535668589,0.825976279942155,0.728163632042567,0.176033430387951,0.39941591080539,0.724288394196949,-0.0395012865727784,-0.0453148380800458,0.790403136413061,0.786956274772004,0.364725767599472,0.339033556167212,0.447517398122388,0.29088461089571,1,0.64314885261991,0.806499051679117,0.64868360363403,0.966112116939868,0.385123414477016,0.388534217353277,0.645376348394893,0.633911104482652,0.826201687245429,0.525829189672726,0.570108416432914,0.584650137775759,0.295679033266282,-0.10312329451654
"rhaR",0.412932275149258,0.397157007237113,0.432287006731833,-0.00417272403083672,0.270808831385077,0.40224080732094,0.544553771935569,0.136543407414883,0.288230748910727,0.601981512145025,-0.259986922900457,-0.175200019306313,0.265924310930855,0.593175757590493,0.696314669902502,0.719253620216583,0.720163319573404,0.590105677045546,0.64314885261991,1,0.912448859710984,0.81313771467093,0.624067245852633,0.718529418556653,0.689545511117969,0.666302648629146,0.235447503321283,0.578563350076339,0.0538166747737447,0.130359048625723,0.196173451546795,0.589250926004571,0.235143267066661
"rhaB",0.549543609459018,0.536303268433762,0.575371376238124,0.00795025536799241,0.468592174940748,0.53350904960612,0.653098534260978,0.225848151449564,0.392290554454242,0.672889557017868,-0.119006212486624,-0.0606992661424584,0.546093119458616,0.65865763092192,0.608234529659973,0.599412830335795,0.657686188577964,0.48758910988302,0.806499051679117,0.912448859710984,1,0.724812862759532,0.795110301889021,0.54511259609955,0.544324496376833,0.62059565185411,0.442587205136332,0.669300761762939,0.268739463783303,0.339778020695692,0.397513717529381,0.475471719889087,0.0611021577509994
"rhaEW",0.600743369110388,0.524153891907341,0.579705408032608,-0.15823703532226,0.227717677131094,0.565506672047286,0.61808408736066,0.11123368396244,0.346878548771878,0.668851982599556,-0.187844230499646,-0.165453222466431,0.203490271896871,0.690795730528203,0.7146143870115,0.669873049792213,0.703489783177753,0.54086137765335,0.64868360363403,0.81313771467093,0.724812862759532,1,0.632869579654612,0.707583868439216,0.723734782601964,0.826310589654681,0.196287531967577,0.697580639541155,0.0660238074619714,0.137426331652895,0.165060355095718,0.580165778021305,0.386839476929638
"rhaM",0.808888820080254,0.80231987088688,0.82438875064266,-0.188948422011008,0.622313228670845,0.798136894881094,0.685038679681732,0.109551688207465,0.34125843031948,0.675479120204965,-0.110463922539084,-0.120927488343158,0.793039061418189,0.728796523812616,0.324780078402777,0.297443555836327,0.396146245751739,0.282702785282267,0.966112116939868,0.624067245852633,0.795110301889021,0.632869579654612,1,0.374190900369483,0.386380425047181,0.598845475452093,0.639229419822588,0.787031375456814,0.537936478754397,0.580592628965579,0.582538089591015,0.27073519812155,-0.0636018804350825
"uxaA",0.375903085578658,0.319129196516077,0.342880702707243,-0.193724264392989,0.159778662049819,0.325096939522223,0.295572970609306,-0.273962022835205,-0.0577057901379133,0.37746363360614,-0.486192345766491,-0.423198716043867,0.0299324456419157,0.450291836585927,0.562496538560612,0.571912569894293,0.557740646404249,0.583382042145579,0.385123414477016,0.718529418556653,0.54511259609955,0.707583868439216,0.374190900369483,1,0.911536379562247,0.683275382444471,0.132004445086303,0.440443478747756,-0.0110762264683386,0.0526877656529754,0.12952320728772,0.622464545074109,0.261100779214406
"uxaB",0.379277933503252,0.32315351134266,0.350544748806779,-0.194381051090404,0.0951930922500956,0.318923873106553,0.337150502760771,-0.254435228158521,-0.033642440815521,0.412086691070057,-0.527098629127153,-0.449372931085543,0.0664199045207369,0.436234464405545,0.531653260216076,0.515321638489611,0.513276911868754,0.476841301714676,0.388534217353277,0.689545511117969,0.544324496376833,0.723734782601964,0.386380425047181,0.911536379562247,1,0.706573326879485,0.0650277019574076,0.449117566449317,-0.0772996284303007,-0.0267759535178586,0.0421561540815872,0.527331353085614,0.273369539391053
"uxaC",0.696880399839554,0.61822217336453,0.674538248321053,-0.121475746446986,0.298887289451468,0.659003875658898,0.664347502972074,0.0842245127987191,0.346371815834726,0.710139472016339,-0.221648159448682,-0.192651200216938,0.327691662245629,0.741545018250369,0.576348505831953,0.50977781325033,0.562540169287441,0.343347220189517,0.645376348394893,0.666302648629146,0.62059565185411,0.826310589654681,0.598845475452093,0.683275382444471,0.706573326879485,1,0.287825745847325,0.843619265758203,0.182152398934975,0.247396113765834,0.256693873631942,0.406752718495262,0.213200659501446
"uxuA",0.61174025126765,0.702388329131069,0.661651729097929,-0.0251957456180622,0.971513920741297,0.657645050019713,0.370972537264079,0.0718693392195167,0.158319331623579,0.338803902117614,0.0306477005865067,0.00370517129332709,0.741528230875274,0.438441649244743,0.136805929482878,0.112085141596216,0.209672141630855,0.2252127031505,0.633911104482652,0.235447503321283,0.442587205136332,0.196287531967577,0.639229419822588,0.132004445086303,0.0650277019574076,0.287825745847325,1,0.441272299370348,0.955713321502543,0.969074669597678,0.97984355239802,0.196767913192863,-0.391540922014594
"yjmB",0.764417551904758,0.713256026839599,0.773486450522177,-0.0472610944206521,0.44195497986871,0.757227516190191,0.728806874669969,0.233702756175734,0.475860848883724,0.735530106132712,-0.000650343893745737,-0.0199800998463682,0.599776154397069,0.793001260278985,0.436998018133908,0.345804493406439,0.458455536310621,0.185050930192092,0.826201687245429,0.578563350076339,0.669300761762939,0.697580639541155,0.787031375456814,0.440443478747756,0.449117566449317,0.843619265758203,0.441272299370348,1,0.356246059522576,0.413791128480797,0.399483484423006,0.236948150869004,0.0521009408989579
"yjmC",0.549618472256355,0.674683788151736,0.616895206660827,0.00587675492204752,0.90577617507746,0.629400095230703,0.269447632229532,0.0937949476052245,0.132559122052602,0.227244144028611,0.0978592180526214,0.0495971193351866,0.705278219104095,0.332454953719056,0.0131873038961297,-0.0213150930503354,0.0694187839503112,0.0939951074183466,0.525829189672726,0.0538166747737447,0.268739463783303,0.0660238074619714,0.537936478754397,-0.0110762264683386,-0.0772996284303007,0.182152398934975,0.955713321502543,0.356246059522576,1,0.985292663046191,0.939961858701097,0.0539061967473392,-0.476784997232657
"yjmD",0.593103416421513,0.693859445295423,0.650179483588993,0.0161670509407967,0.924452179569675,0.663497191753317,0.33421789745048,0.122818901129254,0.18786992123563,0.29493722583536,0.109538322587515,0.0669235323243047,0.711236745895752,0.401630605543408,0.0923509333087705,0.0537549928118655,0.141952501555598,0.147012312093506,0.570108416432914,0.130359048625723,0.339778020695692,0.137426331652895,0.580592628965579,0.0526877656529754,-0.0267759535178586,0.247396113765834,0.969074669597678,0.413791128480797,0.985292663046191,1,0.957870354879873,0.110815816581651,-0.428490789391916
"yjmF",0.585389335471463,0.668454690064652,0.625197101343419,-0.0369474295244583,0.971584661788879,0.627707363810823,0.333340686119274,0.050965603847046,0.136883410567467,0.3017914821118,0.0401105429536657,0.0153376411282529,0.69958222218722,0.424387572043821,0.132094503410859,0.108721645780093,0.200238940875765,0.231247629487383,0.584650137775759,0.196173451546795,0.397513717529381,0.165060355095718,0.582538089591015,0.12952320728772,0.0421561540815872,0.256693873631942,0.97984355239802,0.399483484423006,0.939961858701097,0.957870354879873,1,0.209406920159287,-0.411186592303896
"yvmA",0.206167957094486,0.198082188114174,0.193088429972479,-0.116277774462109,0.262553035150406,0.166575831846177,0.175130440909538,-0.162849318367495,-0.0531763727623576,0.212079526943918,-0.214939496240793,-0.198953936401564,-0.0263305730880757,0.292699143250699,0.645741880180148,0.696336024823236,0.694847586061331,0.962902016087361,0.295679033266282,0.589250926004571,0.475471719889087,0.580165778021305,0.27073519812155,0.622464545074109,0.527331353085614,0.406752718495262,0.196767913192863,0.236948150869004,0.0539061967473392,0.110815816581651,0.209406920159287,1,0.284925397873994
"ccpA",-0.0955167727044618,-0.275306714579574,-0.165749878511076,-0.0563872432405081,-0.37170317776315,-0.171714972932977,0.0171961162709714,-0.0668264698216563,0.0575593185428079,0.0620054748972789,-0.150381830010516,-0.196511243302699,-0.500164665999339,0.0344902339990534,0.307155075691061,0.293954672134815,0.185512838628626,0.27501211843637,-0.10312329451654,0.235143267066661,0.0611021577509994,0.386839476929638,-0.0636018804350825,0.261100779214406,0.273369539391053,0.213200659501446,-0.391540922014594,0.0521009408989579,-0.476784997232657,-0.428490789391916,-0.411186592303896,0.284925397873994,1
