"","guaB","codY","metN","metP","metQ","pval","z","inv_cof_var"
"GSM672623",12.69711524,12.48666022,12.03426766,11.79090335,12.73823494,0.218215397619818,0.778234476773735,25.893087070996
"GSM672624",14.5931777,13.03040297,13.54925019,13.46775725,14.86847249,0.399294518007747,0.255173579800169,19.7374335955708
"GSM672625",14.5931777,12.94290967,13.53679182,13.5255539,15.0717881,0.448156835091697,0.130319478104179,18.2680854002213
"GSM672626",14.6242052,13.00624349,13.66987732,13.6246145,14.86360112,0.322733820412112,0.460067681453015,22.1487342610021
"GSM672633",14.71898885,13.37626729,13.21777212,13.4367223,14.78927807,0.493236750135449,0.0169537654744597,16.9339385599951
"GSM672634",14.55987026,13.32523234,13.6246145,13.76194498,14.77594758,0.247176153892692,0.683402868752924,24.7770592415959
"GSM672635",14.5931777,13.23603439,13.45721859,13.61520669,14.81200037,0.368329877717534,0.336279966692161,20.6919358633557
"GSM672636",14.33589145,12.9331223,13.62222788,13.60378104,14.70664796,0.22127950415034,0.767879111655213,25.7712197326995
"GSM672637",14.41536729,13.04114164,13.69168178,13.78374796,14.78045019,0.185733819778347,0.893727627816434,27.2522707161839
"GSM672638",14.41869665,13.08627212,13.63154052,13.72151636,14.70664796,0.195451837379697,0.857979696571987,26.8315704144076
"GSM672639",14.46234312,13.50622305,13.91831896,14.00590855,14.76762156,0.0521933512029011,1.62394895860948,35.8458962361451
"GSM672640",13.98436729,13.2139171,13.10225725,13.1376223,14.01833253,0.200279710273649,0.840622552086743,26.6273024842445
"GSM672641",14.27893866,12.90213346,13.38685874,13.53224944,14.51807323,0.237484776172251,0.714416693678251,25.1420461107968
"GSM672643",14.55602639,13.54925019,13.38472454,13.35442714,14.62074498,0.395655129676328,0.264609554049014,19.8484810625388
"GSM672645",14.45026283,13.13379517,13.83597807,13.85627844,14.84014647,0.145022634123701,1.05802231671444,29.1857763147872
"GSM672646",13.56877881,13.57750632,12.33317249,12.87633978,13.81818216,0.407067310038394,0.235095488705343,19.5011441464017
"GSM672647",13.66292007,13.54925019,12.57565725,12.66355688,13.98711561,0.435661117143827,0.161979199058364,18.6406735108031
"GSM672654",13.86400483,12.90673086,12.96858699,12.95488401,14.20445688,0.350008163076472,0.385298427898511,21.2688106839182
"GSM672655",13.7935658,12.97704498,12.86008625,12.91305019,14.21381301,0.386307484332396,0.288956104714473,20.1350039704556
"GSM672656",14.53294684,12.90673086,13.42404535,13.35250967,14.54011041,0.357216398470654,0.365909245820433,21.040628675408
"GSM672666",13.96540669,12.25148216,12.66937435,12.69711524,13.92068736,0.44722801078575,0.132667911287179,18.2957229869122
"GSM672667",13.6561342,12.43328327,12.65911338,12.56771524,13.89762082,0.410202495884935,0.227024113542261,19.4061559932793
"GSM672668",13.83360706,12.38563941,12.59922416,12.59350818,13.78374796,0.428514564111693,0.180157237989167,18.8546021549978
"GSM672669",13.91439591,12.55260149,12.62462398,12.58011896,13.92297026,0.475976753523021,0.0602537877745411,17.4435158086475
"GSM672670",13.9254487,12.21777212,12.86639294,12.83102602,13.89762082,0.333582722293436,0.430041511883976,21.7953706352163
"GSM672671",13.99217212,12.36989182,13.26255799,13.11539071,14.08353271,0.180330538016555,0.914106140956208,27.4920956886845
"GSM672672",13.74509665,12.33317249,13.14322714,13.09337732,13.97082379,0.115329370364798,1.19866369367946,30.8409174004859
"GSM672673",13.82289926,12.32875093,12.80470855,12.79503234,13.9254487,0.344215348951427,0.400985637990859,21.4534259550719
"GSM672675",12.6836,11.73350112,11.61633606,11.99907435,12.7318948,0.309849798234529,0.496276142089374,22.5748543128845
"GSM672676",12.5327658,11.78955725,11.43453903,11.73118327,12.71352639,0.403418425509142,0.24450871779405,19.6119239364609
"GSM672689",13.91831896,13.27297993,12.44805874,12.35341599,13.38685874,0.482868253002006,0.0429561284120501,17.2399479304377
"GSM672696",14.50400372,13.40928959,12.79829665,13.25369033,14.15506134,0.47903608180184,0.0525729579378865,17.3531237966434
"GSM672697",14.53674944,13.3702461,12.94628513,13.24969777,14.22852825,0.456439137686348,0.109408773380591,18.0219973195597
"GSM672704",14.8030119,13.0917539,14.51143346,14.58155874,15.34516989,0.0280219627712404,1.91069392831645,39.2204606120146
"GSM672705",14.87297918,12.97208327,14.48155167,14.39110335,15.53070669,0.157018698793553,1.00678647064656,28.5828061525386
"GSM672706",14.79863755,13.29444201,14.55987026,14.49691561,15.27586766,0.0165079128307979,2.13189078843178,41.8236206429027
"GSM672707",15.06617509,13.49133829,14.01120595,14.09866691,14.74947249,0.161299717202832,0.989130218631222,28.3750181689404
"GSM672708",15.05480706,13.54124015,13.80583271,14.21655688,14.78045019,0.22078344700608,0.769549966625103,25.7908832255391
"GSM672709",15.01087881,13.66292007,13.78598662,13.8692948,14.87297918,0.319841010279428,0.468143433871752,22.2437739279524
"GSM672710",12.44507026,12.72426729,12.44216766,12.31318253,12.48520074,3.20287070862336e-37,12.6937339856979,166.120900673439
"GSM672711",12.34349182,12.79829665,12.13786729,12.18154349,12.70912007,0.00442229584167454,2.61800342708879,47.5444477414506
"GSM672712",12.43925799,12.86480892,12.39590892,12.38852714,13.00110632,0.0151940332710568,2.16499502138788,42.2132085242117
"GSM672716",14.49691561,13.04265836,13.21222714,13.30585762,14.47120892,0.404396575654745,0.241983238185886,19.5822027750874
"GSM672717",14.2572026,13.03040297,13.18883978,13.22356468,14.35627175,0.339604281703604,0.413543356997874,21.6012117427234
"GSM672718",14.50030743,12.98202045,13.18357249,13.28452677,14.49293792,0.423984716820121,0.191709921845521,18.9905601647483
"GSM672724",15.1410658,13.57313309,13.30973011,13.56203011,14.12469963,0.481845588934596,0.045522077459786,17.2701453572858
"GSM672743",14.16922491,13.30585762,12.60364461,12.71816097,13.49333755,0.453438974907075,0.116977416256748,18.1110690568936
"GSM672750",14.9261052,14.27893866,13.2749487,13.28852007,13.80343717,0.462926442061762,0.0930637897777114,17.8296410266252
