"","yqaF","sknR","yqaG","yqaH","yqaI","yqaJ","yqaK","yqaL","yqaM","yqaN","yqdA","yqzO","pval","z","inv_cof_var"
"GSM672638",7.3170329,11.61025167,7.034201115,6.948236803,7.133884387,7.137790335,7.201818401,7.165705948,7.238387361,7.209154275,7.091472119,7.310266543,0.0550472354615555,1.59776866415595,64.3083500371548
"GSM672639",7.528486617,11.86726952,6.914249814,6.972086245,7.005772862,7.132457993,7.164477323,7.174337918,7.252905576,7.279125651,7.103652416,7.332467658,0.466917600963638,0.0830205469247888,40.6462903550255
"GSM672640",7.507884387,11.37447026,6.978382528,6.972086245,7.096736803,7.173804089,7.211249442,7.165705948,7.237405204,7.205772862,7.112084572,7.266283271,0.270468717195745,0.611396023745788,48.9001062369462
"GSM672641",7.523875465,11.76822193,7.050248699,7.05796171,7.182719331,7.206927881,7.316581784,7.263282528,7.365027881,7.254489033,7.227946097,7.297434572,0.17052431911714,0.952095327996414,54.2222104066971
"GSM672642",7.554816729,11.40160372,6.978382528,7.158062082,7.212406691,7.183296468,7.265292565,7.249794424,7.319405948,7.227378996,7.198866171,7.413121933,0.260776308953288,0.640953926238571,49.3618337313769
"GSM672643",7.519544981,11.72211413,6.965320818,6.842628253,7.071169888,7.233129368,7.095104089,7.126487361,7.21709368,7.214778439,7.127989963,7.280100743,0.463561834435539,0.0914643036514141,40.7781912785745
"GSM672644",7.289053903,11.61025167,6.988712639,6.948236803,7.203504833,7.158062082,7.257305576,7.182719331,7.312733086,7.318360967,7.079829368,7.374932714,0.211749977419421,0.800363961302057,51.8519967629028
"GSM672645",7.34665948,11.74700781,6.972086245,6.939026766,7.064322677,7.167498141,7.200011152,7.195415613,7.284242007,7.310779182,7.025510037,7.395085502,0.329898488977427,0.44019348499543,46.225731109121
"GSM672651",7.45293829,12.16890595,6.939026766,6.948236803,7.073488104,7.055417844,7.03734461,7.022507807,7.177962454,7.404819331,7.214778439,7.328675093,0.488165014681629,0.0296702614967032,39.8128992297964
"GSM672652",7.193781413,11.94133643,6.948236803,6.842628253,7.196527138,7.071169888,7.093293309,7.079829368,7.158062082,7.357145725,7.025510037,7.316581784,0.308218535129498,0.50090629749483,47.1741331414383
"GSM672653",7.37402119,12.38714758,7.143272862,7.148817472,7.47143829,7.448477695,7.325486245,7.326832714,7.331414498,7.413545725,7.286697026,7.362719331,0.029843959495012,1.88309186869411,68.7654175968881
"GSM672658",7.354395539,11.97097658,7.042702602,7.001856877,7.300564684,7.307094981,7.264803346,7.283749814,7.298382528,7.387571004,7.231006691,7.419965056,0.150709808773388,1.03339386242459,55.4921844385681
"GSM672664",7.384224535,11.16154387,6.914249814,6.948236803,7.097653903,7.097653903,7.100415613,7.120526022,7.108245353,7.296479182,7.001856877,7.372210409,0.357521733557259,0.3650910157569,45.052546545178
"GSM672665",7.310779182,10.87328067,6.8905,6.914249814,7.106628996,7.093293309,7.108245353,7.03734461,7.100415613,7.224612639,7.015959108,7.283749814,0.201001928535559,0.83804780193603,52.4406604991304
"GSM672666",7.155304089,11.29230335,6.978382528,6.8905,6.948236803,7.112858736,7.206350372,7.152958364,7.212406691,7.242649442,7.009724907,7.283749814,0.173835372670039,0.939116866774075,54.0194723273215
"GSM672667",7.223523048,11.16841784,6.948236803,6.842628253,7.03734461,7.162046097,7.177962454,7.129661338,7.224612639,7.242649442,6.997829368,7.225685502,0.191760076101653,0.871428642594076,52.9621065632682
"GSM672668",7.193237918,11.3224881,6.965320818,6.914249814,7.087793309,7.150183271,7.19202974,7.152958364,7.211249442,7.235277695,7.050248699,7.194324907,0.0364481564159809,1.793479330044,67.3655695207064
"GSM672669",7.177962454,11.25749758,6.956875093,7.039841264,7.223523048,7.166906691,7.282736059,7.231006691,7.298382528,7.329580297,7.114518587,7.352536803,0.11081996049211,1.22217905940075,58.4412203522867
"GSM672670",7.144603717,11.31913494,7.009724907,7.019252045,7.154222305,7.237405204,7.272425279,7.246704089,7.194324907,7.228956877,7.031287732,7.307651301,0.0352659087275312,1.80848006019886,67.5998977025091
"GSM672671",7.489437175,11.12754535,6.956875093,6.914249814,7.158062082,7.263282528,7.280977695,7.180258364,7.188427509,7.266283271,7.047502974,7.277204089,0.386093672569498,0.289514944685431,43.8719637909292
"GSM672672",7.322290706,11.50648104,7.009724907,7.114518587,7.18144684,7.293344238,7.365495911,7.235277695,7.223523048,7.240568401,7.091472119,7.245731599,0.0310378783960669,1.86575424291716,68.4945844918895
"GSM672673",7.148817472,11.24473197,7.056689777,7.066749814,7.258240892,7.368476952,7.379622677,7.170605948,7.238387361,7.253958364,7.047502974,7.282736059,0.0834429311763514,1.38227961597612,60.942170102106
"GSM672674",7.400432342,12.2163461,7.042702602,6.988712639,7.526581784,7.452099257,7.434428625,7.139126022,7.098571004,7.336424164,7.225685502,7.240568401,0.47919305583982,0.0521789423040805,40.164509997667
