"","ytrA","ytrB","ytrC","ytrD","ytrE","ytrF","ywoB","ywoC","ywoD","pval","z","inv_cof_var"
"GSM672668",10.67870929,10.53918104,10.76070037,10.19817918,11.03990446,11.43697807,9.085415985,9.42066803,8.748798513,0.392309118383275,0.273305696544175,11.0372576820935
"GSM672669",10.56574944,10.73466766,10.95058736,10.41029554,11.13001301,11.5136026,9.090420074,9.419314498,8.814584758,0.429504934497354,0.177634702871096,10.7733179393637
"GSM672670",10.37459182,10.5722368,10.85317881,10.17985465,10.97474461,11.56802119,9.089858736,9.401242751,8.80799777,0.396828247889744,0.261565434384914,11.0048683271289
"GSM672671",10.33356431,10.55406059,10.78417695,10.15011822,11.02147063,11.57396654,8.995851673,9.397619331,8.895476208,0.395208916002543,0.265768074579483,11.0164626853471
"GSM672672",10.38428922,10.3697052,10.56761375,10.09834833,10.81730223,11.49590892,8.826257249,9.286335316,8.640388476,0.45789563143273,0.105736697860275,10.5749637651592
"GSM672673",10.07542639,10.25257509,10.60049368,10.00747918,10.86517584,11.52469963,8.826257249,9.335613755,8.646530112,0.455479543397321,0.11182888179213,10.5917710480973
"GSM672674",8.230542007,7.897266914,8.182026394,8.080995167,8.91457658,9.292707435,7.384224535,8.622026766,7.944688476,0.0692594519500614,1.48132907662625,14.3699854808663
"GSM672675",8.345705204,8.147725651,8.288367658,8.352986617,9.198179926,9.554050186,8.103662082,8.458105948,8.028432528,0.0156110749717527,2.15422986420031,16.2264024985667
"GSM672676",8.483455019,8.284689219,8.301184758,8.146702602,9.092923048,9.712572491,7.488408178,8.167665428,7.561339777,0.264739659584831,0.628801039873775,12.0180079163881
"GSM672677",8.430684572,8.158015613,8.161189963,8.196510409,9.177965799,9.313763941,7.560884387,8.040285502,7.750881041,0.0834495147711482,1.38223671741561,14.0966067817183
"GSM672678",8.470127138,8.399660595,8.41797881,8.091320074,9.288671004,9.653450372,7.334923048,8.014537175,7.676433829,0.333331356294248,0.430732736706419,11.4715716876648
"GSM672679",8.568848327,8.345705204,8.326605204,8.091864684,9.228067658,9.576361338,7.607456506,8.054964684,7.580898327,0.214911782645484,0.789493606189268,12.4613309444403
"GSM672680",8.56752974,8.35422974,8.283497026,8.016636059,9.255311338,9.51122342,7.511424907,8.304640149,7.575533457,0.217852707615188,0.779465733664379,12.433665776632
"GSM672681",8.556642751,8.449340892,8.349314126,8.046743123,9.025208922,9.48922119,7.439755019,8.652879182,7.741382156,0.128109632367405,1.13537252907536,13.4155511361337
"GSM672682",8.456971375,8.414241264,8.39470223,8.013526394,8.894226394,9.436229368,7.298382528,9.26206171,8.051954647,0.181414848153218,0.909986373143381,12.7937496712631
"GSM672699",9.869994796,9.775313755,9.995141264,9.230539033,10.43198662,11.12107398,8.069449814,9.613957249,8.538096654,0.48427093181633,0.0394371473492315,10.39205475969
"GSM672700",9.61657658,9.897079554,9.857714498,9.129148699,10.16996877,10.98499331,8.009399628,10.36110929,9.074196283,0.366982308918195,0.339856471973517,11.2208597737088
"GSM672706",10.07056989,10.54986357,10.68432825,10.1464539,10.87208662,11.51478885,8.876373792,9.299215242,8.799050186,0.424784995043363,0.189667116722296,10.8065132903721
"GSM672707",9.621913755,9.881884387,10.00507361,9.595648699,10.34576506,10.91444461,8.38036803,9.615347955,9.021356134,0.134634635716765,1.10474690824899,13.331060339378
"GSM672708",9.559210037,10.02762937,10.07193197,9.61657658,10.40642565,11.00720223,8.514854647,10.01140335,9.25350855,0.0979863145575508,1.29311112166724,13.8507246610324
"GSM672709",9.57370223,9.995141264,10.08906357,9.550201487,10.08286914,11.09961338,8.388353903,9.621913755,9.170989591,0.149431366557807,1.0388753043764,13.1493319647491
"GSM672713",8.385220818,8.259020818,8.113299071,8.110748699,8.9676171,9.433663197,8.383326394,9.808316357,8.582377695,0.0712809757483647,1.4663169807291,14.3285697018846
"GSM672714",8.236467658,8.125321561,8.160678253,7.942710037,8.530658364,9.580934387,8.369905204,9.447581784,8.379783271,0.0582376588418504,1.56974126172854,14.6138994248337
"GSM672715",8.442299257,8.305863941,8.324371375,8.052826022,8.906881413,9.572453532,8.408137918,9.557981784,8.573867658,0.023040744014915,1.99464613528853,15.7861385613405
"GSM672716",10.85929926,10.88695465,10.98396803,10.49302193,11.23992454,11.87109368,9.228067658,9.515183271,8.913276952,0.4784557302776,0.0540297515373066,10.4323132335209
"GSM672722",10.76665242,11.12871487,10.93322082,10.45493383,11.07735651,11.33878662,9.442413011,10.56290074,9.766249071,0.0105508314067621,2.30616055344342,16.6455530215415
"GSM672723",10.27928476,10.56931822,10.36410967,9.789263569,10.84973011,11.22259814,8.674690335,10.14765651,9.332309294,0.160977422690092,0.990448713206483,13.0157313662402
"GSM672724",10.85929926,11.28319888,11.38992602,10.86286431,11.3258513,11.62863903,9.493057993,10.09135651,9.557981784,0.142280304077962,1.07013042004113,13.2355594290078
"GSM672725",10.39292119,10.85690223,10.70047807,10.22478587,11.11124164,11.61762454,8.94377881,10.25371375,9.45124052,0.190609730053512,0.875651608460952,12.699025987427
"GSM672726",10.23424796,10.96463569,11.26915056,10.9483658,11.64474981,12.16733941,9.494378067,10.32859814,9.806267658,0.226771535039733,0.749521292368454,12.3510542365153
"GSM672727",10.28045836,10.8617461,11.02368327,10.38045316,11.11124164,11.59519071,8.91187026,10.03721264,9.406495911,0.251927322606981,0.66843706072824,12.1273568501194
