"","etfA","ccpA","fadR","etfB","exuR","exuT","fadB","kdgA","kdgR","kdgK","kdgT","kduD","kduI","lcfA","lcfB","nagA","nagR","nagB","pchR","rhaA","rhaR","rhaB","rhaEW","rhaM","uxaA","uxaB","uxaC","uxuA","yjmB","yjmC","yjmD","yjmF","yvmA","pval","z","inv_cof_var"
"GSM672736",12.06073494,12.74293383,12.49420967,12.70912007,10.07056989,7.979769517,12.6866171,10.12989164,10.67624981,10.44568959,10.24510112,11.00480892,10.88695465,12.55487435,10.91700595,10.93447918,9.961820446,10.99196914,8.981802602,9.88252026,10.63199814,10.39436654,10.22354126,10.40711561,8.05646487,8.007326394,9.669020446,8.242130112,8.47370632,8.164482156,8.23403829,8.120082156,8.919800372,0.231351283807865,0.734403970512978,6.87730610443706
"GSM672737",10.88470892,13.32734535,11.75743327,11.74947844,9.912310037,7.664118587,11.68608067,9.809530483,10.29119926,10.06807993,9.833729368,10.18579145,10.49909703,10.67507658,9.60756803,11.43453903,10.85440372,11.53162528,9.883156134,9.045071375,10.77930967,10.18850149,10.53229405,9.548863197,8.298687732,8.297544238,9.742029368,7.957765056,8.12430632,7.879591078,7.885181041,7.689591822,9.521692565,0.035548916856704,1.80485207021896,7.69393549623295
"GSM672738",10.69258996,13.34708364,11.63750186,11.284429,9.908577323,7.791298513,11.46098476,9.561814498,10.22599703,9.888286245,9.745832714,10.09716097,10.27181115,10.76491914,9.30159777,11.21668625,10.44045019,11.29289665,9.580311896,8.741252416,10.40512788,9.94911487,10.20901524,9.180263569,8.227065428,8.295108922,9.424471375,7.936460595,7.955817844,7.829472119,7.894787361,7.760930855,9.436229368,0.0113987099983138,2.27681257963092,8.05398735102034
"GSM672739",10.53330372,13.08980112,11.23992454,11.08918216,10.00012416,7.407572119,11.32936877,9.348395911,10.37148569,10.02137472,9.418096283,10.2305684,10.3433171,10.39560743,9.226846097,11.32081896,10.55808699,11.28091301,9.712572491,8.196510409,10.36854833,10.02762937,9.847455762,8.851008178,8.069449814,8.126315242,8.921110409,7.646648699,7.359909665,7.438365428,7.493678439,7.640334201,9.334962454,0.107249668855507,1.24128810388819,7.26400068744662
"GSM672740",10.81670056,12.59922416,11.61762454,11.37209145,10.19443086,7.373147584,11.53693327,9.758434201,10.0766881,10.00012416,9.830095911,10.27928476,10.66433346,11.07978216,9.442413011,11.71601041,10.90396134,11.72348773,9.425710781,8.364927881,10.65467323,9.975315242,9.460184387,8.833879926,8.479710781,8.645266171,9.647648327,7.675475093,7.877147584,7.540397398,7.681627509,7.497289219,9.2744671,0.148056969861243,1.04480319114031,7.1141051858913
"GSM672741",10.58700242,12.6322829,11.43100372,11.13242119,10.07917026,7.333413755,11.07137844,9.384436245,9.781756506,9.550201487,9.55736803,10.11830706,10.41029554,11.25023494,9.201721561,11.13479888,10.47153086,11.12047993,9.261474535,8.802977323,10.60519108,10.39746766,9.538414498,9.760399628,8.364927881,8.34082119,9.093634944,7.59643829,7.6398171,7.378231784,7.630018959,7.466259108,9.236433086,0.0666899603287678,1.50090582768797,7.46205929855003
"GSM672742",10.21094535,12.88436691,11.13711487,10.92735539,10.04106729,7.348572862,11.00848364,9.57370223,10.02511822,9.812004461,9.70606803,10.28401264,10.47503271,11.24592528,8.994675465,11.04224089,10.39695242,11.05279405,9.269001115,8.707633271,10.54389442,10.137871,9.406495911,9.435554647,8.20664052,8.277677695,8.575507993,7.677404833,7.499842751,7.308666914,7.46360223,7.374932714,9.176062082,0.0749242855412793,1.44006655200389,7.41564589400213
"GSM672743",10.07193197,13.2692461,11.1518223,10.8927461,9.286335316,7.72549145,10.97201766,8.253332714,8.641617844,8.42776171,8.456971375,8.988291822,9.349727138,11.13814721,8.645266171,9.963064312,9.284888476,9.99890223,9.623286617,9.234037918,10.78052045,10.54986357,9.242672119,10.13419145,8.372318216,8.491805204,8.078779554,7.898386617,7.186738848,7.215920818,7.460065056,7.830516357,9.295172491,0.0272585385339849,1.92270525060163,7.78384398506445
"GSM672744",9.782928996,13.07797286,10.63955428,10.16879219,9.813261338,7.696285502,10.56404164,8.310448699,8.921110409,8.633024164,8.587512268,9.2522,9.467850558,10.32988178,8.508939033,10.06807993,9.598244981,10.12320297,9.591734201,8.142416357,10.08658401,9.663977323,8.351857993,8.550620446,8.073602602,8.208771747,7.460065056,7.784542379,7.101850929,7.080834572,7.313760595,7.833525279,9.334962454,0.00389829617938328,2.66075388422862,8.34689062596198
"GSM672745",9.687145353,12.47040149,10.62139108,10.3503487,10.39292119,7.429447212,10.44512714,8.549405204,9.598244981,9.161527881,9.1897829,10.03493197,10.16938048,9.692330112,8.669790335,10.68152658,9.934946097,10.72580242,9.318468401,7.378700743,9.885793309,9.521692565,8.073602602,7.54200855,8.080995167,7.976651301,7.659743494,7.539566543,7.214778439,7.132457993,7.198866171,7.609332714,9.090420074,0.0899048595984835,1.34134113767197,7.34032970157503
