"","folD","purR","glyA","ispE","nusB","pbuG","pbuO","pbuX","purA","purB","purC","purD","purE","purF","purH","purK","purL","purM","purN","purQ","purS","xpt","yabJ","pval","z","inv_cof_var"
"GSM672671",12.4776539,12.68502305,13.39879777,11.9427,13.11002677,11.55800706,8.913276952,12.54170929,12.91305019,13.38058216,14.20445688,13.24606989,13.27396431,14.07618625,13.79859108,13.48236691,13.9054052,13.28071041,13.65857993,13.82848513,13.82567398,12.62842751,13.36438513,0.302740948692073,0.516533428920891,11.6723216182067
"GSM672672",12.08289703,12.48356283,13.42601599,11.8469671,12.85502825,11.09151115,8.562611152,12.17309703,12.32020335,12.67875353,13.40092937,12.52257955,12.71191784,13.30781115,12.99076729,12.92992751,13.02590037,12.67413941,12.92150372,13.01324461,12.83733197,12.05132193,13.48706506,0.244793371333602,0.690966262911292,12.1641865179651
"GSM672673",12.29753643,12.41414164,13.17595502,11.74586245,12.83733197,10.56048587,8.387723048,11.97375353,12.22038662,12.74830651,13.73114758,12.68502305,12.26005576,13.6744539,13.31737249,12.75065836,13.50399368,12.90971413,13.34021933,13.34507323,13.31923978,11.96838401,13.53224944,0.438503181927184,0.154765280055048,10.6522094626737
"GSM672683",13.32938104,12.71656803,14.5149171,12.32020335,14.07067323,12.87633978,10.98158476,12.90213346,14.26634535,14.32986134,14.64045799,14.33275836,13.9789632,14.56695242,14.55987026,14.14266803,14.25115204,14.37716803,14.54011041,14.3002197,14.22564647,12.94463234,14.08209294,0.0490160584678898,1.65446968959331,14.8810690310814
"GSM672684",13.31340074,12.64499628,14.52588253,12.37973866,14.48155167,12.83584424,10.92375167,12.9632026,14.23481264,14.16637026,14.58946431,14.27576691,13.98711561,14.69077807,14.6741539,14.07336952,14.16357621,14.29121375,14.60165465,14.21067918,14.28199294,12.88436691,14.11328476,0.0605004780855944,1.55058588802867,14.588137967163
"GSM672685",13.38884164,12.64033755,14.30353717,12.00570595,14.37000297,12.69864721,11.08671896,12.80924201,14.49293792,14.29703011,14.49861152,14.30661041,13.83229926,14.48155167,14.45737881,13.94646394,14.08764126,14.15794052,14.45026283,14.07896877,14.18951673,12.93148625,14.21381301,0.0520057162208491,1.625709667808,14.7999716544644
"GSM672686",13.57959368,12.76600149,14.50583346,12.32301375,14.10461152,12.92150372,11.04821115,12.93810186,14.24770112,14.36693011,14.65334089,14.38725613,13.88486654,14.70664796,14.70303309,14.18104015,14.32280074,14.29400892,14.66175056,14.29703011,14.17215799,12.80614647,14.15794052,0.0505995725882998,1.63906777620931,14.8376387868469
"GSM672687",13.64061375,12.97032825,14.63011468,12.34349182,14.21381301,13.22549963,11.36371152,13.17256729,14.34591822,14.39110335,14.961471,14.78927807,14.11029777,14.84911041,14.79863755,14.41869665,14.43977026,14.48155167,14.8536461,14.41536729,14.37716803,13.1136368,13.87665688,0.0339687887500168,1.82542063643053,15.3631157215245
"GSM672688",13.57750632,13.05512156,14.64045799,12.30598216,14.26634535,13.25970781,11.24592528,13.25168253,14.41200297,14.36337323,14.88755316,14.74947249,13.92297026,14.8357223,14.95582342,14.33589145,14.63204387,14.46736729,14.9356,14.39110335,14.42209108,13.02854461,13.77427435,0.0473084244262161,1.67153095938948,14.929178320864
"GSM672692",13.10225725,12.75065836,14.12176357,11.67069814,13.26739145,11.77321896,8.896774721,12.89724424,13.43765725,13.52354052,14.11328476,13.40092937,13.45418271,14.15158996,13.92820372,13.81200799,13.93337732,13.61981078,13.8509658,13.82567398,13.73114758,13.01324461,13.47712621,0.321060212128451,0.464736140063298,11.5262638622851
