"","bacA","abrB","codY","scoC","bacB","bacC","bacD","bacE","bacF","nprE","pval","z","inv_cof_var"
"GSM672642",10.45493383,13.30781115,13.66069851,12.51732138,11.05514201,11.25459517,11.38389442,10.81124015,10.8438829,10.09255093,0.410343873088693,0.226660497392882,24.0273253132844
"GSM672643",10.38045316,13.2749487,13.54925019,12.90509033,10.73581636,10.83366729,10.95823364,10.3865855,10.52767361,9.750860223,0.334834398485767,0.426602609189858,26.2041514377764
"GSM672644",10.32377435,12.9836684,13.26519851,12.70310595,10.81609888,10.96575651,10.98734907,10.62853197,10.40392714,9.94911487,0.282320675985626,0.575961282319012,27.8302614086321
"GSM672645",10.04472379,14.5076632,13.13379517,13.15227509,10.55808699,10.59128327,10.629771,10.3503487,10.18850149,9.769912639,0.168192200481136,0.961333715081599,32.0259197007105
"GSM672651",10.08788327,15.08894944,13.36649851,12.84514201,10.79103494,11.18032528,11.31214572,10.71478104,11.09389405,10.25985874,0.440481743314907,0.149747936587253,23.1899565861137
"GSM672653",9.90340855,15.10096468,13.59952639,12.93148625,10.44625204,10.7016487,11.00605204,10.50936506,10.96004981,9.984120446,0.405535000175516,0.239045888208302,24.1621685538941
"GSM672655",10.57109665,14.53294684,12.97704498,13.40928959,10.92844275,11.05279405,10.98158476,10.42599777,10.3433171,9.927572862,0.345808112618741,0.396662678627356,25.8781869752219
"GSM672656",10.73825836,13.77175465,12.90673086,12.9836684,11.15677881,11.51118996,11.18032528,10.81843457,10.74155985,10.52767361,0.164371402587026,0.976649296024747,32.1926647471101
"GSM672657",10.35867472,11.81669368,13.55989331,12.45414126,10.6408119,10.95294498,10.98734907,10.99780372,10.92265688,9.750860223,0.449053775081467,0.128052343096188,22.9537505449088
"GSM672658",11.19267138,11.62122007,13.25572045,13.31340074,11.23750149,11.35290967,11.45127844,11.36724349,11.02835167,10.50016952,0.115706122117226,1.19672888610503,34.5887332733879
"GSM672659",10.18850149,11.99250855,13.3702461,13.11192862,10.81497212,10.94389777,11.00720223,10.89925799,10.66433346,9.881884387,0.383484439945815,0.29634204494685,24.7859679611351
"GSM672661",10.00747918,11.3258513,13.64935428,12.30746208,10.81364758,10.84853383,10.90911859,10.55939517,10.2729855,10.31645688,0.20334240306216,0.829741758629225,30.593240981835
"GSM672663",9.842369888,11.11351933,13.85627844,12.06224721,10.50820223,10.7218171,10.45007435,10.14026543,9.675759108,9.952976208,0.32953881795713,0.441186983233673,26.3629356285735
"GSM672674",9.82232974,12.84362528,11.56050372,12.79503234,10.21397621,9.795699628,9.441816729,9.070645725,9.364909294,10.26231375,0.487263739576518,0.031930495485134,21.9072448981811
"GSM672675",10.50141338,11.51009108,11.73350112,13.13193197,10.72760855,10.3697052,10.38838662,9.650143866,9.715221933,10.12797993,0.364554590968004,0.346310761480652,25.3299914616399
"GSM672683",9.557981784,14.82197844,13.61633086,12.36989182,9.918536803,10.11892045,10.37931041,10.07917026,10.13176691,10.00507361,0.0458275340922233,1.68673110508881,39.9235255377911
"GSM672684",9.145479182,14.96705799,13.60378104,12.53873903,9.727094424,10.03374424,10.19194089,9.821001487,10.15378364,9.849930112,0.284700829563496,0.568932926661717,27.7537417196606
"GSM672685",8.815912639,15.19678141,13.7522145,12.719671,9.505221933,9.798108922,10.01761338,9.665223792,9.968082528,9.626575836,0.414286945878402,0.216530964076658,23.9170422290783
"GSM672686",9.037702974,14.88755316,13.80104535,12.26996654,9.674375465,9.844852788,10.06692714,9.833729368,10.08286914,9.727094424,0.284672391740691,0.569016734350954,27.7546541575944
"GSM672691",11.92807175,13.9254487,13.53679182,12.99247212,11.80712565,11.74211264,11.56918327,10.78052045,11.32758364,10.68152658,0.452964820884024,0.118174187810954,22.8462042841764
"GSM672695",11.53162528,13.24606989,13.86665948,13.58615465,11.96693457,12.02055242,12.53408699,12.03546171,11.8646974,11.34337435,0.193883919551153,0.863672473539342,30.9626542383782
"GSM672696",11.33291115,13.74509665,13.40928959,13.54124015,11.47064201,11.59011673,11.73237063,11.47546394,11.19886617,10.32496394,0.398848069142005,0.256329865227716,24.3503440831652
"GSM672697",12.03685651,14.06484089,13.3702461,14.10461152,11.82298996,11.74086617,11.77321896,11.37569814,11.04701784,11.19267138,0.179035882994711,0.919045514880364,31.5655161462593
"GSM672702",11.45513903,14.52939071,13.0393197,13.73114758,11.21785428,10.98965576,10.99077807,10.6261316,10.51903086,10.07056989,0.439332116407392,0.152662756006202,23.2216910466649
"GSM672703",11.33878662,14.5931777,13.0393197,13.78122565,11.20329851,10.99430186,10.95418476,10.56048587,10.47263569,9.906015985,0.493386528254912,0.0165782746316664,21.740100942751
"GSM672723",10.63703123,13.38685874,12.02449777,13.60618996,11.30368922,11.36612639,11.32936877,10.77706283,10.90681394,11.35883048,0.100941563620908,1.27620481431663,35.4540101039884
"GSM672725",9.574382714,12.89897175,13.82567398,12.52835316,10.27803457,10.43317955,10.65360335,10.1083052,10.31949219,10.17246059,0.208500021367764,0.811636845201979,30.3961276865123
"GSM672727",9.474102974,12.91903699,13.93848699,12.27143792,10.42133532,10.51230799,10.77360446,10.6097052,10.43697138,10.28280446,0.387237510761329,0.28652634106393,24.6791016264216
"GSM672728",10.74038885,11.62612305,14.08209294,13.24606989,11.01789926,10.86867993,10.97806617,10.41887398,10.49604089,10.96575651,0.0171490090825909,2.11655046234522,44.6030900241269
"GSM672729",9.752057249,11.3084513,14.06484089,12.75065836,10.39695242,10.54986357,10.63088401,10.1611948,10.23424796,10.98036283,0.322103641126886,0.461824357353841,26.58762053723
"GSM672730",10.65138476,11.11351933,13.95159331,13.52764833,10.98844647,10.97806617,11.08792416,10.64676803,10.4644316,11.29526506,0.0770777575657647,1.42500583252858,37.0740487285864
"GSM672731",9.460184387,12.60212045,13.79224684,12.16890595,10.19692082,10.4224948,10.72760855,10.31406059,10.16249219,10.10459219,0.329940239143862,0.440078189109069,26.3508638744271
"GSM672732",10.81497212,13.78374796,11.9151855,13.64061375,11.24241227,11.21600929,11.28739182,10.94389777,10.80463178,11.11293978,0.00140352452897486,2.98811391715717,54.0920470054038
"GSM672734",10.4894658,11.35999851,13.49133829,12.82640149,10.75950632,10.81242528,11.03072193,10.48817732,10.54389442,10.74508104,0.00174264132192371,2.92134087495323,53.3650700750564
"GSM672735",10.0087881,11.24960967,13.72863755,12.71816097,10.40029442,10.3433171,10.57109665,10.06085762,10.07056989,10.91210632,0.179598769653428,0.916895238501943,31.5421054812756
"GSM672736",10.61667584,11.37209145,13.20690632,12.79503234,10.89216097,10.95058736,11.17430409,10.7218171,10.65717695,11.02599331,0.00211966645661361,2.85978127139501,52.6948533206442
"GSM672740",10.06210632,15.03851413,12.24164052,12.59782974,9.958141264,9.967410595,10.19560706,10.04591561,9.63347026,11.08555204,0.470220982190413,0.0747143821207986,22.3730451305523
"GSM672762",10.97806617,13.70401115,13.08980112,12.89381004,10.98619703,11.02948476,10.94725613,10.48458067,10.38838662,9.727094424,0.482386882507634,0.0441638906826437,22.0404333196589
"GSM672768",10.66912045,13.97367398,13.11539071,13.71904721,10.82305316,10.81242528,10.77255948,10.30587918,10.40392714,9.869347584,0.223429088415178,0.760663339935202,29.8411647678735
"GSM672769",10.50820223,13.88212491,12.75065836,13.79859108,10.7701803,10.97201766,10.83013309,10.42730372,10.36292546,9.913620818,0.230297856230901,0.737866278550447,29.5929667352631
"GSM672770",10.37931041,14.24448885,12.97704498,13.52764833,10.72878178,10.81843457,10.78641524,10.39021747,10.19817918,9.596961338,0.406556375255323,0.236412302765113,24.1334959669024
"GSM672771",10.56761375,14.31970743,13.2291658,13.18357249,10.68777323,10.68322677,10.70775019,10.35158587,10.2729855,9.524164684,0.38968374583712,0.280143396270312,24.6096087074309
"GSM672772",10.68322677,14.5439829,13.33340483,13.27671636,10.65251152,10.67684145,10.72997732,10.25133606,10.2294197,9.410388104,0.49024307445718,0.0244594240833995,21.8259052381211
"GSM672773",10.40392714,14.06186803,12.98724424,12.71507175,10.31164684,10.44625204,10.3433171,9.956937546,9.940048699,9.634723792,0.143716249897022,1.06377089375292,33.1411821366571
"GSM672774",10.6237948,13.56651933,13.14049257,13.35250967,10.77706283,10.82892454,10.73115465,10.32496394,10.31526468,9.708602974,0.326168736801517,0.450517312769355,26.4645175559667
"GSM672776",10.8438829,12.15447286,13.22169145,13.10225725,10.75825539,10.82065651,10.88583123,10.4894658,10.24892193,9.853855762,0.297575915405746,0.531385264213128,27.3449497358353
"GSM672789",9.698559851,14.37361413,13.35817584,13.08300781,10.04722045,10.2305684,10.12925874,9.865482528,9.760399628,9.29452974,0.188788164783571,0.882370784087217,31.1662280154013
"GSM672790",10.1897539,14.33275836,13.27106394,13.34118773,10.32256357,10.43986338,10.25613717,10.05704498,10.05959888,9.654058736,0.046583769478904,1.67892049854632,39.8384892629563
"GSM672791",10.00507361,13.69168178,13.24435279,12.68798067,10.27073271,10.40642565,10.4644316,10.1489197,10.08906357,9.856439033,0.0104505682910209,2.30976556704241,46.7066773263276
"GSM672792",9.865482528,14.00014721,13.24435279,12.71656803,10.05959888,10.1464539,10.29002602,10.0087881,9.936259851,9.582884758,0.0180145701422143,2.09659840859559,44.3858663915009
"GSM672793",10.0484855,14.31325613,13.43237621,13.13193197,10.21153717,10.36471933,10.46318996,10.01006208,10.0633171,9.819645353,0.0129251804041864,2.22845242016909,45.8213981783398
"GSM672794",10.43697138,14.58543234,13.37626729,13.34303457,10.50016952,10.40642565,10.52397398,10.1897539,10.19997732,9.955614126,0.00496770412693948,2.57806925753847,49.627775225716
"GSM672797",9.717949814,14.4894368,13.2291658,13.35442714,10.0484855,10.20419591,10.04472379,9.775313755,9.748265056,9.533196654,0.0315123789529314,1.8590167944528,41.7992483963376
"GSM672798",9.864209294,14.39951896,13.24257695,13.30683439,10.10964312,10.13419145,10.1390197,9.831281413,9.894642379,9.535849814,0.0146178101703316,2.18029474519422,45.2970919977262
