"","spo0E","abrB","rok","yydF","yydG","yydH","yydI","yydJ","pval","z","inv_cof_var"
"GSM672603",10.66789145,15.24909405,13.81311004,9.207777695,9.768651673,10.79346208,11.03873829,10.71943829,0.146584469506855,1.05119521799311,14.5162570073527
"GSM672604",10.55690632,15.26197249,13.80827249,8.922488848,9.176684015,10.5733777,10.81497212,10.59758736,0.372833200412272,0.324358809241707,12.2021495334222
"GSM672606",11.96150149,13.98711561,11.33878662,10.97806617,10.14092138,10.92964758,11.25459517,11.58383606,0.0183020097344735,2.09015342885265,17.8241003293207
"GSM672607",12.22607175,13.8485,11.18912454,10.38775948,9.453169888,10.7016487,11.08451636,11.49097026,0.466916392004372,0.0830235877980885,11.433784557561
"GSM672608",12.61394312,14.17215799,13.00807138,12.13522082,9.876702974,11.35625651,11.79619814,12.55260149,0.459463398754515,0.101785673457888,11.4935194334272
"GSM672610",12.31169033,13.92820372,12.41861375,13.49977695,10.73348922,11.50417435,12.49575204,12.57565725,0.309216123092728,0.498073488179318,12.7552236942936
"GSM672611",12.06073494,14.04813494,12.56009368,13.87172416,10.90858253,11.92944684,12.42567472,12.37568327,0.308144801451163,0.501115835312899,12.7649099430221
"GSM672627",12.09093494,13.09676506,13.36020558,15.75092528,14.9356,14.78927807,14.86360112,14.37361413,0.446796276595971,0.133759753488956,11.5953187608702
"GSM672628",11.86852528,12.75065836,13.2786855,15.35256022,14.98879926,14.78927807,14.8169052,14.48566134,0.47415252691149,0.0648354022442367,11.3758768693651
"GSM672637",11.07385093,13.31143866,12.37136022,14.29400892,12.63451004,13.2139171,13.61981078,13.44091413,0.423610898811853,0.192664410343937,11.7828598705837
"GSM672638",10.93927732,13.54736245,12.61667063,14.29551952,12.85502825,13.31737249,13.51480558,13.50188959,0.46687091445495,0.0831379772106179,11.4341487514721
"GSM672643",11.48142862,13.2749487,12.67265651,14.82197844,13.15227509,13.7935658,13.72616989,13.83859442,0.384331434028841,0.294124371889544,12.1058888940207
"GSM672644",11.26915056,12.9836684,12.39912119,14.19545279,12.64979145,13.15065688,13.6722223,13.46987881,0.304800579847395,0.510642858113933,12.7952421531353
"GSM672645",10.46812714,14.5076632,12.98202045,10.88639294,9.496931227,11.58508885,11.78084387,11.87491115,0.407024759555254,0.235205136962274,11.918301370526
"GSM672648",12.50036468,12.78051896,13.26346171,16.28248513,14.00590855,14.06484089,13.9974171,13.80343717,0.449439949808264,0.127076438495654,11.5740403700378
"GSM672649",12.12215242,12.92150372,12.45543494,16.05140074,14.43607286,14.78927807,14.17215799,14.28826431,0.489423372807292,0.0265147792402957,11.2538713684967
"GSM672650",12.22466394,12.66638996,12.84362528,15.94857249,14.20152714,14.31640743,14.44320929,14.24448885,0.396890406900873,0.261404206066485,12.0017141727661
