"","folE2","zur","rpmEB","rpsNB","yciB","yciC","yczL","zinT","znuA","znuB","znuC","pval","z","inv_cof_var"
"GSM672586",11.33414907,9.476631227,15.21679294,13.15227509,11.87618959,14.74487584,14.39110335,11.12047993,14.96705799,11.44888067,11.58508885,0.345694135628404,0.396971779317546,7.67408916385754
"GSM672589",11.28562714,9.77656171,15.09480297,12.96154498,11.64603123,14.58155874,15.10096468,10.8462368,14.8536461,11.34454126,11.56165688,0.428706362741767,0.179668625903252,7.21313155728362
"GSM672608",7.32036171,11.82046914,9.568403717,8.105662082,7.535639777,7.604586617,7.474165056,7.88816171,8.734165056,10.08658401,9.725816729,0.284257710823104,0.570239274372362,8.04163546294532
"GSM672609",7.553907435,11.545929,9.984120446,8.543130112,7.556651301,7.524751673,7.455511152,8.103662082,9.175440149,10.39915502,10.1452829,0.419621408939872,0.202862100307094,7.2623310662707
"GSM672610",7.356645725,11.37209145,9.750860223,7.947747212,7.415719331,7.275887175,7.249794424,7.70978513,9.102701487,9.785500743,9.347269517,0.335180804293074,0.425651773095517,7.73492703519411
"GSM672611",7.333413755,11.48629777,10.28171859,7.950186989,7.344720818,7.208010781,7.358100372,7.649154647,9.070645725,9.788014126,9.312601859,0.440937668781173,0.14859231483033,7.14721046157816
"GSM672618",10.86981041,10.38485409,12.85165985,12.67714424,11.73237063,12.5494855,12.1574803,9.956275836,12.98202045,10.97260186,10.71009108,0.0220626569819151,2.01289844728808,11.1018980914462
"GSM672620",12.91991375,10.78417695,15.86194312,15.17796914,13.15597175,15.91022379,14.87743532,11.38636171,14.69494015,12.67413941,12.64979145,0.163604603888732,0.979750669867538,8.91031771521027
"GSM672621",12.92150372,10.78052045,15.79347546,15.07704164,13.26165428,15.86955019,14.98879926,11.48383494,14.9261052,12.79503234,12.81874535,0.127076981491672,1.14031770802111,9.25092297766968
"GSM672622",12.24736022,11.19147212,15.96520669,15.27586766,12.87633978,15.5469539,15.30189331,10.92505576,14.94641301,12.76934647,12.70778104,0.296721161817585,0.533854326866108,7.96445334177368
"GSM672623",12.52685316,11.23868885,16.09371152,15.28884089,12.80753569,15.85358848,15.83757435,11.02368327,15.26197249,12.72266468,12.94134015,0.335294204065065,0.425340590016529,7.73426693337302
"GSM672627",7.357145725,10.61900669,9.50463829,7.746923792,7.593509294,7.398698141,7.527495539,8.12430632,10.11953383,9.641176952,9.730959851,0.373336624030179,0.323029041632238,7.51723701122467
"GSM672628",7.59643829,10.94499814,9.744597026,7.862260595,7.79415316,7.267130483,7.488408178,8.193048327,10.27803457,9.409023792,9.628471004,0.348851688762828,0.388422525222661,7.65595392907769
"GSM672633",7.231006691,11.56802119,9.400621561,7.921551301,7.605025465,7.72549145,7.670738662,7.965805019,10.42599777,9.526674721,9.58410632,0.34642701950178,0.394984890361877,7.66987444555667
"GSM672640",7.556651301,11.25518792,8.913276952,7.621493309,7.485827881,7.270249071,7.321295167,7.769860967,10.19560706,9.786729368,9.950405576,0.462432678008565,0.094306916267085,7.03205673738937
"GSM672646",7.126487361,10.48817732,9.996260595,7.270249071,7.154222305,7.089604089,7.068984758,7.259303717,9.419314498,8.83260855,8.650404461,0.448608439611769,0.129177904676747,7.10602734988913
"GSM672647",7.083947212,10.07917026,10.08403457,7.299471375,7.182719331,7.085886989,7.164477323,7.312733086,9.519147584,8.882200743,8.787394052,0.477386798851728,0.056713276773215,6.95231066002592
"GSM672649",7.05796171,10.4428803,9.691046468,7.227946097,7.089604089,7.093293309,7.042702602,7.247768401,8.97785948,8.562611152,8.538096654,0.302098458010933,0.51837462426655,7.93161678809899
"GSM672650",7.009724907,10.53497658,10.09603011,7.404819331,7.095104089,7.270249071,7.114518587,7.368899257,9.091635688,8.472410781,8.368715242,0.356336199863749,0.368269355999825,7.61320371351995
"GSM672660",7.175556134,10.89585316,9.759085316,8.059950186,7.198866171,7.139126022,7.166906691,7.403995539,9.742029368,8.931406691,8.783435688,0.373213787900655,0.323353454184509,7.5179251762664
"GSM672661",7.21919368,11.18580558,9.2522,7.738275279,7.275465799,7.139126022,7.144603717,7.47143829,8.845825279,9.305324535,9.200495539,0.234557875735895,0.723918532774256,8.36762991824867
"GSM672662",7.170605948,10.82305316,9.843672491,7.905511896,7.238387361,7.165705948,7.265292565,7.43247658,9.242672119,9.069464312,8.84164461,0.306602203617787,0.505504687104489,7.90431623889955
"GSM672663",7.180258364,10.98965576,10.01140335,7.35522119,7.228956877,7.120526022,7.250825651,7.705065799,9.890813011,8.84164461,8.995851673,0.465798507112651,0.0858357156901513,7.01408707481707
"GSM672664",7.156690706,10.84505911,9.559210037,7.387064312,7.297434572,7.158062082,7.164477323,7.710728625,9.548863197,9.270202602,9.107285874,0.374171730653955,0.320824408194475,7.51256039914207
"GSM672672",10.26231375,10.68777323,13.38472454,10.86752045,10.3660829,12.91816022,13.59499257,10.22599703,15.27586766,11.802529,12.07172602,0.452253483803712,0.119969930831039,7.08649479585748
"GSM672673",11.36724349,10.32988178,14.47455279,11.55055688,11.65469554,14.22564647,14.84911041,11.33878662,15.51421413,11.9506539,12.22466394,0.316254902668353,0.478197270103807,7.84638996684794
"GSM672675",7.703069517,10.71228216,9.103892193,10.43317955,7.83154052,8.721894796,7.658371375,7.623303717,10.8370197,9.078164312,9.458850929,0.361155841424572,0.355370984850754,7.58584284829476
"GSM672676",7.309210409,10.73702082,9.120642751,10.56048587,7.497289219,8.254450186,7.365495911,7.683043494,10.29473086,9.082944981,9.543722677,0.449835676191488,0.126076521373384,7.09944849356733
"GSM672677",7.414423978,10.76552491,9.443096468,10.0326223,7.528486617,8.009399628,7.353031784,7.766921933,9.979552045,9.392488104,9.38253829,0.325945245039194,0.451137446881732,7.78898890685052
"GSM672678",7.509195911,10.81843457,9.406495911,8.80037881,7.518177509,7.853407063,7.296479182,7.650009665,9.64251487,9.026469888,9.429528625,0.150401430497252,1.03471321851877,9.02690785428282
"GSM672679",7.298382528,11.37077807,9.699892193,8.186486989,7.294394796,7.696285502,7.317484015,7.593509294,9.379951673,8.617136803,8.840472491,0.14017808892978,1.07951956250968,9.12195399034143
"GSM672680",7.154222305,11.07504796,10.06750353,7.90696487,7.129661338,7.360777323,7.053049071,7.451171004,9.021356134,8.536673606,8.892368959,0.313940786847513,0.484710702332248,7.86020668364854
"GSM672681",7.152958364,11.25023494,10.41029554,7.486659108,7.136520074,7.325486245,7.044994424,7.373584387,8.657939777,8.552971004,8.690523792,0.396598086510949,0.262162487227992,7.38812291049604
"GSM672682",7.099493309,11.25685576,10.70406654,7.427298885,7.166906691,7.188427509,7.034201115,7.283749814,8.70936803,8.21152881,8.543130112,0.49501078462292,0.0125064343485394,6.85853622574783
"GSM672692",7.180258364,10.71840037,9.160485874,7.385176952,7.168089591,7.108245353,7.138458178,7.517730112,9.168436059,9.236433086,9.230539033,0.304585149892181,0.511258157883089,7.91652087596039
"GSM672693",7.222447955,10.74508104,9.2174171,7.345710781,7.202439033,7.039841264,7.11902119,7.612225279,9.244618216,9.207777695,9.114499628,0.302659297656607,0.516767320305853,7.92820727021985
"GSM672694",7.227946097,10.76491914,9.270202602,7.461993309,7.266283271,7.124948327,7.214778439,7.675475093,9.247679926,9.259670632,9.137945539,0.26858286293433,0.617104613489078,8.14104927361069
"GSM672704",13.53887881,10.91926171,15.80265167,13.41359628,13.99478104,15.81157807,16.0724342,14.58543234,16.10869665,13.3970368,13.94393941,0.00303003276081652,2.74451353603824,12.6538476832714
"GSM672705",13.6246145,10.99318253,15.71599665,13.46152045,14.00014721,15.86194312,16.17336691,14.61673569,16.15247212,13.5191461,13.79490428,0.0028741271703357,2.76180645103639,12.6905305412189
"GSM672706",13.44724164,11.21785428,15.77650855,13.39496283,13.90805539,15.81157807,14.92148885,15.4060026,15.79347546,13.71375353,13.69645948,0.000419907412717748,3.33932752811776,13.9156058760893
"GSM672707",13.68882788,11.08451636,15.28264684,14.63416989,14.09040223,15.55620743,14.60551747,15.31526691,15.85358848,13.65388439,14.00590855,2.874300637481e-08,5.42644970844989,18.3429454234314
"GSM672708",13.58394275,10.90037918,15.10605167,14.86847249,14.04552862,15.75092528,15.03851413,15.34516989,15.72398736,13.60618996,13.86400483,3.4526391294998e-07,4.96400888405829,17.3619858181779
"GSM672709",13.54124015,11.05172937,15.20407138,14.04023532,13.86400483,15.35256022,14.23481264,15.39060186,15.81157807,13.41777658,13.56203011,8.2171721309211e-06,4.30852965666542,15.9715405758031
"GSM672711",13.23707546,12.43780892,15.22980632,13.09676506,13.56426171,15.58944684,14.46409554,11.21785428,15.70693346,13.6722223,13.6940316,0.0536421117365282,1.61052073066888,10.2483482635804
"GSM672712",13.21777212,12.55561822,15.51421413,12.94794461,13.39496283,15.71599665,15.32970632,11.58383606,15.58944684,14.00014721,13.8485,0.0579882014304521,1.57188853953449,10.1663991428142
"GSM672713",12.40940483,8.981802602,15.82913494,14.46059071,12.80753569,15.08894944,15.60525576,13.87415316,14.3837368,12.65605019,12.99596394,0.0212448079740928,2.02869254255389,11.1354015553276
"GSM672714",12.32875093,9.074196283,16.16017398,14.43247509,12.85840781,15.02109257,14.82197844,14.53674944,14.5931777,13.04901599,13.15065688,0.00959727742494548,2.34173078355426,11.7994386669406
"GSM672715",12.64033755,9.057098141,16.02135874,14.33275836,13.00465167,15.34516989,14.8169052,14.48566134,14.78927807,12.99767955,13.19793569,0.00437239540339007,2.62187340201836,12.393695440842
"GSM672716",7.314648699,10.83943569,9.407636059,7.598236431,7.340056877,7.198866171,7.208010781,7.995139033,9.586639777,9.974054275,9.917216729,0.485285877144579,0.0368912025914169,6.91026278484045
"GSM672717",7.359909665,10.92505576,9.387413383,7.60192119,7.253958364,7.188427509,7.248830483,7.898386617,9.497591636,9.83625948,9.871837546,0.453490635631271,0.116847033999762,7.07987030363863
"GSM672718",7.324245353,10.86517584,9.332309294,7.522116729,7.273359108,7.177962454,7.221266543,7.865181413,9.503286989,9.941332342,9.984120446,0.496850370752184,0.00789503174464228,6.84875421810624
"GSM672723",7.505216357,12.56771524,9.300388104,7.906473978,7.765909294,7.271315613,7.558524535,8.000223048,9.26206171,9.720425279,9.694850186,0.200882521405377,0.838473111695015,8.61063055441856
"GSM672725",7.406658364,11.72477063,9.300388104,8.058956134,7.47143829,7.212406691,7.388077695,7.992613755,8.694099628,9.952976208,9.908577323,0.312885133082045,0.487688828140235,7.86652407814078
"GSM672727",7.523875465,11.92684275,9.129148699,7.9902,7.549137175,7.374932714,7.354395539,8.113799628,9.415497026,10.19081859,10.0633171,0.370096745512122,0.331597124682816,7.53541218721207
"GSM672728",7.542924907,11.70737026,8.723692565,7.908,7.435354647,7.165705948,7.436165428,8.041924721,8.401480855,9.151350929,9.025208922,0.0161020472042378,2.141868138377,11.3754770027084
"GSM672729",7.338213011,12.10452751,8.594514498,7.780598141,7.467951301,7.242649442,7.279125651,7.920507807,8.493020818,9.309149814,9.095472862,0.0444070755290612,1.70168650741283,10.4417350487653
"GSM672730",7.526581784,11.76959033,8.78030855,7.940559851,7.371171004,7.236266543,7.403566357,8.041408922,8.60055539,9.103892193,8.875758736,0.0136623202624601,2.20684856962445,11.5133177270206
"GSM672731",7.323299257,11.72211413,9.048547212,7.978735688,7.500678067,7.369740335,7.293344238,8.007326394,8.579858364,9.923634944,9.661409665,0.233907447868567,0.726038945672457,8.37212787623569
"GSM672732",7.732870632,12.73977435,9.241455019,8.127392193,7.730965428,7.399576208,7.433513383,7.949688476,8.884842007,9.505805576,9.368698513,0.0634676345032099,1.52629959692274,10.0696929075739
"GSM672733",7.511424907,11.76959033,9.020110409,7.937469888,7.484089591,7.414878439,7.489437175,8.085531599,9.241455019,10.37931041,10.16249219,0.394816881784897,0.266786221448686,7.3979310767666
"GSM672734",7.404819331,11.39341227,8.364927881,7.99810855,7.499016357,7.471027323,7.540397398,7.963007807,8.30718513,8.941266543,8.7627,0.000172828083992445,3.57843623985382,14.4228188536327
"GSM672735",7.413121933,11.8387684,8.499108178,7.953687361,7.396921933,7.293344238,7.253958364,7.949688476,8.474837918,9.047397026,8.904501115,0.00957240421262307,2.34269925148118,11.801493044204
