"","abn2","ccpA","acoR","acuA","acuB","acuC","amyC","amyD","bglH","bglP","bglS","cimH","crh","csbX","cstA","dctP","dprA","drm","galK","galT","glmR","hbuT","ldt","melA","mmgA","mmgB","mmgC","mmgD","mmgE","mmgF","msmE","msmR","msmX","mtlR","odhA","odhB","pupG","rsbR","rsbS","rsbT","rsbU","rsbV","rsbX","sacA","sacP","scoA","scoB","sspH","sucC","sucD","topA","whiA","yesL","yesM","yesN","yhaR","ylbP","yopL","ypiF","ysfE","yvcI","yvcJ","yvcN","ywdA","yxiE","yxjF","yxkF","pval","z","inv_cof_var"
"GSM672575",10.63955428,11.4657,10.27553494,12.23579331,11.66571561,11.25086022,10.41760929,8.983071375,10.43927658,9.481560223,9.877958736,8.472410781,12.50189554,10.0748145,10.47872528,8.736597398,12.18289145,13.26165428,11.15552937,10.83419703,12.60212045,10.91700595,8.048987361,10.25133606,12.89724424,12.31870483,12.95315316,12.65138587,12.75065836,13.19436877,9.326156134,7.977637546,11.5350052,10.1266829,14.7149948,14.3805052,12.98548327,11.05279405,11.58256431,11.41760669,10.67258401,11.83742714,11.9427,8.262543494,7.933356506,11.95198364,11.58623978,11.2363461,14.46059071,13.98155204,13.13574721,12.86008625,9.231700743,9.505221933,9.277469145,10.48220409,13.08980112,12.86480892,13.37838364,11.39588067,12.49575204,13.28353959,11.62122007,9.452549814,12.47040149,11.59151078,10.55939517,0.0113751441472629,2.27760221704197,6.73122500259303
"GSM672576",10.72997732,11.67638104,10.45131152,12.11117286,11.55800706,11.30724907,10.47985502,9.202943866,10.58518067,9.996260595,9.612014312,8.898016357,12.29166617,10.08658401,11.20930781,9.537186989,11.85151487,13.07797286,11.01321561,10.79800781,12.70310595,11.00122007,8.043572119,10.19443086,12.82026617,12.29913829,12.67339796,12.62544387,12.48971413,12.69559926,9.638676208,8.746243494,12.21031896,9.961820446,15.23706097,14.98346506,12.6482026,11.15801487,11.40524758,11.60205929,10.70654424,11.65592045,11.66272138,8.363724164,8.218820074,11.3258513,11.02147063,11.69607844,14.66175056,14.29703011,13.07116617,12.60816022,9.652842007,9.559210037,9.130303346,10.20170595,13.30005502,12.32742639,13.34507323,11.90566059,12.65748922,12.99944721,11.0909052,9.265559851,11.5375197,10.88583123,10.49909703,0.00417508836458582,2.63757252787195,7.01971291994731
"GSM672577",11.09151115,12.22607175,11.5727223,11.01078959,11.1695632,11.01195019,11.93608848,10.87672565,11.35883048,10.07542639,11.44420669,7.88968197,12.48055799,9.743322305,11.76890613,9.078164312,10.20968439,13.34303457,10.91700595,10.95418476,12.33457361,12.59205613,8.790155019,12.12371933,14.1456342,13.94912751,14.57414535,14.31640743,14.58543234,14.85846468,11.76571784,9.661409665,12.46749591,10.33356431,14.65334089,14.63204387,13.0393197,9.818199628,10.75712379,10.90911859,9.846188848,11.96003271,11.5304,8.665937918,8.42776171,13.6722223,13.56877881,14.88252156,14.00300297,13.3702461,12.83902974,12.59489368,9.955614126,10.00747918,9.733342007,11.78200855,13.98436729,12.73350074,12.33234981,12.41094461,11.63374164,12.95655428,11.11823309,9.696667472,13.23499331,13.23109554,10.23788662,0.0132078932157415,2.22004391958354,6.68509655016051
"GSM672578",10.7088684,12.01652491,11.15429703,12.20774981,11.5375197,11.09448067,11.88872416,10.39292119,10.53330372,9.855135316,10.60684089,7.657518959,12.10151896,10.05844498,11.30368922,9.206534201,11.37684758,12.78364684,10.26368476,10.11089517,12.22177807,12.18154349,8.751308178,11.33878662,13.79092788,13.24788216,13.88486654,13.61280632,13.68413234,13.93093309,11.06445836,9.09787026,12.15180074,9.772573978,14.55987026,14.43607286,12.35640037,10.50141338,10.60684089,10.46563457,9.565701487,11.00480892,11.13418271,8.247687361,7.924209665,12.64979145,12.56927323,14.06186803,14.27893866,13.66987732,12.89724424,12.49718067,10.45493383,10.47503271,10.01882751,10.92964758,13.7935658,12.50924944,13.07957993,11.90566059,12.4661171,12.76305799,10.82892454,9.440052788,12.16591599,12.18015093,10.18235576,0.00549393525863566,2.54308433404422,6.94398805755775
"GSM672579",11.08210335,11.7195487,11.73350112,12.40504387,11.47064201,11.26048625,11.63750186,10.35981673,10.5378948,9.603594796,11.03410706,7.520542007,12.1967829,10.25371375,11.2654855,8.922488848,11.62253309,12.76305799,10.54287175,10.48220409,12.22607175,12.34492491,8.918543866,11.57750409,14.13691599,13.81582714,14.33275836,14.01120595,14.28199294,14.92148885,11.29645688,8.924918587,12.38714758,10.32988178,14.37716803,14.31325613,12.69864721,10.01882751,10.541771,10.50502379,9.522955019,11.42984089,11.49220149,8.460543123,7.984951301,13.35442714,13.40495093,14.75366506,14.07896877,13.53679182,12.78130167,12.31027584,10.50202546,10.96463569,10.62021264,11.84635353,14.02274981,12.92910465,13.12992751,12.24392268,12.18706394,12.62693755,11.08792416,9.986601859,13.29824572,13.20690632,10.21153717,0.011765019350217,2.2647172097845,6.7208986817911
"GSM672580",10.96807138,11.83474164,11.18683271,11.55682342,10.97474461,10.64203271,11.53224387,10.26853903,10.7218171,9.57370223,10.97028662,7.59084052,12.07309777,9.628471004,11.47432714,9.15257658,11.64603123,12.84514201,10.48164814,10.39695242,11.88872416,12.17309703,8.685039033,11.68483494,13.95716766,13.40928959,13.98436729,13.70401115,13.8692948,14.21655688,11.11582156,8.909420074,12.44805874,10.15257063,14.37361413,14.29400892,12.68502305,9.989743123,10.59240297,10.65717695,9.482872862,11.37323197,11.14584424,8.428883643,8.067376208,13.17062045,12.99076729,14.90736059,14.19217844,13.79092788,12.65290223,12.18154349,10.12861933,10.27670223,10.0484855,11.50065985,14.20152714,13.40275985,13.23891599,11.99124944,11.96963309,12.5077974,10.92265688,9.917216729,13.33142937,12.61541041,10.0742026,0.0132921221515454,2.21756884223202,6.68311297015697
"GSM672581",10.59470558,11.84635353,11.74700781,12.27423903,11.72854535,11.05910892,11.67967361,10.50141338,10.04472379,9.192094796,10.81497212,7.338634015,12.13583885,10.48220409,11.59397472,9.27505948,11.25685576,12.37705167,10.06210632,10.00393271,12.26584201,11.97753792,11.60144089,11.68854647,14.18104015,13.66180929,14.44320929,14.16922491,14.44658587,14.73557435,11.06334126,8.854895539,11.88637695,10.38173197,13.88486654,13.84343978,12.15306543,10.06448922,10.14402862,10.25133606,9.179131599,10.85440372,10.94041004,8.221126022,7.80720632,13.00295056,12.81725688,14.8074855,13.64726729,13.18883978,12.23710446,12.38563941,10.32256357,10.98619703,10.3979829,11.30014833,14.07896877,11.88757881,12.57725279,12.233029,12.20774981,12.63451004,10.92505576,9.602318959,12.21777212,12.91488662,10.18579145,0.0090836927673877,2.3621888363116,6.79901453104851
"GSM672582",10.80278067,11.97030483,12.26005576,12.18422007,11.76177175,10.59812825,11.86852528,10.87889517,10.3433171,9.239005576,10.84732714,7.466259108,12.2758855,10.19194089,11.7543855,9.278698513,10.88470892,12.47473234,10.14274461,10.24267955,12.09511747,12.38563941,11.84500446,12.08289703,14.8074855,14.21381301,14.71898885,14.43607286,15.09480297,15.31526691,11.60768401,9.70606803,12.46680651,10.54986357,13.86400483,13.83597807,12.06224721,10.2294197,10.01761338,10.18579145,8.990180297,10.79915911,10.84170743,8.211057249,7.963007807,13.47812268,13.29143606,15.08894944,13.24969777,12.72122491,12.01652491,12.26584201,10.96685353,11.38151115,10.77874721,11.38451078,14.19545279,11.71235911,12.33601004,12.66787807,11.95744758,12.6836,11.22137844,10.11830706,12.22743866,13.21222714,10.48817732,0.0118384663786117,2.26233144934561,6.71898668227443
"GSM672583",10.53672193,11.61880967,11.53860669,12.30054126,11.72728216,10.59470558,11.58882602,10.18469814,10.01006208,9.363047212,10.3635,7.328675093,12.05679591,10.25314442,11.69475316,9.074196283,11.26177993,12.40194684,10.06448922,10.0453197,12.07172602,12.32020335,11.75678996,11.42471599,14.24770112,13.89762082,14.39460335,14.07336952,14.29121375,14.60551747,10.78417695,8.900716729,11.84121078,10.34221784,13.82289926,13.67681933,11.90059108,10.1897539,9.930198141,10.37931041,9.054672491,10.85080967,10.7487777,8.102525651,7.8041171,13.14873532,12.83733197,15.66552974,13.60378104,12.95128178,12.19250186,12.16733941,10.84853383,10.8880052,10.39021747,11.19638364,13.92297026,11.85680372,12.68047472,12.04992751,12.17600892,12.39445725,10.83013309,9.904658736,12.33152714,12.70310595,10.15506803,0.0132067901338192,2.22007642413505,6.68512260000431
"GSM672584",10.95765093,11.53395353,12.42003234,13.00110632,12.62544387,10.55690632,12.47178253,11.79984164,10.62021264,10.44625204,11.09389405,7.501630112,12.33017993,10.42599777,12.25706059,9.168436059,10.54625725,12.18972751,9.369944238,9.97118513,12.44963011,12.57565725,13.05595836,12.42432045,14.1456342,13.84591078,14.55987026,14.19217844,14.4894368,14.96705799,12.24009331,9.512559851,12.88276766,10.8370197,13.03748513,13.06405353,11.92807175,9.670372119,9.014144981,10.17985465,8.433071004,10.78417695,10.85690223,8.636723792,8.020653532,13.31923978,13.37626729,14.41869665,12.3463026,12.14881636,11.58383606,12.66205019,11.2520632,11.28091301,10.59470558,11.7445632,14.21958662,12.02449777,11.8064539,12.88760223,12.49420967,12.84992788,11.51240149,9.381207807,12.31027584,13.29824572,9.856439033,0.00734654162402118,2.43985684231452,6.86125933464128
"GSM672585",11.50065985,12.24615948,12.74445799,12.63150967,12.09093494,8.281063941,13.12422305,12.36217918,12.61107732,12.41861375,10.79227621,7.298382528,12.40504387,9.284888476,12.07655632,11.05060483,8.332564684,11.98183086,8.080995167,9.400000372,12.72426729,10.93322082,13.55457398,13.17966803,14.35976208,14.11029777,14.31325613,14.28826431,14.52209926,14.72779442,12.85840781,11.11701859,14.54790446,12.0407881,11.21668625,11.67967361,11.94797546,10.43697138,10.39560743,10.38901375,7.332467658,12.31870483,11.19886617,8.699295911,8.062080297,12.04352379,12.41698625,14.46736729,9.821001487,10.69380223,9.457593309,12.63305613,11.52813271,11.16270446,9.60756803,12.22305651,14.69906245,10.00012416,11.55433086,12.6866171,13.10225725,13.25970781,11.64802937,10.15634833,12.95655428,12.25859294,8.586149442,0.0711954927226412,1.46694511858546,6.08154704031063
"GSM672586",11.43945204,11.31089517,11.97239591,13.16149219,12.51217212,10.75005539,12.16890595,11.22723903,10.65251152,10.15257063,10.52528401,7.412204089,12.17875688,10.07806877,11.97502342,8.861024164,11.00848364,12.00305651,9.879227881,10.01256431,12.4632171,12.66046617,12.96701115,12.13241078,14.11871338,13.92820372,14.52939071,14.07336952,14.55987026,14.85846468,11.77964126,9.241455019,12.33911152,10.66082342,13.16865353,13.08300781,11.75559182,9.442413011,8.023792937,9.632133457,8.827584758,11.05514201,10.86752045,8.436023792,8.117831227,13.31143866,13.0743855,15.44358327,12.90673086,12.53408699,11.84240669,12.5479145,10.91145613,11.40274498,10.65031264,11.53860669,14.13691599,12.03685651,12.05292342,12.6866171,12.48971413,12.88760223,10.97143346,9.601017844,12.54013457,13.15779442,10.13052454,0.0157440122993097,2.1508502092262,6.62964322861024
"GSM672587",10.93447918,11.57506468,12.48208364,12.83584424,12.38714758,10.40392714,12.52544535,11.77196952,10.59812825,10.46929405,10.94953011,7.310779182,12.40194684,10.41029554,12.43612565,8.639073606,10.57917807,12.18422007,9.377654647,9.768651673,12.51217212,12.78829182,13.02672268,12.31870483,14.52939071,14.2077948,14.61295725,14.47455279,14.82197844,14.96705799,12.19392119,9.841120818,12.85165985,10.97028662,13.13668476,13.31737249,12.09093494,10.01376952,9.262639591,10.27181115,8.561458364,10.85440372,10.71228216,8.268340892,8.00638513,13.46152045,13.30210743,14.25115204,12.36067658,12.32160558,11.55933717,12.56927323,11.23069257,11.3353487,10.43198662,11.73466357,14.19545279,11.73846877,11.74338513,12.63741822,12.43176617,12.85326877,11.7111632,9.463406134,12.24467361,13.23109554,9.728449442,0.0132142626444675,2.21985627727605,6.68494616959614
"GSM672588",11.44300781,12.55874387,12.77709554,12.47178253,12.12665576,8.576719703,13.15971115,12.36369665,12.57645502,12.33152714,10.75768959,7.209154275,12.41698625,9.500127695,12.05132193,10.81843457,8.227065428,11.95198364,7.940559851,9.452549814,12.74905093,10.98499331,13.71904721,13.15597175,14.31325613,14.07618625,14.34949888,14.31970743,14.64878104,14.86847249,12.80000632,11.18580558,14.6741539,12.04352379,11.25578067,11.5763197,12.22466394,10.3433171,10.41824164,10.55939517,8.039725279,12.12371933,11.12871487,8.720079182,7.933356506,12.00305651,12.47610223,14.25402268,9.479197398,10.71414498,9.343478439,12.49886208,11.75320818,11.31671078,9.881884387,12.3463026,14.4894368,10.45853197,11.3281881,12.60668736,12.99247212,13.40092937,11.92807175,10.68777323,12.96003271,12.51953383,8.554786431,0.0560777944651224,1.58857848421952,6.17902662481207
"GSM672589",11.1661171,11.51852045,11.90186766,12.94134015,12.71058885,10.80762305,12.01236766,11.12404238,10.39292119,10.04221636,10.61667584,7.349563197,12.34492491,10.31164684,11.99124944,8.823094796,10.80641041,11.82046914,9.602318959,9.893404089,12.39750149,12.59637175,13.2139171,11.97618699,14.34591822,13.80343717,14.17215799,14.15506134,14.45026283,14.69494015,11.53162528,8.921110409,12.4632171,10.57109665,12.98028141,13.1633513,11.84372045,9.450631041,8.739067286,9.828678067,8.574934572,10.8370197,10.8438829,8.290675465,7.9902,13.24606989,13.29824572,14.2077948,12.82796729,12.58011896,11.75931078,12.45103717,11.18580558,11.33162788,10.73581636,11.71601041,13.88738959,12.09898662,12.0286052,12.51953383,12.43023309,12.84824535,11.42471599,10.11216691,12.63002937,13.23987621,9.789263569,0.00961855956430813,2.3409038783842,6.78195630985996
"GSM672590",10.95179145,11.95618216,11.8387684,12.78051896,12.39912119,10.72635353,11.23174721,10.17617398,9.989074349,9.179131599,10.40780558,7.235277695,12.60364461,9.713857993,11.56802119,8.42662342,10.5060777,12.37289182,9.535849814,9.849930112,12.45414126,11.77836766,12.94628513,11.58256431,13.71904721,13.41359628,14.00590855,13.61745502,13.8692948,14.36693011,11.08324498,8.474272119,12.12968401,10.15011822,13.30973011,13.53679182,12.55413048,10.02762937,9.397619331,10.23297993,8.97073829,10.94041004,11.14584424,7.74493197,7.653642379,12.80000632,12.7521803,14.63204387,12.78984721,12.7318948,11.94543792,12.65748922,10.32496394,10.71289554,10.46988104,11.4285632,13.93337732,11.56050372,11.54474833,12.14178848,12.52980595,13.1136368,11.86852528,9.709953532,12.49961338,12.91305019,9.765004461,0.0166613136500556,2.12817439063652,6.6114703418959
"GSM672591",10.89479591,11.80120297,11.99639963,12.85683234,12.26584201,10.76186208,11.26426877,10.18716803,10.15011822,9.75460855,10.39915502,7.198866171,12.50487918,10.24454498,11.96693457,8.767733086,10.29002602,12.38852714,9.831281413,10.04106729,12.45414126,12.25278848,12.82942007,11.45683494,13.85341561,13.53887881,14.07336952,13.8485,14.1456342,14.44320929,10.84732714,8.582377695,12.17460074,10.17371152,13.30005502,13.36741004,12.37427993,9.881884387,9.791836059,10.28401264,8.730405576,10.91329926,11.18790892,7.994171375,7.683501673,12.97704498,12.99944721,14.67824238,12.66046617,12.58745911,11.88011524,12.59637175,10.51658141,10.79346208,10.50820223,11.60831896,14.00014721,11.62863903,11.6064513,12.30598216,12.44963011,12.9331223,11.8077974,9.639908922,12.54013457,12.92503755,9.742029368,0.0109643266543905,2.29160142281747,6.74244426595249
"GSM672592",10.71597138,12.11744535,11.9097197,12.70008885,12.19107955,10.90396134,11.30483197,10.20783569,10.23182268,9.782928996,10.2305684,7.297434572,12.52395651,10.2065,11.97502342,8.35422974,10.33478216,12.42890074,9.894642379,10.11953383,12.55561822,12.35562974,12.68201636,11.63750186,13.91831896,13.48460855,14.05645093,13.82056989,14.16068439,14.49293792,10.92615725,8.880969888,12.1883777,10.06085762,13.37838364,13.44091413,12.58472156,9.943906691,9.499448699,10.08594108,8.942527509,10.61201561,10.92375167,7.952664312,7.749934201,13.02507807,13.00807138,15.13492268,12.72426729,12.60816022,11.80381487,12.56473271,10.24892193,10.54986357,10.42730372,11.59898848,13.96540669,11.89014201,11.28217807,12.35195651,12.45103717,12.88760223,12.01236766,9.84866803,12.57880929,13.07284758,9.71651487,0.0151906833025478,2.165082516761,6.64104930471244
"GSM672593",10.94499814,11.89151413,12.13114796,12.89634498,12.43925799,11.01195019,10.98619703,9.697914684,9.560557621,8.748798513,10.44395465,7.013033457,12.50635242,9.870642007,11.57879851,8.442299257,8.70936803,12.27727844,9.615347955,9.450021561,12.3683684,12.02192007,12.56166506,11.4285632,13.66987732,13.11539071,13.70641859,13.43859219,13.74509665,14.0958948,10.68093011,8.484646468,12.31454387,9.996260595,13.10225725,13.1468632,12.25010112,10.00450316,10.03071375,10.05582602,8.355411152,10.68484851,10.86981041,7.519544981,7.376822677,12.62544387,12.49129033,14.71898885,12.36678959,12.04866431,11.39696357,12.47473234,10.13419145,10.76373123,10.3635,11.49040595,14.14860818,11.78835316,11.72348773,12.17309703,12.61107732,13.04989703,11.752071,10.08788327,12.39445725,12.63002937,9.890813011,0.0292897352435846,1.89133626602706,6.4216631959645
"GSM672594",10.85929926,11.83742714,12.19107955,12.93810186,12.35069814,10.4475026,11.50178625,10.25501375,9.38873197,8.740119703,10.844471,7.034201115,12.36678959,9.606923792,11.5763197,8.281063941,8.731679926,12.11264312,9.295815242,9.45124052,12.31454387,11.88757881,12.59489368,11.46395186,13.78598662,13.37430892,13.83360706,13.6246145,13.87933941,14.39777584,11.09506729,8.739067286,12.53577732,10.05462639,12.87464238,12.92409052,12.22177807,10.08788327,10.05097732,9.884420446,8.761433086,10.82305316,10.87773792,7.491115242,7.378700743,12.57880929,12.38563941,14.99943048,12.2344052,11.87367249,11.10549071,12.45103717,10.24823141,10.7487777,10.06448922,11.5304,14.19545279,11.97239591,11.63990818,11.97753792,12.54327509,12.84514201,11.3281881,10.02137472,12.28742007,12.64033755,9.476631227,0.0347537662061196,1.81510657862852,6.36057109170882
