"","comZ","spo0A","divIVA","dnaA","dnaG","dnaN","ftsE","ftsX","med","metS","parA","parB","pdeH","pdxS","pdxT","pit","sacT","sepF","tagV","tkt","tsaC","yabD","ykaA","ylmD","ylmE","ylmG","ylmH","yqxD","yqzC","yqzD","yrrL","yvyE","ywcI","yydA","pval","z","inv_cof_var"
"GSM672692",11.92279405,13.33519294,12.96507435,13.00110632,14.4894368,12.18972751,12.75389331,11.92156208,11.98993309,12.5394368,13.02854461,12.84075093,9.956937546,14.66175056,14.68241227,12.57565725,12.14178848,13.47410706,11.89799851,13.93848699,10.22478587,10.18292509,13.24257695,13.54336506,13.53887881,13.9789632,12.63741822,14.52209926,11.37569814,12.89897175,10.8462368,11.96838401,11.93222788,10.91817807,0.226077031932585,0.751828727263167,9.9767662415632
"GSM672693",11.82298996,13.24083643,13.1633513,12.93890353,14.41869665,12.38714758,12.28581264,11.9427,11.79868662,12.6418026,12.88760223,12.90213346,9.879227881,14.54011041,14.55987026,12.29611413,12.08541747,13.37430892,11.94866357,13.9974171,9.959482156,10.42367732,13.35045167,13.52142082,13.31737249,14.09313569,12.51518699,14.43247509,11.51009108,13.14508736,10.98158476,11.66956506,11.94866357,10.80278067,0.226653335310923,0.749913720146866,9.97403197203124
"GSM672694",12.08812974,13.24788216,13.20690632,12.79137658,14.23797286,12.21495725,12.43023309,12.06628662,12.02317361,12.59489368,13.06929071,12.99767955,10.14765651,14.66569628,14.75811599,12.2163461,11.49827212,12.91142379,12.10844647,14.12176357,9.801787361,10.41887398,13.23891599,13.35250967,13.20863941,13.94393941,12.35341599,14.25402268,11.66081524,13.23499331,11.1649145,12.00707993,10.91444461,10.97694387,0.213929131569404,0.79286194155275,10.0353539442801
"GSM672697",12.0286052,13.58394275,13.63154052,13.2291658,14.03726022,12.71058885,13.02025465,12.58170112,12.14881636,13.27297993,12.81950576,12.73666097,10.8252368,14.65737807,14.74487584,12.47040149,10.97028662,13.62914721,12.96507435,14.30661041,10.18469814,11.52469963,13.51702342,13.59952639,13.88999294,14.3805052,13.23109554,14.26634535,12.95401859,14.21067918,11.09389405,13.19254647,8.15352119,11.09271227,0.47810647813689,0.0549064964451134,8.98169253888472
"GSM672701",11.89274275,13.52997026,13.11002677,12.78051896,13.83099145,11.84635353,12.6482026,11.87367249,12.25278848,12.95315316,12.90826059,12.83733197,10.48689405,14.14860818,14.22852825,12.02449777,13.69645948,13.64935428,12.3046145,13.96540669,10.0326223,11.31557286,12.88276766,13.83360706,13.82056989,14.40469851,13.04719888,14.13102342,11.11124164,12.42890074,10.64325093,12.40805911,13.08807955,10.78417695,0.0909744147991899,1.33477856919591,10.8091088359542
"GSM672702",12.09093494,13.58176394,13.27106394,12.78364684,13.79859108,11.92156208,12.57407212,12.13241078,12.22038662,12.84223494,12.75551227,12.72426729,10.48220409,14.04023532,14.09040223,12.233029,13.88999294,13.68668848,12.28434275,14.09866691,9.941332342,11.13599963,13.00110632,13.95421375,13.88486654,14.5076632,13.14322714,14.07618625,11.42984089,12.52685316,10.53918104,12.29315279,13.4345881,10.61555799,0.112818346300034,1.21167531325289,10.633340569014
"GSM672703",12.31663104,13.55030911,13.19072825,12.9007197,13.78840558,12.04352379,12.61541041,12.18635093,12.35006059,12.8811052,12.74146729,12.78208439,10.53004981,14.04813494,14.18951673,12.233029,13.42815502,13.64935428,12.2903119,14.16357621,10.0766881,11.12529665,12.91305019,13.7086368,13.67681933,14.37716803,13.2291658,13.93848699,11.37077807,12.58602528,10.69497435,12.37289182,12.9836684,10.68212305,0.0496519745038366,1.64823747760496,11.2566691272395
"GSM672704",12.06771041,12.50036468,13.00295056,13.36649851,13.76680818,13.08473941,12.98202045,12.28742007,11.47787249,13.20690632,12.69711524,12.67092974,10.84505911,14.9261052,14.9356,13.67681933,10.63088401,13.16865353,12.69864721,13.86023903,10.7218171,11.56554647,14.40846283,13.44308773,13.38058216,13.68176245,12.68431152,14.10461152,11.74823048,13.03570706,11.284429,12.64667732,8.880969888,11.8077974,0.257861929641974,0.64995102186351,9.83130406364784
"GSM672705",11.75807658,12.46005688,12.92828178,13.51480558,13.73114758,13.1136368,12.99596394,12.2344052,11.56050372,13.12992751,12.71507175,12.62842751,10.91080595,14.89277844,15.02109257,13.55558736,10.64447546,13.24606989,12.51075985,13.94912751,10.70275725,11.48265204,14.42209108,13.42184944,13.37838364,13.87933941,12.66638996,14.06484089,11.84372045,13.05331524,11.45388848,12.72872639,8.649103346,11.94006097,0.300546394597701,0.522829671727445,9.64979871487901
"GSM672706",12.28742007,12.51217212,13.14508736,13.49568401,13.89516245,13.07284758,12.64338773,12.1503,11.18683271,13.24606989,12.35485911,12.30746208,10.80887472,14.90736059,15.08293978,13.74295651,11.30964275,13.15971115,12.56009368,14.1456342,10.28889442,11.48741822,14.74947249,13.77660149,13.57092379,14.20152714,12.87304684,14.13993457,11.85551673,13.30005502,11.4682684,12.74603086,8.787394052,11.2363461,0.416502740612004,0.210848513354974,9.20434837235914
