"","accA","spo0A","accD","kinA","kinC","ktrC","racA","sirA","spo0F","spoIIE","txpA","yerB","yerC","yisK","yisL","ykqA","yneF","yodL","yppD","yppE","yusD","yusE","pval","z","inv_cof_var"
"GSM672582",12.26440558,13.39298996,13.32523234,9.94911487,8.878179926,11.82445613,13.35045167,12.00570595,11.72728216,12.4632171,9.445687918,14.65334089,13.48023494,10.25613717,9.572453532,9.22933197,13.4593829,11.96003271,11.13356654,11.72348773,11.89274275,11.59397472,0.292485331527833,0.546138607438588,7.3164629421392
"GSM672583",12.09960279,13.08473941,13.28255242,9.940048699,8.913276952,11.44588625,13.0950171,11.94543792,11.67702007,12.40042639,9.636028996,14.41200297,13.3702461,10.46563457,9.629740892,9.278698513,13.91563829,11.91582007,10.93087398,11.4886,12.00437026,11.19147212,0.244578068902569,0.69165161743997,7.48829638467253
"GSM672584",11.63001524,12.99596394,12.95128178,9.120642751,8.582377695,11.13919257,12.35195651,9.471579554,11.69475316,11.6362881,8.919800372,14.16637026,13.22356468,9.604932714,8.976527138,8.441049442,12.47040149,11.48512491,10.46688848,11.15677881,10.83943569,11.43575836,0.491509543957259,0.0212840240502084,6.69667252001706
"GSM672586",11.6522461,12.8156342,12.8108052,9.419314498,8.725552788,11.21533234,12.53577732,10.23485595,11.77697584,11.74586245,9.613317658,14.24770112,13.74509665,9.897079554,9.063879926,8.833879926,12.84075093,11.2720223,10.17985465,11.00605204,11.02948476,11.16719814,0.365569467232698,0.343610889156227,7.07730195549926
"GSM672587",11.63750186,12.76461152,12.84992788,9.441220446,8.756268401,10.8880052,12.34492491,9.034102602,11.80120297,11.71601041,8.917146097,14.08764126,13.03222825,9.442413011,8.891684015,8.774426022,11.8697881,11.33991747,10.53229405,11.35399554,11.23174721,11.22958513,0.402426228799222,0.247072058453341,6.96330115503708
"GSM672589",11.72728216,12.90826059,12.75551227,9.321043123,8.721311896,11.04821115,12.52395651,9.951659108,11.85025242,11.73466357,9.469037546,14.42209108,13.81818216,9.904658736,9.433663197,8.730405576,12.1503,11.37447026,10.57741152,11.35503383,10.8312829,11.13001301,0.358207939193066,0.363253028022564,7.10049696974636
"GSM672590",12.158871,12.82026617,13.0950171,9.667862082,9.120642751,11.43328625,12.94794461,10.0742026,11.42984089,12.2903119,9.543722677,14.07896877,13.43237621,9.788638848,9.608845725,9.043852416,12.66355688,11.39223755,11.14697993,11.78955725,11.24112156,11.47432714,0.21799334766309,0.778988149872517,7.59143037266897
"GSM672591",12.07172602,12.988971,13.03040297,9.662597398,8.887666543,11.14998532,12.76756729,9.703587361,11.47432714,12.22177807,9.228067658,14.19545279,13.22169145,9.769912639,9.824746468,8.913276952,12.70778104,11.62612305,10.9565684,11.70109888,11.01554164,11.34337435,0.283290769922059,0.573093275817898,7.34829317821168
"GSM672592",12.02055242,12.9736632,13.00465167,9.645053532,8.806852788,11.13711487,12.77562007,9.885793309,11.5763197,12.22811784,9.347269517,14.15794052,13.36438513,9.621913755,9.50919368,8.989582156,12.71507175,11.37077807,10.71350892,11.7445632,11.27143494,11.61025167,0.306809528468241,0.504914261441482,7.26778192530916
"GSM672593",12.08145093,12.76461152,13.01521004,10.07311375,9.114499628,11.31671078,12.98548327,10.68484851,11.580029,12.21173457,10.60851896,13.95159331,13.25572045,9.402522677,9.789263569,9.085415985,13.30973011,11.55433086,11.25459517,11.96296022,11.54819108,11.51852045,0.119778803853392,1.17609326814882,8.06036397194214
"GSM672594",12.07040112,12.9331223,13.03394164,10.15011822,9.020110409,11.31787472,13.02854461,10.60167435,11.56687732,12.42432045,10.47617472,13.81090595,13.04444907,9.090420074,9.892774349,8.83260855,13.20505651,11.85276729,11.37801599,12.12968401,11.50417435,11.580029,0.15749690264956,1.00479866822601,7.85808555854236
"GSM672595",12.11264312,12.94463234,13.14322714,9.601668401,9.333706691,11.34937286,12.93638178,10.72635353,11.57750409,12.32441041,10.24892193,14.16922491,13.40092937,8.930201115,9.641176952,8.796410037,12.93810186,11.17430409,10.97806617,11.97911264,11.3281881,11.5727223,0.260114489555164,0.642992480495752,7.43083576990175
"GSM672596",12.17742788,12.96701115,13.11887398,9.517166171,9.493057993,11.11935985,13.25369033,10.29977138,11.77446952,12.37568327,10.59128327,14.20152714,13.57959368,9.363718587,9.860341264,9.000723048,13.1376223,11.39870892,11.27969628,12.07589257,11.38992602,11.72854535,0.217815762789766,0.779591219947081,7.59214252622142
"GSM672597",10.93087398,12.66937435,12.45247361,9.02775539,9.175440149,10.88115093,12.45543494,9.206534201,9.815632714,11.43100372,11.72728216,13.6081974,13.21777212,8.464214126,8.461734572,8.80799777,12.1154171,11.8077974,11.2080881,11.75498866,11.38931394,12.28661636,0.423242049500288,0.19360638408694,6.90016459505762
"GSM672612",13.34864684,14.35976208,14.38725613,11.27734684,11.00480892,13.1376223,13.97636729,11.38931394,14.53294684,12.29913829,12.3046145,14.10461152,13.4302974,12.22038662,11.13001301,10.91080595,13.8509658,12.54480855,10.89382342,12.07309777,12.36217918,11.40649405,0.00122404369474568,3.02968522480712,10.249234142119
