"","cgeC","gerE","cgeD","cgeE","cotQ","cotS","cotSA","cwlH","ftsY","spoVIF","gerR","spsA","spsB","spsC","spsD","spsE","spsF","spsG","spsI","spsJ","spsK","spsL","sscA","sspG","yeeK","yfnD","yfnE","yfnF","yfnG","yfnH","yjzB","ykzQ","ylbD","ylbE","ymaG","yodU","yppG","ytxO","yurS","yxeE","spoIIID","pval","z","inv_cof_var"
"GSM672701",7.417417844,9.890813011,7.938524535,8.923778439,8.019628996,7.441605204,7.349563197,7.277204089,11.82952268,8.374791822,10.78880818,7.455511152,7.389022677,7.377762825,7.55949145,7.510571747,7.626144981,7.713698885,8.339630112,8.488292565,8.702976208,8.675210595,7.965228625,7.906473978,9.423149442,8.051954647,7.529364684,7.222447955,7.238387361,7.166906691,8.044633086,8.986883643,7.74493197,7.372210409,7.582311152,7.444192193,8.275239405,7.59084052,7.855413383,7.762834201,10.85690223,0.0697023641059577,1.47801139521466,9.3909881067428
"GSM672702",7.600063197,10.20057955,7.726288476,8.80615,8.019628996,7.530228253,7.461993309,7.261334201,11.61025167,9.226846097,11.10905242,7.524751673,7.489437175,7.468778439,7.589801115,7.568715242,7.592651673,7.668779182,8.333586989,8.582377695,8.702976208,8.80615,9.186043866,8.288367658,9.803089219,8.076719703,7.621939777,7.270249071,7.20119777,7.296479182,8.197505948,9.014144981,7.928262825,7.611760967,7.988043866,7.55290223,8.613412268,7.722443123,8.297544238,8.579858364,11.24299684,0.069907722442848,1.47647864139671,9.38944102776116
"GSM672703",7.240568401,10.44512714,7.752718959,8.913276952,8.024810037,7.413969517,7.252905576,7.245731599,11.61025167,8.251019703,10.24398885,7.385176952,7.366461338,7.336424164,7.482289963,7.435354647,7.511855762,7.698256877,8.385220818,8.419263569,8.668460967,8.601725651,8.010395911,7.658371375,9.500806691,8.088671747,7.404819331,7.183873606,7.093293309,7.179195167,8.287225279,9.067066543,7.774867658,7.268254275,7.530228253,7.493678439,8.249947584,7.638374721,7.706968401,7.838514126,10.36729665,0.0753152483438083,1.43730800008381,9.34990429644584
"GSM672706",7.151679554,9.83625948,8.617712268,10.56290074,8.111744238,7.627140892,7.506061338,7.168089591,12.21777212,7.373147584,8.84164461,7.417417844,7.389852788,7.55949145,7.714724907,7.728626022,7.827565799,7.868198885,8.71195948,8.461734572,8.529390335,8.323706134,7.298382528,7.324245353,9.270202602,8.223567658,7.520542007,7.358100372,7.389022677,7.239541264,8.075726022,9.432344238,8.344507435,7.88627026,7.083947212,7.513250186,7.826556877,7.816307063,7.388077695,7.19202974,7.439755019,0.48971571850632,0.0257817266661469,7.92518585564122
"GSM672707",7.066749814,10.66789145,8.028432528,9.455064684,8.041408922,7.87012342,7.708865056,7.034201115,11.9170816,7.378700743,8.727996283,7.338213011,7.318360967,7.626144981,7.694331227,8.070405204,8.112798513,8.218820074,8.994675465,9.054672491,9.193304461,8.734165056,7.421246097,7.187255019,9.273874721,7.964062082,7.691536431,7.491115242,7.357145725,7.380567286,8.013526394,9.383746097,8.633024164,7.932447212,7.152958364,7.598236431,7.913758364,8.054964684,7.292366914,7.48316171,7.314204647,0.251892329360747,0.668546737140207,8.57395816740916
"GSM672708",7.079829368,10.69497435,8.102525651,9.296919703,8.076719703,7.898386617,7.692402602,7.081839777,11.91889442,7.334518587,8.619519331,7.284734201,7.354395539,7.620645725,7.80720632,8.126853717,8.204286617,8.369905204,9.143151301,9.137415985,9.205351301,8.83260855,7.383236059,7.189788476,9.421905204,7.986987732,7.697311524,7.582311152,7.426362454,7.395085502,8.131836431,9.436229368,8.571306691,7.822368401,7.001856877,7.68067342,7.865181413,8.125321561,7.198866171,7.294394796,7.37402119,0.296784999573741,0.533669811210894,8.437820677637
"GSM672709",7.16059777,10.46258141,7.983840149,9.479197398,8.143390706,7.895799628,7.724405948,7.066749814,11.84121078,7.325028996,8.456971375,7.308666914,7.284734201,7.677404833,7.705065799,8.162204833,8.179828996,8.324371375,9.09787026,9.030392193,9.090420074,8.684418216,7.381439405,7.259303717,9.287444981,7.974095167,7.699220446,7.513250186,7.399576208,7.316581784,7.969496654,9.470373234,8.60055539,7.950685502,6.914249814,7.742886245,7.932447212,8.084459108,7.300564684,7.208010781,7.312733086,0.260076500916422,0.643109575192377,8.54828326897383
"GSM672716",7.280977695,10.21271413,9.271420074,11.03410706,8.263677323,7.625234944,7.455511152,7.135171747,11.93357212,7.826556877,8.921110409,7.416600743,7.40222974,7.518624907,7.730965428,7.554816729,7.751708178,7.835530855,8.667276208,8.465450186,8.561458364,8.512473234,7.710728625,7.677404833,9.410989963,8.155705948,7.635680297,7.393342379,7.312733086,7.395965799,8.193048327,9.26206171,7.718559851,7.324245353,7.374932714,7.893216357,7.884095539,7.860385502,7.6393,7.505216357,8.827584758,0.432028156208705,0.171212966280391,8.0719763000343
"GSM672719",7.168089591,9.116951673,8.439837918,9.591734201,8.607624907,7.608422677,7.287647584,7.430656506,11.14142193,7.400432342,8.942527509,7.403995539,7.371171004,7.440665428,7.606418959,7.899507435,7.947747212,8.277677695,8.777056877,8.761433086,9.11569145,8.735957993,7.360777323,7.575073978,9.525447955,8.015626766,7.706005204,7.425346468,7.318360967,7.327780297,8.154679926,10.67870929,8.60055539,7.89425539,7.139126022,7.564085874,7.978735688,7.722443123,7.649154647,7.291402602,9.055988104,0.238305442264261,0.711764071470725,8.61757941225785
"GSM672720",7.168089591,8.91650632,8.448307063,9.768651673,8.839163941,7.571387732,7.337226766,7.385176952,11.06789331,7.630925279,9.184917472,7.435354647,7.324637175,7.491978439,7.614147955,7.897266914,7.916786989,8.317332714,8.782315242,8.859812268,9.108434572,8.895476208,7.464086617,7.678274349,9.486692565,8.12430632,7.650413941,7.429891078,7.311718959,7.248830483,8.123189219,11.09151115,8.669790335,7.989135316,7.085886989,7.487992565,7.912741264,7.825569888,7.712718216,7.241677695,9.479197398,0.34520316253971,0.398303711320286,8.30118944206886
