"","mstX","sinR","yugO","yvgN","ywbD","pval","z","inv_cof_var"
"GSM672597",12.07040112,12.78510967,11.76691301,11.77259424,10.10585762,0.0390465869088543,1.7618587012086,12.7930301434142
"GSM672606",7.758813755,11.47189517,7.865689405,9.943906691,11.07978216,0.496688293026434,0.00830131367933796,5.63223417021466
"GSM672607",7.951738662,11.85813271,7.937469888,10.29585874,11.21293494,0.498304008294022,0.00425123356912288,5.61569533461646
"GSM672612",10.44625204,12.89544572,10.05844498,12.24615948,11.5763197,0.0934464560811818,1.31982661861493,10.987955738908
"GSM672613",10.04980929,12.91991375,9.701824721,12.50487918,11.88390743,0.273645620273828,0.601824085937442,8.05593327913083
"GSM672614",10.42665074,12.77562007,10.14274461,12.55718141,11.70109888,0.143500656344947,1.06472296914541,9.94621898203822
"GSM672615",10.04106729,12.92314349,9.74697658,12.06224721,11.79238513,0.188499600747779,0.883438862064679,9.20593040453244
"GSM672616",11.25086022,12.83733197,11.01917918,11.68967509,12.50487918,0.00146317835924448,2.97536966612351,17.7485020845063
"GSM672617",11.67574201,12.19107955,11.40524758,11.52343123,12.26005576,2.89267262271064e-10,6.19617050956162,30.9009075171368
"GSM672620",9.572453532,13.00624349,9.557981784,11.83606431,10.25133606,0.162319411992278,0.984969965794369,9.62054102629627
"GSM672621",9.336265056,13.08473941,9.364909294,11.67439108,10.27865967,0.185287921859001,0.895395241050168,9.2547552625623
"GSM672622",8.935267286,13.1395539,8.556642751,12.24317175,10.00068439,0.461095817747642,0.0976734034853047,5.99719245749416
"GSM672623",9.38253829,13.24969777,8.65536171,12.16591599,10.19501896,0.396510944219596,0.262388564098468,6.66982037787579
"GSM672630",9.712572491,13.61981078,9.113410037,12.15180074,9.590351301,0.326660384849096,0.449153720731582,7.43249127251742
"GSM672631",8.859148327,13.47812268,8.465450186,11.95198364,9.909817472,0.434076414201293,0.166005237542416,6.27623112804884
"GSM672632",8.790155019,13.66069851,8.548808364,12.19468309,10.10585762,0.467181191659008,0.0823575603141279,5.93464895085658
"GSM672647",8.524420446,12.10715093,8.357856506,11.98320223,9.888286245,0.482335779301987,0.0442921127702701,5.77920556164754
"GSM672648",9.009402602,12.67413941,8.62690223,11.57041264,9.924944238,0.323650343961288,0.457515327499335,7.46663658221633
"GSM672649",8.397209294,12.43176617,8.236467658,11.62313086,10.04722045,0.459099135788482,0.102703530442424,6.01773339508502
"GSM672650",8.604154275,12.37289182,8.355411152,11.46694833,9.917876766,0.392905945325054,0.27175307212705,6.70806111744836
"GSM672660",8.786026394,12.24009331,8.611122677,12.43925799,10.27553494,0.494222600782182,0.0144822984628515,5.65747473049684
"GSM672662",8.541937546,12.18422007,8.477389963,12.16173569,10.49189926,0.497558132220477,0.0061208930390617,5.62333024300258
"GSM672674",7.9902,12.30192082,8.073602602,11.17241543,10.41638848,0.480975219633587,0.0477061417528209,5.79314703009591
"GSM672676",8.090775465,12.31870483,7.974095167,11.32697918,10.2305684,0.489444017906641,0.0264630114919935,5.70639895859754
"GSM672682",9.195828996,12.61541041,8.909420074,12.69559926,9.931396283,0.471721136049501,0.0709440660140891,5.8880410071388
"GSM672698",8.299976952,14.16922491,8.176603717,11.36968216,10.70047807,0.472350356845755,0.0693629572695191,5.88158441939789
"GSM672699",9.192094796,13.84343978,8.618287732,11.0330539,10.43461636,0.212451692497038,0.797943316235876,8.85680230376352
"GSM672700",8.622026766,14.01388922,8.501655019,10.93927732,10.69138996,0.327849761435666,0.445858414742189,7.41903461918681
"GSM672719",10.0766881,11.72085651,9.828678067,13.81311004,10.61201561,0.461560593762103,0.0965028789553312,5.99241252419949
"GSM672720",10.60630929,11.54474833,10.15442584,13.83479257,10.63703123,0.397772395741136,0.259117229471254,6.65646161357635
"GSM672721",10.16879219,11.26785613,9.74697658,13.84591078,10.58157807,0.468220033311333,0.0797450024462821,5.92398035569519
