"","addA","comK","addB","bdbC","bdbD","comC","comEA","comEB","comEC","comGA","comGB","comGC","comGD","comGE","comGF","comGG","hlpB","maf","minC","minD","mreB","mreC","mreD","nin","nucA","radC","rpsF","rpsR","sbcC","sbcD","spoIIIL","ssbA","ssbB","ybdK","yyaF","pval","z","inv_cof_var"
"GSM672649",10.66789145,13.19072825,10.36235093,12.24164052,12.49886208,11.70353494,13.12992751,12.90213346,11.81549405,14.13440409,14.21958662,14.14266803,14.46059071,14.0958948,13.97082379,14.09040223,10.56992156,12.74220056,13.60378104,13.17062045,13.39100595,13.00896617,13.64061375,14.07067323,14.16357621,12.37136022,15.75899182,15.89411301,10.33722862,10.16372974,13.87415316,15.98063123,16.26199628,12.21330186,13.82056989,0.105393073348233,1.25140666541564,8.15293060468892
"GSM672650",10.61383643,13.37838364,10.30466134,12.15180074,12.56927323,11.86338253,13.36243383,13.11002677,11.93087695,14.3392342,14.55173829,14.42909851,14.57775836,14.43977026,14.19849442,14.3805052,10.60271673,12.88678755,13.67938253,13.10414349,13.57540669,13.16680669,13.61280632,14.28505874,14.45026283,12.43471264,15.61343941,15.98063123,10.4428803,10.03721264,14.01692193,15.87744201,16.1452197,12.30054126,14.04023532,0.113901735679103,1.20603635929814,8.07668804131174
"GSM672652",11.93222788,10.71228216,11.27385204,12.53873903,12.92314349,8.29409368,8.796410037,9.772573978,8.406797398,11.36968216,11.10190223,11.26426877,11.38636171,11.12871487,10.74634201,10.58818569,11.71356952,11.90698848,13.7935658,13.28255242,13.18693197,13.48460855,14.14266803,11.52100074,11.92544981,11.38512714,15.88525911,16.24241784,11.79360967,11.33658364,10.68777323,16.40831022,13.54336506,9.810822305,12.25553011,0.483753271848206,0.0407357715292859,6.11845783483416
"GSM672654",11.20453309,11.6620948,11.01674572,12.11117286,12.76159257,8.640388476,9.709953532,10.55939517,9.25350855,11.6089539,11.55308104,11.49827212,11.77321896,11.40524758,11.44184461,11.47189517,10.66082342,11.94402528,13.51702342,13.18883978,13.87933941,13.25773792,13.56426171,11.59762937,12.01920743,11.64349257,16.06489257,16.30918699,10.92041933,10.71943829,11.4494671,16.26199628,13.40817268,10.29585874,12.86639294,0.339399884355101,0.414101507661736,6.74588055325755
"GSM672660",10.73115465,12.44507026,10.46197286,13.39100595,13.73238123,10.53229405,11.65957844,11.49468773,10.23788662,13.46987881,13.4511197,13.02507807,13.56203011,13.21045353,13.15227509,13.24435279,10.8927461,12.4688316,13.72151636,13.09848885,13.4450803,13.13574721,13.77875762,12.92673643,13.42404535,12.12819442,15.35256022,15.78401747,10.73234387,10.3563777,13.21968216,16.0724342,14.74487584,10.87543271,13.31923978,0.0936683785150826,1.31849870873078,8.26567547688157
"GSM672661",10.8556171,12.46749591,10.60049368,13.72616989,14.28826431,10.94499814,11.76571784,11.75320818,10.54625725,13.69168178,13.59952639,13.42404535,13.71375353,13.4302974,13.35250967,13.51702342,10.61498086,12.72872639,13.91563829,13.2291658,13.51044907,13.31550074,13.65388439,13.15779442,13.55558736,12.32020335,15.76791375,16.03633346,10.74269703,10.4644316,13.36832156,16.1452197,15.06041338,11.33291115,13.52028346,0.0958485734095183,1.30557494067329,8.24395772160253
"GSM672662",10.72760855,12.47901264,10.48577063,13.4367223,13.90293309,10.74750632,12.07172602,11.94402528,10.57679554,13.70641859,13.59734461,13.57540669,13.82848513,13.51256134,13.4270855,13.69896357,10.81962416,12.98724424,13.77660149,13.05679517,13.53887881,13.19793569,13.68176245,13.17423792,13.57959368,12.36528178,15.66552974,15.80265167,10.8015829,10.15378364,13.49333755,15.91022379,14.86847249,11.39810297,13.57750632,0.0781743129775785,1.41745950454601,8.43197421701476
"GSM672663",11.08671896,11.67967361,10.63199814,13.53453569,14.05355316,9.906015985,11.44888067,11.173071,9.332309294,13.13574721,13.02354647,12.86008625,13.1468632,12.76007472,12.56328699,12.68502305,10.75245725,12.43780892,13.2786855,12.66502602,13.51044907,12.93810186,13.76919963,12.74146729,12.95315316,12.1154171,15.10096468,16.13797361,10.89382342,10.33478216,12.41632974,15.94857249,14.82197844,10.60049368,13.01324461,0.143872034987226,1.06308353615216,7.8364628673747
"GSM672664",11.35825762,11.81669368,11.12637026,13.79092788,14.46059071,10.70654424,11.64867435,11.7049197,10.17751747,13.35631375,13.29628699,13.11699257,13.27297993,13.00465167,12.96507435,12.9736632,10.71661134,14.16637026,13.91831896,13.21222714,13.86400483,13.32130186,13.7086368,12.97208327,13.46987881,13.33519294,16.05140074,16.05834275,11.1493119,10.77706283,12.92828178,16.26861673,14.90230818,11.07624796,13.64935428,0.0876437103441018,1.35540857003745,8.32770067972301
"GSM672665",11.31089517,11.7148948,10.95179145,13.4302974,13.61280632,10.23297993,11.60519591,11.42414219,10.04980929,13.17256729,13.05512156,12.84362528,13.07797286,12.719671,12.56927323,12.66046617,11.16154387,13.25572045,13.89639164,13.11793327,13.47612974,13.24257695,13.83360706,12.6482026,13.07957993,12.60212045,16.05834275,16.26199628,11.11013494,10.7252513,12.45414126,16.19371115,14.64878104,10.62261115,13.26739145,0.101648746877765,1.27221287655785,8.1878944170895
"GSM672666",11.4645171,12.92314349,10.87328067,11.68098401,12.53408699,10.76898067,12.16890595,12.2758855,11.13599963,13.96283048,13.80104535,13.59952639,14.04023532,13.72863755,13.77175465,13.93337732,10.68536877,13.11699257,13.99217212,12.80614647,14.35301933,13.75453086,14.16357621,13.39879777,13.71375353,12.44648699,16.38425465,16.30243048,11.3404461,11.21184758,13.63642639,16.40455576,15.28264684,12.12529108,14.00869331,0.0765954147409461,1.4283510898013,8.45027698924985
"GSM672667",11.54474833,13.30005502,10.90454312,11.97375353,12.51518699,11.18790892,12.56166506,12.63887881,11.49708959,14.37000297,14.26946022,14.12791078,14.43977026,14.04023532,14.11600446,14.38725613,10.81364758,13.65857993,14.06780892,13.41469164,14.27893866,13.91831896,14.19217844,13.68413234,14.04813494,13.08807955,16.37624089,16.26861673,11.33772937,11.07735651,14.28505874,16.39080818,15.67325911,12.26996654,14.16637026,0.0626705858163624,1.53273495998933,8.62568893859297
"GSM672668",11.46395186,13.36243383,11.04578699,11.8217948,12.69864721,11.07385093,12.58323271,12.55092639,11.13479888,14.50030743,14.15506134,13.86138401,14.28826431,13.80343717,13.90293309,13.96823197,10.67379851,13.78122565,13.9254487,13.20863941,14.14415112,13.64061375,14.10889312,13.51044907,13.78598662,13.05247546,16.02135874,16.4320948,11.28319888,10.97369777,13.8692948,16.3698197,15.66552974,12.21173457,14.07618625,0.064396568623124,1.51887827952963,8.60240347000016
"GSM672669",11.5471777,13.02672268,11.08792416,11.93357212,12.57097026,10.92041933,12.57880929,12.78364684,10.8370197,14.31640743,14.27227695,14.01388922,14.17215799,13.79092788,13.75571506,13.94646394,10.74508104,13.62914721,13.83360706,13.25970781,14.13102342,13.6722223,14.16068439,13.43859219,13.44724164,12.9007197,16.20058401,16.39080818,11.24647937,11.16098439,13.82848513,16.33439926,15.43592342,12.14881636,14.09866691,0.0621155801024317,1.53725384106782,8.63328269553454
"GSM672670",11.51009108,12.48356283,11.38151115,11.65836766,12.46461859,10.66082342,12.51953383,12.62693755,10.541771,14.26946022,14.04151784,13.72151636,13.79624275,13.4345881,13.14143123,13.27671636,10.53004981,14.07067323,13.73114758,13.01521004,13.96540669,13.50622305,13.94112825,13.27015502,13.04626283,12.77089368,15.85358848,16.26199628,11.06334126,10.94389777,13.21045353,16.30918699,15.28884089,11.59397472,14.07618625,0.0737075591097364,1.4487224146448,8.48450999665859
"GSM672671",11.78084387,12.29611413,11.6998658,11.59762937,12.26155651,10.84170743,12.64338773,12.80310595,10.59812825,14.24770112,14.11328476,13.83099145,13.91315353,13.49133829,13.00465167,13.01151115,10.67624981,14.23797286,13.7109197,12.93810186,13.89516245,13.48023494,13.94112825,13.59032751,12.89221561,13.24083643,15.91022379,16.30918699,11.09151115,10.85192937,12.49129033,15.96520669,15.17188364,11.52813271,14.07067323,0.0573307187731592,1.57758301235523,8.70105388027961
"GSM672672",11.85151487,12.56927323,11.98850669,11.54940074,12.25859294,10.4644316,12.67092974,12.79665613,10.65251152,14.09866691,14.03156208,13.71774591,13.75689926,13.4450803,12.98724424,12.92673643,10.76186208,14.8074855,13.65160669,13.02354647,13.83986822,13.36649851,13.96823197,13.7497,13.07797286,13.08627212,15.83757435,16.10096283,11.01195019,10.7218171,12.72872639,16.18697584,15.30855836,11.46098476,13.93337732,0.0652868534884294,1.51184339484009,8.59058169299021
"GSM672673",12.12529108,12.35069814,11.97618699,11.5136026,12.34049442,10.33233123,12.63002937,12.82099442,10.50442825,14.18104015,14.02859517,13.80343717,13.98711561,13.41777658,13.05679517,13.02672268,10.84047993,14.16357621,13.61745502,12.89221561,13.65160669,13.27671636,13.98436729,13.72863755,13.2786855,12.88900186,15.64881152,16.0140948,11.28675688,10.95823364,12.56849424,16.05834275,15.01592007,11.32936877,13.83728625,0.0431994019737015,1.71470784819347,8.93148540877548
"GSM672674",12.94134015,10.80278067,12.5077974,11.93482268,12.71581989,9.348395911,13.33429888,13.64276654,9.885793309,14.5973803,14.5439829,14.34210483,14.29400892,13.6561342,11.73846877,10.09547305,11.66334796,15.29518476,12.91142379,12.51368253,12.41861375,12.37568327,12.93473197,14.55173829,13.4511197,12.57254721,14.9261052,15.3676855,11.56802119,10.56404164,10.76070037,15.36026208,15.80265167,10.62261115,13.04989703,0.182914905583612,0.90431232887927,7.5696556785137
"GSM672675",12.80310595,10.83579108,12.32301375,11.66844684,12.82172268,9.048547212,13.21777212,13.49977695,9.589195539,14.50030743,14.41536729,14.18664647,14.19849442,13.24969777,11.12277175,9.889610409,11.65836766,15.15962193,13.30389257,12.63076952,12.70704888,12.56328699,12.96858699,13.88212491,12.13786729,12.41094461,14.82635502,15.21679294,11.71356952,10.90037918,10.18716803,15.22980632,15.31526691,10.4428803,12.80614647,0.198020506546232,0.848712995640502,7.47622373919182
