"","resD","fur","kre","nsrR","ykoP","ykuN","ykuO","ykuP","pval","z","inv_cof_var"
"GSM672579",12.41256617,12.53718401,12.1703171,13.26346171,11.44763792,11.4622,12.08414498,12.33457361,0.107207418168874,1.24151696132462,26.4432910920965
"GSM672580",11.94402528,12.49265874,12.19392119,13.32734535,11.19886617,12.45830409,12.66355688,12.92588699,0.345683994041803,0.396999284700933,16.0696752483607
"GSM672581",12.12665576,12.18422007,11.81549405,13.24083643,12.8811052,12.66355688,13.0185829,13.37430892,0.00422774542178622,2.63331892596621,43.5394624469348
"GSM672582",12.14178848,12.41698625,12.23010929,13.0393197,13.01695428,11.87752714,12.13786729,12.09093494,0.14145896133858,1.0737875244102,24.3829899374864
"GSM672583",12.26005576,12.22607175,11.79360967,13.21222714,12.8679223,12.9632026,12.97873309,13.10047026,1.54366499137469e-24,10.1569012793756,135.955234506322
"GSM672584",11.94402528,11.84758067,11.20686022,13.23404554,13.94393941,11.7148948,12.00980706,12.32301375,0.455871443412967,0.110840426887897,12.5546486913057
"GSM672586",12.17169294,11.73846877,11.57879851,13.29143606,13.97636729,12.20653755,12.39001859,12.42890074,0.363164005173381,0.350014240644326,15.4925354075549
"GSM672587",11.90186766,11.74211264,10.91210632,13.01151115,13.73361487,11.81046245,12.21330186,12.158871,0.391002934196757,0.276705994759033,14.5920550481237
"GSM672589",12.25079164,11.72148532,11.14807026,13.23707546,13.7086368,12.23151078,12.51075985,12.6458368,0.242727613532816,0.697555487551648,19.7615513027379
"GSM672590",12.38563941,11.98183086,11.64867435,13.27671636,13.57750632,11.34097472,11.7975223,12.26005576,0.451538591980801,0.121775037526941,12.6889637604985
"GSM672591",12.5312223,11.84121078,11.28562714,13.16149219,13.6106,11.35290967,11.93357212,12.16308104,0.448580837326979,0.129247673346902,12.7807537318421
"GSM672592",12.31870483,11.75807658,11.37684758,13.26739145,13.48706506,11.73466357,12.41567323,12.50329219,0.30750724164227,0.502928584528876,17.3708556658082
"GSM672595",12.52980595,11.99510037,11.15065874,13.28452677,13.58615465,11.65105948,11.60389777,12.03148699,0.437952815902511,0.156161615592204,13.1113505984576
"GSM672606",11.85551673,14.29121375,11.76571784,13.07616431,7.361776952,7.568715242,7.447595539,8.083214498,0.157075539883463,1.00654998477378,23.5570789757944
"GSM672607",11.89925465,14.12176357,11.48984164,12.96003271,7.200604461,7.438816357,7.434428625,8.142416357,0.275210875365036,0.597128261147168,18.5279554931901
"GSM672608",11.6522461,14.77223197,11.85551673,13.1633513,7.198866171,8.041408922,8.218820074,8.669790335,0.439806336015664,0.151460241019665,13.0536013587401
"GSM672612",13.40275985,14.67824238,12.24164052,14.29400892,8.199758736,7.480480297,7.390745353,7.741947584,0.207141873285426,0.81637840011083,21.2211101520572
"GSM672613",13.47612974,14.43607286,11.82445613,14.12176357,7.541188476,7.190369888,7.193237918,7.704079926,0.0762444032210553,1.430795593233,28.7682913486871
"GSM672614",13.22730074,14.69077807,11.9387881,14.16068439,7.637908364,7.203504833,7.177962454,7.505216357,0.0409678178846973,1.73956382590314,32.5610397056839
"GSM672615",13.60378104,14.4894368,12.01236766,14.34210483,7.88725316,7.564976208,7.401328996,7.909552788,0.0544907543177344,1.60278781177304,30.8809542953991
"GSM672618",13.20690632,11.24241227,9.837497398,11.93482268,11.59519071,10.03985799,11.09271227,11.33414907,0.343232260237022,0.403657603136893,16.1514625685457
"GSM672619",13.22262807,11.11823309,10.15135502,11.91889442,11.50065985,9.707454275,10.8438829,11.0609684,0.406430660283109,0.236736366258684,14.1010889227761
"GSM672630",12.48666022,13.59734461,12.66046617,13.29628699,8.876988848,7.437034201,7.407572119,7.741947584,0.493721432448952,0.0157386846851126,11.3864683595146
"GSM672631",12.73028625,13.76680818,13.56877881,13.4345881,7.846297398,7.425346468,7.312733086,7.846297398,0.0958078048447264,1.30581461218145,27.2330899892728
"GSM672632",12.66355688,13.61520669,13.40705576,13.40495093,7.919,7.810763383,7.243178253,7.876136059,0.140869925641801,1.07641912849404,24.4153151931611
"GSM672646",12.25010112,12.27423903,10.27803457,13.08300781,9.883156134,10.76898067,10.89382342,11.56554647,0.360298191348602,0.35766185472531,15.5864747208378
"GSM672647",12.39153123,12.4688316,10.82831543,13.01324461,10.59934572,11.02948476,11.37801599,11.51967435,0.0972388928333309,1.2974459653891,27.1302938852259
"GSM672663",14.21381301,11.99510037,10.67684145,13.32734535,10.04980929,11.01379089,11.43945204,11.61507807,0.355294850861141,0.371064217552165,15.7511023742458
"GSM672665",14.41200297,12.09219442,10.495429,13.62670483,9.409023792,10.60519108,11.07385093,11.13242119,0.435129542840347,0.163329401484462,13.1993959518642
"GSM672674",12.48971413,14.57775836,11.84500446,12.89221561,8.065120818,8.316217472,8.979176952,9.732179926,0.481898451135774,0.0453894346072781,11.7506827480173
"GSM672675",12.28434275,14.21067918,11.68967509,12.97545799,7.875115242,7.933356506,8.705665428,9.299215242,0.459373940537924,0.102011079146105,12.4461935764403
"GSM672676",12.47327881,14.04280037,12.22177807,13.26346171,7.815310781,7.480006877,8.235281784,9.139572491,0.494036569097733,0.0149486612389043,11.3767641224509
"GSM672677",12.63305613,13.7086368,12.55639981,13.43859219,8.070405204,7.455945911,7.9902,8.797086059,0.38908902678111,0.281694133022422,14.6533267438527
"GSM672678",12.52685316,13.41777658,12.37136022,13.59952639,7.780598141,7.292366914,8.00069777,8.434796283,0.330630815420301,0.438171963387643,16.5754190164024
